year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1960,26.1,-2.2806916,6.1344132,-16.236668,14.267501,2.4208791,4.319478,0.0,16.7,21384.504,14328.722,0.0,41565.633,15.675238,5.693256,0.37166667,23.077917,3.5868132,6.3148193,0.0,31.000004,36011.95,12497.594,2568.2798,49623.797,21.742456,2.5849452,15.344584,26.67792,2.3869562,6.689129,0.0,44.899994,38926.57,10730.301,984.21094,49249.656,5.0288224,8.814981,-18.176252,19.304998,1.651087,3.4708362,0.0,19.5,24833.074,11382.899,0.0,39234.773
1961,31.4,0.49472204,7.4149523,-17.740835,16.844584,3.4555554,6.8483267,0.0,42.5,22335.447,12777.132,0.0,41669.223,13.581602,6.392942,-0.0345833,25.071663,3.1758242,5.674609,0.0,22.6,34548.223,15951.27,35.319687,49554.207,21.71451,3.0481746,11.702915,26.244585,2.3434784,4.3509836,0.0,20.800001,38486.676,8986.851,3533.9004,49380.8,5.980135,7.8377347,-14.880417,19.138334,1.903261,3.7659974,0.0,18.500002,21624.707,12999.928,0.0,38791.82
1962,32.5,-0.6361344,6.0849285,-19.155416,14.288333,2.8933337,5.6820393,0.0,28.9,20981.283,13678.516,0.0,41535.668,16.876083,7.1259313,0.72999984,25.755,1.8373628,3.5909348,0.0,18.900002,39980.03,10289.432,1031.7784,49535.832,20.722118,3.942226,10.040416,28.396667,2.2423913,5.615603,0.0,41.2,38024.75,10771.099,4574.087,49178.844,4.7765126,8.773955,-16.615835,21.6425,1.5793478,3.2967362,0.0,17.599998,23954.223,10969.394,0.0,38680.273
1963,28.7,-2.4712503,8.280696,-23.055414,16.640417,2.8155556,7.22522,0.0,54.200005,22818.498,13024.67,0.0,41580.938,15.556074,5.915059,2.9320831,26.190416,2.6659338,5.535747,0.0,27.3,38841.92,12430.208,0.0,49694.875,20.29934,3.1098084,11.6675005,27.238333,2.1456523,5.3637247,0.0,29.900002,38556.414,9969.024,2590.7515,49429.543,5.3623595,11.376391,-20.528334,20.084166,1.1456522,2.6826434,0.0,15.200001,26863.867,11127.418,0.0,39349.273
1964,25.7,-0.24795341,5.719009,-15.659584,13.844583,3.995604,10.820914,0.0,78.399994,23557.02,14035.058,0.0,40644.617,17.088402,5.997132,-1.1095833,26.782082,3.057143,6.389264,0.0,38.399998,37873.18,13810.16,0.0,49535.07,21.882038,3.7662477,11.194583,29.311249,1.2793478,3.170071,0.0,20.8,38790.38,11626.669,0.0,49283.684,6.3910503,7.123729,-11.380418,18.346666,2.046739,4.6998587,0.0,28.599998,23292.238,12925.8545,0.0,39228.68
1965,29.2,-0.8218288,6.6104107,-17.222082,14.3862505,3.19,5.974234,0.0,37.7,21995.469,14459.026,0.0,41765.844,17.013264,5.619611,1.4841665,25.552917,2.0582418,3.7563894,0.0,16.800001,39048.965,11235.304,0.0,49480.08,21.140213,3.424521,10.182082,27.896666,3.2304347,7.495592,0.0,47.800007,38620.17,11148.122,0.0,49405.89,6.7933826,5.6707807,-3.2970831,18.02375,2.0108695,5.092776,0.0,33.6,23254.66,12752.404,0.0,39102.652
1966,38.8,-0.6949307,7.601659,-21.055416,17.584167,2.1855557,4.9736285,0.0,31.200005,24256.59,12325.983,0.0,39677.02,14.778766,6.72209,2.7404165,26.89875,2.220879,5.11248,0.0,34.000004,36257.45,15037.065,0.0,49496.83,21.78079,4.33096,10.950832,29.663338,2.0445652,4.8279486,0.0,32.399998,39137.1,12200.519,0.0,49248.29,5.1249046,7.072842,-15.947082,18.305,2.8076088,6.157837,0.0,33.100002,22425.506,13332.323,0.0,39298.34
1967,27.5,0.6257407,7.091329,-14.461666,17.29875,2.5966666,5.5896463,0.0,26.3,23169.203,13390.785,0.0,41639.25,15.664798,5.7801104,4.13625,26.121666,3.1439564,5.980064,0.0,32.0,35094.78,14926.705,0.0,49455.008,19.737972,3.5751631,6.71125,25.294584,1.6391306,3.7389827,0.0,24.1,37582.39,11713.561,576.2457,49379.582,5.2785735,6.737325,-8.442918,20.317501,3.773913,7.307754,0.0,42.199997,20030.984,13514.186,0.0,39345.117
1968,33.8,-1.4181914,7.3922353,-21.728333,15.861251,2.19011,4.552656,0.0,19.499998,25453.844,13998.872,0.0,41567.484,15.500719,5.3178906,4.4675,26.198753,3.2857144,7.616949,0.0,43.600002,37050.844,13690.378,0.0,49406.117,21.68933,3.5383625,14.857085,27.882088,1.9836959,4.194352,0.0,20.700005,38963.594,10796.718,17.678947,49298.234,6.000222,7.1449018,-8.4887495,21.167498,3.2402172,6.838852,0.0,38.6,21276.469,13181.502,0.0,39222.164
1969,37.9,-0.89953715,5.29432,-13.778333,11.121665,2.2766666,5.5949225,0.0,29.800001,22486.57,13726.146,0.0,41768.613,15.900444,5.6372743,3.3841667,27.127914,2.8351648,5.7468905,0.0,34.6,36062.105,14669.417,0.0,49481.652,21.248072,3.4196582,12.648749,28.865417,2.4565217,5.20898,0.0,28.9,38843.668,10797.999,1035.4802,49299.457,4.5698094,7.56828,-10.086668,21.41125,2.2586956,5.719739,0.0,40.199997,20042.566,13647.7,0.0,38938.715
1970,35.1,-2.8356714,7.1749954,-21.199171,11.559166,1.6088891,3.067651,0.0,17.300001,22590.123,13231.845,0.0,39600.0,16.744993,5.85225,1.5799999,26.082083,3.6747255,7.5499907,0.0,42.0,37550.473,12948.966,0.0,49441.055,22.41897,3.2493837,10.425833,28.736246,2.275,4.467087,0.0,23.4,39046.273,11101.899,404.83337,49276.324,6.9050226,6.987684,-8.205419,19.813334,2.3304348,4.5187945,0.0,21.5,20732.488,13238.939,0.0,39294.086
1971,37.4,-0.9878473,6.0648704,-15.338752,12.917497,2.466667,5.855201,0.0,45.000004,23718.258,12209.627,0.0,40610.293,15.686158,6.9633737,1.4925,27.807085,2.0593407,5.4039288,0.0,31.7,40761.15,10175.055,1118.7639,49519.195,21.287767,2.6095567,13.973748,26.734163,1.8760871,4.3170853,0.0,25.100002,39349.195,9301.86,6138.9624,49375.05,8.674837,7.3768134,-6.530417,22.771667,2.1076088,4.178707,0.0,20.9,22440.16,13010.16,0.0,39339.527
1972,29.6,-0.6917034,6.850667,-18.85333,14.459167,1.8208791,3.3026426,0.0,15.700001,24402.225,12706.151,0.0,41786.32,14.697147,5.7576003,-4.990833,23.988333,4.0032964,8.087432,0.0,39.899998,36496.016,13890.651,0.0,49285.6,21.222437,3.1778977,10.550832,27.47375,2.9826086,4.769353,0.0,18.5,35623.434,12677.004,0.0,49250.688,5.117907,6.021715,-13.388751,17.021666,3.0576088,6.168428,0.0,35.399998,16121.021,13247.142,0.0,39214.844
1973,36.6,2.489861,6.609727,-10.37,17.982082,2.648889,4.9235334,0.0,24.600004,22278.986,12898.337,0.0,41497.168,15.216194,6.1592736,1.0737501,24.900833,3.9967034,5.41663,0.0,20.2,33863.266,15000.692,0.0,49362.15,22.029955,2.864685,13.894584,26.567503,2.5163043,5.19582,0.0,27.399998,38371.95,10546.192,0.0,49223.035,7.3200364,7.7236953,-12.7825,21.059164,3.930435,7.9289804,0.0,38.399998,20953.564,13487.075,0.0,38621.76
1974,31.6,1.872824,7.045393,-14.897083,17.175833,3.018889,4.6818056,0.0,22.199999,21820.725,12726.849,0.0,41280.69,15.367957,5.211114,-0.48666665,23.777918,4.1175823,6.6598563,0.0,26.800001,33747.18,13924.782,0.0,48921.594,20.456541,3.8319669,8.271667,25.861252,2.6,5.6818395,0.0,37.8,36166.03,13705.96,0.0,49274.223,5.7961235,6.0472016,-6.245001,18.965416,2.4902177,4.683219,0.0,25.5,21015.887,13771.225,0.0,39291.008
