year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,20.5,10.709074,5.7368183,-3.9029167,21.01375,3.3422225,7.839069,0.0,39.999996,27742.104,11865.101,0.0,39730.543,22.894018,3.2901633,13.695001,29.957502,2.1,5.7302513,0.0,43.500004,40068.2,9690.863,0.0,46800.0,26.435513,1.7254395,18.747084,29.63875,4.232609,5.9547396,0.0,28.900002,37249.48,9398.599,3559.7139,46800.0,15.800482,5.6559744,0.7366666,24.597082,1.6597825,4.6526623,0.0,27.300001,30197.887,8449.003,764.76587,39253.742
1971,20,12.165023,5.120946,-0.27375004,20.68875,1.848889,3.7543159,0.0,15.800002,29893.531,11147.589,0.0,41203.25,22.751135,4.3423047,9.12625,30.188751,2.9780219,7.7043533,0.0,50.100002,41892.742,8630.4375,0.0,46800.0,25.522787,0.99402565,23.172087,27.690834,4.652174,5.8787847,0.0,37.600002,36972.926,8664.349,0.0,46800.0,18.015697,4.6776037,6.8179164,26.930418,2.4195652,7.489205,0.0,45.0,27653.418,10302.962,0.0,39139.152
1972,17.5,13.878814,4.47731,0.78249997,20.347082,2.6978023,5.747598,0.0,28.900002,26838.69,13516.766,0.0,40265.867,21.831768,3.2385044,13.149169,27.453331,2.6912088,6.770634,0.0,50.9,37963.516,12197.05,0.0,46800.0,26.303425,1.624354,22.995003,29.088747,2.443478,4.3742075,0.0,20.699999,39423.48,7025.2563,12295.903,46800.0,17.281096,5.203134,2.6470833,25.351252,2.5141304,7.0939937,0.0,40.800003,26418.502,11524.467,0.0,38734.71
1973,24.1,12.842432,5.6774125,-0.8883334,22.77625,4.403333,10.202649,0.0,56.8,26426.95,12461.032,0.0,40087.02,22.054295,4.0155497,9.888751,27.87208,3.2197804,7.434652,0.0,40.000004,38729.84,10355.811,962.7897,46800.0,26.316128,1.1134706,23.332497,28.470003,2.9619565,3.6369846,0.0,15.799999,38402.727,8650.648,0.0,46800.0,16.947786,5.7042346,2.41375,25.799164,1.6065217,5.041886,0.0,39.699997,30861.756,8249.626,0.0,38930.598
1974,29,16.316828,4.380781,2.3095832,24.022085,1.4733334,3.3830314,0.0,17.400002,30328.2,10577.539,0.0,41129.406,23.257683,3.3573477,13.407501,28.832502,2.2065935,4.499106,0.0,27.899998,41197.67,7649.2305,10907.677,46800.0,25.216375,1.7031134,18.26375,28.505419,5.5847826,6.9127045,0.0,46.199997,35247.895,9692.141,0.0,46719.5,15.407183,4.5145035,5.18875,23.376245,1.5163044,4.646381,0.0,26.7,29819.777,10373.46,0.0,39253.715
1975,32.2,14.7097,4.408173,3.6408331,21.890833,2.0855556,3.9372482,0.0,20.800001,28434.342,11818.991,0.0,40404.688,22.873344,3.7924223,11.409584,28.015833,3.5373628,9.245331,0.0,75.899994,39707.73,9856.199,0.0,46800.0,25.393278,1.8209715,19.449167,28.530418,3.7706525,4.288127,0.0,18.900002,36566.79,9042.181,0.0,46800.0,16.419842,6.0252433,1.1783334,23.75958,1.826087,4.6612706,0.0,27.1,28606.324,9671.921,0.0,38447.01
1976,27.2,14.048046,5.5551386,0.47416654,22.703333,1.1142857,3.0856144,0.0,20.9,31470.42,8907.2,0.0,39989.21,22.345984,2.476148,16.030416,27.572083,3.3472528,6.4137936,0.0,38.4,37442.105,10567.726,0.0,46800.0,25.535446,1.9121591,20.805414,30.003334,3.9423919,6.3233953,0.0,44.899998,37159.508,9587.645,475.83664,46703.254,13.5093565,4.9128604,1.5616666,23.617918,3.5532606,8.924721,0.0,57.9,25531.592,12915.794,0.0,39069.45
1977,27,10.872778,6.629486,-3.040417,22.699165,2.5522223,6.3972473,0.0,42.0,29297.45,10224.457,0.0,40407.33,24.03536,3.7869313,13.734584,30.411669,1.289011,2.8656373,0.0,15.3,43096.54,5319.7446,16264.456,46800.0,26.495045,1.5468113,23.105417,30.336668,3.946739,5.407513,0.0,24.4,37494.94,9504.793,0.0,46800.0,15.395613,5.510214,2.4804165,26.097078,2.0619566,4.787021,0.0,30.999998,28158.074,10463.765,0.0,39080.43
1978,20,9.762962,5.397495,0.17000008,20.595,2.9255555,7.3619514,0.0,44.600002,27316.63,13242.488,0.0,40946.547,23.326477,3.1032135,14.455418,30.474165,2.654945,4.7185984,0.0,24.800001,40215.85,8609.271,910.9896,46800.0,26.16522,1.3912007,21.711664,29.747084,3.8728263,5.248529,0.0,24.9,37399.9,8257.258,5480.1885,46800.0,17.501703,4.5905514,5.603333,24.24708,1.6195652,5.2031527,0.0,33.199997,29304.299,9211.243,0.0,39045.58
1979,30.1,11.246644,5.3526735,-0.56541663,19.72,3.5677779,7.91092,0.0,39.699997,28063.895,12275.162,0.0,40577.055,22.349968,2.6521869,15.949166,27.532501,3.605495,7.214821,0.0,36.400005,38801.105,11083.305,2297.5205,46800.0,25.87188,1.6360803,20.778334,29.111666,4.38913,5.571502,0.0,30.099998,34756.184,12215.152,0.0,46800.0,15.904422,5.0023785,3.9345837,23.24708,1.0576087,2.7146423,0.0,14.900001,30092.992,9876.609,0.0,39129.895
