year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,18,-0.36757421,7.256959,-20.686419,13.871915,1.9155555,4.464716,0.0,31.800001,23805.145,12761.449,0.0,41590.93,19.18126,5.6493955,4.8094163,28.659416,3.5538461,7.928126,0.0,48.6,38668.734,13271.854,0.0,50002.96,24.5966,3.2291317,13.994834,30.536499,1.8923916,4.099484,0.0,27.700003,39223.902,10638.095,648.0231,49868.215,8.256064,6.638694,-6.8885016,20.117748,2.1326087,4.68444,0.0,23.7,22496.932,12711.12,0.0,38750.53
1971,20.5,1.1248795,6.0208893,-12.788501,14.874,1.7988888,4.1112475,0.0,22.399998,26041.525,12438.522,0.0,42153.863,18.425854,6.811352,1.2448334,30.740664,1.9087913,4.684956,0.0,26.5,41110.637,11056.562,1342.0355,50005.91,23.671148,3.1505277,14.769834,29.690666,1.8304349,3.791423,0.0,18.3,40118.004,8509.25,10160.88,49871.67,10.614331,7.353473,-3.6739168,25.03025,1.976087,4.6407976,0.0,25.3,24392.81,13157.89,0.0,38764.555
1972,25,2.1106987,6.4906797,-16.498917,17.394835,1.3109889,2.4507802,0.0,9.3,26033.406,12890.895,0.0,42260.375,18.445383,6.052981,-0.8135002,27.507332,2.3582418,4.5129957,0.0,21.200005,41383.695,11122.612,0.0,50000.875,24.026943,3.3378093,10.451082,29.090666,2.3391306,4.4592896,0.0,23.9,36672.605,13176.476,0.0,49669.18,6.286387,7.1469574,-9.971833,20.098999,2.6141305,5.6065226,0.0,28.4,18947.207,13735.473,0.0,38720.17
1973,21,4.473537,6.4286537,-8.113501,19.421915,2.8244443,5.4817843,0.0,30.200003,23066.752,13851.761,0.0,40874.844,17.831463,5.9409204,1.2198333,27.538582,4.279121,7.435911,0.0,43.3,36317.332,13558.452,585.5463,50001.1,24.591072,2.8917034,13.632332,29.359419,2.3923914,4.6433516,0.0,23.7,40853.977,8163.0566,5863.1387,49796.305,9.048571,8.3296175,-13.621833,23.019835,3.8663044,8.158219,0.0,34.4,23563.047,12187.646,0.0,38342.83
1974,19.5,4.1784906,7.6485972,-13.984336,20.478168,2.707778,5.1226144,0.0,26.000002,25602.447,12845.468,0.0,42197.168,18.189407,5.1036735,4.7969165,28.823997,3.9395604,6.2967696,0.0,25.1,34800.93,13596.308,55.284462,50000.016,22.8365,4.4703436,10.48025,30.334414,2.7217393,6.2088175,0.0,39.6,37742.082,13022.273,0.0,49864.816,8.107605,6.0223002,-3.4072497,20.051083,2.8641305,6.6593003,0.0,34.6,22914.592,13148.79,0.0,38823.047
1975,27,2.7037685,4.918364,-8.907251,15.794831,3.4322226,6.0297356,0.0,35.699997,22705.643,12928.03,0.0,42154.715,18.937551,6.693318,1.8614999,28.323997,2.4219782,4.5836134,0.0,29.9,40004.637,11005.433,3499.832,50003.508,23.39105,4.5179405,12.588584,28.823997,2.6423914,6.457609,0.0,34.8,38833.67,12065.504,583.99866,49868.93,9.16039,7.592871,-9.286417,22.330254,2.4467392,5.503654,0.0,30.9,23945.006,12684.534,0.0,38577.953
1976,27,5.1325164,7.497393,-12.4385,18.934418,1.9296702,3.8227243,0.0,19.699999,27144.045,11363.725,0.0,41337.65,17.606348,5.185576,7.146916,26.826086,2.410989,5.534788,0.0,32.4,38884.875,11859.092,0.0,49968.844,23.084078,3.404186,16.157331,29.634415,1.4967391,5.1296906,0.0,33.5,42211.727,7141.556,17647.402,49708.105,4.699724,7.0001097,-14.1385,20.784418,1.1478261,3.378324,0.0,15.799999,26775.025,10940.319,0.0,38718.92
1977,32.5,0.8293239,9.390497,-21.290583,19.490667,2.8433332,6.886773,0.0,44.399994,26644.117,12393.401,0.0,42233.06,20.50706,5.20065,4.999,28.386503,2.92967,6.0098896,0.0,32.899998,39477.617,12004.903,0.0,49943.266,24.525606,3.2085135,17.521917,30.174002,2.6108696,4.7800283,0.0,22.4,39059.336,9504.814,2837.2673,49827.484,7.1481166,8.020926,-13.786418,21.144833,3.1391306,7.3037243,0.0,54.3,21526.436,13013.993,0.0,38456.145
1978,23.5,-2.4178057,6.5360117,-13.309333,16.913584,2.778889,5.951612,0.0,27.8,22601.195,14417.502,0.0,42199.85,18.285906,6.0425816,7.0281663,30.746918,3.2725275,6.310134,0.0,31.199997,35691.777,15082.747,0.0,50003.83,24.639715,3.1544302,16.840664,30.3115,2.2271738,6.46526,0.0,40.3,40698.574,8408.801,3002.1956,49862.188,8.151038,6.011631,-5.28225,19.1365,3.1173916,6.6565943,0.0,30.2,23573.527,13052.369,0.0,38618.305
1979,36,-1.1176206,8.572442,-18.90725,17.159416,3.3700001,7.7451024,0.0,57.099995,20671.527,12817.72,0.0,39886.582,17.911682,5.8758464,4.0698333,27.948997,2.9758244,6.237367,0.0,27.1,38254.875,13224.794,875.48376,50001.83,23.435934,3.4047146,15.782332,29.194834,3.8586957,11.438734,0.0,90.799995,38515.33,10814.984,55.132828,49867.71,8.190032,6.760743,-8.276,23.861502,2.475,7.4978766,0.0,58.09999,24278.723,12322.483,0.0,38426.305
