year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1960,30.5,0.8487188,6.0600038,-13.911583,16.617582,2.5054946,4.773011,0.0,23.7,20848.447,14200.967,0.0,41801.598,18.788738,5.83421,3.73425,28.565504,2.3373625,5.5805945,0.0,30.200003,38865.88,11361.798,0.0,49677.11,24.998543,2.7812178,18.794664,30.163416,1.6847826,4.2694397,0.0,26.3,42269.79,7112.484,0.0,49630.023,8.129382,8.022332,-12.407414,23.228003,2.3228261,4.8916187,0.0,22.9,25017.828,11612.226,0.0,38906.39
1961,32.4,3.8511946,7.2083316,-15.3032465,19.169668,3.4366665,5.8809056,0.0,21.800001,23255.725,13504.741,0.0,41759.863,16.64604,6.0346813,3.7050836,26.117584,3.9879124,8.046819,0.0,46.1,36700.395,13620.617,0.0,49679.78,24.193895,3.08321,15.763417,28.805084,2.2423913,4.419319,0.0,19.7,39343.203,9612.549,3364.0525,49671.54,8.811107,7.256435,-8.192832,21.669668,2.6913042,5.603132,0.0,27.699997,23416.52,13062.01,0.0,38808.04
1962,28.4,2.589713,5.8950214,-17.630333,15.838417,3.2477777,5.9792757,0.0,28.5,23548.623,13656.828,0.0,41727.727,19.754925,6.928838,3.3780003,27.503,2.1362636,4.1119747,0.0,21.999998,40803.31,10274.256,2463.81,49676.023,23.829473,4.104421,13.603001,30.753004,2.2130435,5.233183,0.0,26.600002,39386.51,10929.149,4779.0586,49674.418,7.816316,8.105839,-13.017833,23.365503,1.9597826,4.527087,0.0,25.400002,25775.383,10993.258,0.0,38821.633
1963,28.7,1.5479074,7.769012,-17.011585,19.100916,2.3966665,6.0448036,0.0,33.0,25975.936,12220.417,0.0,41844.156,19.209616,5.3019953,7.4946656,29.313416,2.302198,4.792123,0.0,31.1,39736.59,11353.981,0.0,49676.28,23.426758,2.9744065,14.692584,29.417585,2.1880436,5.631073,0.0,32.800003,40271.844,9358.159,0.0,49375.074,8.08477,11.182965,-16.876165,22.786337,1.2163044,3.5180624,0.0,22.699999,28275.842,10130.339,0.0,38945.82
1964,25.2,3.2431326,5.2702913,-10.992832,15.553,4.4274726,13.637734,0.0,106.700005,25260.318,13214.729,0.0,42235.125,20.12649,5.773409,4.203,29.557173,2.7934065,6.7671723,0.0,35.899998,38475.508,13201.454,1409.2854,49676.797,24.596298,3.8812776,11.734249,32.192585,1.8739132,4.917001,0.0,29.300003,39413.6,11751.804,0.0,49630.65,8.575125,6.9634438,-9.8324175,20.632166,2.2369566,6.132076,0.0,39.5,25340.363,12532.987,0.0,38904.11
1965,30,1.9726529,6.237378,-13.567832,16.700918,3.4466667,7.0152354,0.0,36.099995,23545.639,13843.675,0.0,42202.258,20.182922,5.0432935,5.932167,27.609251,2.2384615,4.540577,0.0,24.299997,40350.543,10559.51,0.0,49680.39,24.535427,3.411989,12.4175825,31.617584,3.2141309,8.261915,0.0,44.299995,40813.99,9727.874,0.0,49493.51,10.045301,5.7333035,-1.7115835,21.017584,0.8402174,2.1189911,0.0,10.7,27912.424,9171.349,0.0,38863.08
1966,25.7,2.2895277,7.446566,-18.874083,19.898832,2.6177776,7.226847,0.0,37.8,24462.91,13448.727,0.0,41436.65,17.745607,6.2471514,5.75925,29.521757,3.3285713,6.832135,0.0,37.700005,35972.266,15636.033,0.0,49672.67,24.303635,4.528079,14.211333,34.080082,2.1054347,5.3116164,0.0,31.7,38923.62,11862.188,137.87727,49499.754,8.12209,6.4461827,-5.2011666,19.234251,2.6836958,7.265534,0.0,46.800003,25431.36,11922.701,0.0,38930.906
1967,29.4,4.1658244,7.216998,-10.984501,20.117582,2.2,5.3475394,0.0,26.9,25724.271,12985.007,0.0,41310.582,18.963554,5.027972,8.125916,27.759249,3.7461538,6.8930607,0.0,27.0,38141.656,13080.88,0.0,49668.113,21.849195,3.3655105,9.496749,27.43634,2.5423913,5.468476,0.0,33.6,39362.11,9127.428,241.77461,49620.766,8.146568,6.618091,-5.0428333,22.430086,3.406522,6.965564,0.0,41.8,22679.613,13059.031,0.0,38944.297
1968,30.7,1.6089066,7.0595493,-16.126165,18.278,2.4131868,5.7706385,0.0,26.300001,25042.074,13870.162,0.0,42095.3,18.595722,5.2953506,6.3800836,28.094667,3.0516484,7.2310348,0.0,40.600002,37693.355,13043.835,4770.9155,49680.242,24.188824,3.396102,18.03425,30.315504,2.1793478,4.2105975,0.0,22.6,40077.637,10406.636,419.83142,49661.24,8.28511,7.090106,-4.67825,22.494667,3.2456522,7.218633,0.0,46.399998,23450.973,12630.332,0.0,38902.71
1969,34,2.1134398,4.6889586,-10.307417,14.163417,3.3344443,7.65141,0.0,37.1,22972.078,14457.982,0.0,42208.965,19.296913,5.2891307,8.946752,29.923836,2.7648351,6.1353326,0.0,38.3,40107.277,12101.376,0.0,49679.85,24.378386,3.527942,16.423834,30.409254,1.6434784,4.985546,0.0,34.5,40970.01,8285.666,7368.1562,49608.934,7.056307,7.450594,-6.5990825,23.111334,2.9119568,6.7841907,0.0,33.4,23285.418,12788.072,0.0,38804.94
