year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,23,-8.392967,7.426695,-27.029749,4.0285835,0.75,1.8986837,0.0,13.2,26282.854,10922.474,0.0,41656.395,13.795869,7.4902925,-3.0339165,27.99317,3.2329671,5.541381,0.0,22.7,35702.93,15718.035,0.0,51264.29,19.897581,4.457617,9.486917,28.370249,2.9760869,6.008645,0.0,29.8,37641.375,13509.076,0.0,51259.79,0.88050824,8.812201,-17.242249,19.895248,2.7891304,6.410662,0.0,47.500004,19472.877,12342.105,0.0,38772.74
1971,28,-8.655096,7.6483684,-25.521414,5.957751,1.7355556,3.5140905,0.0,19.4,23963.262,12500.634,0.0,41849.31,13.295341,7.6878557,-6.933916,27.58692,2.5494506,5.7890587,0.0,35.300003,39468.105,13827.942,768.6824,51491.21,18.83334,3.7794402,9.536918,25.788996,3.0293484,5.578541,0.0,28.400002,39331.184,10413.465,5832.835,51415.473,2.3192763,9.418906,-16.75475,23.722336,2.0652175,4.363521,0.0,25.099998,19273.248,11980.645,0.0,36721.29
1972,26,-9.212763,8.293555,-32.60892,5.2785835,0.9230769,1.961693,0.0,9.6,25640.805,11201.097,0.0,42070.73,12.876637,7.429073,-3.781833,23.853582,2.7340658,6.1516433,0.0,39.8,36888.785,15326.055,0.0,51595.727,19.130802,4.3847036,6.5910835,28.280668,4.051087,6.6701484,0.0,29.699999,32967.71,15542.519,0.0,50127.9,-0.7279612,9.191571,-27.081835,16.478582,1.9641305,4.2878203,0.0,26.4,17616.156,12991.89,0.0,38195.07
1973,29,-3.1092873,7.816421,-24.013083,11.6265,1.9266667,5.0789013,0.0,37.6,22014.271,13176.977,0.0,40508.688,12.677873,6.904005,-3.671417,25.389,4.143956,7.556119,0.0,45.8,34038.402,16753.729,0.0,51375.715,20.057161,4.2811227,10.334834,28.011915,2.8771737,5.4269395,0.0,28.6,36800.13,12911.411,1963.1951,51250.816,2.2387054,9.715962,-23.958918,21.161917,1.7076086,3.4779441,0.0,16.0,19929.38,13006.31,0.0,36962.04
1974,,-5.6639633,7.5512447,-25.758917,8.530666,1.21,2.735577,0.0,13.6,24395.158,11620.735,0.0,41016.895,12.482385,5.944237,0.1598333,23.932749,3.675824,6.57854,0.0,32.399998,34604.254,16487.223,0.0,51491.727,19.505327,5.0938396,6.1244164,28.539001,1.827174,4.0183673,0.0,19.500002,40177.727,10112.656,0.0,51520.547,2.9619617,6.8048897,-8.475582,17.228582,1.2184783,3.0475693,0.0,22.100002,22596.332,11818.882,0.0,38189.234
1975,25.6,-6.673662,5.6396303,-21.565165,3.7035835,1.6544446,3.1889966,0.0,17.7,22165.82,11881.3,0.0,39678.555,12.613427,8.218433,-7.6193337,25.651499,3.2582417,6.273986,0.0,35.59999,34266.984,15523.139,0.0,51265.734,19.629353,5.1541486,9.2515,27.468164,2.6217391,5.9445944,0.0,31.0,38916.074,12444.752,0.0,51006.797,2.990336,9.3362875,-18.690166,22.103582,2.1336956,5.9714756,0.0,33.399998,23569.248,11500.559,0.0,37892.766
1976,33,-4.8414936,7.5762415,-24.758919,10.691085,1.8505496,5.0627475,0.0,36.3,23175.58,13062.467,0.0,40933.33,13.983299,6.0218835,1.1556667,26.838999,2.6241758,6.872721,0.0,39.999992,40703.69,12299.452,0.0,51480.152,20.097898,4.406086,9.676499,29.94525,1.2489132,3.86331,0.0,30.000002,42751.926,7961.536,8283.54,51128.598,-1.4122679,8.913567,-23.517248,18.405666,0.41521743,1.0549657,0.0,7.4,25260.236,8795.4,0.0,38728.176
1977,36.2,-6.1086383,9.539375,-27.07975,12.145249,1.7766668,3.8988347,0.0,20.4,24436.281,11316.564,0.0,41247.004,16.043259,6.005101,-1.7484999,25.516083,3.0626376,5.7082133,0.0,32.7,40325.44,12062.561,0.0,51492.062,19.508791,3.7543855,12.522332,28.539001,3.6684785,6.532975,0.0,33.1,36624.54,13481.7295,0.0,51143.258,0.38447112,9.251125,-22.156832,12.205666,1.6402175,3.0408595,0.0,16.6,20371.697,12993.591,0.0,38069.918
1978,33.3,-8.83688,7.109245,-22.875586,13.797333,0.56666666,1.1190886,0.0,6.8999996,26938.514,11370.804,0.0,41555.395,13.338178,6.409598,-0.51725,24.763998,3.7758238,7.6203866,0.0,37.199993,36388.926,13582.291,0.0,51353.016,20.265608,3.6453457,11.386916,26.401499,5.1119566,10.381385,0.0,52.8,36943.824,14139.624,0.0,50922.934,0.24977896,9.508762,-19.717249,15.399417,1.3141304,3.5015094,0.0,27.400002,21390.467,11842.921,0.0,37457.562
1979,33,-9.3685,8.374481,-26.308922,7.6369166,1.6699998,3.5151823,0.0,19.500002,22695.062,12760.031,0.0,41169.773,12.1305065,7.024441,-8.09225,25.222334,2.7483518,5.28754,0.0,30.899998,35911.785,15078.972,344.66788,51491.03,19.972942,3.4872513,12.255668,28.182749,2.3032608,5.484553,0.0,37.7,38307.14,11474.265,462.9359,51185.508,2.1425326,6.5349493,-13.386001,18.955664,2.2663043,6.804124,0.0,51.099995,21401.982,11367.66,0.0,36638.85
1980,35,-7.513655,7.1317835,-22.729752,7.278584,1.2362638,2.9253118,0.0,18.2,22867.838,12341.895,0.0,41299.566,14.115991,6.8885255,-0.99433357,25.493166,2.859341,6.2922344,0.0,29.6,37899.273,13984.858,0.0,51469.22,20.598692,4.2698603,8.936916,28.824417,3.6347826,5.936244,0.0,27.199997,37195.867,12978.206,0.0,51133.094,0.8030399,7.5891523,-17.994333,16.286917,0.98369557,3.04978,0.0,25.599995,20886.494,11828.335,0.0,37485.11
1981,37,-3.7009535,8.258161,-23.275583,14.334834,1.0733333,2.9324145,0.0,18.999998,27066.295,11141.36,0.0,41068.24,13.742,5.2958364,1.8744167,23.936918,4.278022,8.118933,0.0,48.6,36015.18,14420.15,0.0,51491.84,19.251114,3.6696405,9.291083,26.238998,3.529348,7.1754856,0.0,43.1,34906.055,14078.258,0.0,51366.68,1.2554402,8.021754,-18.327665,15.391083,1.7597826,3.7069004,0.0,18.099998,20905.197,12414.832,0.0,37368.336
1982,32,-8.777735,8.7911215,-30.756834,8.609834,1.4211112,3.3347507,0.0,19.1,24777.566,11422.956,0.0,41669.2,12.616725,6.4663877,-6.356833,21.934832,4.237363,7.707408,0.0,38.699997,35161.484,15274.138,0.0,51265.367,19.549665,4.276393,9.093166,27.361916,4.5815215,10.453464,0.0,68.999985,35449.344,14263.754,0.0,51292.277,2.5838141,7.436441,-13.65475,19.243164,3.0391304,7.207687,0.0,47.299995,18533.52,13209.756,0.0,36913.64
