year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,32,-1.9692317,8.117915,-25.522333,13.642251,0.4411111,1.1385871,0.0,6.8999996,27914.32,11161.544,0.0,41401.36,18.030666,6.9260077,-2.978584,29.867254,4.159341,9.147786,0.0,57.899998,38830.445,13244.902,0.0,49830.78,24.3444,5.1106386,12.061,32.079754,2.2717392,6.249049,0.0,35.699997,39582.5,13073.422,0.0,49670.984,5.770579,6.759479,-7.505667,22.513084,2.298913,6.8490553,0.0,44.6,24675.396,12114.639,0.0,38659.062
1971,31,-3.8544166,8.693912,-25.428583,16.413084,1.5388889,5.07146,0.0,33.3,27241.684,11776.501,0.0,40447.71,18.027256,6.6645517,3.4672499,30.694336,2.6318681,6.062487,0.0,33.100002,40783.79,10426.59,1194.6913,49941.76,23.241753,4.09936,11.183917,29.275583,1.780435,4.9339204,0.0,28.000002,41807.047,8497.579,0.0,49812.203,7.670534,8.029325,-5.247333,25.748499,2.2815216,6.454727,0.0,43.8,23393.604,12805.067,0.0,38521.766
1972,35,-0.71745706,8.177709,-19.378584,15.3485,0.96703297,2.2453437,0.0,12.3,28933.715,10189.414,0.0,40085.83,17.132292,6.3162265,0.8297499,28.035997,3.4967034,7.400037,0.0,30.800001,38253.676,14115.533,0.0,49886.43,22.810297,4.189371,10.379748,29.600584,3.8010867,7.998935,0.0,44.899998,36461.434,12372.182,1147.8317,49089.863,3.5622222,8.610709,-15.924417,22.833918,2.401087,6.042696,0.0,37.1,21170.006,12711.993,0.0,38692.293
1973,31,1.2221109,7.5231905,-17.922337,14.798501,4.125556,8.149551,0.0,38.400005,20603.08,13728.222,0.0,39817.414,16.4985,6.5734787,-1.1452501,29.35475,3.4417584,6.760228,0.0,33.300003,36660.36,16249.698,0.0,49926.72,23.17214,3.8964636,11.202666,29.683914,4.6576085,9.296156,0.0,45.6,36365.72,14786.936,0.0,49593.043,6.4854326,8.832541,-17.516085,23.538084,2.230435,6.6178036,0.0,40.399998,24401.021,12177.899,0.0,38063.594
1974,26,0.9487084,8.631452,-23.480661,17.994333,1.0855556,2.6056793,0.0,15.200002,26204.637,11915.281,0.0,40664.84,17.259169,5.1159954,3.019333,29.267256,4.0296702,9.033831,0.0,54.59999,38542.883,11851.356,0.0,49936.566,22.767162,5.1710625,12.57975,31.761,2.0282607,5.16153,0.0,22.9,39279.47,11783.358,0.0,49945.42,6.7645774,6.9939003,-7.5869164,19.45475,2.029348,4.8954687,0.0,30.700003,25299.986,11254.244,0.0,38742.098
1975,30.7,-1.7659215,5.7165036,-17.286917,13.333917,1.8111111,4.1504693,0.0,22.000004,24831.889,12616.621,0.0,41615.76,17.258986,6.8754163,-4.097334,26.461,3.5428572,6.37572,0.0,32.1,38144.004,12388.976,0.0,49431.195,23.314941,5.244735,11.221417,30.996416,2.648913,7.122283,0.0,34.999996,39902.03,10916.602,2182.148,49379.867,7.8490434,8.459005,-10.753582,25.169334,1.5043478,4.060447,0.0,22.7,24984.494,12183.544,0.0,38584.76
1976,25.9,2.5778959,6.4516273,-15.209832,14.944335,1.668132,5.4320827,0.0,34.899994,27969.398,10539.266,0.0,41460.695,16.916174,5.1876464,6.31725,27.615166,3.6186814,7.135824,0.0,29.500004,40009.45,11457.824,4989.75,49849.684,24.119919,4.041683,11.910999,29.87142,1.375,3.9789455,0.0,30.2,40576.69,9927.307,2506.354,49707.99,3.765574,7.5052943,-15.199416,22.154749,0.70108694,2.2418838,0.0,13.8,27704.312,9864.444,0.0,38687.7
1977,34.9,-0.7018935,9.3143215,-19.818169,15.963082,1.7722223,4.9985394,0.0,31.299997,26776.086,11736.708,0.0,41338.836,19.614708,5.0702696,2.6818333,28.304749,3.865934,6.851687,0.0,34.4,37935.29,11523.454,6099.1304,49883.688,23.616955,3.8192205,15.940169,30.19433,4.733696,10.137107,0.0,63.599995,38656.176,10843.84,973.4547,49829.95,5.5610905,7.857869,-14.603584,19.169334,2.3826084,7.0720716,0.0,44.6,24121.604,12340.734,0.0,38162.24
1978,32.8,-5.415551,7.7987,-19.99525,18.169336,1.2211112,3.4975915,0.0,27.500002,25722.756,12315.94,0.0,41733.36,16.985567,6.261829,5.7964168,29.792252,4.1769233,7.82347,0.0,37.399998,35251.99,14884.051,0.0,49624.1,24.111816,3.8870873,14.411,30.12142,2.891304,6.283043,0.0,35.800003,41109.05,8344.925,687.49506,49391.41,5.828506,7.5025196,-11.084834,19.929749,1.5065216,3.344663,0.0,15.700001,25822.238,11588.511,0.0,38741.547
1979,36.5,-5.406824,9.603246,-21.393164,16.350586,1.9022222,5.5302024,0.0,38.8,24724.902,12354.006,0.0,40423.297,16.729816,6.230354,-0.14733332,26.698502,3.341758,7.1367755,0.0,31.800001,38405.45,13686.715,0.0,49754.883,23.023792,3.4317272,14.813084,29.008913,2.9793475,7.7681594,0.0,44.200005,40822.133,8723.723,5699.592,49727.33,6.763467,7.186871,-9.799417,24.675583,2.4304347,8.305389,0.0,58.899994,26411.035,10927.263,0.0,38663.27
1980,31.2,-1.3734324,6.654241,-18.313997,12.290168,2.4692311,5.046312,0.0,27.8,21238.992,13993.539,0.0,39861.656,17.441174,6.1651306,3.7109997,30.27767,3.8274724,11.27952,0.0,79.5,39261.793,11936.352,3600.0,49983.008,25.315527,4.7059064,12.50475,33.688087,3.0195653,6.4948034,0.0,27.3,41513.324,8362.196,378.00934,49417.617,6.3897142,7.6803665,-13.016086,21.106836,1.653261,5.496102,0.0,33.9,26951.951,10920.648,0.0,38601.46
1981,36.4,1.9012315,7.571373,-19.999414,17.515165,0.8422223,3.1117747,0.0,25.2,30009.56,9954.16,0.0,41760.16,18.56819,4.8913407,8.175583,27.95267,4.101099,8.427,0.0,41.7,36355.445,13907.604,0.0,49839.83,22.523432,3.475523,12.0547495,29.569334,4.052174,9.497352,0.0,49.100006,37414.99,11008.973,3035.7617,49119.324,5.9545226,8.13189,-20.624418,21.544334,1.9282609,5.2137246,0.0,30.8,21831.576,12820.058,0.0,38517.523
1982,32.1,-2.8355505,9.409716,-24.188997,14.460999,1.561111,3.6061647,0.0,25.199999,24823.584,13233.097,0.0,41818.17,15.841197,5.888464,-2.0348337,25.375586,4.7285714,9.146648,0.0,49.100002,32707.72,14249.083,0.0,49700.594,22.650562,4.0851483,11.977668,30.535997,4.225,8.13282,0.0,30.8,36571.023,12924.416,75.45948,49210.434,6.5846863,7.809641,-11.939,21.92975,2.4923913,5.8043795,0.0,34.7,22512.387,12854.852,0.0,38228.32
1983,31.2,1.717088,5.8293943,-15.305668,15.633919,1.8299999,4.133841,0.0,20.899998,21947.535,12952.833,0.0,39600.0,14.730918,6.6892476,2.1755836,26.444334,4.4747252,8.072885,0.0,53.300003,32412.795,16717.129,0.0,49424.96,25.83172,4.7546244,9.852667,33.077667,1.5184783,4.5405846,0.0,29.0,42769.203,6242.173,17902.004,48938.25,3.1763308,12.792518,-27.620253,24.663084,3.279348,7.947513,0.0,44.699993,19479.324,13910.261,0.0,38427.79
1984,28.3,0.07574359,5.7828956,-17.230665,12.100582,1.8516483,4.7918534,0.0,29.199999,24580.79,12114.569,0.0,39610.426,16.16368,6.2307267,5.2151666,26.908913,7.007692,14.951455,0.0,101.69999,35141.367,16285.336,0.0,49756.97,23.459663,5.2152076,6.8485007,31.55892,1.4434781,4.3565865,0.0,32.899998,41675.8,9022.609,3892.3987,49209.773,6.889941,6.912752,-9.1119175,19.098501,2.3869567,4.6201715,0.0,21.1,22153.346,12327.321,0.0,38678.594
1985,38.6,-1.3989075,9.13368,-21.336916,17.044334,1.5088887,3.4413102,0.0,18.199999,26920.09,12228.816,0.0,40774.57,17.810818,5.1493845,-1.0598332,26.894335,3.2428572,6.6045465,0.0,42.2,39415.883,10519.585,936.018,49928.742,22.406788,5.02152,6.2151675,30.373503,3.9619565,8.626663,0.0,40.100002,36446.348,13042.758,0.0,49440.73,2.6467788,10.255837,-19.578585,19.32975,2.6586957,6.935324,0.0,48.8,20897.557,13432.815,0.0,38703.37
1986,37.1,2.7192175,6.9732533,-12.672336,20.281836,1.1511111,3.6921792,0.0,26.799997,27788.209,11099.859,0.0,41572.24,18.686275,5.7239227,2.7735002,29.0235,3.9967031,7.885957,0.0,45.399994,39675.84,10648.83,3600.0,49879.81,23.381653,3.3492105,13.000584,30.261002,5.5641303,12.698425,0.0,81.0,37236.26,12725.04,0.0,49580.637,5.5342336,6.7616177,-10.951501,19.713083,2.2315218,5.4576077,0.0,28.4,21723.797,13312.877,0.0,37726.68
1987,35.1,2.83262,5.879847,-12.139,16.585999,2.018889,5.2519636,0.0,27.3,25910.66,12364.55,0.0,41621.17,19.125607,6.1801753,0.9172501,28.381834,3.8901098,7.393376,0.0,41.699997,38142.047,14357.796,0.0,49800.92,23.213148,4.408089,14.856834,31.54642,3.8326085,9.593772,0.0,54.799995,39683.195,10000.841,888.44696,49695.29,6.4353213,6.326906,-11.284833,18.904753,2.0597825,4.852824,0.0,26.199999,22725.818,13693.373,0.0,38849.18
1988,23.8,-0.4655797,7.9831285,-21.1765,16.236002,0.8362637,2.3685682,0.0,13.099999,29209.574,10244.24,0.0,41517.137,19.619493,6.8377237,6.9964175,32.683918,1.6120878,4.1862164,0.0,26.1,42308.15,10809.201,0.0,50028.27,24.901464,4.134974,16.144335,32.311,2.7597823,6.1312933,0.0,34.899998,41195.78,9187.983,114.27876,49450.902,6.5421143,5.990624,-7.0681667,19.886,0.8380436,2.5902965,0.0,14.900001,27172.936,9389.634,0.0,38301.9
1989,23.8,0.5953518,7.6455965,-17.943163,20.121418,1.0222223,3.1323533,0.0,22.500002,26231.62,12526.842,0.0,40507.766,17.63559,5.879732,1.8068333,27.598495,2.7417583,5.433028,0.0,26.6,38582.53,10813.748,2665.2874,49811.4,22.768927,4.95609,9.448501,30.788086,3.930435,9.537418,0.0,61.799995,38050.72,11844.88,3205.2825,49652.883,4.5426583,10.918865,-30.509836,23.663086,0.9945652,2.9848468,0.0,18.100002,26451.97,10693.825,0.0,38700.45
1990,,3.2950046,5.7271953,-12.078584,18.165169,3.1777775,6.631129,0.0,39.000004,25468.877,12714.789,0.0,40918.31,16.842157,6.742946,3.0360003,29.725586,5.0802197,9.995991,0.0,53.3,34733.484,14419.44,0.0,49826.707,23.651327,4.1573544,12.004748,30.708916,2.6,5.4922523,0.0,27.8,39159.613,10950.791,2780.5747,49655.945,7.1984553,8.961777,-17.786913,24.10475,1.9173914,6.579866,0.0,45.199997,24792.645,12718.689,0.0,38568.062
1991,,1.6364629,7.5115666,-15.024418,22.058916,1.4955556,4.015669,0.0,20.300001,28120.084,11577.93,0.0,41596.562,19.477873,5.559297,8.788083,29.129751,3.9164839,6.3367233,0.0,28.499998,35413.336,14588.635,0.0,49832.164,23.859577,4.6213613,9.348499,32.177666,2.0521739,4.3353515,0.0,24.3,40457.953,8816.535,12587.461,49665.64,6.0808363,8.100119,-8.836917,23.592253,2.4293478,6.657071,0.0,51.399994,21882.248,14052.974,0.0,37774.746
1992,,4.187008,4.9234447,-7.9931664,16.188082,2.103297,4.5684047,0.0,31.0,24432.682,13166.512,0.0,40003.688,16.353445,5.566985,1.5422502,25.446419,2.945055,6.2516003,0.0,33.4,36149.18,14551.93,0.0,49507.516,21.191956,3.5505545,10.671416,28.119337,5.588043,9.7011595,0.0,45.2,37824.86,10405.48,0.0,48816.61,5.654025,7.246216,-10.624417,21.17975,2.9228263,7.412673,0.0,46.600002,20524.512,14371.418,0.0,38505.5
1993,,-1.4102268,6.41929,-15.705667,14.911002,2.0222223,4.957749,0.0,33.0,23481.744,14360.82,0.0,40761.83,16.108276,6.405375,1.2255833,26.85475,6.2890115,10.445919,0.0,61.0,32693.352,16494.318,0.0,49622.85,22.150448,4.763271,10.152668,29.033915,6.970652,11.768346,0.0,72.99999,35548.742,12164.206,462.6963,47355.9,5.562903,6.9913416,-9.968166,22.467249,1.1347826,3.6999385,0.0,25.4,25063.723,11088.139,0.0,38283.28
1994,,-0.46251857,7.986332,-17.403584,18.383917,0.83777773,2.2175791,0.0,14.999999,27230.94,12261.979,0.0,41824.375,17.892387,6.6195755,2.3943331,28.898499,3.5274725,8.077541,0.0,41.6,36920.004,14561.798,549.0768,49770.125,22.685593,3.8101585,8.971416,29.077667,3.0445657,6.956669,0.0,35.8,40156.246,9623.355,666.51764,49384.42,7.8445144,6.7088747,-7.447333,23.279753,2.0880435,6.2429714,0.0,49.4,24478.63,12264.999,0.0,38648.613
1995,,1.275514,7.7096806,-16.439001,15.12975,1.4844445,4.3621182,0.0,30.200005,26515.639,12279.214,0.0,40258.17,15.684534,5.422432,3.9693334,25.900583,5.776923,8.944471,0.0,43.799995,30281.15,17001.467,0.0,49805.758,23.353231,4.9596257,6.896416,30.154747,3.202174,8.637815,0.0,60.000004,39032.375,11528.31,0.0,48992.184,5.4782786,7.671368,-14.026501,21.97142,0.8608695,2.204439,0.0,12.1,24129.69,12460.959,0.0,38199.02
1996,,-1.7401218,9.0473585,-29.066086,14.442248,1.1813186,2.974892,0.0,16.600002,28909.467,10644.761,0.0,41018.582,17.336046,6.63194,2.4610002,28.981836,4.757143,9.670862,0.0,50.4,36272.832,13965.195,227.15536,49650.293,21.706314,3.7512162,11.479749,30.146418,4.3108697,7.532778,0.0,30.499998,37815.543,11599.783,472.7963,49365.793,4.539352,8.278852,-14.861917,20.754751,2.1032608,6.9765143,0.0,38.4,24841.035,12176.988,0.0,38583.85
1997,,0.23977314,8.082682,-21.10983,14.842251,1.6733333,5.5355196,0.0,38.7,26023.16,12563.119,0.0,41944.555,15.385498,7.477915,-3.7744162,28.979753,2.9681315,6.5412006,0.0,40.2,38053.848,13827.35,0.0,49816.57,23.672525,3.8084018,15.096417,31.423498,2.8423917,8.709428,0.0,66.600006,39186.574,11282.564,0.0,49614.58,5.7398043,8.10828,-5.8619175,25.925585,2.2326088,6.768156,0.0,43.1,23044.021,12557.182,0.0,38614.96
1998,,1.2661387,6.808176,-20.409834,19.221415,1.9,5.8059826,0.0,39.499996,21283.713,13744.188,0.0,39855.84,17.92952,6.105192,6.411,29.18392,4.851648,8.662863,0.0,38.1,37770.996,13486.254,0.0,49814.695,24.094946,2.9548998,14.3984995,30.056831,3.5467393,7.7570305,0.0,37.2,38363.93,10919.829,0.0,49495.387,7.7562222,7.5717134,-11.789001,21.019333,3.6978261,10.029396,0.0,48.9,24529.959,11940.278,0.0,37653.875
1999,,1.3354443,6.842763,-18.724417,14.840167,1.1377778,2.9136093,0.0,22.5,25252.238,12229.268,0.0,41523.945,17.067778,5.0916834,3.7818334,26.750586,5.2945056,10.470195,0.0,50.600002,32460.418,15671.847,0.0,49525.14,23.896687,4.8223114,11.156833,31.854752,1.6271739,5.1698427,0.0,35.1,41261.156,8009.9385,0.0,49632.82,8.437879,7.266519,-12.693169,21.021418,1.0163044,3.672508,0.0,24.300001,29383.777,8912.598,0.0,38751.12
2000,,3.9292693,6.04415,-7.361917,18.2985,1.1428572,2.9003885,0.0,16.6,28102.316,10470.599,0.0,41318.54,18.403833,5.4762535,4.56725,28.72975,2.859341,7.7163315,0.0,59.2,37729.67,12752.258,902.9384,49686.883,24.392838,4.3383365,9.231833,30.106834,2.6358697,7.1052465,0.0,45.9,40992.074,9672.069,0.0,49410.363,2.8713715,11.799205,-20.778584,22.685999,1.6663043,4.9713745,0.0,38.5,24663.016,10474.981,0.0,38663.18
2001,,-1.8400414,5.8569946,-18.613997,9.519334,2.452222,6.2005115,0.0,34.600002,25217.367,12748.634,0.0,41009.977,18.377254,5.0684953,5.0464168,27.258913,4.567033,9.136277,0.0,59.299995,36390.652,15477.171,0.0,49995.35,23.394356,4.534757,10.877667,30.660995,3.9956522,9.156141,0.0,51.000008,39258.76,10444.622,1345.2546,49036.09,8.589827,6.926834,-8.2515,19.561,1.5043478,3.7903264,0.0,17.3,26483.074,10525.756,0.0,38697.566
2002,,1.1971574,5.5623674,-13.191082,11.723499,1.4133333,3.746975,0.0,16.4,29030.703,11126.457,0.0,41097.64,17.792664,6.432585,1.2755834,27.656837,3.7252748,7.6601214,0.0,36.800003,37806.242,13682.634,0.0,49873.383,24.77642,3.8196561,13.617251,31.28392,1.4532608,3.960893,0.0,24.900002,41792.492,7368.211,13203.875,49602.848,5.438355,6.0552597,-5.43275,24.831835,1.1347827,3.1044254,0.0,14.699999,24441.082,12000.682,0.0,38391.367
2003,,-0.21381474,7.1832314,-15.568166,16.060999,0.9222223,2.7810264,0.0,16.5,28181.58,10548.079,0.0,41667.17,16.960863,5.440689,0.9193333,28.706833,3.5494509,6.3484273,0.0,29.099998,36354.23,14509.231,0.0,49928.23,24.216818,5.344847,10.319333,32.381832,1.9597826,8.040722,0.0,68.200005,41271.29,10879.997,0.0,49774.242,6.6556106,7.3270335,-11.043168,20.381834,1.645652,4.2577252,0.0,18.9,25895.104,10995.299,0.0,38830.688
2004,,0.17977288,8.482751,-18.649416,18.331833,1.8879123,4.508186,0.0,26.100002,25408.129,12656.827,0.0,39863.074,17.839916,5.412309,5.615166,26.060999,4.0857143,8.042659,0.0,32.4,38545.344,11878.142,3600.0,49987.35,22.308464,3.0387726,14.754752,28.881834,2.4152172,5.5246286,0.0,29.099998,39794.734,8445.543,7450.102,49184.24,7.7138762,7.25383,-11.753583,22.373499,1.025,2.7584286,0.0,18.0,23641.264,12251.345,0.0,38366.438
2005,,1.4633148,6.362006,-16.855665,15.958917,1.5666667,4.030167,0.0,22.800003,25787.314,13357.719,0.0,41374.086,18.917158,6.1361294,7.0422497,30.392248,2.301099,4.9715524,0.0,27.100002,40030.617,11164.823,3490.696,49928.176,24.849316,3.8749142,12.213084,32.736,2.247826,7.8725348,0.0,64.7,40711.082,10034.457,0.0,49357.656,6.398726,8.860682,-17.153584,25.925583,1.3554348,3.8454587,0.0,25.000002,26560.172,10341.531,0.0,37781.93
2006,,3.4018564,5.0764565,-13.426502,15.796417,1.4255556,3.8257425,0.0,25.8,28039.748,10972.547,0.0,41154.918,19.63204,5.7347794,7.8339157,29.500586,2.3549452,5.74685,0.0,32.2,40056.836,11842.586,0.0,49848.438,23.776129,5.066703,12.027667,33.011,2.9728258,6.6310315,0.0,32.4,39219.04,11233.363,1171.6573,49820.336,7.4695144,6.601462,-6.593167,26.410997,1.4358695,4.3578296,0.0,27.8,25057.695,12027.043,0.0,38721.15
2007,,1.4713472,8.883828,-14.866084,20.52975,1.8322221,4.2432184,0.0,20.199999,27442.7,10787.217,0.0,40106.266,18.037558,7.0489416,-1.8556668,27.99642,2.8615384,6.5825486,0.0,39.999992,36888.105,14568.039,0.0,49855.277,25.31682,4.14348,12.142251,31.719336,2.0141304,6.184767,0.0,44.7,41059.45,9129.926,83.98029,49587.812,6.3459406,9.041459,-11.451501,26.027666,2.3,5.751407,0.0,31.2,25649.547,11781.85,0.0,38740.92
