year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,,4.57619,5.696582,-12.940918,13.904916,3.0211115,6.188309,0.0,32.3,27627.705,12341.4,0.0,40395.69,19.847227,4.8059726,8.627833,28.69658,2.024176,5.2269464,0.0,30.1,39387.484,10901.6,827.2254,47862.28,24.458477,2.607189,15.163253,29.967417,3.431522,8.129285,0.0,59.000004,38043.258,10839.592,0.0,47055.492,11.0820675,6.3462987,-3.2013333,21.715332,3.346739,7.8210115,0.0,36.69999,25901.896,12058.506,0.0,38932.848
1971,,5.043806,5.3305364,-4.982583,16.129915,3.5799997,6.793159,0.0,34.199993,26940.123,13339.491,0.0,41452.93,18.636007,5.1711164,6.1924167,27.282,2.5153844,5.762309,0.0,30.5,38712.848,12903.607,0.0,47722.8,23.17523,1.6904261,18.542418,26.994501,3.7065217,7.5980744,0.0,50.000004,36220.754,10531.196,0.0,47185.992,12.388115,6.29406,-0.62008333,22.909082,3.3228261,7.889959,0.0,47.2,24395.508,12662.458,0.0,38185.047
1972,21,6.790242,5.3113,-8.865918,18.336168,3.0725276,5.3818636,0.0,24.299997,26330.164,13212.106,0.0,40474.758,17.59592,4.336022,4.042416,24.748667,3.3043954,9.909074,0.0,80.899994,38394.14,12058.95,0.0,48223.63,23.603855,2.3315659,18.354916,29.22367,2.5565217,5.6603165,0.0,40.899998,38127.15,10624.428,80.34084,47267.55,10.381026,5.1750965,-3.8492498,21.073666,2.9989133,5.790092,0.0,28.000004,22829.451,13968.08,0.0,38976.31
1973,,6.660797,6.316741,-7.1096663,20.098665,3.6288886,7.4446006,0.0,50.8,24847.146,13918.369,0.0,40026.523,18.493332,5.1412106,5.8069997,26.217417,3.1626372,6.209359,0.0,37.899994,36821.914,12439.879,328.51535,47606.484,24.11461,1.9759191,17.5945,27.450752,2.7880435,6.5338655,0.0,46.600002,38971.875,7475.879,9916.511,46880.383,11.523123,6.4303646,-6.37425,22.621584,2.8445654,5.853756,0.0,25.500002,27180.307,11322.548,0.0,38371.65
1974,22,9.447325,4.9735165,-1.5721666,19.706999,3.4711113,6.4526324,0.0,30.1,24317.547,15104.583,0.0,40983.023,18.39315,4.1204123,7.9653335,26.798668,3.365934,6.3576245,0.0,31.7,38010.06,11693.301,0.0,47745.676,22.35605,3.0096796,11.465335,26.563253,4.026087,6.9981456,0.0,48.100006,33165.79,12829.682,0.0,47054.656,10.0875025,5.4757195,0.025749972,20.14867,1.954348,4.9050193,0.0,35.500004,27269.443,12328.6,0.0,39023.723
1975,,7.566676,4.6621003,-0.55133337,17.61325,4.732222,10.053092,0.0,61.0,23872.16,14457.3545,0.0,40214.324,18.987886,5.2642236,5.4965835,26.052834,3.1043956,6.2197347,0.0,29.600002,37515.105,12039.937,859.15924,47742.156,23.549803,2.8791976,14.888249,28.027832,3.9999998,7.3355374,0.0,34.3,36289.77,12466.88,0.0,47160.03,11.372897,6.259099,-3.7346659,20.809084,2.0728261,6.022378,0.0,45.4,28054.195,11265.7705,0.0,38103.652
1976,,8.340563,6.0650935,-4.64925,19.87575,2.2934067,7.0573974,0.0,53.600006,28935.83,11150.245,0.0,40727.56,18.716066,4.104835,9.698667,24.5445,3.7340662,7.260995,0.0,33.1,37407.652,12342.905,0.0,47975.305,22.942144,2.5918326,17.732002,27.87575,2.273913,4.3497095,0.0,21.199999,37840.664,11347.108,0.0,47160.137,7.486077,5.467946,-3.193,20.146585,3.5423913,8.548828,0.0,50.900005,25774.111,12627.916,0.0,38287.633
1977,17,4.7907495,7.0017495,-9.597165,19.342417,2.23,4.8847723,0.0,21.7,28508.482,11841.479,0.0,40529.97,20.644434,4.319319,8.3945,27.909086,1.7472527,3.3263373,0.0,19.900002,39445.016,10668.129,0.0,48223.22,25.542982,3.2240458,17.727835,32.021587,3.029348,8.7559395,0.0,67.49999,38281.688,10517.25,4626.482,47057.996,10.032951,6.271234,-2.6950834,23.8945,3.3097825,7.8155813,0.0,50.100006,22927.363,13268.052,0.0,38627.758
1978,24,3.3404725,5.1919193,-6.4617496,16.35492,3.6122222,7.458301,0.0,35.8,26311.46,13681.993,0.0,41219.867,19.383923,4.894947,8.617417,29.792418,3.3340662,7.9032936,0.0,44.999996,38573.93,12132.56,0.0,47866.594,24.271673,2.1926992,17.704916,28.554918,3.3586957,5.7586846,0.0,41.1,36284.13,10658.848,0.0,47058.004,11.502425,5.2973614,-0.9638334,19.89242,2.2130435,5.8664665,0.0,32.0,27157.818,11385.234,0.0,38145.746
1979,,4.925588,6.058836,-8.995084,16.682001,3.3344445,6.875574,0.0,28.800001,26550.63,13426.594,0.0,40634.543,18.078337,3.6908555,8.6945,24.384085,4.0868134,8.105254,0.0,46.899994,36349.117,12859.738,0.0,47866.344,22.82992,2.7226105,14.815331,28.831999,4.2119565,9.757127,0.0,82.80001,33035.594,14602.169,0.0,47373.742,10.464314,5.4567037,-0.6763335,20.971582,2.5173914,7.4478793,0.0,48.000004,28787.596,9868.072,0.0,38592.37
