year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,17,-7.951681,7.54036,-28.163422,2.0782502,1.0266666,2.854242,0.0,19.700003,25606.66,11397.246,0.0,41321.973,14.644571,7.9394703,-3.3175833,31.140747,2.5516484,4.9650416,0.0,25.2,39316.34,13691.414,0.0,51836.375,22.73287,5.247944,8.47825,31.54075,0.85217386,1.7440308,0.0,10.499999,41093.74,10174.418,0.0,51542.863,0.45435938,9.184008,-20.4155,21.43033,1.4706522,3.6854494,0.0,19.900002,22906.555,11878.232,0.0,38846.203
1971,,-7.7450833,8.050462,-25.503004,11.413666,0.99444443,3.9031343,0.0,34.899994,24911.62,11505.562,0.0,41528.25,15.357348,7.156923,-1.6905001,31.036581,2.2054944,4.873702,0.0,26.300001,39979.27,12320.903,0.0,51836.69,21.143126,4.955254,8.788668,29.842833,1.5336957,3.8420541,0.0,20.7,40800.156,11105.067,483.7676,51673.09,1.2483358,9.210027,-19.980083,20.394917,2.5021741,6.719808,0.0,41.2,21522.2,12309.715,0.0,38303.734
1972,,-7.85664,9.123984,-30.188417,8.292834,0.6813187,1.5388966,0.0,9.799999,28406.34,8943.007,476.9443,41699.918,14.098831,6.610672,-0.29258326,25.253248,3.6978025,6.4127994,0.0,27.500002,35156.727,15712.801,0.0,51835.56,20.718151,4.5096107,9.049085,29.592833,1.6108696,4.1913433,0.0,25.100006,38806.53,10681.139,816.15594,51318.75,-0.26543227,9.673087,-24.85092,17.788668,1.7228261,4.9084387,0.0,34.4,21041.287,12399.711,0.0,38793.984
1973,19,-3.0972362,7.9568334,-23.752996,10.213666,1.1522224,2.6750715,0.0,15.300001,23822.055,12662.66,0.0,39944.133,14.538483,6.5814548,-0.10300002,27.58658,1.9516482,5.937589,0.0,45.599995,41010.87,13086.278,0.0,51834.42,22.71319,5.490429,9.06575,32.005333,1.976087,5.349466,0.0,36.0,37810.61,14477.273,0.0,51579.29,1.8267326,9.579048,-25.973837,18.982414,1.5989131,5.1682353,0.0,34.999996,23451.258,11244.977,0.0,38383.492
1974,,-3.49175,8.155146,-27.296751,8.4845,0.8033333,2.239204,0.0,13.100001,27915.232,9456.296,260.0862,41439.094,14.265612,5.963494,1.7199167,26.709497,2.9175825,6.401885,0.0,35.3,39111.848,14205.304,0.0,51834.957,21.887331,5.5028105,6.7844996,31.907417,0.91195655,2.578348,0.0,16.7,42320.0,8800.107,5855.725,51664.492,4.193083,7.1117287,-8.534249,19.569916,0.40652177,1.245105,0.0,7.5000005,26739.377,9248.02,0.0,38844.727
1975,,-6.175153,5.4484377,-20.755083,7.467834,1.4399999,3.4514549,0.0,20.0,23145.26,12592.455,0.0,40685.492,13.461402,7.9488955,-11.480084,26.87825,4.0857143,8.4428215,0.0,61.199997,36216.668,14374.242,0.0,51833.547,22.140116,5.4648285,9.547,31.659498,1.3358696,3.7841947,0.0,24.900003,42479.836,9897.729,0.0,51669.676,2.4393911,10.068084,-20.021751,21.361582,0.9413043,3.2095034,0.0,21.3,23490.312,12789.334,0.0,38768.027
1976,5.3,-3.2650194,7.999473,-25.784256,11.303249,0.98351645,3.0891302,0.0,24.199999,27231.008,10433.622,0.0,42051.637,16.264856,6.2355447,5.1011662,29.213661,1.5846155,6.462661,0.0,58.5,40783.89,12449.087,0.0,51831.37,23.174377,5.1297345,8.205334,33.090748,1.2478261,3.7358816,0.0,19.6,42008.227,7661.0664,12923.925,51592.207,1.048585,8.089651,-17.019667,21.809496,0.36413047,1.1283151,0.0,8.9,26997.318,9123.531,0.0,38789.164
1977,20,-4.0064263,7.60373,-21.705084,12.059499,2.0911112,6.2031646,0.0,34.8,25941.336,10691.186,0.0,40757.703,17.138002,5.8701596,0.03033343,26.549086,3.246154,7.5490737,0.0,38.399998,39719.3,13070.924,0.0,51829.79,21.115816,4.0875254,12.819916,31.969917,4.390217,9.807791,0.0,52.6,37662.863,12723.969,0.0,51657.203,1.5181276,8.517623,-20.919664,15.882419,1.9445652,5.7625422,0.0,35.699997,22500.162,11564.874,0.0,38562.76
1978,,-9.455314,8.683286,-25.057167,12.976167,0.6322222,1.4043134,0.0,8.6,25704.113,11504.745,0.0,41655.562,14.09187,6.683541,1.1136668,28.028252,4.1604395,8.313441,0.0,54.0,35163.81,16395.148,95.79094,51812.418,22.540207,4.28115,11.774083,29.961586,2.4206524,7.4992976,0.0,55.7,41085.984,9405.798,7363.674,51622.86,2.1152291,9.330444,-20.6905,18.211584,0.4423913,1.0932593,0.0,7.0999994,25425.252,10234.571,0.0,38844.273
1979,,-10.292467,8.6640625,-26.590502,7.674083,1.4288888,3.819355,0.0,29.100002,23603.086,12629.573,0.0,40974.156,13.111308,7.263374,-5.4800835,28.5595,3.1923077,7.7600574,0.0,52.299995,38582.754,14223.761,0.0,51835.266,21.516699,3.4959,12.746999,28.165749,2.6021743,7.0244155,0.0,35.300003,40576.727,8383.803,873.81775,51591.668,3.043875,6.7608776,-14.95925,17.980333,1.072826,4.751728,0.0,36.599995,24564.84,11489.954,0.0,38876.695
