year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-1.5831387,6.98102,-20.145082,12.000749,1.7911111,3.2403579,0.0,18.5,22830.936,14038.625,0.0,41278.723,17.723598,5.5765343,2.9445,26.96325,3.702198,7.796537,0.0,53.599995,38767.59,11930.5,0.0,49460.348,23.286348,3.2517936,11.665333,29.7945,2.0913043,4.089645,0.0,20.199999,38532.117,11140.913,657.27094,49449.39,7.654192,6.8638344,-7.52425,19.711168,2.4858696,4.875924,0.0,21.699999,21206.334,12596.621,0.0,39280.984
1971,False,0.16815744,6.0478544,-13.801333,13.8132515,2.38,5.354158,0.0,36.599995,24880.322,13010.63,0.0,41947.94,16.819225,6.922274,2.6444998,28.9695,1.9219781,4.565421,0.0,29.300003,41236.234,10434.41,0.0,49454.723,22.168255,2.7043009,14.713252,28.207,2.8815217,6.252559,0.0,34.0,39661.984,9637.116,2930.5996,49454.625,9.638364,7.287811,-5.2450843,23.650751,2.0108695,3.9792168,0.0,21.9,23083.123,13003.892,0.0,39295.26
1972,False,0.55498546,6.685388,-18.092999,15.9486685,1.8736264,3.4325836,0.0,17.300001,24950.838,12839.22,0.0,41991.785,16.011717,5.7692966,-3.5200837,25.109085,3.963736,8.595082,0.0,48.899998,38265.23,12957.236,0.0,49460.996,22.260103,3.1401548,10.742417,27.98617,2.8891306,4.8468966,0.0,21.3,36144.12,13031.533,0.0,49462.35,5.970905,6.110635,-11.695084,17.727833,3.420652,6.6820006,0.0,30.900002,17063.002,13818.159,0.0,39250.645
1973,False,3.5686202,6.5595512,-8.234666,18.507,2.8311112,5.2077007,0.0,27.8,22152.223,13769.866,0.0,40563.75,16.259998,6.1259346,2.2215831,25.882002,3.9208794,5.6878333,0.0,27.8,34109.004,14944.674,703.2009,49464.64,23.147175,2.7203743,15.100751,27.402834,2.831522,5.9484034,0.0,41.9,39684.07,9221.854,2575.7778,49406.82,8.204555,7.817647,-12.545082,21.82575,4.0663047,8.695348,0.0,49.3,22107.537,13262.697,0.0,38667.074
1974,28.6,3.0810046,7.044731,-13.230498,18.823668,2.9022224,4.587256,0.0,18.500002,22270.654,13156.998,0.0,41596.086,16.433262,5.0034666,2.3674164,24.898666,4.712088,9.002491,0.0,48.399994,34438.523,13997.245,0.0,49461.69,21.25485,3.940847,9.207,26.654915,2.976087,5.8614287,0.0,31.5,36431.71,13820.216,0.0,49456.273,6.786008,5.8715835,-3.803417,19.804918,2.7673914,5.9210944,0.0,43.399994,21795.113,13953.073,0.0,39278.363
1975,26.2,2.2751715,4.8434253,-7.809666,15.759084,3.6455557,6.1310444,0.0,33.8,21288.893,13419.372,0.0,41947.117,16.998598,6.960355,0.51949996,26.604918,2.5208795,5.2252917,0.0,28.100002,39213.26,11425.6045,3600.0,49463.453,21.804781,4.290044,11.596583,27.377836,2.8380435,5.85014,0.0,31.599998,36798.426,14095.646,0.0,49462.625,8.140945,7.161297,-9.418,20.571585,3.1413043,6.9563503,0.0,34.9,23513.07,13340.963,0.0,39057.902
1976,False,3.8635247,7.6602726,-14.130498,18.748667,2.9362636,6.334219,0.0,39.499992,24329.791,12517.222,0.0,41817.527,16.57607,5.581655,4.7549167,27.227835,2.7142856,5.9582353,0.0,34.8,39384.35,10546.755,4353.391,49462.113,21.298326,3.1834486,13.769501,28.12367,1.6271737,3.6772573,0.0,27.300003,40240.426,10306.425,2177.16,49457.887,3.5740066,6.6350646,-12.46175,19.263248,1.4608697,4.395851,0.0,24.999998,25758.117,11706.01,0.0,39245.727
1977,False,-1.065986,9.856554,-23.728418,19.248667,2.6833334,5.8371387,0.0,33.6,24805.16,12584.109,0.0,41860.63,18.474194,5.3853116,3.0111663,25.781998,3.1505492,6.615342,0.0,34.699997,39071.69,12106.931,0.0,49407.363,23.051184,3.1893764,15.234086,28.850752,3.628261,6.3208594,0.0,30.2,38127.77,10731.317,2068.097,49454.586,6.098668,8.045765,-16.855497,19.375751,3.529348,8.901383,0.0,65.9,20083.48,13557.161,0.0,38817.676
1978,False,-4.014343,6.89971,-15.517999,12.588248,2.4433334,4.35903,0.0,20.000004,21533.799,15158.65,0.0,41961.492,16.777857,5.9415154,6.136167,30.390333,2.9186814,5.724313,0.0,33.6,36506.07,14955.458,0.0,49459.55,23.012096,3.055951,15.46325,29.398668,3.1923914,8.43503,0.0,64.1,38472.82,11348.135,0.0,49434.45,7.205664,5.5337696,-6.3825836,17.654919,2.9293478,6.2459574,0.0,35.9,22443.787,12706.187,0.0,39171.266
1979,False,-1.5946666,8.864005,-18.77633,16.873669,3.1222222,6.5797577,0.0,49.500004,20529.768,13788.828,0.0,40931.85,16.231337,5.903614,1.3340832,25.46325,3.530769,6.1537466,0.0,25.199999,36491.64,14701.702,0.0,49477.883,21.310125,3.1744685,13.1778345,27.523666,5.122826,10.381494,0.0,64.7,34721.023,13526.904,0.0,49459.36,7.119296,6.308979,-7.0075836,22.1695,3.0750003,7.274955,0.0,44.999996,24368.451,12137.612,0.0,39290.844
