year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,28.1,-0.94458795,6.8478374,-19.343084,12.631917,2.1166666,3.756799,0.0,21.0,21976.129,14090.589,0.0,39985.363,18.123009,5.393275,3.809,27.00067,4.3494506,9.6526375,0.0,60.8,38580.633,12201.261,616.3802,49284.79,23.535042,3.1836908,12.29025,29.361082,2.3184783,4.7874365,0.0,28.8,39536.28,9543.198,3581.2778,49274.805,8.134657,6.866756,-7.6097507,19.954834,2.652174,5.1624274,0.0,24.2,22056.154,12511.042,0.0,39363.902
1971,False,0.69217134,6.113939,-13.328499,14.327751,2.6511111,5.613872,0.0,38.1,25133.334,12943.462,0.0,41834.57,17.221226,6.746065,3.5777502,28.973585,1.7604398,3.7611725,0.0,23.100002,41056.234,10779.482,0.0,49285.773,22.40239,2.5458705,15.863167,28.411081,2.9402175,6.4197507,0.0,35.099995,39178.53,10204.655,1169.193,49284.0,10.127027,7.277079,-4.5159993,23.84442,2.0608695,4.6321373,0.0,27.3,22627.332,12995.631,0.0,39407.973
1972,25.6,1.4502773,6.388951,-17.130587,15.892334,2.2340658,3.6964014,0.0,17.1,24988.898,13009.166,0.0,41218.5,16.313944,5.571189,-2.6930838,25.021502,3.2582421,6.4138923,0.0,33.499996,37452.516,13598.83,0.0,49285.227,22.740566,2.9591594,11.386083,28.313166,2.7739134,5.206946,0.0,23.600004,36614.21,12932.082,316.73264,49287.367,6.663484,5.987734,-11.032666,18.3215,4.0554347,7.884585,0.0,37.8,17095.762,13779.496,0.0,39287.004
1973,False,4.0708055,6.570647,-8.032666,19.013166,3.0155551,5.4402146,0.0,23.800001,23146.63,13601.549,0.0,40752.18,16.378576,6.030394,2.2006667,25.8215,4.659341,8.070578,0.0,50.199997,34528.918,14215.294,548.5339,49287.824,23.190907,2.6229079,14.783999,27.231916,2.5141306,4.9306087,0.0,23.000004,39853.37,8491.339,4508.0205,49246.324,8.656984,7.6462994,-10.338916,22.031916,4.307609,8.584912,0.0,45.800003,21706.06,13900.371,0.0,38711.703
1974,False,4.2023797,6.466362,-9.238916,18.863169,3.05,4.7428775,0.0,19.800001,21503.406,13750.792,0.0,41596.96,16.740572,4.9560313,2.4069169,25.061087,3.8043954,7.1341577,0.0,41.899998,35352.977,13384.89,0.0,49286.367,21.65522,3.8614476,9.969418,26.62358,2.8010871,5.390784,0.0,26.099998,35901.824,14162.611,0.0,49281.434,7.2535653,5.865471,-3.2097504,19.619415,2.847826,5.8247766,0.0,36.2,22541.637,13661.352,0.0,39360.914
1975,False,2.9603658,4.862536,-6.5576673,16.36525,4.3288884,7.6364036,0.0,42.399998,21792.209,13718.477,0.0,41833.742,17.392906,6.8972836,0.78191656,27.096498,2.5923078,5.693158,0.0,32.399998,38678.598,11837.479,4632.6943,49288.11,22.133549,4.215526,11.7715,27.304834,3.226087,6.7232885,0.0,43.899998,36906.36,13446.316,0.0,49287.504,8.601233,7.0850224,-8.9285,21.004833,3.4565217,8.143457,0.0,53.0,23809.02,13172.043,0.0,39249.996
1976,False,4.3919673,7.515408,-13.859749,18.781916,3.1417584,7.188356,0.0,51.399998,24103.244,12766.567,0.0,41706.742,16.783152,5.390004,5.1965003,26.565248,3.0076923,6.5904684,0.0,37.299995,39317.92,11434.651,1622.6241,49286.36,21.51106,3.1127837,13.731917,27.902748,2.0315218,4.6156907,0.0,26.400002,39553.1,10548.39,1840.5034,49138.383,4.008796,6.4879894,-11.286832,19.200666,1.6119566,4.553826,0.0,24.5,25147.992,12207.77,0.0,39281.6
1977,28.1,-0.38699523,9.548547,-23.038918,19.373583,2.657778,5.524491,0.0,26.800001,25990.48,11553.7705,0.0,41862.66,18.749224,5.272391,2.9423332,26.07775,3.0142853,6.6217413,0.0,45.4,38612.926,12683.201,0.0,49286.92,23.373602,3.1314788,16.244417,29.331915,3.7282608,6.9287477,0.0,41.199997,37734.16,10508.816,0.0,49279.8,6.6032257,7.7399626,-14.407666,20.092333,4.6554346,13.913724,0.0,120.79999,20844.268,13547.211,0.0,39011.04
1978,False,-3.0171807,6.8102155,-14.930584,13.121499,2.5633335,4.7704253,0.0,20.100006,21019.477,15235.094,0.0,41847.78,17.075071,5.803992,6.1089997,30.21942,2.9527473,5.6378946,0.0,28.1,36773.93,13671.6455,0.0,49284.04,23.199265,2.7944448,15.936084,28.779833,3.0576086,6.204097,0.0,36.199997,37861.156,11414.328,0.0,49260.547,7.7282715,5.464813,-5.4743333,17.925665,3.6369562,8.450772,0.0,53.500004,23320.354,12986.011,0.0,39208.27
1979,28.9,-0.69743514,8.682004,-18.163916,16.975668,3.476667,6.1124125,0.0,28.900003,20667.1,13933.661,0.0,40032.797,16.583702,5.654027,2.5194168,25.96942,3.2340658,5.9957438,0.0,26.100002,35754.98,15209.788,0.0,49298.38,21.521002,3.007048,13.779835,27.746498,7.016305,16.697617,0.0,109.0,34133.477,14067.3955,0.0,49284.49,7.560381,6.101144,-5.974333,21.971502,2.6891303,6.0506372,0.0,34.6,24798.541,11853.193,0.0,39398.258
1980,28.2,0.02628472,6.2264028,-14.163915,11.898582,2.767033,5.0272603,0.0,25.099998,20538.434,13982.683,0.0,40921.812,16.589998,5.7456465,4.392333,28.300665,3.2747252,7.9996057,0.0,63.600002,37377.707,11945.372,0.0,49346.258,24.33271,3.2840035,13.767334,30.754831,3.5108695,7.799542,0.0,42.8,39157.64,10169.965,1215.7233,49229.71,6.6897283,6.755282,-9.828499,19.904833,1.7456522,4.7402973,0.0,30.800001,24709.113,12815.154,0.0,39276.03
1981,False,1.1623102,6.457666,-13.620164,16.411083,1.8055556,3.9964976,0.0,21.400002,26498.344,12235.251,0.0,41864.89,17.65094,4.987235,6.6215005,26.986084,5.0648346,8.226737,0.0,38.699997,34212.055,14290.463,312.00186,49285.67,22.076618,3.3574433,11.350667,27.517328,2.726087,4.976712,0.0,23.300001,37451.688,10237.704,113.8354,49167.543,6.6010966,7.250153,-15.336833,20.950666,2.2902174,4.77291,0.0,25.3,22597.826,12702.521,0.0,39009.02
1982,False,0.98450917,7.711772,-23.005583,15.765251,3.35,6.4899273,0.0,30.699999,22056.195,13861.149,0.0,41737.44,16.70046,6.092064,-1.8451668,23.981918,2.7252748,5.2972655,0.0,34.5,37901.125,11966.46,3945.8604,49293.785,21.87168,3.5537906,11.929833,27.275667,3.653261,6.850162,0.0,37.7,37529.293,11185.734,480.39368,49284.086,9.437147,6.8809123,-3.5743334,21.66525,3.3902175,6.2635884,0.0,31.9,20653.467,13803.691,0.0,39356.684
1983,False,3.2037222,5.128411,-6.69725,17.363167,1.4377778,3.796201,0.0,21.700003,21786.156,13479.11,0.0,39680.758,15.624386,6.0804963,0.80691653,26.47775,5.11978,9.73668,0.0,52.399998,32503.494,16544.373,0.0,49275.047,24.783636,4.4788275,9.842334,31.95275,1.229348,2.8728182,0.0,17.000002,41340.164,7454.215,10840.818,49244.414,6.3407493,9.162268,-21.418083,21.359,4.8847823,10.170621,0.0,59.2,19832.22,14353.967,0.0,39393.535
1984,False,1.0534598,6.0542617,-18.434748,12.621502,2.5032969,4.916694,0.0,28.6,21438.865,12602.024,0.0,39251.1,17.023355,6.6465917,5.0215,27.711082,4.0153847,9.840843,0.0,62.699997,35867.145,14973.707,0.0,49283.836,21.957323,3.604769,10.21525,27.775665,2.9586954,5.821052,0.0,44.1,37778.39,10926.201,1507.5026,49215.453,9.388393,7.3178515,-11.274333,20.463163,4.175,6.964267,0.0,27.8,18843.225,13768.718,0.0,39271.23
