year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,32.1,-3.5250645,7.5572724,-23.233582,10.572665,1.5955557,4.1054335,0.0,33.1,22591.43,13403.336,0.0,40603.516,16.34217,6.2504096,1.4414167,26.601835,3.489011,6.4942107,0.0,36.500004,37763.418,13201.422,226.06087,49730.86,22.179052,3.4122796,10.295583,28.970581,1.8206521,3.513351,0.0,17.100002,38988.566,11390.852,0.0,49559.82,6.530207,7.1738887,-8.341916,19.872667,2.2097826,4.2645245,0.0,20.900002,19620.436,13304.211,0.0,39246.26
1971,False,-1.6431435,6.155317,-16.248167,12.285167,2.1044443,4.176901,0.0,21.100002,23833.57,12173.184,0.0,41906.504,15.61044,7.20704,0.93724996,28.593498,1.6549451,4.439251,0.0,32.2,41580.727,9599.762,7812.966,49711.406,21.50412,2.9989293,12.926834,26.51225,1.7652175,4.78189,0.0,30.099998,39378.965,9698.211,9326.508,49596.234,8.203939,7.608444,-7.418999,23.4685,2.2097824,4.5004287,0.0,21.9,22183.729,13624.871,0.0,39292.633
1972,False,-1.747411,7.40492,-21.191917,15.131,1.8670331,4.2543063,0.0,34.9,24007.951,12620.928,0.0,41952.27,14.693523,6.0654125,-5.494001,24.720581,3.6186812,8.052052,0.0,45.000004,37661.906,12763.343,0.0,49571.176,21.175678,3.4551766,9.847667,27.481,3.302174,4.987082,0.0,22.400002,35087.53,13323.07,0.0,49567.895,4.340692,6.5843325,-13.575249,16.693502,3.171739,6.3237095,0.0,36.399994,16118.852,13629.213,0.0,39165.418
1973,False,2.140097,6.723341,-10.30025,17.647665,2.418889,4.8620267,0.0,28.1,22179.03,12805.878,0.0,41626.53,15.263806,6.3546195,0.9372501,25.622665,3.8494508,6.31651,0.0,39.499996,33935.727,14669.71,0.0,49647.39,21.846329,3.1060662,13.335164,26.876831,3.4195652,8.673165,0.0,55.199997,38839.35,10744.171,1420.8779,49560.375,6.8650804,8.132993,-13.491917,20.608082,3.2163045,5.901914,0.0,23.500002,21272.584,13101.289,0.0,38560.23
1974,False,0.66361564,7.730357,-16.748167,17.522667,2.907778,4.3781953,0.0,19.400002,22517.363,12537.964,0.0,41593.45,15.2991085,5.2369065,1.028917,24.260164,4.027473,6.7203684,0.0,38.5,32735.0,14242.837,0.0,49568.016,20.385843,3.9273782,8.316417,26.495583,2.3119564,5.260465,0.0,32.7,37484.863,12033.969,0.0,49561.47,5.5712852,6.3546047,-7.8064995,19.48725,2.247826,3.9140346,0.0,23.1,20192.213,14082.551,0.0,39243.11
1975,False,0.18611565,5.3264937,-14.689836,14.564332,3.0855558,4.785525,0.0,22.0,20643.854,13799.535,0.0,41905.703,15.677359,7.273459,-1.4565,26.116419,2.812088,5.893628,0.0,36.099995,38527.043,12048.095,20.698437,49601.36,20.839062,4.4025245,10.685166,27.239334,2.2086957,4.8563466,0.0,26.300001,37668.1,12992.463,0.0,49601.984,7.2281685,7.437425,-10.906502,20.480997,2.5130434,5.019352,0.0,20.200003,23114.725,12391.299,0.0,38965.156
1976,36.1,1.6776345,8.068874,-14.864835,17.314333,2.5494506,4.784358,0.0,27.600002,24181.56,13065.21,0.0,41197.195,15.710007,6.0679245,3.4580832,27.318502,2.364835,5.5901575,0.0,36.6,38719.676,12074.128,474.5819,49685.594,20.528353,3.3326702,12.02475,27.922668,1.5673913,3.291718,0.0,15.900001,39698.45,10742.41,1262.8772,49562.773,2.3224404,7.218039,-16.33775,19.139334,1.1782609,3.0471687,0.0,16.500004,24617.055,11890.482,0.0,39159.734
1977,False,-3.200412,10.361537,-24.95858,18.06225,2.7211113,6.344413,0.0,32.5,24689.738,12541.052,0.0,41823.31,17.51241,5.6818376,1.7039167,25.222666,2.2868133,4.80558,0.0,28.199997,38218.137,12675.835,0.0,49684.65,22.17663,3.5127323,13.837247,28.839333,3.6445653,7.400124,0.0,44.699997,37289.74,10913.207,0.0,49595.42,4.6347136,8.748442,-20.487751,18.301832,2.8663044,5.3973393,0.0,26.500002,19579.107,13352.222,0.0,39034.57
1978,40.7,-6.509394,7.2002716,-18.602333,11.6414175,2.228889,4.4328766,0.0,26.800003,22117.893,15160.539,0.0,41920.88,15.358061,6.0307846,4.2935,27.306,3.1230772,5.707677,0.0,20.900002,35065.402,15800.018,0.0,49643.68,21.94855,3.2231941,13.464333,28.576834,2.5054345,4.5455055,0.0,21.000002,38109.277,11288.468,235.80232,49537.41,5.965579,5.878525,-10.141917,16.572666,2.791304,5.5916867,0.0,24.700003,21044.861,13011.116,0.0,39033.14
1979,False,-3.5799723,9.119109,-21.258581,15.995584,2.3955557,3.8502564,0.0,20.900002,20616.637,13268.328,0.0,40761.945,15.052108,6.2656903,-0.9919165,25.193502,3.204396,5.220237,0.0,24.600002,35938.92,14705.436,0.0,49743.68,20.398367,3.2472177,12.249751,26.383085,4.4423914,8.667271,0.0,45.3,34795.086,13685.278,0.0,49600.008,6.20695,6.5466876,-8.3565,21.839333,2.5413046,5.526503,0.0,31.600004,23436.574,12334.018,0.0,38797.98
