year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-4.1177683,7.500602,-24.139666,9.868667,1.4655557,3.9163492,0.0,31.900002,23238.248,13286.615,0.0,41727.79,16.03364,6.843802,-1.1271669,27.37075,3.596703,6.0269294,0.0,27.4,38424.39,12584.63,0.0,49942.883,22.149736,3.5407357,10.44575,29.126999,2.4815218,5.7990513,0.0,39.9,39154.39,11683.646,0.0,49736.78,6.2968597,7.117928,-8.712583,19.758251,2.427174,5.030765,0.0,31.400005,19475.016,13307.062,0.0,39185.258
1971,False,-2.1193657,6.160615,-17.720915,11.885334,1.8122222,3.4353034,0.0,17.100002,23846.158,12295.823,0.0,41991.305,15.611571,7.382916,0.3895,28.674921,1.5274724,4.263907,0.0,33.8,42259.953,9137.551,3655.0789,49906.125,21.526049,3.0958536,12.322834,27.304085,1.7695652,4.819505,0.0,34.999996,39453.887,9833.988,8918.036,49766.875,7.9045362,7.7232537,-7.1355014,24.031172,2.172826,4.387723,0.0,21.400002,22208.787,13729.306,0.0,39200.824
1972,False,-2.619703,7.615983,-23.443834,14.720752,1.7252749,4.2566447,0.0,35.9,23723.373,12623.714,0.0,42038.19,14.642704,6.407252,-5.675083,25.791586,3.483517,7.660001,0.0,49.5,38306.34,13157.31,0.0,49757.043,21.432163,3.7140496,9.839499,28.406172,3.173913,4.952497,0.0,20.5,35536.566,12808.573,0.0,49738.8,3.7036076,7.213346,-15.25425,16.774916,3.3358696,6.3564553,0.0,34.4,16686.943,13825.823,0.0,39114.9
1973,False,1.8608892,6.638314,-10.650083,17.329084,2.4644446,5.387153,0.0,29.099998,22799.223,12804.679,0.0,41625.316,15.223155,6.324717,1.23325,25.308249,3.7076926,5.4980655,0.0,25.7,34218.08,14172.844,0.0,49910.25,21.708569,3.2013311,12.912418,27.204086,3.5978265,8.745347,0.0,66.7,39112.48,10335.174,1586.5398,49731.04,6.605397,8.309335,-13.264665,20.320751,3.3380435,6.5541506,0.0,31.800001,21359.28,12686.532,0.0,38497.387
1974,False,-0.18716651,7.7509084,-16.895916,17.187418,2.6688888,4.2626057,0.0,17.5,22552.184,13048.748,0.0,41428.2,15.176587,5.317579,1.6186666,24.308256,3.9945054,6.018128,0.0,37.5,33258.562,13536.74,0.0,49767.484,20.628607,3.92688,8.343667,27.110338,1.9228262,4.268286,0.0,23.000002,38558.617,10729.429,3255.4697,49842.22,5.4901342,6.5605183,-7.231333,19.791586,2.2054348,3.8985026,0.0,20.699999,20055.354,14266.342,0.0,39182.54
1975,False,-0.029851882,5.111745,-15.018833,13.831168,2.95,4.8666315,0.0,21.2,21032.105,13451.643,0.0,41868.977,15.371004,7.5599704,-1.6813335,26.449915,2.9109893,5.411417,0.0,24.900002,38708.246,11994.142,0.0,49772.883,20.660175,4.433733,10.427,27.562416,2.2782607,4.8118634,0.0,23.500002,37650.934,13209.519,0.0,49771.637,7.275643,7.615585,-10.666749,21.222834,2.1065218,3.9992805,0.0,20.400002,23738.162,11952.422,0.0,38910.562
1976,False,0.8805029,8.243101,-16.414663,16.151999,2.6802201,5.64577,0.0,41.000004,24308.055,12833.161,0.0,41056.195,15.660609,6.2936945,3.13325,27.531168,2.4274724,6.084645,0.0,47.299995,39656.676,11999.156,2263.2002,49945.984,20.671362,3.530999,11.574918,28.731169,1.8576088,4.9509296,0.0,32.600002,39592.723,11388.028,593.02826,49733.297,2.0426028,7.5480103,-17.520916,19.141582,1.1565218,3.0955234,0.0,22.2,24925.62,11048.707,0.0,39109.098
1977,False,-3.781031,10.446464,-24.84175,17.431166,2.698889,6.5142107,0.0,42.5,25059.729,12439.579,0.0,41959.742,17.543257,5.9119363,1.6957501,25.364504,2.4901097,4.8338633,0.0,20.0,38509.97,13027.619,0.0,49921.074,21.999058,3.7208438,13.6645,29.452003,4.054348,8.62119,0.0,55.899994,36869.66,11214.728,0.0,49766.234,4.2680326,8.969615,-21.006334,17.191584,3.1358693,5.8387036,0.0,37.199997,19611.15,13368.623,0.0,38981.387
1978,False,-6.8419113,7.0607553,-19.752165,11.63325,2.1088889,4.681008,0.0,28.100002,23642.973,14436.513,0.0,42006.16,15.205181,6.208577,3.6645,26.854082,2.8813188,5.198502,0.0,23.2,36170.32,14500.055,0.0,49906.164,22.152431,3.2767203,12.789501,28.629087,2.158696,4.2935977,0.0,25.2,37851.645,11942.985,3504.1636,49706.793,5.702023,6.303334,-11.789666,17.77075,2.6380432,5.201412,0.0,28.399998,21012.295,13366.925,0.0,38450.426
1979,False,-4.0652213,9.084049,-21.629248,16.654085,2.3366666,3.8665507,0.0,22.900002,20236.24,13347.756,0.0,40743.312,14.95864,6.499758,-0.8875832,25.356165,2.912088,5.1478114,0.0,29.1,36908.266,14146.389,624.4643,49988.42,20.631145,3.1914098,12.910335,26.402002,3.6630435,7.4699354,0.0,49.699997,36271.49,13033.629,893.0944,49770.95,6.32854,6.6274257,-8.156333,22.606169,2.529348,5.345606,0.0,29.400002,23243.973,12134.798,0.0,38739.992
