year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,34.1,-2.4456248,7.2970266,-21.8175,11.37625,1.5855557,3.830321,0.0,29.899998,23128.299,13621.948,0.0,41588.34,17.155714,5.9685364,2.4325,27.138754,3.7340658,7.955044,0.0,43.100002,38369.16,12861.959,0.0,49768.49,22.994068,3.3856304,11.56375,29.784584,2.3913045,5.4437313,0.0,27.499998,38506.477,12110.196,0.0,49765.703,6.927881,6.963874,-8.144584,19.295,2.4630435,4.972379,0.0,21.900002,19806.645,12980.686,0.0,39030.242
1971,40.4,-0.8202547,6.1247725,-14.486251,13.086667,2.1144445,4.692513,0.0,25.500002,24745.65,12285.398,0.0,42172.957,16.516634,7.158385,1.4200001,29.453333,1.6516485,4.0925508,0.0,21.6,41651.766,10345.11,4948.349,49770.137,22.128424,3.0408645,13.372083,27.511663,2.222826,5.198544,0.0,32.1,39879.473,9149.229,6428.48,49761.668,8.870475,7.46493,-6.469582,23.809584,2.1858697,4.645962,0.0,23.7,22631.943,13698.392,0.0,39044.92
1972,39.4,-0.74410254,7.1451106,-20.059166,15.738751,1.5802199,3.237256,0.0,22.9,24318.566,13225.087,0.0,42227.28,15.708988,6.0489306,-3.7924998,25.384584,3.2956047,6.6757593,0.0,29.600002,38928.984,12530.194,0.0,49769.387,21.924982,3.3966405,9.561666,27.830416,2.9184785,5.0511003,0.0,22.800003,36234.008,13299.078,0.0,49769.805,4.783089,6.724332,-13.425836,17.467918,2.9369564,5.8931646,0.0,32.7,16857.209,13530.611,0.0,38999.22
1973,37.6,2.8377547,6.556182,-9.5633335,17.084585,2.8555555,5.474869,0.0,28.600002,22166.951,13650.814,0.0,41627.38,15.857156,6.155923,1.495,26.134583,3.8747256,6.184149,0.0,29.400005,34509.105,14366.325,445.13007,49759.707,22.780642,2.9234128,13.5512495,27.72,3.3608696,7.0404167,0.0,42.700005,39491.883,9952.721,262.87183,49712.082,7.4286275,8.074936,-12.617497,20.953333,3.6271737,6.8187056,0.0,28.700003,22373.938,12576.158,0.0,38614.145
1974,21.7,1.7575694,7.641141,-15.067497,18.867918,3.0322225,4.9830914,0.0,19.8,23546.805,13087.178,0.0,41594.87,15.948709,5.041434,2.6116667,25.215834,4.6505494,7.282588,0.0,35.4,33056.75,14481.465,0.0,49770.1,20.861124,4.044874,8.434583,26.842913,2.7684784,5.4994297,0.0,25.900002,37604.03,12582.106,0.0,49763.555,6.2570467,6.049348,-5.2758336,19.495,2.6130433,4.711716,0.0,24.199999,20816.035,13979.892,0.0,39027.594
1975,28.7,1.0002083,5.0467896,-11.259166,14.294999,3.3466668,5.2832193,0.0,23.900002,21407.19,13499.744,0.0,40985.047,16.583738,7.092651,-0.6654165,26.50125,2.657143,5.3008,0.0,25.400002,38766.7,12272.64,1280.876,49771.348,21.57283,4.40757,11.092917,27.503334,2.4119565,5.2786913,0.0,27.5,37654.26,13089.622,0.0,49770.258,7.661847,7.4063587,-10.646667,20.492918,2.7402177,5.421347,0.0,28.7,23618.07,12666.962,0.0,38922.75
1976,33,2.5281732,7.9935455,-14.432084,17.48875,2.4824176,4.6344743,0.0,20.1,25102.623,12505.185,0.0,41778.223,16.30093,5.8238726,4.572083,27.332502,2.1659343,4.519814,0.0,20.900005,39939.3,11025.582,824.9439,49770.48,21.579805,3.300292,13.299165,28.349167,1.2195653,2.9205313,0.0,16.0,40843.484,9711.396,4359.6987,49765.02,3.1062996,7.082909,-14.8237505,19.692919,1.2673912,3.738458,0.0,23.7,25796.256,11000.68,0.0,38997.97
1977,34.3,-1.7526851,9.923364,-24.034163,18.401255,2.9366665,6.6624804,0.0,39.0,24067.178,13347.891,0.0,42099.86,18.389872,5.556878,2.5616665,25.742914,2.9439564,6.2338543,0.0,37.7,39274.344,12232.6,0.0,49716.246,22.794527,3.2529218,15.467918,28.888746,3.2445652,5.6392145,0.0,24.7,38504.37,10599.494,1347.1365,49761.8,5.3421693,8.4777355,-19.263334,18.774168,2.9815218,5.71593,0.0,26.800001,19606.389,13420.123,0.0,38767.434
1978,False,-5.006158,6.87059,-16.804998,12.690834,2.4277778,5.1560593,0.0,34.6,22118.447,14826.933,0.0,42196.445,16.159811,6.019156,5.547083,28.984575,3.147253,6.371453,0.0,38.2,35763.137,15314.73,0.0,49767.332,22.793573,3.2046742,14.649166,29.265833,2.6978261,5.905631,0.0,35.1,38161.13,11525.64,0.0,49740.625,6.6051903,5.893798,-8.777916,17.067919,3.0391304,6.4734616,0.0,29.2,21345.557,12781.104,0.0,38966.42
1979,False,-2.9562964,8.982055,-20.909166,15.774165,2.8533332,5.1192784,0.0,27.899998,20010.129,13709.323,0.0,41450.656,15.725817,6.1959624,0.88874984,25.68875,3.5010989,5.6728106,0.0,22.800001,36790.098,14363.91,847.9617,49763.188,21.256504,3.173848,13.4783325,27.5575,3.382609,6.2376494,0.0,28.400002,36473.55,12297.586,2480.392,49766.684,6.686576,6.5229154,-8.92375,22.503334,2.855435,5.9596515,0.0,23.600002,23759.576,12584.09,0.0,39040.42
