year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,28.1,-1.8426573,6.9996953,-20.157333,12.2135,2.0255556,3.573547,0.0,18.800001,22004.887,14135.459,0.0,41577.15,17.487356,5.552094,2.840583,26.582253,4.0175824,9.379063,0.0,68.10002,38722.707,12177.296,195.30637,49372.586,22.991762,3.2346835,11.20725,29.115585,2.3184783,4.4870005,0.0,21.000002,39035.96,9981.402,0.0,49291.54,7.509922,6.9389153,-8.0365,19.73225,2.7065217,5.2117743,0.0,24.900002,21865.066,12468.636,0.0,39335.086
1971,34.3,-0.08860636,6.122523,-14.246917,13.6135,2.747778,6.1045613,0.0,45.0,24673.29,12720.312,0.0,41800.348,16.491661,6.8708997,2.6655834,28.571833,1.7560441,3.8871646,0.0,24.700005,40805.19,10885.633,0.0,49309.71,21.804783,2.6092577,14.880166,27.973917,3.128261,7.211991,0.0,39.799995,38991.13,10540.446,2269.311,49296.766,9.423963,7.3141026,-5.6177497,23.305166,2.2413044,4.7052264,0.0,26.7,22326.775,12986.156,0.0,39379.723
1972,26.6,0.45161828,6.6526766,-18.078165,15.365582,2.2065935,3.733982,0.0,16.5,24723.229,12720.209,0.0,41212.996,15.577235,5.680418,-3.7323334,24.54267,3.9362636,7.532825,0.0,42.4,36830.965,13505.881,0.0,49302.94,21.967281,3.05936,10.723918,27.79267,2.7967393,5.0343537,0.0,20.900002,36075.17,12746.398,0.0,49304.43,5.873849,6.076944,-13.244832,17.755167,3.9445655,7.5783153,0.0,38.5,17223.32,13527.346,0.0,39257.22
1973,25.4,3.3482687,6.613824,-8.982332,18.478086,2.9133332,5.2890854,0.0,23.799997,22735.254,13614.446,0.0,40416.336,15.804252,6.09704,1.6697501,25.213501,4.757143,7.98265,0.0,51.100002,34004.984,14601.938,328.38684,49310.25,22.604826,2.7037382,14.11975,26.890587,2.684783,5.484543,0.0,32.1,39488.914,9133.514,2532.732,49262.17,7.9940476,7.708108,-11.946916,21.571836,4.369565,8.954755,0.0,46.499992,21192.48,13672.352,0.0,38674.566
1974,24.7,3.116509,6.848025,-12.555249,18.380167,3.0533335,4.596926,0.0,19.900002,21694.932,13307.712,0.0,41583.36,16.085777,5.051449,1.38225,24.34475,4.058242,7.610418,0.0,44.100002,34797.79,13359.997,0.0,49303.715,20.97788,3.8246229,9.176001,26.171835,3.0130436,5.7475314,0.0,32.0,35721.305,14281.843,0.0,49298.38,6.520633,5.9441214,-4.2427497,19.351,2.8467393,5.893141,0.0,39.8,22166.145,13694.953,0.0,39332.06
1975,27.2,2.0875974,4.9944253,-9.944834,15.867667,4.232222,7.494265,0.0,42.0,21216.348,13626.701,0.0,41799.527,16.614302,6.9737406,-0.042749763,26.328087,2.7450552,5.657488,0.0,26.300001,38512.04,11729.328,1369.3046,49305.477,21.536917,4.2305627,11.640584,27.009333,2.9152176,5.9394736,0.0,37.199997,36823.887,13614.967,0.0,49304.688,7.9767694,7.149774,-9.690666,20.601004,3.2576084,7.5613565,0.0,46.399998,23833.492,13129.947,0.0,39219.742
1976,34.1,3.5827768,7.6880746,-15.046918,18.5385,3.2857144,7.1905737,0.0,50.0,23547.838,12877.606,0.0,41214.56,16.213982,5.573164,4.09475,26.3635,2.932967,6.7356277,0.0,40.299995,38932.227,11927.518,2432.2385,49304.062,20.96898,3.2092369,13.296834,27.409332,2.0576088,4.8677955,0.0,33.399998,39361.434,11045.627,802.3494,49127.7,3.2991207,6.5779634,-12.346917,18.794752,1.6000001,4.456653,0.0,24.399998,24942.297,12168.256,0.0,39251.746
1977,34.3,-1.3525416,9.791406,-23.97608,18.876001,2.588889,5.541477,0.0,29.300001,25674.54,11567.304,0.0,41713.32,18.033485,5.334922,2.3072503,25.0635,3.2241757,6.8315825,0.0,43.999996,38661.42,12283.698,0.0,49304.227,22.773602,3.2123666,15.126,28.655167,3.7978263,6.656039,0.0,38.000004,37624.152,10623.442,2084.9255,49296.7,5.893165,7.973148,-16.478165,19.336416,4.8608704,16.198763,0.0,145.60004,20663.174,13603.479,0.0,38977.734
1978,27.1,-4.0567317,6.902218,-15.94275,12.088501,2.65,4.778328,0.0,21.7,20973.186,15192.19,0.0,41813.844,16.341614,5.8057947,5.536417,29.628082,3.3142858,6.1527696,0.0,30.500002,36305.883,14361.971,0.0,49360.055,22.546312,2.8856962,15.005168,28.290586,3.517391,6.901403,0.0,45.2,37558.676,11866.676,0.0,49276.71,6.993278,5.4796324,-6.578167,17.469751,3.520652,7.8886976,0.0,47.7,23019.43,12955.884,0.0,39177.477
1979,27.9,-1.5831668,8.846242,-18.673998,16.651001,3.262222,5.7551265,0.0,27.800001,20810.844,13863.272,0.0,41307.39,15.910594,5.784627,0.96141666,25.140581,3.1923077,5.751507,0.0,21.4,35617.793,15223.838,0.0,49385.07,20.999937,3.0887182,13.09475,26.967667,6.5184784,15.103975,0.0,100.6,33842.645,13809.317,0.0,49217.49,6.9261813,6.206432,-6.6614995,21.655169,2.5967393,5.7342706,0.0,33.800003,24355.81,11819.827,0.0,39369.887
