year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-2.4243238,7.297694,-21.517748,11.615584,1.6744444,3.1290438,0.0,17.400002,22727.586,13882.98,0.0,40184.0,17.334837,5.7501354,2.211417,26.667665,3.40989,6.0618124,0.0,22.500002,38211.97,12341.11,0.0,49487.656,22.951815,3.2792795,11.250999,29.569754,2.153261,4.7756586,0.0,30.9,38230.81,11529.836,551.34515,49467.23,7.2738495,7.066269,-8.001082,19.873919,2.35,4.59571,0.0,19.6,20759.957,12840.295,0.0,39299.996
1971,False,-0.45888427,6.179278,-15.082336,13.376,2.35,5.7085443,0.0,42.0,24459.045,12701.78,0.0,41914.15,16.363409,7.030248,1.8989167,28.94683,1.6494507,4.2739363,0.0,28.700006,40877.098,10392.882,614.5223,49491.438,21.880777,2.770152,14.134335,27.751,2.4358697,5.713673,0.0,31.2,39335.57,9503.166,2891.3896,49472.508,9.148486,7.437777,-6.438582,23.463501,2.015217,3.9342377,0.0,18.199999,22634.7,13077.349,0.0,39317.812
1972,False,-0.25962272,7.0181103,-19.119833,15.626,1.8527473,3.5118008,0.0,18.900003,24575.012,12675.3545,0.0,41958.67,15.579755,5.8562274,-4.349,24.792664,4.1714287,8.968752,0.0,41.3,37579.793,13235.003,0.0,49479.836,21.780937,3.2317567,10.423918,27.753084,2.846739,4.850795,0.0,22.599998,35605.19,13141.188,0.0,49480.523,5.4452715,6.258566,-12.432331,17.590582,3.1673915,6.235068,0.0,31.599997,16895.953,13563.079,0.0,39220.945
1973,30.5,3.0262315,6.720279,-9.194834,18.126,2.7700002,5.1426497,0.0,26.800001,21719.748,13460.408,0.0,41408.336,15.933075,6.1881757,1.6864166,25.69475,3.9428573,6.086235,0.0,38.000004,33969.457,14681.557,983.18207,49483.258,22.802652,2.7834876,14.646834,27.5635,2.6152177,5.456661,0.0,35.0,39203.094,9728.769,2033.7922,49423.43,7.7788997,7.978309,-13.738583,21.626,3.9402175,8.063894,0.0,40.7,21762.965,12997.555,0.0,38675.125
1974,False,2.2387547,7.3736362,-14.744831,18.582249,3.05,4.979582,0.0,21.6,22149.695,12939.85,0.0,41595.24,16.064392,5.068126,1.6155834,24.4635,4.416484,7.9029427,0.0,34.5,33868.355,13693.428,0.0,49480.156,20.929895,3.8862312,8.886416,26.403084,2.8880436,5.6620355,0.0,26.899998,36356.777,13724.918,0.0,49474.33,6.4037623,6.065141,-5.6739993,19.738499,2.5358696,4.7094855,0.0,28.000004,21163.785,13987.141,0.0,39296.918
1975,False,1.5265788,5.067391,-9.5615,15.667665,3.5044444,5.6741266,0.0,25.2,21240.398,13218.857,0.0,41913.336,16.557547,7.042256,-0.35108316,26.3635,2.401099,5.145969,0.0,26.1,38743.26,11647.261,3600.0,49481.945,21.61624,4.3446436,11.453083,27.292665,2.278261,4.907246,0.0,26.900002,36583.547,14109.528,0.0,49480.93,7.803741,7.286811,-10.142751,20.384333,2.9847825,6.4688926,0.0,32.2,23251.578,13169.035,0.0,39025.17
1976,False,3.1942008,7.8374276,-14.665668,18.48225,2.943956,6.1018615,0.0,33.300003,24001.92,12751.971,0.0,41371.73,16.308142,5.766661,4.1697497,27.346834,2.5846155,5.6214256,0.0,33.6,38941.773,11253.224,3822.9631,49516.023,21.05571,3.2037055,13.190582,27.671831,1.4391304,3.1846805,0.0,21.500002,40082.06,10692.383,0.0,49475.832,3.077291,6.8958845,-13.653165,19.23017,1.4195653,4.1256166,0.0,23.8,25523.922,11645.439,0.0,39215.395
1977,False,-2.009972,10.258591,-24.959417,18.998919,2.656667,6.1345596,0.0,38.3,24290.445,12725.625,0.0,41825.406,18.152124,5.462957,2.5134997,25.446833,2.843956,5.838459,0.0,29.399998,38819.098,11915.981,0.0,49453.0,22.741108,3.2400475,14.823917,29.028082,3.3097825,6.0728197,0.0,29.0,38157.07,10702.099,3231.8284,49472.59,5.608563,8.436247,-18.71775,19.09475,3.1271741,6.582012,0.0,33.3,19788.395,13628.832,0.0,38781.883
1978,False,-5.340667,7.3522468,-18.08025,12.211415,2.411111,4.298901,0.0,21.499994,21666.645,15027.569,0.0,41927.992,16.346123,5.9599657,5.640583,29.759333,2.769231,5.570831,0.0,30.000002,35829.727,15726.23,0.0,49539.516,22.6808,3.1351104,15.023915,29.436417,2.9576087,7.8784065,0.0,50.800003,38190.0,11763.558,0.0,49451.71,6.8041706,5.6395273,-7.65525,17.146833,2.854348,6.2227416,0.0,33.500004,21932.518,12799.009,0.0,39139.977
1979,False,-2.4849951,9.150951,-19.638582,16.586416,2.822222,5.589291,0.0,39.800003,20416.314,13704.62,0.0,41564.195,15.8330965,6.0206494,0.26558337,25.22808,3.3285713,5.704039,0.0,20.6,36084.09,14918.36,0.0,49507.367,20.942442,3.2054305,12.801,27.048914,4.725,9.830292,0.0,67.49999,34432.324,13271.752,0.0,49480.22,6.764564,6.4267755,-7.8677497,21.934332,3.0804348,7.3053684,0.0,46.9,23963.186,12308.965,0.0,39313.336
