year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-3.6726804,7.6338353,-23.849,10.428083,1.6266665,4.462195,0.0,37.19999,22634.066,13663.042,0.0,41205.22,16.343102,6.3848233,1.1176667,26.861418,3.813187,6.8430214,0.0,35.4,37955.2,13165.912,0.0,49731.625,22.144838,3.4715846,10.598916,29.094751,1.9076087,3.89864,0.0,20.900003,38803.316,11769.815,0.0,49670.453,6.415266,7.178533,-8.388583,19.5385,2.3880436,4.8507133,0.0,26.600004,19587.484,13238.034,0.0,39195.37
1971,False,-1.762935,6.1771526,-16.446917,12.030168,1.978889,4.012914,0.0,19.999998,24057.914,12023.37,0.0,41995.902,15.749719,7.2520823,0.66141677,28.19475,1.6340661,3.7804828,0.0,21.400003,41869.28,9669.194,6660.4634,49765.555,21.455824,3.0780756,12.711417,26.882248,1.9489131,5.245857,0.0,34.7,39648.86,9553.485,8559.849,49710.492,8.104941,7.667925,-7.671917,23.590582,2.2380438,4.7196307,0.0,21.3,22216.918,13754.6045,0.0,39210.58
1972,False,-1.9822648,7.5615177,-22.28025,15.492667,1.9065934,4.8369136,0.0,41.399998,24035.08,12627.372,0.0,42041.945,14.8179865,6.182235,-5.3448334,25.153084,3.5725272,7.5758247,0.0,36.099995,38134.074,12609.731,0.0,49679.477,21.309109,3.5766027,9.517668,27.782251,3.354348,5.260498,0.0,26.699999,35208.113,13359.245,0.0,49678.668,4.0585866,6.891793,-14.630249,16.490583,3.129348,6.1531467,0.0,34.199997,16411.27,13684.527,0.0,39152.895
1973,False,2.1020882,6.711505,-10.507333,17.35725,2.6177778,5.212271,0.0,29.000002,22088.297,12889.624,0.0,41626.258,15.32158,6.3328657,0.93433326,25.846838,3.845055,6.4830422,0.0,43.3,34322.957,14407.249,0.0,49729.445,21.79989,3.1590695,13.173916,26.953081,3.4695654,8.509526,0.0,53.200005,38835.664,10897.85,1777.8862,49671.09,6.7257967,8.255912,-13.8115015,20.378084,3.2097821,5.998078,0.0,25.699997,21616.768,12914.795,0.0,38544.645
1974,False,0.4371575,7.901361,-16.884413,17.844751,2.8633332,4.3740153,0.0,18.400002,22902.94,12542.254,0.0,41593.008,15.334426,5.221136,1.4634999,24.273916,4.125275,6.5874057,0.0,36.199997,32688.48,14064.174,0.0,49679.047,20.298555,3.9291697,8.073916,26.61975,2.4934785,5.653275,0.0,34.100002,37714.824,11847.844,0.0,49672.195,5.5320015,6.4234724,-7.284418,19.55725,2.3141303,3.9555933,0.0,22.499996,20177.85,14146.921,0.0,39192.68
1975,False,0.09981938,5.3187113,-14.678168,14.257251,3.0844448,4.9842653,0.0,25.500002,20824.479,13831.442,0.0,41995.1,15.742666,7.2991667,-1.7990001,26.242668,2.8439562,5.7305465,0.0,31.100002,38748.33,12083.927,0.0,49680.78,20.776997,4.3986745,10.536417,27.388498,2.2869565,5.128593,0.0,26.000002,37674.63,12994.993,0.0,49717.266,7.238954,7.539762,-11.223998,20.736418,2.4293482,4.8657255,0.0,23.5,23423.846,12321.917,0.0,38951.617
1976,False,1.4526714,8.184647,-15.440667,16.555166,2.4373627,4.642788,0.0,25.6,24358.607,12994.6455,0.0,41194.773,15.73976,6.105861,3.453083,27.36142,2.3747256,5.3455195,0.0,32.900005,38798.01,12059.286,1290.8506,49795.805,20.614927,3.3676238,12.134334,28.076002,1.5815219,3.5991735,0.0,18.500002,40059.656,10461.892,1560.8018,49673.453,2.3066838,7.328776,-16.336502,19.271833,1.172826,3.1261432,0.0,16.400002,24892.514,11619.579,0.0,39147.184
1977,False,-3.219995,10.382246,-25.140665,17.846834,2.766667,6.640699,0.0,38.3,24581.62,12735.901,0.0,41964.918,17.606266,5.709701,1.8030833,25.35308,2.5175824,5.3894672,0.0,29.9,38317.93,12894.291,0.0,49730.03,22.086212,3.5205696,13.919751,28.755165,3.5597825,7.4974585,0.0,46.4,37409.29,10915.953,0.0,49670.35,4.503605,8.853618,-20.7865,18.126001,2.7608697,5.1186786,0.0,25.5,19725.377,13470.949,0.0,39021.383
1978,False,-6.7166157,7.2635646,-18.898998,11.857249,2.2033334,4.427505,0.0,25.400005,22245.693,15114.305,0.0,42010.395,15.338043,6.0633874,4.1489167,27.251,3.1065936,5.564307,0.0,20.400002,35304.695,15533.677,0.0,49750.203,21.884174,3.232584,13.007249,28.351,2.5913043,4.739422,0.0,22.1,38224.418,11292.672,383.3976,49647.805,5.920181,6.02916,-10.682332,17.115583,2.7836955,5.5960994,0.0,26.0,21273.047,12949.882,0.0,39069.63
1979,False,-3.8829584,9.162518,-21.824003,16.246834,2.412222,4.015247,0.0,24.299997,20442.07,13328.261,0.0,40757.344,15.066018,6.3527694,-0.8760831,25.461418,3.3461542,5.725776,0.0,27.9,36227.902,14597.121,0.0,49778.258,20.458359,3.2294164,12.432251,26.528086,4.2663045,8.075554,0.0,34.300003,35320.977,13184.494,0.0,49678.617,6.1997766,6.631094,-9.165666,22.171835,2.5934784,5.5438075,0.0,28.099998,23634.033,12335.013,0.0,38783.6
