year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,,1.855435,6.4864926,-16.636417,13.530251,2.797778,5.409625,0.0,22.3,23137.186,13933.768,0.0,42055.703,19.604403,4.8074346,6.401083,27.674002,3.986813,7.4822187,0.0,43.599995,38695.82,12376.246,2988.6648,49449.523,25.067703,3.092453,14.198998,30.301085,2.451087,5.629387,0.0,33.3,39321.023,9616.278,4697.6,49322.125,9.743701,6.285326,-5.309333,20.934414,3.558696,7.059421,0.0,28.200005,22583.787,13128.275,0.0,38931.926
1971,,3.18606,5.7066383,-9.755168,15.682332,2.9722223,6.710666,0.0,37.600002,25552.805,12832.1455,0.0,42120.055,19.015575,6.160622,2.4594169,29.682335,3.004396,8.75793,0.0,71.40001,40560.516,11334.439,0.0,49447.586,23.857899,2.4713414,16.876083,28.590668,2.4206522,5.0600686,0.0,26.900002,39085.824,9968.189,0.0,49267.707,12.309079,6.7206173,-0.35308328,24.851084,2.073913,4.304607,0.0,18.399998,24172.326,12907.386,0.0,38917.043
1972,26,4.890987,5.6970234,-12.60517,16.017752,3.3989012,6.47828,0.0,38.800003,25129.6,13326.117,0.0,41106.117,19.015162,5.3637238,2.4260833,26.884417,2.7186813,6.53323,0.0,33.5,40230.9,11176.428,3727.0037,49440.39,24.737068,2.6660836,12.857331,29.294836,2.7315218,6.045922,0.0,27.300001,39502.47,9427.201,0.0,49136.11,8.529843,6.4000897,-5.846834,20.4865,4.2956524,7.921329,0.0,34.799995,20187.041,13908.332,0.0,38907.84
1973,26,5.8311524,6.4378495,-6.4926667,18.671917,3.992222,7.1901813,0.0,33.100002,23261.498,12959.985,0.0,41063.758,18.120796,5.6653914,3.2198334,27.31775,4.5769234,7.2145543,0.0,34.599995,35460.09,13608.148,0.0,49442.266,24.993406,2.4963455,15.801085,28.955252,2.198913,4.4552355,0.0,23.6,39249.6,9293.104,2741.7488,48872.027,10.953664,7.2348742,-7.276001,23.209417,3.9913049,8.023546,0.0,38.7,23746.734,12769.992,0.0,38838.547
1974,26,7.1968236,6.132096,-6.146834,19.076084,3.3411112,6.739034,0.0,36.699993,22570.693,13713.29,0.0,42160.617,18.701815,4.647937,6.5781665,27.649002,3.7505496,8.244397,0.0,52.8,37369.05,12545.395,0.0,49448.715,23.198977,3.8725955,11.846916,29.228167,3.0000002,5.987863,0.0,40.6,36531.176,11906.754,1471.2286,49221.125,9.604797,5.687546,-0.7843333,20.28025,2.4891305,5.7050095,0.0,34.600002,24686.84,13753.399,0.0,38992.242
1975,27.5,5.423467,4.727247,-5.0134997,16.196917,4.9866667,10.472996,0.0,67.49999,23226.219,13123.869,0.0,41426.68,19.547949,6.1143084,4.1177497,27.93233,2.5021977,5.2095423,0.0,25.700003,37662.37,12649.968,3297.2148,49447.902,23.582785,4.286649,11.340667,28.598999,3.181522,6.8709764,0.0,36.000004,37062.65,13318.957,0.0,49322.777,10.300993,6.859421,-6.3655834,22.690668,3.3782609,8.653169,0.0,65.4,24125.13,12843.229,0.0,38862.97
1976,30.5,7.1305017,6.734519,-8.330167,19.528166,3.2758245,6.827092,0.0,38.3,25463.432,12816.96,0.0,41804.957,18.192223,4.644185,9.40525,27.030245,3.3582418,7.3921895,0.0,43.800003,37937.125,12385.761,0.0,49444.402,23.31569,2.8754864,16.519833,29.411499,2.4521737,6.2353034,0.0,43.9,40064.69,9322.66,0.0,49173.293,6.312225,6.3020487,-9.646834,21.11358,1.6771741,4.9187045,0.0,26.500002,26040.555,12075.969,0.0,38876.523
1977,30,2.83062,8.562577,-14.969749,20.646915,3.0522223,7.149247,0.0,35.5,27438.785,12274.447,0.0,42194.22,20.831142,4.6622977,7.417751,27.849,2.896703,6.071856,0.0,37.400005,40046.113,11363.569,32.610855,49323.46,25.15733,2.8527026,17.524,30.371918,3.3891306,7.382805,0.0,59.999992,37818.39,11920.454,442.43408,49284.273,8.877305,6.808762,-7.521834,23.486498,3.226087,6.6505704,0.0,30.8,21001.506,14214.269,0.0,38784.367
1978,30,-0.40005103,6.643303,-11.386417,16.065668,3.542222,7.3857284,0.0,46.499996,22931.87,14514.534,0.0,42163.13,19.364408,5.340817,8.557333,30.37192,3.1142864,6.501941,0.0,35.5,38587.57,12483.738,2183.3474,49429.01,25.26374,2.7322094,18.651083,30.77192,2.875,7.5376797,0.0,56.499996,39478.02,9964.572,836.06024,49222.312,9.974272,5.4766254,-2.4301667,19.388582,4.498913,11.17477,0.0,61.5,25283.328,13707.089,0.0,38900.71
1979,35,1.8898332,7.6292577,-11.413501,16.832335,4.274444,8.956469,0.0,47.199997,21111.04,13886.546,0.0,40154.05,18.33904,4.7856274,7.811499,27.107336,5.061538,10.115486,0.0,51.1,36388.582,14936.695,0.0,49446.406,23.325405,3.076501,16.1115,29.396917,5.0402174,14.38379,0.0,115.5,36359.67,13051.405,86.315216,49122.742,9.420014,6.0689363,-4.5134997,22.521917,4.219566,10.253997,0.0,62.300003,26016.408,12563.339,0.0,38809.242
