year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,20,-10.111611,7.46988,-28.696335,3.0015833,0.8144445,2.3946364,0.0,16.800001,25898.291,10735.359,0.0,41746.254,12.621295,7.796965,-6.6921673,27.532835,3.88022,7.0748415,0.0,38.6,36149.863,14600.627,0.0,52334.664,19.557493,4.760143,7.909916,26.820333,2.4,4.8328094,0.0,27.200003,39606.043,12540.409,0.0,52059.965,-0.72651905,9.246446,-20.529669,20.274498,3.1847825,8.264088,0.0,56.399994,19302.7,12129.999,0.0,38057.953
1971,14,-9.859991,7.8633714,-25.985916,4.6911674,1.5211112,3.6359777,0.0,25.099997,24492.889,11875.623,0.0,41603.703,12.406002,7.67611,-8.24425,26.545336,2.8945055,6.02466,0.0,30.6,38884.777,13637.474,0.0,52333.086,18.036932,4.0199084,7.620333,26.176582,3.6152174,7.203447,0.0,36.1,38357.496,12530.044,0.0,52250.67,0.5589654,9.576934,-19.798418,21.609915,2.5663044,5.9210424,0.0,35.7,18338.77,11475.783,0.0,36274.26
1972,20,-10.975959,8.674816,-34.71092,4.162,0.96263736,2.3611507,0.0,17.300001,26042.838,10010.695,0.0,41006.26,12.364221,7.9409556,-5.6609173,23.134918,2.2197804,4.921432,0.0,29.199999,37202.805,15571.245,0.0,52323.445,18.319067,4.49223,5.6474166,27.382833,4.864131,7.5965953,0.0,35.699997,34144.926,14845.665,0.0,51236.03,-1.9478962,9.459757,-26.538002,15.659917,1.7456522,4.4508157,0.0,27.3,18359.916,12361.9375,0.0,37362.266
1973,25,-4.361148,8.096024,-25.72967,8.951584,1.3722222,4.231929,0.0,28.900002,23117.367,12336.752,0.0,41198.492,12.366189,6.66051,-2.488,25.99742,3.0197804,6.044708,0.0,33.8,35258.594,15325.703,0.0,52325.36,19.633398,4.5404053,7.959917,29.05992,2.931522,5.7443895,0.0,27.5,38533.83,11578.365,2171.2937,52150.83,1.2671175,9.765522,-26.781752,19.028666,2.2184784,7.4731603,0.0,63.200005,19118.15,12701.22,0.0,36877.21
1974,11.5,-7.6620746,8.086057,-29.142172,4.637,0.76777786,1.7501094,0.0,9.900001,25291.0,11160.888,0.0,40952.77,11.7815275,6.3409896,-1.3421665,22.787003,3.056044,6.147,0.0,29.9,34577.145,15957.551,0.0,52335.82,18.83838,5.4182816,5.43075,28.901587,1.670652,4.5975037,0.0,27.199999,39705.85,11911.325,111.76987,52241.51,2.0416648,6.771389,-10.517167,18.239084,1.1282609,2.9284256,0.0,20.900002,21361.06,11964.633,0.0,37896.246
1975,21,-7.948949,5.9481287,-22.310915,3.4453332,1.7,3.6083238,0.0,19.800003,22736.492,11913.145,0.0,41606.18,11.848904,8.321604,-9.538001,25.87033,3.5087914,7.139151,0.0,40.5,35037.945,14935.231,0.0,52335.305,19.316235,5.182004,8.597417,28.276583,2.5641303,6.509513,0.0,42.0,40449.457,11312.768,746.7512,52126.68,0.8680914,9.857622,-23.119247,17.732834,1.7804348,6.0923343,0.0,49.7,22602.83,11689.521,0.0,37806.242
1976,10.5,-6.6873355,7.314018,-25.062998,7.826582,1.7208791,3.9437578,0.0,23.9,22914.479,12221.074,0.0,40656.18,14.182628,6.5437026,1.20575,27.324501,2.1340659,4.750935,0.0,30.6,42617.7,10057.307,494.10254,52321.773,20.4144,4.8622575,7.934916,29.003664,0.9576086,2.5264418,0.0,16.0,43132.055,8891.166,1109.0548,52221.89,-2.6207447,9.430309,-24.25467,17.65575,0.5206522,1.5520663,0.0,12.900001,25366.578,8405.939,0.0,38408.97
1977,23.4,-7.3449445,9.4465,-29.72758,10.753667,2.1111112,5.348642,0.0,31.800003,24538.68,11681.654,0.0,40420.074,15.651905,6.087602,-0.80258316,25.428665,2.7098901,5.3224273,0.0,34.699997,40698.93,12943.142,978.6676,52336.57,18.865263,3.9407184,11.130749,29.884918,4.054348,7.083434,0.0,38.1,36864.758,13140.463,0.0,52192.047,-0.71857077,9.555097,-24.785917,12.620334,1.8010869,3.9737184,0.0,19.199999,20801.545,11978.913,0.0,37853.344
1978,26.6,-10.021889,7.5695977,-23.56508,10.776584,0.5088889,1.3660938,0.0,9.7,27186.91,11195.155,0.0,41795.9,12.549294,6.694868,-0.7005,24.501585,3.508791,7.0622573,0.0,36.000004,35939.125,15722.679,0.0,52332.54,19.606045,4.0117507,11.134915,27.066164,5.893478,13.915528,0.0,68.7,36451.914,14255.573,0.0,51809.008,-1.0203371,10.174546,-22.79425,16.259916,0.9793478,2.0663998,0.0,10.400001,21868.36,11420.359,0.0,37393.58
1979,27.5,-10.580941,8.856802,-28.648415,5.634916,1.6677779,3.4669166,0.0,18.699999,22245.719,12268.131,0.0,41813.33,10.929468,7.1855564,-9.64425,24.884916,3.4087913,7.629354,0.0,46.800003,34840.785,15613.904,0.0,52332.418,19.336617,3.5129707,11.5911665,26.457834,1.903261,4.095252,0.0,22.5,38941.76,10415.462,0.0,52245.434,0.69793767,6.998918,-19.071335,16.659918,1.5184784,4.224729,0.0,21.9,21417.984,11548.862,0.0,38280.273
