year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,9.194856,5.229593,-3.7014167,18.417337,3.4766667,8.254574,0.0,36.6,25617.17,13869.405,0.0,41586.145,22.712662,4.069076,11.659,30.106913,2.2802198,4.980054,0.0,20.600002,38476.54,11501.472,94.353676,47981.38,26.665297,1.8044559,20.161085,31.579834,2.7217393,3.6120927,0.0,19.0,38701.965,7364.1035,5019.465,47894.79,14.2518215,5.3053017,-0.29933336,24.434,3.9760869,9.313235,0.0,51.8,26655.936,10620.657,0.0,39361.99
1971,22.5,10.877866,5.358955,-0.8368333,20.30692,3.7155554,8.951579,0.0,67.899994,27831.531,11730.086,0.0,42018.785,22.08288,4.823729,7.75275,29.87567,1.9472529,3.9506497,0.0,22.6,40920.043,7799.5093,8863.125,47643.406,25.741245,1.6090338,21.494417,30.071505,3.6826088,6.29468,0.0,54.900005,35985.18,11381.898,0.0,47356.484,16.729652,5.1313014,7.0215,25.359003,1.9119567,6.095285,0.0,43.700005,26371.133,11724.88,0.0,39100.7
1972,False,12.656803,5.13286,-1.5868334,21.559004,3.451648,8.213705,0.0,58.39999,28954.04,11275.496,0.0,41500.137,23.070513,3.8802643,12.302751,29.925673,1.9846154,4.4144697,0.0,20.000004,40913.883,8412.011,4928.622,47995.14,27.213684,1.4796729,21.861084,30.327753,1.6184782,3.0647206,0.0,17.400003,41079.54,4732.3076,20586.459,47709.92,14.91824,6.1495333,1.5631666,25.033998,2.1619565,5.459659,0.0,30.5,25808.025,12819.287,0.0,39334.992
1973,23,11.516454,5.7564063,-0.3180834,22.579834,4.076667,7.2220488,0.0,31.7,23944.758,13321.379,0.0,41150.895,21.629469,4.739768,9.252749,28.834,4.6010985,10.407813,0.0,61.4,37692.504,11731.631,0.0,47991.727,26.466702,1.6283702,20.263168,29.423584,3.3293483,5.2493553,0.0,37.500008,36236.965,10611.84,162.01596,47382.707,16.24041,6.276135,0.8131666,25.338167,3.1195652,8.031754,0.0,52.6,28858.266,10866.723,0.0,38607.97
1974,23,14.510875,4.849531,2.6131666,22.075668,2.5833333,4.9726725,0.0,27.8,25546.436,13121.612,0.0,42052.215,22.119944,3.5770197,11.981915,27.675669,3.2395604,7.355978,0.0,35.39999,38317.934,10464.542,0.0,47983.92,25.335003,2.3089,18.669416,29.248587,3.1130438,4.168754,0.0,16.600006,36263.26,11138.635,0.0,47174.56,14.287217,5.0476913,3.4215,22.459002,2.2989132,6.1841426,0.0,44.599987,27859.729,12056.166,0.0,39449.715
1975,False,12.936825,5.190932,0.021500034,22.269419,3.6144443,7.5543056,0.0,46.099995,26482.805,11843.468,0.0,41449.223,22.289839,4.469914,9.308999,27.281916,4.4813185,8.730635,0.0,56.4,36864.3,11858.007,0.0,47763.402,24.981852,2.8762436,15.315251,28.773582,4.019565,5.811985,0.0,33.6,36570.19,9995.859,0.0,47142.984,14.157075,6.3232265,-0.60558337,22.90275,2.6032608,5.799819,0.0,24.800001,26760.787,11787.871,0.0,39099.055
1976,False,12.353621,5.4477744,-1.4451666,21.825668,4.074725,8.4394655,0.0,41.300003,26991.506,12172.294,0.0,41187.434,21.465158,3.260063,13.711085,27.815252,2.2098901,4.3453693,0.0,30.699999,38220.95,10823.874,0.0,47993.41,25.90984,2.077083,20.17775,28.894417,2.4141304,3.7562428,0.0,21.400002,38526.69,8407.687,4710.819,46038.066,11.5717945,5.3723516,-0.40558338,23.465254,3.4673917,8.433581,0.0,49.8,26962.488,12875.146,0.0,39157.773
1977,21,9.430736,6.70581,-5.1368337,22.336082,3.8033333,8.135778,0.0,42.0,27268.46,12764.485,0.0,41152.797,23.988077,4.427754,12.688167,30.87567,1.1835164,2.9680245,0.0,15.4,41200.973,9229.225,6243.6543,47986.254,26.799194,1.6090548,23.075668,30.436087,3.6489136,8.056144,0.0,72.60001,37159.754,9744.836,0.0,47797.906,14.54084,5.5543704,1.4465,27.29859,4.1652174,10.266936,0.0,58.799995,26123.363,12450.818,0.0,38947.617
1978,False,7.399718,5.873494,-1.4597498,19.936083,3.2522223,7.7707634,0.0,45.399994,27172.55,13638.966,0.0,42054.26,22.895905,4.10109,13.629832,31.008997,4.206593,9.248241,0.0,47.8,39160.68,10569.971,1502.9131,47945.17,27.15825,1.8497024,20.975668,30.027746,2.5847826,5.322107,0.0,32.5,38278.496,10905.4375,1544.9083,47106.223,15.791518,5.324,1.4735833,22.917336,1.9456524,6.0742736,0.0,33.6,29650.113,10468.807,0.0,38961.07
1979,27.9,9.521453,6.155215,-2.605584,20.242334,4.636667,12.937181,0.0,101.2,23921.67,14783.327,0.0,41682.105,21.928577,3.2503521,14.277751,27.854834,4.7648354,10.245849,0.0,46.5,35848.78,13580.275,0.0,47995.055,25.667154,2.150713,20.617334,30.327751,4.7402177,12.924507,0.0,103.5,34565.81,12004.304,0.0,47726.89,13.843784,5.76699,1.1589999,24.198587,1.8630434,5.8367295,0.0,39.8,29865.078,10182.076,0.0,39231.496
