year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,5.405079,5.6736283,-10.797584,15.044082,3.2211113,6.9378057,0.0,35.9,27621.803,12265.171,0.0,40292.87,20.42325,4.6870613,9.202416,29.227417,2.0956044,5.4223795,0.0,34.299995,39378.7,10607.432,1798.2837,47604.21,24.865458,2.5750914,15.904503,30.579496,3.720652,8.857673,0.0,67.3,37950.844,10837.233,0.0,46960.54,11.508758,6.332568,-2.6725836,22.462835,3.416304,8.16308,0.0,36.699997,26299.613,11670.438,0.0,38812.758
1971,False,5.616097,5.2683973,-4.228833,16.881584,3.8566663,7.282502,0.0,33.499996,26675.584,13224.442,0.0,41463.152,19.23616,5.1920657,7.0107503,27.458664,2.7846153,5.9091253,0.0,32.5,38421.656,13255.478,0.0,47480.17,23.56358,1.6583912,19.412834,27.387833,4.432609,10.068491,0.0,69.09999,36183.01,10316.439,0.0,47179.094,12.824269,6.2514377,-0.3080001,23.23575,3.9815216,9.672777,0.0,56.899994,24597.98,12820.277,0.0,38276.742
1972,15,7.413886,5.282513,-7.3038335,18.481583,3.0582416,5.0988684,0.0,20.799997,25747.238,13490.123,0.0,40271.387,18.327003,4.2784796,4.889917,25.100334,3.695605,11.49304,0.0,96.9,38198.434,12113.011,138.50809,48058.742,24.260365,2.2137978,19.110748,29.310745,2.6880436,5.036086,0.0,29.199999,38557.152,9962.541,1261.614,47157.094,10.99148,5.23065,-3.0142498,21.500334,3.2586958,6.547194,0.0,33.999996,22632.447,14015.872,0.0,38964.562
1973,False,7.130471,6.3127813,-6.6996665,20.269081,3.8177779,7.985416,0.0,52.099995,24798.75,13722.693,0.0,40118.53,18.91171,5.029121,6.346166,26.262827,3.513187,6.969493,0.0,42.700005,36779.97,12361.93,459.00327,47368.29,24.641163,1.9328567,18.589916,28.033667,3.2706525,7.1944656,0.0,51.699997,38457.08,7781.914,9085.16,46809.523,12.115868,6.4009147,-5.7704988,22.675331,2.9869564,5.9003673,0.0,24.900002,27440.56,11115.529,0.0,38381.777
1974,False,10.257788,4.8713975,-0.83925015,19.92325,3.5255558,6.583868,0.0,33.699997,23972.742,14996.195,0.0,40732.555,19.15173,4.1928153,8.467,28.116997,3.3868134,6.5023623,0.0,34.600002,38401.914,11340.964,0.0,47605.43,22.802797,2.9347079,12.423251,27.060747,4.073913,7.327021,0.0,53.1,33297.52,12680.106,0.0,46979.594,10.753367,5.629208,0.31491664,20.800333,1.9173912,5.3312597,0.0,43.1,27014.137,12669.653,0.0,39098.703
1975,False,8.206676,4.714567,-0.08300007,18.335749,4.6244445,8.963713,0.0,52.199997,23869.764,14376.547,0.0,40974.824,19.554659,5.16796,6.3753333,26.15658,3.3186812,6.8896847,0.0,38.199997,38119.375,11560.517,1691.2219,47602.812,24.015598,2.8781133,15.489918,28.846163,4.4608693,8.33122,0.0,45.2,36480.984,11936.029,528.7372,47057.363,11.60022,6.2621527,-3.1913335,21.075333,2.2358696,6.468292,0.0,49.799995,28019.299,11003.367,0.0,38152.195
1976,False,8.841816,6.0587444,-4.6809163,20.202417,2.4263735,7.527163,0.0,54.8,29035.764,10947.895,0.0,40504.062,19.178127,3.89863,10.652416,25.148249,3.7692308,6.864429,0.0,30.400002,37057.406,12692.709,0.0,47712.25,23.48263,2.5958211,18.525335,28.181581,2.242391,4.557068,0.0,23.400002,37487.49,11366.337,0.0,47057.25,7.9765105,5.4692955,-2.6517498,20.175333,3.4934785,8.088913,0.0,47.999996,25520.812,12983.117,0.0,37813.1
1977,False,5.369662,6.884311,-8.433,19.556581,2.37,5.070701,0.0,23.3,28653.93,11513.413,0.0,40420.26,21.294449,4.261903,9.579501,29.306585,1.6076924,2.582042,0.0,10.500001,39831.902,10374.263,0.0,47832.625,25.983847,3.2124417,18.552416,32.392,2.8380435,7.631267,0.0,48.600002,38135.17,10165.856,8104.7305,47057.39,10.572071,6.2900867,-2.110083,24.2545,3.2260869,7.994516,0.0,53.0,23014.596,13292.484,0.0,38710.094
1978,23,3.8871388,5.2041264,-5.4350834,16.69825,3.5900002,7.4151993,0.0,34.199997,26187.883,13726.245,0.0,41163.754,19.981539,4.7936773,9.885749,29.994081,3.1549451,7.4217587,0.0,41.4,38504.332,12149.538,0.0,47720.17,24.76032,2.206508,18.269081,29.554497,3.895652,7.2528415,0.0,52.399994,36453.906,10531.674,0.0,47057.58,12.153119,5.3573446,-0.81008345,20.852415,1.9739131,5.7165246,0.0,31.599998,27300.78,11297.944,0.0,38239.023
1979,False,5.3926716,6.0814433,-8.593417,17.069082,3.3022223,6.9602885,0.0,29.500002,26512.277,13513.179,0.0,40585.35,18.64564,3.6440046,9.6545,24.996168,4.1835165,8.447001,0.0,46.300003,36201.152,12751.872,0.0,47720.02,23.395645,2.7520273,15.200333,29.464914,4.6380434,10.187676,0.0,86.299995,33482.44,14139.593,0.0,47256.504,10.822909,5.4702773,-0.71008354,20.794085,2.5967393,7.7742243,0.0,52.9,28995.98,9733.899,0.0,38677.844
