year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-2.1970975,6.9041686,-20.551752,9.471168,0.4633333,1.32855,0.0,9.299999,27660.17,10837.62,0.0,39847.375,17.438244,7.297757,-2.5788333,30.777412,3.1208787,7.9090595,0.0,39.6,40645.133,11179.693,0.0,50573.902,23.64775,5.550027,8.664916,31.352417,2.1119568,5.3061404,0.0,29.8,39590.344,11883.368,0.0,50043.97,4.030655,6.7326407,-7.58925,22.571167,1.477174,4.1423864,0.0,23.300003,24157.785,11820.828,0.0,38896.63
1971,22,-4.051357,7.7074184,-24.345497,16.750332,1.5355557,4.6198235,0.0,28.300001,26539.527,12455.129,0.0,41590.617,16.579887,6.4100714,2.7086668,28.777418,3.3186812,6.815912,0.0,44.800003,39119.242,13215.175,0.0,50534.598,22.588106,4.27173,9.781584,29.32325,1.072826,2.6894627,0.0,16.900002,42562.996,7434.7363,9462.798,50216.4,6.0474124,8.09555,-7.9121666,24.821161,1.7815218,5.4358582,0.0,36.8,23511.293,13018.083,0.0,38830.625
1972,False,-0.49238658,7.8265467,-19.012167,14.519082,0.53186816,1.2335026,0.0,6.6999993,29513.48,9952.078,0.0,40652.906,16.282911,6.2128024,0.9065835,26.550333,3.67033,8.081535,0.0,39.0,36555.746,14067.884,0.0,50592.17,21.942839,4.2832136,9.631584,29.471169,3.4065216,8.306224,0.0,54.899998,38482.094,10846.569,3924.7861,49519.867,2.213988,8.6094265,-16.96425,18.771166,2.430435,5.715715,0.0,40.700005,21405.936,12638.071,0.0,38850.273
1973,28,0.5494076,6.7219076,-17.255919,13.3149185,2.6466668,5.839679,0.0,37.200005,22421.291,13147.791,0.0,40094.47,15.663817,6.669217,-0.8350833,29.194082,2.1362638,5.711694,0.0,42.4,38466.49,15106.061,0.0,50579.152,22.703363,4.8252645,8.992001,30.291998,4.4336953,10.389325,0.0,69.0,36600.95,14565.466,0.0,49638.246,4.8805647,8.608419,-18.2205,22.619085,2.7021742,8.614006,0.0,58.5,25422.652,11806.585,0.0,38468.54
1974,False,-0.28012967,9.015805,-24.001747,14.442,0.6122222,1.5021204,0.0,8.099999,29020.863,9952.401,0.0,41290.453,16.678333,5.671854,1.6795,31.360743,3.0659342,6.578825,0.0,29.599998,40555.414,11444.987,795.7828,50559.59,22.43034,5.582507,11.006584,31.779495,1.526087,4.1809053,0.0,24.099998,39840.2,10211.478,0.0,49798.5,5.5658674,7.869838,-11.30175,21.833666,1.2771739,3.707228,0.0,21.4,26087.16,10827.323,0.0,38895.414
1975,False,-3.454042,5.1809998,-16.691334,9.619084,1.1000001,2.6718256,0.0,17.7,25324.021,13211.353,0.0,41758.664,15.924692,6.8655,-6.0663323,25.650331,2.979121,4.8876834,0.0,24.599998,36676.203,14644.827,0.0,50371.656,22.848293,5.3774147,11.39825,30.446161,1.5945654,4.179683,0.0,22.800003,42249.406,7948.6934,8646.232,49839.21,6.1836886,9.26608,-11.649667,26.029503,1.298913,4.020428,0.0,27.199999,26031.842,12156.678,0.0,38927.03
1976,False,1.3399396,6.535089,-19.160086,14.2795,1.356044,4.493754,0.0,27.2,28613.045,9876.073,0.0,40308.016,16.446556,5.3913345,5.4795,27.854502,2.5802197,5.890939,0.0,26.6,39075.645,12961.922,1463.6293,50606.773,23.603369,4.380372,9.244082,29.7295,1.979348,5.699056,0.0,31.800001,41102.348,9474.35,5189.199,49790.188,3.6335535,7.2363334,-12.495499,20.825336,0.30652174,1.179477,0.0,9.8,28679.25,8380.313,0.0,38845.918
1977,False,-0.088879764,7.4078565,-16.997583,15.025333,1.258889,4.0621824,0.0,25.4,28988.564,9888.216,0.0,40410.656,18.855278,5.44616,0.4378333,28.01283,3.098901,6.612925,0.0,40.4,38604.92,11526.593,5997.6084,50355.234,23.176893,3.9733927,15.714916,31.064917,4.853261,8.837264,0.0,52.1,39320.32,10352.624,1754.8556,50326.84,4.8343005,7.3673277,-14.405921,17.094084,1.4086956,4.671439,0.0,31.199999,25304.32,10989.608,0.0,38664.8
1978,29,-5.638995,7.8833184,-20.322582,19.039915,1.0388889,3.339572,0.0,26.900002,27030.625,11536.266,0.0,41869.32,16.2363,6.4302855,4.767,30.36283,3.8219779,6.4860163,0.0,26.899998,37073.85,13886.3955,0.0,50468.793,23.801783,4.2288227,12.689918,31.273245,2.7836957,8.355168,0.0,68.2,41184.527,8952.321,0.0,49619.67,4.119627,8.662179,-16.10175,19.804499,1.1967392,3.7337327,0.0,22.000004,26132.797,12351.22,0.0,38895.09
1979,30,-5.2881393,8.580533,-22.105913,13.152419,1.7055556,4.8505616,0.0,28.300001,25815.803,11935.687,0.0,40811.316,15.443969,6.457466,-0.43299994,26.979498,3.3142858,8.018058,0.0,49.500004,38793.33,14013.945,245.51114,50607.508,22.66152,3.4994648,14.454501,29.902418,2.6173913,5.9265394,0.0,36.7,40278.406,9821.534,4437.5493,49178.508,5.866116,7.0623703,-8.05175,21.483665,1.8923912,8.87762,0.0,77.299995,27169.139,10363.098,0.0,38924.555
1980,False,-2.4178443,6.6999407,-20.816336,11.44825,2.298901,5.046176,0.0,31.000002,22699.396,13397.844,0.0,40181.61,16.799946,6.3902946,3.4690835,30.123251,2.721978,6.731069,0.0,35.7,38289.83,13095.8545,0.0,50262.844,25.35407,4.5604005,13.935749,33.769085,1.3826087,3.438969,0.0,23.3,41885.22,7652.3325,0.0,49972.594,6.311995,7.9058723,-11.42675,21.639915,1.0902175,4.233905,0.0,31.0,27930.646,10420.923,0.0,38841.89
1981,False,1.9723935,6.8659363,-19.130919,16.237835,0.99555564,3.6414874,0.0,27.2,30218.84,9713.4375,0.0,41807.32,18.12895,5.258886,8.256583,30.152418,2.479121,5.6203504,0.0,36.100002,39091.918,13390.444,0.0,50562.812,22.577147,3.7638829,11.47325,31.977415,2.943478,6.7543116,0.0,44.1,37552.004,12078.247,0.0,49854.945,5.017453,7.862971,-19.239252,18.181583,2.0119567,6.680986,0.0,42.000004,22736.842,12056.085,0.0,38862.195
1982,36,-3.504667,8.7715025,-23.203833,12.51075,1.1700001,3.361061,0.0,25.7,25205.434,13144.564,0.0,41959.387,14.794952,5.684085,-2.083,24.452417,4.178022,8.480629,0.0,40.2,34040.34,13745.062,0.0,50342.13,22.359138,4.3563128,9.731584,30.75033,2.7793481,4.950292,0.0,22.300001,37054.098,12645.182,0.0,49644.688,5.155112,7.6689277,-14.970504,20.452415,1.6586957,4.271787,0.0,27.5,24164.064,11130.102,0.0,38696.074
1983,False,0.29074982,5.588259,-14.708004,14.002416,2.6488888,8.547438,0.0,65.89999,21699.832,13050.784,0.0,39849.79,13.707935,6.8343806,0.0461666,26.429502,3.4571426,6.9971123,0.0,39.199993,32367.133,15651.813,0.0,49684.82,25.546936,4.932418,9.633667,33.289913,1.4956522,4.5455427,0.0,27.2,42521.324,6684.1396,18062.969,49528.047,1.388037,12.997558,-27.40383,24.694084,2.3358693,5.8242874,0.0,38.999996,19388.787,13613.253,0.0,38920.387
1984,24,-1.3149596,5.9357624,-19.472588,10.127416,1.5263737,4.2613726,0.0,26.800001,25002.33,11406.446,0.0,40143.35,15.102715,6.48103,2.99825,24.977417,5.587912,9.652919,0.0,44.600002,35918.617,15484.341,0.0,50502.12,22.862427,5.2871876,5.63575,30.085747,0.9108696,2.9065466,0.0,20.500002,42062.844,7915.313,333.85208,49641.438,5.4418187,6.9796877,-9.307999,17.956581,1.977174,4.9263835,0.0,27.600002,23193.584,11811.535,0.0,38837.28
1985,False,-1.6031389,8.467043,-20.912167,15.010749,1.231111,3.336709,0.0,17.9,27322.217,12021.51,0.0,40663.79,16.972883,5.314838,-1.5621667,26.998247,3.9219775,9.679196,0.0,60.8,39222.586,12702.088,0.0,50610.812,21.572865,5.6380296,2.7545002,29.550331,3.8826084,7.659521,0.0,37.399994,36082.824,14188.753,0.0,50013.94,1.5652791,9.585424,-18.980917,17.312834,2.0152175,4.9181867,0.0,25.1,21576.328,12683.541,0.0,38859.254
1986,False,2.1977637,6.7851453,-17.208,19.448248,1.07,3.5959232,0.0,23.300001,28567.244,11185.865,0.0,41788.67,17.288406,5.710519,0.6274167,28.602419,4.343956,8.593101,0.0,55.3,39600.04,11061.91,6637.8164,50268.51,22.489555,3.5534606,11.446166,29.256586,4.301087,10.812087,0.0,77.10001,36661.42,12729.778,53.06548,49963.824,4.4658446,6.681139,-11.378834,16.775331,1.9597826,7.9774685,0.0,71.6,24209.56,11764.159,0.0,38392.242
1987,False,2.1989908,5.3806224,-10.537167,13.567,2.73,7.7173157,0.0,43.600002,25165.514,13226.437,0.0,41754.83,18.157455,6.3931365,-1.7809167,26.856583,2.9989014,6.320012,0.0,30.6,39204.363,13150.241,0.0,50499.895,22.289553,4.603348,13.562835,31.254501,4.2869563,10.911283,0.0,60.199993,39468.61,10670.492,0.0,50218.207,5.6402793,6.339504,-8.666334,17.92325,1.3076087,3.4131687,0.0,17.8,23405.043,13117.918,0.0,38916.184
1988,22,-1.5166081,8.526034,-20.895498,15.737834,0.50329673,1.6796461,0.0,10.900001,30022.371,9921.404,0.0,42011.133,18.921854,7.077381,4.7982492,32.287834,2.156044,5.360643,0.0,24.699999,41177.91,11780.537,726.9832,50403.98,23.741776,4.3773437,13.383666,31.616997,2.7586956,7.4014425,0.0,48.1,40428.06,10507.111,0.0,49696.742,5.7499266,5.883954,-5.7455,18.412832,0.86739135,3.1396124,0.0,25.699999,27338.889,9548.908,0.0,38630.5
1989,False,-0.7647593,7.6554317,-19.916334,18.987831,0.9366667,2.3644583,0.0,14.799998,26882.426,12304.824,0.0,41330.664,17.005093,5.924445,0.6378334,28.819082,2.3197803,6.5868087,0.0,36.7,39317.16,9808.56,7200.0,50595.523,22.135117,4.9184766,8.496165,30.771162,2.632609,5.139571,0.0,21.500002,39596.9,9915.459,4223.8013,49791.05,4.27522,10.750263,-29.855917,22.219084,0.375,1.0428854,0.0,5.9,26892.283,10625.052,0.0,38856.945
1990,27,2.607,5.2225904,-7.7184167,17.175333,1.3755555,3.4063826,0.0,21.600002,26657.031,12102.186,0.0,41102.586,16.530966,6.9192595,2.38575,31.229494,2.9736264,5.696292,0.0,26.1,35644.004,14709.1875,0.0,50595.1,23.864487,4.533394,11.481584,34.089916,2.5130434,6.917254,0.0,54.6,41220.703,8520.485,3089.6934,50177.08,5.586338,9.814178,-20.641335,21.569084,1.2108696,3.4257736,0.0,20.500002,26001.877,11665.721,0.0,38488.883
1991,False,1.1627408,7.058811,-13.099668,18.72533,1.1333333,3.597346,0.0,21.499998,28662.479,10972.061,0.0,41438.61,18.513542,6.07007,7.9232507,30.667002,3.3813188,6.3656354,0.0,33.2,34293.867,13792.489,188.94745,50577.086,23.71632,4.4645195,9.760751,31.227411,1.5108696,4.572552,0.0,30.1,40996.98,8387.894,2587.0896,50184.477,4.6746993,8.69348,-17.803835,22.55033,2.1097827,5.1383295,0.0,23.799997,23657.604,13562.728,0.0,38912.383
1992,False,3.6677098,4.581216,-8.86425,13.810752,1.4934067,3.2581456,0.0,14.399999,24666.879,13487.341,0.0,41206.984,16.051937,5.523612,1.1565834,24.460749,2.689011,6.7230687,0.0,47.399998,37374.58,12984.858,0.0,49823.332,20.908667,3.422907,12.252418,27.914917,3.6684783,7.3317604,0.0,39.7,38135.6,10695.027,149.8581,49525.676,3.9484086,7.6933455,-13.499668,20.34408,2.1282609,7.27013,0.0,57.899998,21387.94,13600.645,0.0,38828.555
1993,False,-3.2456157,6.526304,-18.730917,12.192,2.0366666,4.37494,0.0,22.3,21924.842,14421.203,0.0,40829.42,15.124347,6.219209,1.4149169,25.771164,5.478022,8.356579,0.0,41.3,32505.201,15676.7705,0.0,50378.492,21.006628,4.4697614,9.225334,28.262835,7.2760863,10.995567,0.0,50.300003,34825.996,13135.895,0.0,48792.58,4.3268056,6.9094176,-10.80175,22.406586,1.1521739,3.6549373,0.0,20.2,25947.338,10178.672,0.0,38855.61
1994,44,-1.6682547,8.31629,-20.262169,16.848251,0.5222222,2.0328636,0.0,13.9,30167.863,8938.55,68.94086,41966.04,17.341818,7.106694,0.8836667,29.262833,2.9428573,6.30307,0.0,28.299997,37899.95,13803.573,0.0,50496.727,22.334345,3.7600253,9.02325,28.539917,2.906522,8.628496,0.0,71.8,40454.99,8744.328,194.89677,49488.0,6.4690604,7.1045456,-10.105915,21.383667,1.7532606,5.147184,0.0,29.8,24490.775,12740.5,0.0,38283.355
1995,False,0.6448935,8.011376,-18.685083,14.419084,1.1811111,3.2938108,0.0,20.5,27947.146,11160.8125,0.0,40405.215,14.338703,5.954294,-0.8934167,25.283669,4.875824,8.362408,0.0,46.399998,31443.879,17266.094,0.0,50489.652,23.184006,5.245015,5.887833,31.12533,2.773913,7.3952594,0.0,37.9,39846.28,9988.784,619.7102,49649.797,4.88686,7.386065,-13.0205,21.781584,0.69456524,2.4487882,0.0,19.9,25293.09,12125.871,0.0,38703.63
1996,False,-2.2268186,8.773079,-24.05175,11.950334,0.6791209,1.978356,0.0,12.3,30073.926,9902.526,0.0,41269.977,16.338406,6.560257,2.4274166,28.294083,4.4230766,9.639411,0.0,52.199993,34640.676,15141.021,0.0,50336.54,21.025446,3.9010344,10.337833,29.994085,3.7152174,7.377809,0.0,35.099995,37857.438,11453.407,1662.9736,49955.254,3.619423,8.869898,-15.8392515,20.958664,1.3380435,8.089321,0.0,76.9,24698.182,12203.155,0.0,38826.043
1997,42,-0.14867142,7.72064,-18.420502,14.321166,0.6611111,1.6305851,0.0,7.0,27853.232,10886.216,1027.4513,41995.85,14.645916,7.9380713,-5.7350826,29.046171,2.6219778,5.6911,0.0,36.699997,37496.48,15132.47,0.0,50564.914,22.785929,3.94266,12.798249,30.587835,2.680435,7.397033,0.0,59.9,39359.152,12278.725,0.0,50303.266,4.651126,8.133788,-7.8017497,25.971167,1.903261,6.5729294,0.0,42.700005,24866.312,11769.6875,0.0,38756.547
1998,43,-0.1323055,6.7397866,-19.905918,18.412832,1.5133334,3.899905,0.0,22.999998,23964.336,12785.845,0.0,40622.87,16.515604,6.2838497,4.3940835,28.97116,3.7604396,7.132288,0.0,29.599998,37255.836,14821.076,0.0,50602.375,23.842245,3.1610336,13.650332,30.660746,2.1663043,5.045361,0.0,29.1,39090.6,10711.249,0.0,49803.32,7.0145316,7.2901416,-12.895499,20.087831,1.6978263,4.582551,0.0,24.599998,24297.158,12268.04,0.0,38134.15
1999,False,0.8978565,6.532085,-17.053835,15.106584,0.9944444,2.857962,0.0,17.299997,26711.633,12379.821,0.0,41604.07,15.813839,5.343775,3.5545003,26.133667,5.634066,10.215851,0.0,53.000004,30859.434,15820.085,0.0,50064.543,22.711882,4.4715176,12.194083,30.523252,1.7010868,4.235317,0.0,25.9,40931.54,9081.468,240.38828,49822.33,8.12839,6.732919,-7.4746647,21.148249,0.36630437,1.6879193,0.0,14.799999,30149.56,7695.47,0.0,38903.977
2000,False,2.9784238,5.7436423,-6.38925,16.896166,1.3120879,4.0396876,0.0,25.0,27991.5,10866.319,0.0,41495.14,17.410063,5.808626,3.339917,27.71908,2.3406596,5.63562,0.0,35.699997,40717.895,10317.675,3902.8674,50608.07,24.31315,4.6446857,7.54825,29.82325,2.0695653,5.338143,0.0,26.199999,40617.105,9941.923,1583.5076,50202.84,2.0440829,11.500503,-21.510084,23.537832,1.2815218,3.3998687,0.0,18.600002,26390.36,10914.781,0.0,38722.33
2001,34,-2.8279305,6.4763217,-19.9955,9.071166,1.672222,3.4086483,0.0,15.799999,26281.268,12246.095,0.0,40955.668,17.205437,5.5284038,3.3315837,27.502417,4.051648,10.945496,0.0,74.200005,38038.477,14982.677,0.0,50610.938,23.653864,4.7359934,10.871166,32.18366,2.8586957,6.4747715,0.0,37.199997,40328.246,9345.912,3020.0146,49371.586,7.6763306,7.2984476,-9.310082,20.421167,1.0717391,3.2795174,0.0,21.999996,27876.568,9628.158,0.0,38854.81
2002,False,-0.6064489,5.8496814,-17.035084,9.631581,0.84,2.6295555,0.0,19.5,30429.521,9396.963,0.0,41304.96,17.801226,7.410422,-1.033,30.817001,1.7670329,3.8681047,0.0,20.600002,38516.246,12867.224,0.0,50239.72,24.741795,4.5664825,13.841999,32.35033,1.1619565,3.1559064,0.0,18.5,41142.63,8605.982,3078.3787,50093.88,4.4426117,5.9060183,-4.651749,23.906584,1.247826,4.272747,0.0,28.7,26500.807,10968.612,0.0,38881.28
2003,21,-0.49772215,7.19873,-18.647585,15.977416,0.9777778,2.755496,0.0,15.999999,28629.377,10546.038,0.0,40405.84,16.071922,5.8324685,-1.1788335,28.819084,3.675824,8.083389,0.0,46.9,37188.38,13323.565,0.0,50575.156,23.88867,5.376791,9.362835,32.158665,1.4195653,6.1667356,0.0,56.000008,42010.95,8916.099,171.99554,50086.05,5.770804,7.5066214,-11.466334,20.514915,1.0413043,3.2402737,0.0,19.699999,26826.256,10222.455,0.0,38899.15
2004,False,-0.5727208,8.862439,-20.67467,17.604498,1.4351649,3.7003112,0.0,19.499998,27161.432,11976.682,0.0,41544.062,17.137856,5.6076746,3.2357495,25.871164,2.8593404,5.8422594,0.0,31.699997,37811.355,13950.362,0.0,50603.156,22.539055,3.441384,14.742001,29.423248,2.6369565,5.691399,0.0,37.3,39850.477,8871.127,2059.4414,49278.066,6.693449,6.9963403,-11.593417,21.014917,0.8782609,2.5028698,0.0,15.5,25136.912,11368.378,0.0,38724.43
2005,False,0.54128224,7.0576096,-21.297585,16.275333,1.221111,3.4043758,0.0,18.1,25456.988,13758.397,0.0,41406.477,17.831354,6.2989025,5.5378337,29.012833,3.1219778,5.860523,0.0,29.4,38714.53,11712.317,5682.703,50550.914,24.2237,3.456964,12.3461685,31.591997,1.9543477,7.43256,0.0,49.6,40852.973,9007.382,9402.436,50205.562,5.570713,9.443459,-16.641333,26.483664,1.0554348,3.111,0.0,16.300001,27603.7,9134.975,0.0,38552.97
2006,False,2.401977,5.070624,-15.147583,15.221168,1.1566666,3.728754,0.0,22.8,29532.305,10086.371,0.0,40683.2,19.180643,5.8866243,6.3107495,29.341997,1.8164835,4.2673764,0.0,26.7,40866.715,11279.838,0.0,50526.99,23.180155,5.2560325,11.006581,33.13575,2.6532607,6.9172893,0.0,39.999996,39337.9,10934.786,3807.4236,50329.477,6.149519,6.7011437,-6.845499,25.714918,1.2043478,3.8026571,0.0,19.999998,25644.91,11345.046,0.0,38876.64
2007,46,0.8326944,8.514571,-16.316336,18.696165,1.4855555,4.5576596,0.0,28.600002,28043.922,10593.719,0.0,40678.836,16.901455,6.8345714,-2.510083,26.429499,3.7681322,11.148341,0.0,86.799995,37723.23,13891.541,0.0,50380.07,24.195713,4.162522,11.221168,29.977417,2.7869565,9.49376,0.0,75.8,41637.254,8019.856,9214.137,50085.59,4.763423,9.05181,-12.558,24.935753,2.3413045,5.8577676,0.0,25.699999,26242.438,11540.307,0.0,38696.496
