year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,,-6.4907045,5.6962914,-18.58742,3.364667,2.6522222,4.2553663,0.0,23.9,23856.166,12940.879,0.0,42129.93,11.786714,7.0475383,-4.5874166,23.664665,3.4747255,8.153834,0.0,48.499996,39583.37,13203.731,0.0,50682.477,19.000399,3.475718,8.841748,25.118834,4.080435,6.4329553,0.0,28.800003,37395.8,12915.742,0.0,50422.56,4.2321935,7.80476,-11.545751,18.439665,4.2499995,5.6490493,0.0,25.799995,16470.705,13118.004,0.0,36809.652
1971,,-5.451537,5.9256215,-19.03742,6.7396665,3.9955556,5.506317,0.0,24.599998,22993.486,11514.949,0.0,42207.086,10.055966,7.8193192,-4.893667,25.723,2.0703297,3.8382142,0.0,15.500001,37505.152,15280.334,0.0,50851.188,18.856966,3.0181162,11.356334,23.860498,3.1358695,5.5105014,0.0,30.1,37423.594,13243.568,0.0,50830.707,5.0147796,7.8354044,-9.729083,19.085499,3.4467394,4.6396866,0.0,20.400003,21147.104,12381.141,0.0,38506.33
1972,,-5.2206354,5.5856743,-17.456167,5.6480002,3.6516485,5.323332,0.0,28.6,22605.975,12194.283,0.0,42280.555,10.6072035,7.397153,-8.149917,23.72508,3.867033,6.8282266,0.0,45.7,36544.793,14065.691,1048.2926,50509.785,18.37839,3.2651548,10.533416,25.106329,3.3260872,5.942543,0.0,24.0,37742.555,12431.62,0.0,50407.746,2.222117,5.812833,-13.331166,15.26675,4.746739,7.0142937,0.0,38.6,15148.796,13483.256,0.0,38253.23
1973,,-1.6112132,7.013653,-18.627,10.112583,3.207778,4.8656845,0.0,22.000002,22503.88,12425.873,0.0,41857.047,12.79596,6.32497,-1.5145,23.30425,4.75055,6.6931705,0.0,27.400003,34339.574,14730.772,0.0,50682.68,20.078209,4.1347876,9.26675,26.104246,2.955435,5.782379,0.0,29.500004,39109.656,10817.19,2447.407,50507.43,4.7630816,6.89103,-13.347835,17.277166,4.8847823,6.3353353,0.0,28.7,19784.309,13039.621,0.0,37831.938
1974,,-3.7923245,5.6762114,-16.412418,8.550082,3.5533333,5.148256,0.0,23.400002,22027.07,13106.02,0.0,41820.434,12.149717,5.8970623,-1.6311669,25.014664,3.8076923,6.258563,0.0,34.800003,36456.12,14491.067,0.0,50582.973,18.612717,3.6149836,7.3125834,24.550081,3.8749998,7.6032186,0.0,44.600002,38453.95,11605.115,0.0,50500.105,3.8944895,5.2149067,-6.2478333,15.972999,3.525,6.0919986,0.0,32.0,19157.248,12301.833,0.0,37657.766
1975,,-2.963852,4.496189,-12.952001,6.770916,3.971111,4.47277,0.0,19.900003,21603.434,12955.269,0.0,42208.85,12.26469,8.478564,-4.2145,24.408417,3.0945055,6.7190666,0.0,33.699997,38077.8,14252.027,0.0,50769.277,18.92121,4.0248704,9.068833,26.997995,5.8347826,10.746463,0.0,56.6,36728.676,13584.278,0.0,50681.164,5.2532763,7.6559877,-14.64367,16.660501,3.7891304,6.0596747,0.0,35.399994,20032.057,12238.768,0.0,37723.543
1976,,-3.2965968,6.99867,-22.335335,12.256333,4.2901096,5.561995,0.0,24.399998,21396.559,12661.265,0.0,41549.68,12.535454,6.6236453,-2.7124166,23.383415,5.7164836,8.75504,0.0,36.7,36836.883,14820.393,0.0,50443.848,17.742725,3.3087277,9.914667,22.672998,4.425,6.562525,0.0,33.0,35992.08,13720.77,0.0,50479.797,0.8018948,6.95826,-13.841584,15.291751,4.08587,7.32073,0.0,54.699997,22147.52,11018.954,0.0,37972.72
1977,,-4.5019073,7.1680093,-18.78325,14.533418,3.6188886,5.693953,0.0,26.400005,22886.877,13246.974,0.0,42158.83,12.737423,6.219316,-2.272833,22.885498,2.953846,6.5364504,0.0,33.600002,40123.4,13799.934,0.0,50744.83,18.59999,3.4234328,10.44175,25.185495,5.894565,9.029552,0.0,44.899994,35333.613,13714.928,0.0,50677.938,3.7822843,6.8136525,-14.372836,15.445915,5.736957,7.8903713,0.0,37.300007,19304.633,12771.142,0.0,36543.883
1978,,-6.2807965,4.904121,-17.647833,4.641751,3.761111,7.0677896,0.0,45.50001,23385.672,13442.757,0.0,42138.19,11.698892,7.0531526,-2.2561672,24.300081,2.7615387,5.384995,0.0,28.400003,37439.652,14855.071,0.0,50768.6,19.020666,3.8764937,9.027165,26.793833,2.8445654,6.3095665,0.0,36.2,39042.97,10624.165,2414.4902,50855.223,3.378095,6.161412,-11.627,15.077165,4.007609,6.7110906,0.0,44.5,20707.713,12772.406,0.0,36995.87
1979,,-4.81001,8.219957,-22.297834,11.520917,3.3888886,5.189021,0.0,27.2,20964.697,14432.686,0.0,41782.207,12.456906,6.742398,-2.2895,23.825083,2.9582415,5.451668,0.0,25.5,36442.32,15791.296,0.0,50856.105,19.09603,3.987626,10.475083,26.793829,3.0739129,7.849026,0.0,48.299995,38185.367,12429.9795,0.0,50705.625,5.3080544,6.3867383,-11.699917,20.983416,3.6565216,6.1238914,0.0,35.7,19448.469,12092.305,0.0,36608.03
