year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,False,-5.5253983,7.244507,-24.265585,5.524,0.79444444,2.2580376,0.0,13.900002,26744.586,11001.37,0.0,40924.48,15.136227,7.8859468,-2.034333,30.776083,2.8406594,6.27995,0.0,37.100002,39499.32,13231.257,0.0,51531.992,22.881224,5.3441725,7.5364995,31.128168,0.8630435,1.7656502,0.0,8.6,41557.867,9842.0205,0.0,51289.33,1.0233656,8.840175,-19.748919,20.978167,1.5913043,4.2341795,0.0,27.999998,23100.014,11247.116,0.0,39012.44
1971,False,-5.9933615,7.618032,-22.67392,10.871917,1.1666666,4.837099,0.0,35.0,25688.203,10891.836,0.0,41584.555,15.418621,7.07017,-0.9259998,30.99275,2.6648352,5.727233,0.0,27.800001,39586.695,12866.338,725.19446,51529.414,21.732264,4.9234967,8.136499,30.392752,1.5749999,4.555509,0.0,25.400002,41399.445,9403.459,0.0,51335.664,2.5567896,8.613584,-15.548916,20.401083,1.7130433,4.8841124,0.0,29.2,23330.084,11831.273,0.0,38404.953
1972,False,-4.514668,8.374971,-25.07183,9.799,0.5538461,1.1868078,0.0,6.0999994,29464.588,8851.306,245.9704,41409.43,14.430549,6.5846524,-0.17391664,25.769835,4.058242,7.569413,0.0,41.399998,34744.805,15666.708,0.0,51528.305,21.257854,4.5464873,9.263583,30.159418,1.9684783,5.0632467,0.0,35.7,38511.188,11162.88,1421.571,51021.555,0.7171839,8.980537,-21.271837,17.824,1.5619565,5.146424,0.0,40.6,21808.322,12342.518,0.0,38961.54
1973,False,-1.7259771,7.60862,-21.657251,10.815666,1.4477779,3.2007453,0.0,17.0,24122.104,12872.685,0.0,40321.54,14.669994,6.375611,-0.06975005,26.776085,2.795604,8.605591,0.0,66.1,40824.668,13266.041,0.0,51527.203,22.169401,5.0907335,8.869833,30.569834,2.9652176,7.7278776,0.0,55.199997,36855.28,15314.228,0.0,51139.23,2.687134,8.875801,-21.771835,18.851082,1.5228262,4.646188,0.0,29.800003,23526.492,11730.017,0.0,38482.344
1974,False,-1.9149351,7.9598017,-25.203081,10.448999,0.7633334,2.3323545,0.0,12.400001,28994.797,8774.408,2502.794,41116.453,15.021434,6.0138903,1.7594166,27.98858,2.6472528,6.213468,0.0,41.3,40110.63,13562.763,0.0,51527.75,22.23324,5.453376,8.021917,31.92608,0.7478261,1.9042162,0.0,14.6,42388.77,7012.019,15892.954,51270.86,4.938085,6.9229927,-7.190584,20.463583,0.4880435,1.3625963,0.0,9.0,27680.3,8936.997,0.0,39011.035
1975,False,-4.195306,5.354733,-19.48225,8.526084,1.1933333,2.8953586,0.0,16.699999,24044.639,12710.224,0.0,40114.78,14.156395,7.6664705,-10.442666,27.284416,3.1802194,6.451377,0.0,48.899998,37095.906,13899.005,1221.6516,51475.547,22.873888,5.4043174,10.432333,31.601082,1.3282609,3.7910633,0.0,22.400002,43056.586,8125.9688,891.2315,51234.812,3.199113,9.978594,-18.830168,21.19275,1.0597825,4.1248126,0.0,28.199999,24475.521,12698.663,0.0,39044.996
1976,False,-1.8903314,7.7274346,-24.557251,12.384418,1.0076923,2.5947483,0.0,16.2,28114.986,10100.769,0.0,41601.16,15.915117,5.655495,5.7490005,27.513586,2.4252746,8.488954,0.0,66.99999,40928.46,12556.151,0.0,51524.254,22.971258,4.8530784,8.749,31.509415,1.523913,4.089745,0.0,22.9,41224.22,8638.609,11033.686,51037.625,2.3299778,7.661992,-14.844752,20.976084,0.25434783,0.89729923,0.0,6.200001,27630.682,8968.32,0.0,38956.816
1977,False,-2.820514,7.009776,-19.326,11.432334,2.16,6.156185,0.0,33.5,27221.34,10438.462,0.0,40805.664,17.497032,5.7972875,0.67399997,27.096914,2.7285717,6.926652,0.0,49.2,39519.727,12763.836,0.0,51502.418,21.854795,4.318941,14.007333,32.91567,4.9630437,12.061972,0.0,66.200005,38763.336,10673.606,0.0,51355.887,2.3009927,8.107564,-18.934332,15.809415,2.0184782,6.334831,0.0,42.699993,23565.512,11251.005,0.0,38656.33
1978,False,-8.606486,8.737724,-25.48642,16.705248,0.7111111,1.7435237,0.0,9.400001,26150.191,11955.522,0.0,41837.465,14.55992,6.846708,1.6073333,29.261497,2.8923078,5.716297,0.0,25.299997,35999.434,15413.777,0.0,51525.566,22.935257,4.1150374,13.078168,30.155252,2.1456525,6.2076063,0.0,44.1,41814.953,8683.659,4560.4717,51248.426,2.4926815,9.4488945,-17.940584,19.040667,0.5260869,1.5518064,0.0,10.6,26420.797,10126.003,0.0,39010.613
1979,False,-8.68887,8.474368,-25.707253,10.126084,1.4711112,4.6586933,0.0,37.1,24790.742,12357.636,0.0,41150.36,13.606257,7.1493597,-4.042666,27.974,2.8483515,5.65637,0.0,28.0,38301.824,14375.938,0.0,51527.977,22.23582,3.6700997,13.209418,29.02608,2.402174,7.451204,0.0,56.800003,39949.74,9310.112,0.0,51126.562,3.4864323,7.051663,-13.046833,18.469833,1.5249999,5.539124,0.0,35.099995,25583.158,10816.166,0.0,39042.293
1980,False,-3.6825018,6.0794854,-19.776001,8.211499,0.9164835,2.3958883,0.0,12.6,24437.824,12337.6,0.0,40920.383,16.104313,6.4170403,3.8073332,28.257334,2.354945,6.6522217,0.0,48.699997,41073.848,11051.968,0.0,51509.93,23.280159,4.5282555,13.211501,32.66775,1.2836956,3.9533064,0.0,29.3,40949.63,10119.895,0.0,51189.58,4.108194,7.921034,-13.79475,21.424002,0.7195653,2.337945,0.0,14.7,24980.11,11379.441,0.0,38801.98
