year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1970,,-2.5717635,5.6762266,-19.9485,8.055667,1.77,3.8024075,0.0,19.099998,25472.791,12662.308,0.0,41273.832,14.454775,5.6229,1.47025,23.347334,1.9120879,4.1331677,0.0,24.200003,39615.074,12055.001,1960.3641,49284.46,20.270454,2.8303592,8.5390005,25.695251,1.3913045,3.2984395,0.0,22.999998,40005.504,9500.449,0.0,48876.46,5.748286,6.491584,-8.536,17.630667,2.7945652,5.81522,0.0,35.999996,22723.77,13028.44,0.0,38328.21
1971,,-2.2097962,5.7934237,-17.060999,10.911918,2.8644443,5.9093966,0.0,29.000002,27951.006,12266.861,0.0,41645.355,12.566291,5.8597326,0.5869166,23.05567,3.1494505,7.3275943,0.0,48.4,38552.125,12979.767,0.0,49266.953,18.816423,2.0219646,11.228584,22.720253,2.7663045,5.1845775,0.0,31.3,36083.023,13089.223,0.0,49128.074,6.697288,7.09784,-12.410999,18.822334,2.775,6.7511926,0.0,31.900002,23083.387,12409.82,0.0,37472.234
1972,,-0.2114578,5.7423196,-17.138083,13.859833,2.454945,4.693477,0.0,28.400002,26391.865,12170.209,0.0,41277.74,12.149599,4.937402,-3.277667,21.382751,5.4,11.886499,0.0,96.7,35372.082,14599.94,0.0,49309.1,18.573784,2.784067,12.899417,24.493166,2.826087,5.381835,0.0,31.6,35730.77,13438.616,0.0,47939.35,4.539272,4.8635464,-9.863083,13.895248,3.6586957,8.169551,0.0,54.699993,22128.28,13191.318,0.0,38571.88
1973,,1.1491852,5.544394,-12.383918,14.020251,2.52,5.271807,0.0,34.899998,24476.809,13288.436,0.0,41293.6,13.097837,5.9635444,-0.95683336,22.539003,3.2967033,5.589722,0.0,29.100002,35261.15,15047.286,0.0,49305.625,19.605824,2.8081355,11.2265005,23.922333,3.2173917,6.613301,0.0,36.800007,37273.785,11281.605,2077.7192,48523.72,5.6917863,6.6990714,-9.748498,16.893167,3.0597825,7.956669,0.0,52.3,23806.145,12540.515,0.0,37591.84
1974,,2.428236,4.8724256,-8.6797495,14.003582,2.6155558,4.7357097,0.0,20.4,24219.88,13519.413,0.0,40823.92,13.223934,4.648463,1.8098332,21.92025,3.2945056,6.7299557,0.0,41.4,36808.95,13267.592,0.0,49272.125,18.437551,3.315659,6.7223334,23.184835,2.6032608,4.9244947,0.0,26.699995,35666.99,11746.716,0.0,49018.58,4.309743,6.0038486,-8.394332,16.041084,2.1956522,7.1897044,0.0,47.7,27139.166,9806.668,0.0,38629.605
1975,,0.45784256,4.5542083,-11.288083,12.788999,3.0555558,5.9377313,0.0,33.399998,23177.51,13826.306,0.0,41494.523,13.27746,6.3166504,-3.2630835,22.407751,3.4494507,5.5899787,0.0,25.4,37558.754,12750.764,0.0,49270.29,18.911802,3.3930786,9.186917,24.443167,3.9510865,6.8023186,0.0,43.8,35549.7,13936.803,0.0,49154.934,6.371791,6.449263,-9.7526655,16.472336,2.7891304,6.585823,0.0,40.1,27303.87,9977.631,0.0,38645.773
1976,,1.7072004,6.5258265,-12.663082,14.766083,2.2428572,5.8885036,0.0,36.0,27333.924,12259.726,0.0,40745.812,13.743647,5.8708034,-0.24016678,21.884834,2.3065934,5.1392136,0.0,33.5,39934.242,11116.858,0.0,49266.734,18.23943,2.8763595,10.0702505,23.45775,2.4836957,5.8500357,0.0,38.300003,37915.887,10762.085,0.0,48826.71,2.1156306,5.7803164,-8.744333,15.911916,3.672826,11.021059,0.0,91.99999,25389.9,11491.642,0.0,36608.465
1977,,-1.9680368,8.35472,-20.513083,16.441082,1.4955556,3.866535,0.0,24.699999,29703.887,10746.115,0.0,41545.016,14.550287,5.1647983,0.42025006,21.999414,2.2593405,5.791411,0.0,32.5,40904.348,9775.504,0.0,49274.094,20.607092,3.1305761,13.28275,26.022337,1.4021738,2.4140148,0.0,14.400001,38037.414,10597.25,0.0,49060.125,4.4231257,6.344181,-10.156833,15.574417,4.2782607,8.097277,0.0,49.3,21322.395,13524.113,0.0,37909.203
1978,,-4.4772496,5.814555,-17.440165,8.6015005,2.9566667,6.2559285,0.0,29.999998,25771.652,13629.21,0.0,41466.742,13.332042,5.416518,4.124417,24.061918,2.9791212,5.6630874,0.0,31.400002,38106.137,13326.677,0.0,49272.414,20.031187,2.7848697,10.880666,25.859835,2.6141305,5.2174387,0.0,28.599998,35351.316,13098.332,0.0,48523.477,5.8045793,5.1450305,-5.708916,15.85775,2.3108697,4.8092737,0.0,24.300001,24940.97,12600.304,0.0,38025.27
1979,,-1.7985,6.923202,-17.625582,13.814,3.2644444,6.340813,0.0,31.6,24942.09,14566.981,0.0,41219.93,13.083276,4.736503,-0.1526667,20.55567,3.4769232,5.40876,0.0,31.9,36350.863,14460.489,0.0,49344.258,18.165539,3.0274322,10.986917,23.69525,4.570652,8.458398,0.0,52.499996,33839.066,13460.3125,0.0,48884.727,5.5692534,5.3804884,-6.094332,16.647333,3.2271738,9.613647,0.0,54.100006,26530.338,9890.966,0.0,37306.703
1980,,-1.3173646,5.4046984,-13.196418,10.53275,2.4505494,4.4278507,0.0,21.400002,24830.877,13080.936,0.0,41175.934,13.378218,4.7937207,2.9785833,23.553581,2.612088,5.1811805,0.0,29.000002,38307.008,12489.781,0.0,49312.414,20.818756,2.8994102,10.989001,25.780664,1.8391304,3.188336,0.0,15.400002,37291.426,11662.516,138.50029,48933.312,4.135535,6.1706257,-11.683917,16.843166,1.5641304,4.8771405,0.0,40.699997,25516.709,11810.542,0.0,37732.7
