state,county,lat,long
IN,GREENE,39.0364,-86.962
IN,RIPLEY,39.1034,-85.2624
IN,PUTNAM,39.6663,-86.845
IN,TIPTON,40.3114,-86.0519
IN,MIAMI,40.7695,-86.0451
IN,SHELBY,39.5236,-85.7918
IN,MADISON,40.1617,-85.7194
IN,CLARK,38.4773,-85.7073
IN,BARTHOLOMEW,39.2059,-85.8977
IN,ST. JOSEPH,41.6167,-86.2898
IN,HANCOCK,39.8235,-85.7732
IN,JEFFERSON,38.7858,-85.4385
IN,LAGRANGE,41.6427,-85.4265
IN,RUSH,39.6199,-85.4658
IN,POSEY,38.0218,-87.8684
IN,FULTON,41.047,-86.2636
IN,WHITLEY,41.1394,-85.5052
IN,WABASH,40.8457,-85.794
IN,SWITZERLAND,38.8262,-85.037
IN,HARRISON,38.1952,-86.1113
IN,FAYETTE,39.6401,-85.1787
IN,FRANKLIN,39.4148,-85.0603
IN,VERMILLION,39.8538,-87.464
IN,TIPPECANOE,40.3886,-86.8941
IN,FLOYD,38.3194,-85.9068
IN,MARION,39.7816,-86.1384
IN,BENTON,40.6063,-87.3109
IN,GIBSON,38.3118,-87.5846
IN,PIKE,38.3988,-87.2322
IN,MONTGOMERY,40.0404,-86.8933
IN,PARKE,39.7736,-87.2063
IN,HENDRICKS,39.7695,-86.51
IN,WARREN,40.3469,-87.3533
IN,WELLS,40.7291,-85.2212
IN,MARTIN,38.708,-86.8031
IN,CLINTON,40.3017,-86.4752
IN,MARSHALL,41.325,-86.2618
IN,LAWRENCE,38.8412,-86.4834
IN,SULLIVAN,39.0888,-87.4146
IN,DE KALB,41.3976,-84.9991
IN,UNION,39.6255,-84.9251
IN,KNOX,38.6891,-87.418
IN,HENRY,39.931,-85.3964
IN,HOWARD,40.4836,-86.117
IN,ORANGE,38.5418,-86.4951
IN,BROWN,39.1962,-86.2274
IN,OWEN,39.3129,-86.8376
IN,HAMILTON,40.0725,-86.052
IN,DUBOIS,38.3643,-86.8798
IN,FOUNTAIN,40.1209,-87.2419
IN,CASS,40.7615,-86.346
IN,STEUBEN,41.6439,-85.0008
IN,DEARBORN,39.1453,-84.9733
IN,WASHINGTON,38.6,-86.1053
IN,DECATUR,39.3069,-85.5013
IN,CARROLL,40.5829,-86.5635
IN,JAY,40.438,-85.0057
IN,WARRICK,38.0922,-87.2721
IN,MORGAN,39.4815,-86.4462
IN,CLAY,39.3928,-87.1158
IN,PERRY,38.0797,-86.638
IN,OHIO,38.9501,-84.965
IN,BOONE,40.0508,-86.4687
IN,NOBLE,41.3986,-85.4174
IN,JENNINGS,38.9969,-85.6281
IN,VIGO,39.4306,-87.39
IN,RANDOLPH,40.1576,-85.0114
IN,STARKE,41.281,-86.6478
IN,BLACKFORD,40.4735,-85.3248
IN,GRANT,40.5158,-85.6548
IN,PORTER,41.4605,-87.0672
IN,SPENCER,38.0142,-87.0077
IN,NEWTON,40.9559,-87.3975
IN,PULASKI,41.0419,-86.6989
IN,SCOTT,38.6851,-85.7474
IN,DELAWARE,40.2275,-85.3969
IN,CRAWFORD,38.2923,-86.4517
IN,JOHNSON,39.4899,-86.1017
IN,LA PORTE,41.546,-86.74
IN,MONROE,39.1609,-86.5231
IN,KOSCIUSKO,41.2441,-85.8607
IN,ELKHART,41.5974,-85.8587
IN,WAYNE,39.8644,-85.0099
IN,HUNTINGTON,40.8291,-85.4881
IN,DAVIESS,38.7024,-87.0721
IN,VANDERBURGH,38.0254,-87.5857
IN,JASPER,41.023,-87.1162
IN,WHITE,40.7499,-86.8654
IN,JACKSON,38.9064,-86.0376
IN,LAKE,41.4156,-87.3817
