,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,22,4.7248473,5.928006,-11.71675,14.852002,3.2011108,5.706383,0.0,22.099998,23992.893,14030.82,0.0,41794.37,20.2186,4.4892335,8.804084,27.656164,4.3076925,9.784434,0.0,42.3,38720.684,12401.5,0.0,48897.492,25.658089,2.7196515,16.631166,30.960333,2.1076088,3.9776087,0.0,19.700003,39958.0,8555.242,798.90106,48781.445,10.882661,6.1799006,-4.687583,21.724916,3.6673915,7.2575254,0.0,32.699997,23453.975,12854.217,0.0,39125.445
1,1971,29,5.455681,5.7648807,-9.34175,17.487417,3.7266667,6.7287374,0.0,26.7,25472.158,14358.936,0.0,42083.97,20.090553,5.5738688,4.2624164,29.206163,2.4989011,5.3043275,0.0,30.800001,41111.926,10025.327,1164.7875,48771.207,24.290997,2.2719462,18.647833,29.97075,2.8891304,5.6014028,0.0,40.600006,37860.56,10839.694,1469.2323,48731.03,13.178403,5.929665,2.2394998,23.95408,3.027174,6.6386333,0.0,35.299995,24671.525,12537.264,0.0,39071.45
2,1972,24.4,7.5712533,5.541625,-10.002166,16.52075,3.440659,6.02052,0.0,28.199999,26153.406,12752.615,0.0,41138.656,19.774412,4.8379607,6.964499,27.293665,2.2516482,5.2407885,0.0,24.900002,39868.004,10648.573,4380.8623,48895.062,25.080555,2.1498778,15.683249,28.793663,2.426087,4.807866,0.0,24.300001,40023.23,8863.206,5307.812,48569.35,10.275076,6.047212,-3.3125832,20.910332,4.4597826,8.287142,0.0,44.899994,21552.066,13449.561,0.0,39100.992
3,1973,19.7,7.4169765,6.2529597,-4.8250833,19.360334,5.2544446,11.778147,0.0,74.39999,24153.555,13494.146,0.0,41099.15,18.623108,5.18548,4.8645,26.170752,4.6164837,10.333185,0.0,81.7,36417.355,13846.924,0.0,48887.3,24.789614,1.9370716,16.358252,27.781164,2.6315217,5.190946,0.0,28.700003,38297.93,9663.236,2320.9927,48615.14,12.54455,6.8098164,-2.96675,23.510332,4.433696,10.669688,0.0,56.199997,26173.096,11909.431,0.0,38882.594
4,1974,20,9.630078,5.682498,-1.4646667,19.699915,5.23,8.391495,0.0,35.2,23297.86,14657.197,0.0,42121.83,19.276886,4.172255,7.9082513,26.837416,3.932967,6.9596467,0.0,31.300001,37735.055,12881.769,0.0,48898.707,23.250916,3.3504808,13.720749,28.010332,3.8565218,7.911062,0.0,54.399998,34364.59,14247.89,0.0,48751.87,10.490406,5.399055,1.0915833,20.231165,3.298913,7.407399,0.0,36.6,24983.145,13841.074,0.0,39123.086
5,1975,26.5,7.7326255,5.23322,-5.652167,18.654081,6.1922226,12.616871,0.0,58.0,23292.758,13748.574,0.0,41437.562,19.942636,5.3783684,5.506167,27.347834,3.645055,7.1391916,0.0,32.5,36892.117,13203.685,0.0,48890.242,23.514816,3.9544451,11.88325,28.537416,3.8999999,8.34993,0.0,41.1,36634.934,13282.619,0.0,48782.035,11.048512,6.704778,-3.812583,22.704084,3.591304,9.791301,0.0,79.499985,25081.225,12282.679,0.0,38999.65
6,1976,22,8.5063505,6.2499647,-6.8771663,19.429083,4.623077,8.82795,0.0,43.8,24839.945,13912.835,0.0,41790.24,18.716974,4.132015,10.458249,26.731169,2.9736264,6.1693296,0.0,35.5,38361.16,10586.585,2967.8792,48894.656,23.746296,2.8124197,16.897831,28.685331,2.5663042,5.399395,0.0,27.300003,39032.34,10382.557,3750.1523,48739.402,7.651389,5.749804,-3.4563332,20.877,3.0228257,8.954538,0.0,68.4,26211.832,12829.267,0.0,39012.195
7,1977,18,5.3194313,7.373768,-10.729249,20.339499,3.0344446,7.3814096,0.0,41.399998,28525.611,11421.516,0.0,42153.17,21.465551,4.44844,8.747833,29.118666,4.0813184,12.646631,0.0,98.59998,39413.05,12463.581,0.0,48838.758,25.801207,2.6768944,17.483248,31.237417,3.7152176,6.9408,0.0,38.0,36939.63,12506.321,2302.658,48716.56,10.305759,6.228997,-4.0334167,24.249916,5.0478263,10.848816,0.0,66.7,22599.81,14072.351,0.0,38928.613
8,1978,17.9,2.4821622,6.17978,-7.027166,17.068666,2.902222,5.4254494,0.0,30.000002,24361.156,14490.314,0.0,42124.164,20.130548,4.741876,9.339499,29.558249,3.7868133,8.310237,0.0,49.299988,39399.754,10645.181,3568.005,48855.6,25.600122,2.0228276,20.2395,29.01242,1.7130436,3.064982,0.0,18.000002,39352.78,9610.6045,647.97705,48688.977,11.897969,5.731313,-2.1292503,20.908249,3.0847824,8.194047,0.0,54.699997,26839.424,12814.871,0.0,39033.977
9,1979,24.5,4.8313055,6.8945465,-8.252167,18.3895,4.7822223,10.900249,0.0,68.200005,22982.297,14541.379,0.0,40301.367,19.550856,4.213591,9.852,27.470749,3.435165,6.372517,0.0,30.400002,36371.52,14555.518,1.6191101,48893.957,23.733637,2.6526723,17.65825,28.718666,5.4597826,12.300693,0.0,71.399994,35651.25,12378.65,0.0,48780.99,10.416538,5.655188,-1.350083,21.918665,3.8315215,9.756361,0.0,46.0,26980.797,11615.013,0.0,39027.91
