,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,22,1.4146761,6.7536077,-17.61125,13.428333,2.482222,5.8251214,0.0,35.6,23509.375,13451.414,0.0,41592.94,19.778908,4.966553,6.5470834,28.388748,3.7549453,7.5283947,0.0,41.800003,39157.68,12522.8,515.5421,49575.38,25.123737,2.9187076,15.017917,30.136665,2.0108695,5.0803103,0.0,36.4,39309.664,10152.782,0.0,49445.812,9.606187,6.4112372,-5.313334,21.826254,3.3195655,8.181785,0.0,54.1,23186.826,12664.97,0.0,38852.41
1,1971,27,3.0157175,5.699564,-9.765415,15.853332,2.5355554,5.3736415,0.0,30.599998,26683.922,12222.182,0.0,42127.938,19.041063,6.3702035,1.1304168,30.111666,2.9846158,7.189374,0.0,46.0,40483.7,11407.651,0.0,49575.64,24.118711,2.71649,16.153334,29.1575,2.5630436,5.3530674,0.0,29.500004,39783.71,9046.148,1412.1993,49421.094,12.085672,6.8106613,-0.8070834,25.640833,2.1054347,4.9849305,0.0,27.000002,24709.78,13526.982,0.0,38788.3
2,1972,28,4.555028,5.9037657,-12.550835,16.83875,2.6604395,5.4872556,0.0,36.8,25529.566,13421.241,0.0,41098.293,19.207798,5.4550977,1.8887501,27.347084,2.312088,5.217127,0.0,24.4,40737.74,11680.198,69.4701,49570.617,24.730848,2.9219444,12.15125,29.280413,3.1923914,7.681121,0.0,39.7,38825.05,11103.016,0.0,49256.625,8.264022,6.6878633,-5.8925,20.945002,3.9880433,9.336998,0.0,58.900005,19537.893,14572.956,0.0,38824.227
3,1973,24,5.7431717,6.349618,-6.163332,19.088749,3.5266662,6.7524915,0.0,30.300001,22891.32,13655.031,0.0,40912.25,18.417208,5.7671013,3.0012496,27.778334,5.112088,10.972641,0.0,78.6,35670.664,14013.888,0.0,49568.0,25.372469,2.5555089,15.774167,29.82,2.2380435,5.264412,0.0,37.1,40288.504,8763.997,2744.2764,49263.227,10.778356,7.597975,-10.100834,23.222084,4.7891307,9.881056,0.0,49.9,23487.895,12853.423,0.0,38625.066
4,1974,21.5,6.8430786,6.5463305,-7.940417,20.26375,2.7955556,5.3145113,0.0,22.700003,24038.223,13833.33,0.0,42169.125,18.960615,4.7299423,7.0241675,28.078337,4.1813188,9.782262,0.0,57.399994,37399.367,12508.003,0.0,49573.953,23.481527,4.0600557,11.809583,29.753332,3.1097825,7.3542104,0.0,54.5,37621.5,11992.593,191.29875,49413.344,9.51289,5.8882017,-1.2925001,20.82,2.5619564,6.3280787,0.0,37.199997,24901.348,13307.794,0.0,38999.715
5,1975,27.5,4.8087735,4.766656,-5.3050003,16.572084,4.084445,8.151389,0.0,44.600002,23610.805,13492.591,0.0,42128.74,19.719131,6.11699,4.0679173,28.322088,2.3197803,4.893016,0.0,28.500002,39032.36,11179.856,4057.2317,49573.73,23.811441,4.2517715,12.928334,28.822084,2.7684782,6.383856,0.0,38.4,37777.6,12795.016,0.0,49446.477,10.336032,7.072793,-6.7570834,22.980417,3.275,7.253141,0.0,34.500004,24906.395,12290.173,0.0,38687.383
6,1976,28,7.043375,6.9895215,-8.78625,20.301249,3.3406594,8.734922,0.0,66.299995,26136.94,12458.566,0.0,41807.957,18.232502,4.7007785,9.236667,26.599161,2.8582418,6.1819463,0.0,35.0,39146.785,11106.704,0.0,49570.18,23.7693,2.909363,17.074167,29.71375,1.596739,4.7981095,0.0,39.9,41232.6,8215.118,3505.1821,49428.7,6.0674644,6.553481,-10.813333,21.582502,1.7641305,5.44264,0.0,28.800001,26637.91,11307.133,0.0,38701.133
7,1977,31.5,2.6150234,8.762238,-15.798751,20.640833,2.841111,6.2833805,0.0,28.0,27591.512,12864.055,0.0,42203.242,21.104866,4.7123795,7.4304175,28.180414,2.4934065,4.7382326,0.0,24.7,40750.098,10562.045,0.0,49389.66,25.289675,2.9439595,18.059584,30.644997,3.802174,7.6164083,0.0,43.400005,38383.31,11476.047,43.428383,49407.312,8.782975,7.165221,-8.107082,24.386667,3.1749997,7.3136125,0.0,42.499996,22269.88,13540.053,0.0,38569.758
8,1978,27.5,-0.5805785,6.6440334,-11.838332,16.744999,3.1911108,6.772576,0.0,40.399994,22384.504,14301.081,0.0,42171.676,19.296465,5.3730955,8.251249,30.207499,2.7483518,6.0417504,0.0,39.499996,38531.824,11738.594,0.0,49542.336,25.20571,2.793117,18.238752,30.261665,2.8793478,8.058311,0.0,52.600006,40910.81,8237.365,3600.0,49440.105,9.549076,5.661528,-3.0820837,19.617918,3.8663042,9.41639,0.0,54.2,25143.666,12970.749,0.0,38724.617
9,1979,31.5,1.2834493,8.021792,-12.469584,18.167917,4.0022225,7.5640483,0.0,45.3,22489.256,13210.878,0.0,39972.96,18.432728,5.025944,7.2345834,26.905413,4.9505496,10.220854,0.0,59.0,37595.44,13882.237,0.0,49555.125,23.740358,3.2213013,16.322084,29.484587,3.6913044,8.6602125,0.0,67.90001,37352.266,12668.257,0.0,49445.33,9.382501,6.5000196,-5.58,23.934584,3.2478259,7.545473,0.0,41.100002,26074.674,12194.806,0.0,38595.22
10,1980,18.5,2.6739607,5.623717,-10.523751,13.445,3.0461535,6.711852,0.0,41.9,21648.258,14080.746,0.0,41527.652,18.879753,5.6087074,4.074167,28.84083,3.7329671,8.135711,0.0,49.399998,37850.273,12097.005,2995.346,49568.105,27.260355,3.647039,15.926251,32.990833,2.0826087,4.875361,0.0,29.100002,40505.285,9563.297,0.0,49429.016,8.975343,6.930974,-7.3070846,23.451248,2.2978263,6.960248,0.0,40.9,26887.293,12094.052,0.0,38661.53
11,1981,23.5,3.9554164,6.348113,-9.359166,18.261667,2.3222222,6.4726877,0.0,41.100002,27323.742,12986.098,0.0,42208.523,19.905945,4.5958605,9.390834,28.053331,4.5076923,9.815127,0.0,72.1,34005.586,14126.796,0.0,49561.938,23.982319,3.294906,13.580417,29.545,2.671739,5.50483,0.0,31.2,39222.7,8177.156,12318.725,49373.27,9.151635,6.7010937,-7.325832,23.167917,2.376087,5.006312,0.0,27.5,23601.15,12283.209,0.0,38712.324
12,1982,31.5,3.570625,7.9796834,-18.877914,20.684584,3.216667,6.3464265,0.0,39.199997,24081.965,13747.531,0.0,41751.234,18.53495,5.6029963,1.5220832,26.138748,4.4472528,11.151366,0.0,81.2,38424.312,11194.929,3567.2036,49571.58,23.937891,3.5397465,13.9075,29.576254,3.4173913,8.203706,0.0,49.799995,39080.406,9068.656,4701.367,49410.1,10.77985,6.810269,-2.2841666,23.049164,4.3586955,8.443349,0.0,43.2,21657.477,14111.49,0.0,38634.508
13,1983,15.5,4.8062506,4.8602524,-4.0966673,17.930416,1.977778,5.6951737,0.0,39.100002,22597.31,13929.12,0.0,41288.43,17.19445,6.039449,3.6595833,28.049166,5.593406,9.821515,0.0,48.2,33865.496,16124.971,0.0,49572.54,26.630121,4.314754,12.611669,32.367916,1.2804347,3.5897362,0.0,22.699999,42175.96,7774.039,967.0557,49445.875,8.049597,9.689455,-19.617502,23.134584,4.3978267,8.475343,0.0,40.8,20909.094,14365.017,0.0,38937.125
14,1984,28,3.1826832,5.7452803,-12.9591675,14.138749,3.168132,7.367057,0.0,41.800003,24741.516,11709.0205,0.0,39718.016,18.9613,6.074587,6.667917,28.749168,4.6967034,9.19133,0.0,44.3,37167.1,14237.823,0.0,49547.79,23.700459,3.6626098,10.999166,28.96583,2.6413043,5.801045,0.0,38.3,38936.098,11371.586,147.66,49367.195,11.287958,6.931734,-7.452915,20.82625,4.7771745,8.642409,0.0,46.100006,19672.53,13215.736,0.0,38699.39
15,1985,30,2.3894217,8.506956,-19.238333,20.661669,2.8411112,5.1091657,0.0,26.899998,22885.295,14046.93,0.0,41499.336,19.630394,4.558907,6.1283326,26.892916,4.26044,7.5549526,0.0,38.7,37420.32,12924.657,396.06766,49573.08,23.652294,3.4845898,12.922084,29.12208,4.5815215,11.413621,0.0,54.399998,38629.035,11223.038,0.0,49372.266,9.60501,8.47999,-9.600834,22.767916,3.3684785,7.584135,0.0,36.600002,21866.46,13238.792,0.0,38620.742
16,1986,28.5,5.421065,6.5121155,-10.490417,19.328337,2.5644445,6.111774,0.0,28.4,27854.283,11986.532,0.0,42179.113,20.24365,4.892907,8.695001,28.865837,3.2395606,5.5671434,0.0,21.4,37410.7,12757.934,2757.638,49575.914,25.35605,3.0883121,16.55125,30.536667,2.5130434,5.576308,0.0,32.3,40498.39,8076.726,13622.445,49377.723,9.343982,6.998329,-3.5216665,26.311668,2.0902174,5.0428505,0.0,26.300003,21786.656,13101.88,0.0,38362.33
17,1987,25.5,5.327755,5.1489267,-6.0904155,15.353333,2.2711112,5.1225266,0.0,28.199999,24918.719,13373.173,0.0,41716.766,20.676388,5.992172,3.1679165,27.990835,2.5241756,4.7363687,0.0,30.900002,41899.39,7526.5347,5346.2935,49572.28,25.347853,2.8748689,17.724167,30.528334,2.433696,5.3112626,0.0,27.499998,40684.902,7277.907,12366.193,49239.99,9.7342205,5.044664,-1.2279168,18.590836,3.904348,9.687297,0.0,65.6,23258.43,14368.061,0.0,38804.33
18,1988,29,3.695504,6.5182376,-9.348749,18.607502,3.323077,6.9442873,0.0,32.699997,25690.318,13483.988,0.0,41821.82,20.197565,5.5255265,9.0720825,31.801254,1.7758242,4.805352,0.0,30.000002,43431.52,8000.4126,4724.525,49571.1,25.43114,3.4244642,16.60125,31.832502,3.3869567,7.0785737,0.0,32.4,37404.508,12905.841,0.0,49329.29,8.71452,5.3899674,-4.3654175,20.436666,4.1119566,10.105345,0.0,52.700005,25895.207,12237.293,0.0,38605.43
19,1989,29.5,5.1862736,5.928983,-7.157083,19.361666,6.265556,12.363675,0.0,50.4,24078.215,14620.744,0.0,41361.125,18.633348,5.7285166,5.0325,28.338745,4.041758,7.437533,0.0,36.299995,37515.066,11972.939,2934.9478,49571.426,23.842283,3.6005757,12.3637495,29.059586,3.8913047,11.186321,0.0,98.3,36671.574,13638.995,0.0,49165.0,7.52539,9.708685,-20.313334,21.992918,1.3782609,3.4183674,0.0,22.199999,26303.43,11885.218,0.0,38618.074
20,1990,30.5,8.030625,5.1104765,-1.9362502,19.903334,3.8711114,7.7983184,0.0,47.800003,23690.355,13995.8125,0.0,41619.016,18.881723,6.0090876,5.384583,29.165833,3.5263736,6.761013,0.0,33.4,35773.637,13828.193,0.0,49570.688,25.045635,3.6379154,14.12,31.957499,3.168478,7.4756446,0.0,41.3,39610.42,10289.234,0.0,49407.8,10.404058,6.431387,-9.002916,21.83875,4.428261,9.991747,0.0,52.7,24855.959,13054.439,0.0,38841.59
21,1991,28,5.7261114,5.706435,-5.2862506,20.786665,3.5822225,7.5940933,0.0,39.200005,23168.406,14822.484,0.0,42142.875,21.0912,4.436852,11.180416,28.653334,4.731868,8.062587,0.0,40.300003,34307.082,15179.258,0.0,49571.11,24.966263,3.9416068,12.111668,29.742914,2.4413044,4.6934643,0.0,28.600002,40632.47,9324.551,0.0,49318.668,9.867147,6.8971725,-2.1945837,23.117918,3.230435,6.803373,0.0,27.1,22275.61,14027.096,0.0,38854.867
22,1992,39,6.247817,4.7308903,-7.4633317,16.17,2.8274724,6.7358584,0.0,40.299995,24470.324,13626.084,0.0,41117.89,18.40521,5.0217204,3.6929162,28.442917,3.0483515,6.124294,0.0,31.199999,38796.293,11503.195,0.0,49568.754,23.55515,3.2647936,13.836667,29.545,3.345652,6.626312,0.0,28.3,38309.01,11111.874,507.61368,49050.633,9.327337,6.1937594,-1.9154167,21.384583,2.1728263,5.144913,0.0,25.699997,21312.893,13903.206,0.0,38815.35
