,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,28.1,0.031939838,6.812699,-18.630585,13.350669,2.1377778,3.771346,0.0,17.0,21881.156,13945.937,0.0,41363.27,18.90765,5.2961845,4.659,27.609,3.953846,8.303524,0.0,56.3,38701.28,11863.496,1639.4902,49305.945,24.281216,3.1224923,13.525668,29.692331,2.2380433,4.3917465,0.0,23.599998,39418.7,9492.097,6003.668,49261.32,8.848174,6.7598047,-6.691,20.433998,2.6152172,5.2414017,0.0,22.999998,21613.914,12592.628,0.0,39354.594
1,1971,30.3,1.6242315,6.041319,-12.245167,15.288167,2.538889,5.589691,0.0,38.399998,25243.945,13128.0625,0.0,41896.742,17.95671,6.5796432,3.79025,29.41317,1.921978,3.9796371,0.0,20.599998,41004.227,10731.884,0.0,49306.92,23.11167,2.4653995,16.77775,28.756918,2.8847826,6.209704,0.0,33.1,39074.453,10477.469,706.87054,49305.582,10.930376,7.157024,-3.191,24.583998,1.9597828,4.5615463,0.0,27.7,22815.035,13088.968,0.0,39368.3
2,1972,24.7,2.5104196,6.122593,-15.936832,16.565248,2.2593405,3.8852706,0.0,15.8,24901.871,13124.693,0.0,41222.793,17.297186,5.547055,-1.5826668,25.873583,3.2516482,6.52093,0.0,33.3,37884.84,13577.182,0.0,49306.242,23.71704,2.8991466,12.367333,28.975668,2.6902175,4.690183,0.0,22.400005,36781.164,13169.066,0.0,49308.9,7.5133023,5.995787,-9.911834,19.323584,4.0032606,7.767252,0.0,38.6,16984.98,14010.515,0.0,39310.547
3,1973,23.4,4.8749256,6.5042534,-6.6597505,19.617332,3.1066663,5.415143,0.0,22.9,23329.18,13437.841,0.0,40954.652,17.127934,5.940268,2.9985836,26.463167,4.830769,8.2874155,0.0,47.1,34447.08,13992.88,15.793752,49309.156,24.093962,2.6073768,15.819416,28.379831,2.5945654,5.26943,0.0,24.100002,39667.77,8502.8955,7616.83,49268.824,9.495686,7.5932984,-9.432668,22.711084,4.253261,8.395373,0.0,46.7,21701.71,13965.155,0.0,39028.605
4,1974,26.6,5.3049717,6.2409096,-6.955583,19.436083,2.9922228,4.8495855,0.0,20.000002,21715.137,13987.53,0.0,41597.46,17.589014,4.909042,3.7319171,26.008995,3.6648352,7.4078693,0.0,41.1,35726.145,13382.856,0.0,49160.46,22.39596,3.905231,10.779834,27.5715,3.1413043,5.987132,0.0,29.5,35688.066,13999.773,0.0,49303.062,8.048017,5.7827168,-1.74725,20.177752,2.7206523,5.3931084,0.0,29.200003,22700.082,13754.072,0.0,39352.01
5,1975,32.7,3.91532,4.7560315,-5.55975,16.898582,4.361111,7.7862554,0.0,42.5,21956.791,13831.697,0.0,41895.906,18.348764,6.844945,2.1381667,27.969416,2.60989,6.025871,0.0,38.699993,38667.207,11971.41,4750.354,49309.4,22.920073,4.2386365,12.117335,28.002752,3.1836956,7.017439,0.0,46.299995,36465.8,13674.68,0.0,49308.938,9.257777,6.991421,-7.7659993,21.488165,3.5380433,8.374134,0.0,56.5,23687.271,13067.907,0.0,39273.914
6,1976,31,5.4032993,7.2600837,-11.570165,19.313168,3.0406592,7.218355,0.0,50.699993,24412.412,12761.446,0.0,41770.617,17.547806,5.229502,6.398583,27.079828,3.2263734,6.723803,0.0,31.300001,39308.1,11343.81,1828.229,49307.387,22.30984,3.0571895,14.400666,28.584,2.202174,4.979077,0.0,25.099998,39957.656,9375.735,7547.501,49162.703,4.871659,6.3706307,-10.138916,19.746498,1.5663044,4.6790686,0.0,24.7,25084.291,12442.616,0.0,39305.195
7,1977,31.2,0.7449955,9.341369,-21.424334,20.075663,2.6399999,5.5244465,0.0,30.1,25849.486,11465.958,0.0,41923.926,19.656984,5.2111645,4.1465,26.925667,2.9934063,6.096279,0.0,41.699997,38520.637,12847.685,453.8816,49308.258,24.13531,3.0653706,17.034,29.917337,3.5065217,5.501265,0.0,24.700003,37629.086,10596.966,0.0,49301.465,7.459815,7.5006437,-12.0785,21.325663,3.8673916,7.825488,0.0,42.700005,20640.06,13393.523,0.0,39037.383
8,1978,30.2,-2.0512547,6.7196393,-13.807666,13.854833,2.5611112,4.838207,0.0,21.2,21072.098,15195.857,0.0,41909.723,18.050644,5.853166,7.0548344,31.056917,3.0670333,5.4574323,0.0,23.400002,36938.17,13373.861,0.0,49305.227,24.077364,2.790361,17.096502,29.377748,3.2184784,6.455459,0.0,38.199997,38100.258,11147.24,81.03432,49282.79,8.51636,5.4616804,-4.1618333,18.604834,3.577174,8.606669,0.0,56.800003,23523.805,13268.97,0.0,39232.617
9,1979,31,0.22721773,8.559221,-17.243082,17.563166,3.51,6.6778193,0.0,29.4,20677.955,13720.766,0.0,39895.445,17.378529,5.515507,4.1194167,26.91733,3.5318685,6.588068,0.0,32.1,35598.797,15408.542,0.0,49304.387,22.26792,2.9920194,14.417332,28.531916,7.369566,17.935555,0.0,111.6,34099.074,14079.393,0.0,49306.094,8.286015,6.069542,-4.849334,22.61525,2.8206522,6.4211283,0.0,37.2,25087.3,11661.74,0.0,39116.992
