,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,30.1,-1.1071899,7.097023,-21.078001,12.430332,2.0411112,3.8172848,0.0,17.7,22889.16,13856.338,0.0,41590.008,18.17138,5.5191607,3.955333,27.474083,3.4868133,6.552442,0.0,32.3,38373.547,12789.43,0.0,49678.08,23.680017,3.2103736,12.724084,29.407415,2.3152175,4.93663,0.0,25.099998,38228.27,11915.202,0.0,49667.445,7.775374,6.7968125,-7.3571663,19.482416,2.791304,5.6393175,0.0,23.399998,20534.191,12871.329,0.0,39046.977
1,1971,30.3,0.4972315,6.0724945,-12.575917,14.265748,2.3788888,5.0089917,0.0,26.4,25634.178,12510.387,0.0,42161.53,17.48276,6.8993797,2.1678336,29.815752,2.0065935,4.5656157,0.0,28.7,41610.543,10738.354,0.0,49680.008,22.787735,2.8492062,14.809501,28.867834,2.621739,6.187666,0.0,32.999996,40083.883,8928.75,232.05322,49672.664,9.93373,7.283783,-5.161333,24.107416,2.117391,4.464527,0.0,22.300001,23456.201,13269.509,0.0,39061.14
2,1972,27.6,1.0141019,6.635877,-17.448835,16.457417,1.7714287,2.9970462,0.0,13.2,24911.5,13471.704,0.0,42230.066,16.954578,5.8085227,-1.8050832,26.192833,3.4714284,7.184772,0.0,39.599995,39728.18,12629.396,745.87555,49678.656,23.06806,3.2160559,10.688667,28.615753,3.0630436,6.1252446,0.0,39.600002,36463.2,13349.527,0.0,49680.273,6.1361303,6.435233,-11.336333,19.0345,3.4902174,6.657625,0.0,33.3,16951.9,13820.464,0.0,39016.832
3,1973,23.4,3.9360046,6.5186005,-8.340499,18.151167,2.9755554,5.3951144,0.0,27.499996,22681.537,13871.122,0.0,40863.027,16.80959,6.0443225,2.1761668,26.488668,4.350549,7.526079,0.0,38.8,33972.523,14683.4,960.6496,49680.94,24.074444,2.7898939,14.732417,28.397001,2.4152172,4.3974004,0.0,18.0,40239.51,8554.736,4851.468,49625.36,8.539731,8.022064,-12.138419,22.363665,4.078261,8.570032,0.0,45.5,22075.39,13014.354,0.0,38682.03
4,1974,23.7,3.444315,7.224787,-12.561334,19.457417,3.1877785,5.281169,0.0,21.4,23603.512,13096.95,0.0,41596.387,17.003683,5.006805,3.8428335,26.084497,4.8659344,9.116459,0.0,51.3,34394.133,14327.96,0.0,49679.734,21.764118,4.140776,9.461583,27.734503,3.4771743,7.0640264,0.0,31.000006,37114.87,13182.305,287.82336,49674.242,7.273902,5.8027854,-3.3321667,19.940748,2.956521,6.545803,0.0,48.699997,21531.965,13608.67,0.0,39044.363
5,1975,35.7,2.5475094,4.7395754,-7.494667,15.213668,3.82,6.3508863,0.0,30.9,21577.645,13276.236,0.0,42162.4,17.76481,6.852469,0.9720001,26.932417,2.5087914,5.432243,0.0,31.300005,39713.883,11096.445,4002.3032,49681.258,22.394054,4.3654137,11.990748,28.038666,2.8554347,6.581849,0.0,43.399998,37451.324,13138.757,0.0,49680.5,8.458006,7.232068,-9.442583,20.888666,3.3445654,7.1458797,0.0,34.699997,23543.66,12916.788,0.0,38942.574
6,1976,32,4.2741976,7.6541824,-14.313416,18.77408,2.9043958,5.9687505,0.0,28.300003,25418.121,11882.089,0.0,41819.71,17.033857,5.432509,6.519917,27.326164,2.88022,6.501679,0.0,34.700005,39502.12,10248.872,6365.2744,49679.777,21.979675,3.1833003,14.361583,28.484495,1.755435,4.5164742,0.0,30.099998,40889.645,9140.722,5022.3066,49680.66,4.038078,6.7387223,-13.548833,20.03033,1.3956523,4.2932844,0.0,25.3,25848.787,11634.518,0.0,39015.64
7,1977,32.3,-0.48999074,9.9116,-24.200918,19.747,3.017778,6.229101,0.0,33.0,25080.742,13305.228,0.0,42214.47,19.335163,5.3513384,3.7490833,26.605333,3.0461535,6.4264092,0.0,42.199997,39094.395,12503.03,0.0,49624.883,23.628565,3.1165237,16.490751,29.401163,3.4260867,5.64164,0.0,22.7,37738.63,11023.657,3306.3386,49672.57,6.394555,8.079788,-16.688417,20.211582,4.343478,13.380562,0.0,117.50001,19947.633,13395.413,0.0,38912.727
8,1978,31.3,-3.5400832,6.801119,-15.2155,13.788669,2.6399999,5.4172177,0.0,32.999996,21093.156,15179.665,0.0,42199.93,17.255838,5.8681445,6.463667,30.257414,3.0780225,6.160823,0.0,39.300003,35706.41,14920.481,0.0,49677.31,23.764662,3.0362098,16.00325,29.6845,3.1010869,8.539494,0.0,68.7,39205.266,10695.679,368.8449,49652.734,7.6602254,5.7926245,-6.3780007,17.967833,3.1108694,6.765612,0.0,32.199997,23308.715,12721.582,0.0,38984.96
9,1979,32,-1.5893656,8.883555,-18.723833,16.87825,3.3588893,6.9200873,0.0,52.199997,19957.303,13723.097,0.0,39859.7,16.792763,5.9512525,3.1636665,26.296999,3.6340656,5.824245,0.0,22.800003,36942.42,14288.628,401.7167,49672.33,22.008184,3.2252388,14.007417,28.151167,4.646739,9.169855,0.0,41.4,35759.32,13606.637,0.0,49679.805,7.5296087,6.44997,-7.503,23.032415,3.1771739,7.3844223,0.0,37.6,24537.424,12170.05,0.0,39056.746
10,1980,31.3,-0.22864096,6.109713,-14.819667,10.142833,2.8736267,5.910534,0.0,34.600002,20336.705,13789.521,0.0,41273.574,16.894571,5.8518558,4.405333,28.213667,3.720879,7.6045384,0.0,42.899998,37088.137,13788.541,0.0,49681.676,25.189234,3.544557,13.830333,31.51158,2.9673913,6.636399,0.0,51.600002,40099.92,9364.986,6637.9443,49678.605,6.767176,7.0412326,-10.415501,20.790749,1.7793478,4.5604978,0.0,22.7,24562.883,13106.572,0.0,39013.113
11,1981,31.1,1.2426016,6.8194165,-16.348835,16.617834,1.9500002,5.4492188,0.0,33.3,26446.482,13026.328,0.0,42217.234,17.987774,4.998433,6.601167,27.538666,5.6593413,8.680207,0.0,39.899998,34091.18,13949.737,0.0,49673.13,22.157505,3.3864992,12.326167,28.678246,3.9663043,6.9354997,0.0,32.0,38314.03,9801.683,1966.7314,49593.273,6.380605,7.682476,-16.969667,21.355331,2.3206522,4.5057364,0.0,20.4,22836.488,12966.934,0.0,38911.9
12,1982,31.8,0.20919901,8.176437,-25.388418,15.376167,3.9811113,8.5004015,0.0,51.399998,21758.246,14330.938,0.0,41911.15,16.79029,6.1422324,-1.5988334,24.259497,3.6098905,7.6002493,0.0,47.1,36830.67,13221.504,1640.2433,49662.883,22.382507,3.6391585,12.340749,28.144915,2.6923912,4.9112616,0.0,21.300003,39381.6,9160.169,10132.037,49677.043,9.393512,7.071851,-3.3738337,22.317831,3.7945652,7.4276934,0.0,38.899998,20394.486,13712.344,0.0,39041.727
13,1983,26,3.1285274,5.013387,-5.7155004,17.182415,1.7655555,4.451591,0.0,20.699999,22601.83,13388.622,0.0,40386.023,15.878021,6.1922584,1.24075,27.171999,5.6494503,11.344655,0.0,74.7,32325.4,16134.341,0.0,49668.61,25.0578,4.647565,9.247,31.832415,1.65,3.516976,0.0,17.400002,41552.785,7455.2476,4408.905,49636.203,6.0284767,9.989806,-22.87175,22.222,4.7456527,9.904971,0.0,49.8,19172.86,14375.028,0.0,39056.293
14,1984,31.1,0.7243352,6.0300612,-18.186335,12.665749,2.5208793,4.8520904,0.0,19.900002,21649.729,12504.559,0.0,38898.812,17.183882,6.6857367,5.347,28.332413,3.6626372,6.929015,0.0,40.999996,36188.17,14987.105,0.0,49685.01,22.575006,3.998068,10.1865835,29.578247,2.6934783,4.8991323,0.0,22.199999,37636.508,13185.517,28.027334,49667.457,9.244554,7.4679937,-10.4696665,19.95325,4.3815217,8.338602,0.0,46.199997,19536.912,12915.365,0.0,39013.445
15,1985,35.2,0.10063412,8.650151,-25.275919,18.730333,3.8655555,9.214244,0.0,67.2,20571.373,14389.597,0.0,41490.035,18.053526,4.926917,2.3115833,25.317835,4.116483,6.970418,0.0,32.3,36058.54,13786.375,1516.4381,49680.36,22.613867,3.4907434,12.849083,28.132416,2.772826,6.0183983,0.0,37.899998,38250.383,11058.069,0.0,49626.7,7.6532044,8.902586,-13.871754,21.722,3.5967393,6.4829016,0.0,30.099998,18931.518,13475.899,0.0,38968.42
16,1986,38.7,2.9290833,6.668587,-13.036335,18.857416,2.8766665,6.2199397,0.0,31.599998,23597.686,13794.398,0.0,42204.402,18.555332,5.605625,4.938667,27.77408,2.9362636,5.6557446,0.0,33.4,35351.22,14683.432,0.0,49680.492,23.690882,3.1149502,15.122001,29.0595,3.8130436,7.9703465,0.0,39.9,38694.023,11587.028,85.82874,49671.21,7.2168593,6.8902144,-6.1988335,24.332415,2.8695652,7.645436,0.0,46.499996,19795.672,13559.715,0.0,38400.688
17,1987,36.3,3.136375,5.2323303,-11.405084,14.297,1.6699998,4.0603437,0.0,26.3,24097.275,13515.382,0.0,41500.09,19.057713,6.4253855,1.31575,27.507418,2.5604398,5.662938,0.0,41.800003,40845.51,10690.202,1840.7899,49682.004,24.240316,3.2660027,16.455334,29.722,2.4010868,6.08064,0.0,41.800003,39832.99,9743.657,3600.0,49567.65,7.756919,5.1684437,-3.1925833,18.242834,3.161956,6.393177,0.0,33.6,21917.371,13570.995,0.0,38995.92
18,1988,28.8,1.1323023,6.962433,-15.04675,16.588667,2.5934067,6.102182,0.0,32.9,25631.928,13260.698,0.0,41834.496,18.477243,6.0399323,7.119917,30.757418,1.9406593,5.695183,0.0,34.8,43373.66,8725.836,2975.3982,49685.723,24.290134,3.9642043,15.382417,31.463667,3.194565,7.4832172,0.0,52.8,38887.85,11290.809,616.4708,49680.316,6.1775255,5.904259,-12.723836,20.161583,3.7456522,8.207306,0.0,39.5,23836.604,12837.163,0.0,38893.367
19,1989,34.9,2.9585738,5.9821506,-11.117581,18.92408,3.6911108,6.856583,0.0,31.3,23165.729,14586.524,0.0,41496.46,16.682966,6.384688,2.4324167,27.784494,4.174725,7.9705377,0.0,45.2,37840.098,11838.47,2304.0063,49680.312,22.667406,3.8172443,11.080334,28.79492,3.171739,5.988823,0.0,27.699999,36364.03,13986.657,0.0,49639.35,4.9265513,10.539535,-25.361334,21.349083,1.6934783,3.7508624,0.0,20.399998,24639.238,12407.693,0.0,38965.617
20,1990,34.6,5.6589913,5.5283647,-6.750916,19.832418,3.5300002,7.7631726,0.0,58.4,23247.871,13403.665,0.0,41617.883,16.78292,6.0423365,2.4699166,26.844917,4.9945054,8.791288,0.0,37.100002,33097.363,14481.444,0.0,49670.754,22.644192,3.4097319,12.161583,29.12617,3.430435,7.2610016,0.0,36.9,38042.176,12483.568,0.0,49676.86,8.435904,6.739538,-10.655084,20.421999,3.8652174,9.078019,0.0,53.499996,23430.701,13394.781,0.0,39035.617
21,1991,37.6,3.3413985,5.9214444,-8.79675,20.513666,2.7355554,5.283434,0.0,23.0,22385.775,14934.478,0.0,41725.473,20.209133,5.5780573,7.6469994,28.56575,3.6395605,7.3287234,0.0,40.399998,36238.273,13709.968,0.0,49684.8,23.95791,4.193416,11.3345,29.982416,2.2358696,4.8223286,0.0,28.0,40377.402,10242.748,168.12686,49659.035,8.002525,7.4945974,-7.1154995,22.421999,2.8652174,6.6755986,0.0,45.2,19836.807,14463.414,0.0,39049.92
22,1992,41.1,3.9444811,5.2370424,-12.944668,15.413667,1.8527473,3.9207807,0.0,19.6,22822.951,13107.139,0.0,39732.0,16.520718,5.2823143,1.7699167,27.034498,2.9417582,5.2314024,0.0,33.3,37404.496,10305.095,8678.468,49684.195,21.651505,3.3064153,11.5928335,28.451164,4.6826086,7.744074,0.0,42.8,36646.395,10844.257,0.0,49657.01,7.272249,6.1476336,-4.2800837,19.576166,2.8304348,8.058764,0.0,56.7,19263.865,13971.357,0.0,39007.42
23,1993,46.6,1.3946621,5.760231,-17.003,14.824082,3.3777778,7.121163,0.0,36.399998,20146.828,15068.752,0.0,42113.527,16.979874,5.6205196,1.5136666,26.217833,4.702198,7.037597,0.0,31.299997,32956.242,15391.455,0.0,49677.28,22.997747,4.226774,9.5824175,28.886581,4.167392,8.253525,0.0,41.1,37016.61,13121.228,0.0,49611.98,6.7961626,6.3872004,-8.957166,18.924082,3.7836957,9.248205,0.0,49.4,20325.293,13899.806,0.0,39021.125
24,1994,43.5,0.9858424,7.663647,-25.782171,15.649083,2.0911112,4.8701715,0.0,24.6,22545.523,13898.787,0.0,41007.805,17.97429,6.3798556,2.24075,29.609499,3.2340658,5.9242477,0.0,24.7,38323.91,13956.103,0.0,49680.965,22.84068,3.455004,13.740749,28.684502,2.5576088,5.4757257,0.0,29.2,39266.645,10572.084,0.0,49679.758,9.6857,5.8883643,-3.0946672,21.574083,2.4326088,6.001833,0.0,38.7,24207.799,13212.931,0.0,39035.566
25,1995,39.5,2.6691298,7.2557054,-13.092586,15.874082,2.272222,5.240873,0.0,29.099998,24529.05,14234.3955,0.0,41276.906,17.516987,5.24158,2.6761668,25.426165,5.112088,8.724663,0.0,55.699997,35958.496,13147.316,3489.052,49685.977,24.04786,4.144874,9.69075,30.080332,2.376087,6.0811434,0.0,40.800003,39843.246,9916.846,0.0,49681.13,6.2942147,8.173344,-12.648834,21.984499,2.4434783,6.9193363,0.0,42.0,24353.283,11199.847,0.0,38992.703
26,1996,35.7,0.58884984,7.007337,-17.40508,16.611582,3.3901098,6.7811184,0.0,41.3,22223.104,14113.485,0.0,41693.234,17.245192,6.5747476,2.5324166,27.659498,7.5857143,14.576797,0.0,69.399994,34079.473,15583.721,0.0,49683.93,22.35087,3.3933415,13.621998,27.91575,3.8728259,9.117464,0.0,56.0,39101.55,10655.096,0.0,49657.008,6.631285,7.255014,-14.205085,20.624083,2.9467392,6.827618,0.0,41.100002,22371.832,13431.62,0.0,38890.805
27,1997,36.8,2.5004027,7.9618735,-18.661333,16.50325,3.4844446,6.4271708,0.0,23.500002,22208.396,14254.642,0.0,42224.492,15.3483515,5.8172936,0.8303333,27.240747,4.8648353,8.425495,0.0,35.799995,33859.355,14813.573,0.0,49676.273,22.517334,3.2926729,14.9886675,29.576164,2.2445655,5.270014,0.0,29.3,39410.105,10723.843,0.0,49672.46,6.8703246,7.1325436,-6.2404995,22.936584,1.9043478,4.135611,0.0,24.4,20627.43,13997.017,0.0,39020.99
28,1998,34.7,4.7919073,6.0539536,-7.938416,21.265749,3.0722222,5.9201055,0.0,24.599998,19532.508,14409.638,0.0,42075.465,18.391186,5.76536,7.7282505,29.086578,6.865934,10.702566,0.0,47.899994,35917.883,12415.854,4696.0747,49676.945,23.896795,2.238174,17.163668,29.436583,1.9576086,4.7905407,0.0,20.400002,40096.34,9103.133,9114.847,49681.543,9.231941,6.8392925,-8.500917,22.844917,2.103261,6.7265005,0.0,52.499996,24342.494,11818.808,0.0,39033.14
29,1999,38.1,2.7333426,6.229943,-18.553001,16.532417,3.7044444,8.600652,0.0,43.8,23583.928,14092.447,0.0,42034.797,18.586582,4.8319826,4.9719996,26.819916,3.2351649,5.0905657,0.0,20.1,37101.05,12672.825,140.42433,49633.46,24.28203,3.7387702,13.907418,31.986582,1.3652174,3.9427063,0.0,22.000002,42249.97,6993.891,6585.949,49674.742,8.958051,6.626082,-5.9300838,19.28033,1.9869564,5.882106,0.0,39.1,27045.125,10637.072,0.0,39047.75
30,2000,43.9,4.223603,6.7427583,-10.107165,17.272001,2.7879121,7.38596,0.0,42.399998,25674.47,13472.558,0.0,41805.79,18.043703,5.374716,6.2032504,27.555328,3.431868,7.196849,0.0,39.199997,35701.965,14057.575,0.0,49682.406,22.185654,3.7900405,10.038667,27.861582,3.8684783,7.7588644,0.0,50.599995,38356.434,10957.47,0.0,49621.32,4.958345,10.265253,-17.11342,22.236582,2.0793476,5.185664,0.0,26.1,23394.402,12093.099,0.0,39005.023
31,2001,45.5,1.7027639,4.9487414,-12.748834,14.084498,1.3722222,3.1736639,0.0,18.400002,24446.152,13595.158,0.0,41818.664,18.743473,5.0509295,4.1407504,26.828249,2.6087914,5.0862923,0.0,24.900002,38878.105,11926.6455,0.0,49672.895,23.293898,3.897819,10.809501,29.940748,2.345652,4.607696,0.0,19.0,39240.01,9478.16,1996.0577,49651.367,9.316679,6.234426,-7.2863336,20.371998,4.597826,10.94325,0.0,57.8,24787.652,12811.625,0.0,39017.715
32,2002,35.8,3.6039443,4.9710984,-9.296748,14.547,3.1288888,6.497385,0.0,27.200003,24907.3,13037.352,0.0,41017.35,17.994274,6.3642907,2.872,27.8095,4.136264,7.263891,0.0,35.8,37158.465,13633.857,0.0,49683.47,25.378159,3.2990162,15.117833,30.501165,1.7402173,5.950825,0.0,40.600002,40374.707,9222.944,0.0,49681.902,6.479835,6.799202,-7.302999,24.178251,2.7858694,7.2438765,0.0,44.899994,21313.764,13233.974,0.0,39031.36
