,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,35.1,-2.9945881,7.388443,-21.985582,10.941499,1.6322223,3.271698,0.0,18.700006,22690.379,13668.323,0.0,40176.87,16.777876,5.9448347,1.5998335,26.43525,3.7164836,7.034001,0.0,40.8,37754.566,12761.862,0.0,49551.586,22.526892,3.3389454,10.810249,29.2415,2.1771739,4.303056,0.0,24.5,38328.38,11661.009,766.484,49505.605,6.7965717,7.1309214,-8.4001665,19.654,2.2902176,4.1932983,0.0,20.000002,20114.654,13150.346,0.0,39276.277
1,1971,37.4,-1.1152132,6.1716003,-15.431418,12.664416,2.3777778,5.412465,0.0,36.499996,23908.67,12283.031,0.0,41910.805,15.88303,7.103015,1.4248333,28.710249,1.8230771,4.8957148,0.0,29.300005,40933.95,10333.5625,3372.9727,49573.207,21.668945,2.876017,13.52275,27.14984,2.1663043,5.3375983,0.0,28.700003,39391.34,9460.113,4706.7905,49550.676,8.597161,7.498426,-7.0543327,23.276915,2.1978261,4.415681,0.0,21.4,22589.205,13299.699,0.0,39312.016
2,1972,29.6,-1.0381474,7.1473327,-20.160585,15.179,1.8681319,3.698735,0.0,25.4,24370.812,12585.701,0.0,41955.875,15.031952,5.928879,-4.8668337,24.462334,3.86044,7.8079715,0.0,40.6,37556.14,13020.419,0.0,49519.023,21.29836,3.3159142,9.920667,27.345665,2.9456522,4.6925807,0.0,20.000002,35339.355,13312.121,0.0,49519.168,4.826396,6.3736672,-12.989751,17.070663,3.0239131,5.952456,0.0,32.0,16588.107,13543.663,0.0,39196.434
3,1973,34.6,2.5048566,6.7025023,-9.816833,17.72275,2.691111,5.182179,0.0,26.9,21508.055,13249.335,0.0,41627.164,15.491362,6.2606263,1.1831669,25.522745,3.989011,6.5118427,0.0,40.699997,34135.375,14501.138,931.6287,49527.53,22.310045,2.92908,13.962334,27.303999,2.6413043,6.3059745,0.0,39.000008,38953.137,10093.819,1760.6316,49460.812,7.2376037,8.078304,-14.433502,21.068583,3.694565,7.28698,0.0,34.8,21436.672,13128.116,0.0,38598.84
4,1974,27.6,1.4073565,7.590782,-16.0585,18.104,3.1066668,4.911619,0.0,18.9,22415.22,12655.679,0.0,41277.754,15.594865,5.124874,1.3435835,24.256083,4.535165,7.8598046,0.0,42.6,33291.7,13885.96,0.0,49455.195,20.54066,3.9050815,8.44775,26.353998,2.8902173,5.533317,0.0,30.4,36706.207,13412.79,0.0,49512.867,5.9052463,6.1593766,-6.8418317,19.31858,2.4880435,4.4104733,0.0,25.000002,20782.219,13892.051,0.0,39273.17
5,1975,36.2,0.7175879,5.228287,-12.950169,15.026914,3.3966668,5.3376436,0.0,22.400002,20971.186,13499.848,0.0,41909.996,16.062815,7.122112,-1.0209998,26.060251,2.4945056,5.5180187,0.0,33.4,38559.234,11882.057,3361.503,49520.84,21.124763,4.377288,10.864417,27.056082,2.4782612,4.9597244,0.0,23.5,36882.35,13908.611,0.0,49519.67,7.37241,7.346668,-10.745999,20.09775,2.8358696,5.976981,0.0,28.800001,23011.074,12817.113,0.0,38998.68
6,1976,36.1,2.376939,7.948393,-14.964753,17.933165,2.865934,5.3530307,0.0,22.6,23981.06,13020.86,0.0,41203.14,15.920047,5.8991704,3.82275,27.222754,2.4824176,5.223974,0.0,26.199999,38920.117,11476.47,3035.386,49619.3,20.769783,3.2504268,12.518584,27.84775,1.2108697,2.4031782,0.0,13.600002,40056.477,10716.211,55.999146,49514.29,2.6064909,7.0568624,-14.8376665,19.014416,1.4369566,4.2388244,0.0,27.100004,24995.166,11721.942,0.0,39190.83
7,1977,38.5,-2.636232,10.281011,-24.906412,18.493582,2.638889,5.917004,0.0,33.899998,24286.875,12937.102,0.0,41820.9,17.752054,5.5357065,1.9748335,25.254,2.6098902,5.529096,0.0,27.700003,38560.617,12164.497,0.0,49567.875,22.464733,3.36143,14.429,29.053995,3.3847828,5.783207,0.0,23.100004,37965.3,10703.965,2566.7417,49511.098,5.0886917,8.582479,-19.612667,18.672747,3.126087,6.3281837,0.0,31.999998,19408.232,13576.911,0.0,38909.785
8,1978,38.6,-6.0402136,7.314385,-18.754335,11.781082,2.3511112,4.324564,0.0,23.099997,21878.656,14963.219,0.0,41924.883,15.780531,6.003164,4.883167,28.72067,2.9087913,5.5742397,0.0,30.200003,35338.246,16101.063,0.0,49578.22,22.268064,3.189879,14.447749,29.106085,2.7065217,5.5871086,0.0,30.3,38221.65,11883.371,0.0,49489.617,6.2750597,5.7003536,-8.868916,16.201914,2.9641302,6.30124,0.0,29.400002,21295.36,12925.02,0.0,39114.637
9,1979,37.2,-3.1905375,9.138047,-20.821003,15.972748,2.7066667,5.0358224,0.0,32.5,20361.715,13627.854,0.0,41563.14,15.331978,6.111116,-0.5043332,25.087328,3.452747,5.467609,0.0,20.900002,36066.34,14793.181,0.0,49616.71,20.58996,3.2188473,12.491498,26.826918,4.4032607,9.903475,0.0,78.90002,34582.38,13159.426,0.0,49518.953,6.353841,6.466623,-8.414749,21.703997,3.0521739,7.139112,0.0,47.100002,23677.904,12354.7,0.0,39264.434
