,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,24.1,-5.1551948,6.6771584,-21.36867,8.90425,1.4700001,4.295293,0.0,37.2,23385.979,13211.928,0.0,41870.582,14.655049,7.3117676,-3.9519997,27.516748,3.1494505,5.7909,0.0,31.399998,37641.016,13473.196,0.0,50409.555,21.163376,3.6497345,9.206334,28.410498,2.527174,5.0239453,0.0,29.5,37647.336,13102.543,0.0,49967.156,5.04458,7.2894177,-13.181169,19.283415,2.430435,4.8728614,0.0,35.0,17410.703,13284.4795,0.0,38948.96
1,1971,21.2,-3.9833663,6.439236,-20.099918,10.739667,1.8722222,3.2285259,0.0,14.700002,21798.607,12680.4,0.0,41855.93,14.361736,7.4716225,-1.25825,28.422998,1.2802198,2.7113843,0.0,15.600002,41009.75,10995.749,334.20822,50246.184,20.44723,3.1361156,10.820916,26.437582,1.8586953,4.623284,0.0,31.199997,38597.184,11811.77,47.998924,50013.65,6.700921,7.532675,-5.847833,22.993835,1.8380436,3.935883,0.0,23.5,20246.844,13968.77,0.0,39164.426
2,1972,25.6,-3.875603,6.927935,-23.341581,12.606334,1.7813185,3.5800655,0.0,25.8,21892.955,12378.398,0.0,41722.586,13.216747,6.6968064,-6.5603333,24.706335,3.2263737,6.145203,0.0,27.0,37165.152,13509.011,0.0,50216.523,20.263762,3.712214,9.043833,27.473,3.3130436,4.8544126,0.0,19.0,34097.434,13746.318,0.0,49935.594,2.641705,6.8326726,-13.401998,16.204248,3.2597826,6.1570835,0.0,33.600002,16675.03,13262.366,0.0,38762.492
3,1973,30.5,0.373023,6.559784,-15.706168,15.875084,2.481111,5.6675477,0.0,34.1,21126.33,13013.412,0.0,41622.74,14.075678,6.33479,0.30216673,24.543837,4.0978026,6.478854,0.0,31.699999,33208.863,15582.263,0.0,50373.83,20.860682,3.4448893,11.289666,27.175081,3.0228262,7.601158,0.0,50.300003,38042.11,11324.639,0.0,49880.945,5.5903,8.099699,-11.520748,19.106333,2.9347825,5.561928,0.0,21.800001,19731.96,12907.492,0.0,38392.348
4,1974,18.7,-1.5744307,6.641453,-16.270754,15.716751,2.6055558,4.6125956,0.0,22.000002,20908.197,13642.096,0.0,40842.96,13.85315,5.5245805,0.06258321,23.131327,3.1923077,4.5569053,0.0,23.300003,33003.81,14440.411,0.0,50130.906,20.054611,4.029196,8.320916,27.187584,1.4880435,3.1977274,0.0,16.200003,38125.95,11164.2295,0.0,50116.93,4.3370395,6.6718817,-8.229083,18.591747,2.2260869,4.0988574,0.0,24.3,18912.262,14479.413,0.0,38778.32
5,1975,30.2,-1.5522549,4.7883835,-17.922836,10.408417,2.6277778,4.493942,0.0,22.0,20206.186,12985.611,0.0,40363.47,13.918488,7.979,-4.6936665,25.673002,3.7505493,8.087691,0.0,49.6,38043.42,12577.903,0.0,50125.684,19.552439,4.4307513,9.670917,26.610498,2.5684783,5.144953,0.0,25.800001,36143.383,14269.934,0.0,49932.62,6.171595,7.6277575,-10.67075,20.345913,1.8260871,3.3704557,0.0,14.5,22359.02,12176.435,0.0,38819.254
6,1976,31,-0.677435,7.747348,-18.514502,14.848,3.2725275,6.3394194,0.0,39.5,21506.416,13671.403,0.0,41004.09,14.345894,6.5180764,1.8105,26.373,2.986813,7.3693843,0.0,47.999996,39002.76,12288.733,0.0,50229.33,19.614643,3.6749482,9.879251,27.906332,1.8119565,5.1320553,0.0,32.2,38987.145,11953.687,0.0,50017.883,0.58835304,7.7560296,-17.416586,17.781332,1.3304348,3.9633415,0.0,33.2,23769.75,11710.323,0.0,39024.37
7,1977,38.5,-4.7066765,9.626116,-22.931168,16.058416,2.3055558,5.343974,0.0,32.6,23739.256,12407.884,1.1830902,41823.086,16.164917,6.1180553,-0.377,24.777166,2.4626372,4.523166,0.0,21.2,38918.836,13131.091,679.67773,50328.79,20.852686,3.796665,12.218833,28.831331,3.729348,6.513832,0.0,32.8,35174.023,12940.538,0.0,50015.883,3.5833485,8.199245,-15.872836,15.450081,2.3239133,3.6207392,0.0,15.000002,18516.127,12958.316,0.0,38724.336
8,1978,27.1,-6.9843154,5.8024936,-15.904084,9.110499,1.878889,5.1505756,0.0,40.000004,23134.133,13004.952,0.0,41573.82,13.972382,6.3899765,0.76049995,25.114668,2.8769228,7.436204,0.0,56.2,36104.527,14868.241,0.0,50368.95,20.869104,3.3985121,11.229251,27.15425,2.919565,8.176423,0.0,68.7,37039.914,13244.416,0.0,49815.844,4.2676783,6.301923,-11.422835,16.852167,2.501087,4.688717,0.0,23.5,18952.6,13468.6875,0.0,38606.082
9,1979,35.1,-4.9687595,8.696564,-22.041586,15.535499,2.0900002,4.2069244,0.0,25.300001,18875.477,13364.57,0.0,40711.793,13.622655,6.6604877,-2.4374168,24.006332,2.423077,4.451793,0.0,22.6,37277.703,13869.12,0.0,50420.5,19.902258,3.22665,12.233417,25.777166,2.8108697,7.053757,0.0,42.3,36511.25,11617.371,6183.492,49974.137,5.2525063,6.5234294,-8.541583,21.622995,2.769565,5.45561,0.0,33.399998,21527.594,12053.691,0.0,39153.68
10,1980,36.5,-3.9099672,6.1428785,-16.977,7.702166,1.6384618,3.0584226,0.0,16.099998,20518.256,13313.87,0.0,39777.18,13.738017,5.9381137,1.9125834,24.783415,3.3923078,6.251564,0.0,28.199999,35237.03,14638.995,0.0,50339.953,21.401487,3.714863,10.047999,28.556334,4.7467394,7.3423877,0.0,28.5,36109.023,10566.806,1607.9805,49830.582,3.2817414,6.8988585,-13.889501,18.595919,1.8858696,3.885266,0.0,18.7,21082.918,11790.575,0.0,39018.19
11,1981,32.1,-2.816213,7.617926,-20.770752,15.248,1.0988889,3.1476939,0.0,23.099998,25103.48,11265.617,0.0,41401.117,14.6666565,5.4484777,2.9084165,26.50633,4.340659,7.1289234,0.0,35.8,34353.164,15575.682,0.0,50355.926,19.742792,3.658826,9.210499,26.212584,3.1358695,6.190982,0.0,35.399998,34860.35,13525.419,0.0,49797.977,3.5763965,6.617468,-11.810333,18.23967,2.3163044,6.025792,0.0,41.9,20883.172,11883.234,0.0,38722.074
12,1982,35.9,-5.844547,8.025119,-27.510332,11.816747,2.8622222,5.258243,0.0,32.9,22017.816,12890.298,0.0,41745.348,13.768878,7.5857463,-10.866582,22.245918,3.1219785,5.797563,0.0,29.000004,36215.56,13884.033,969.1329,50212.1,20.004543,3.6447814,10.293832,26.237581,2.6217391,4.9157033,0.0,23.0,38704.914,10700.778,3768.0872,50115.727,7.012538,6.9222693,-6.0228333,20.470917,2.8065217,5.3155546,0.0,25.5,18301.203,13134.884,0.0,38711.875
13,1983,32,0.09563876,5.554524,-10.249916,15.827167,1.3388889,3.3929439,0.0,22.300003,20985.262,13622.066,0.0,41224.246,13.135224,6.7883,-2.0999167,26.670916,3.3054948,6.204145,0.0,27.800003,35008.383,15075.018,769.6894,50099.99,21.906717,4.4901304,8.056333,28.716745,3.1641302,6.289806,0.0,28.300001,40173.887,9769.809,448.61984,49838.957,3.1110206,10.224849,-24.245749,21.560495,3.203261,6.7730145,0.0,32.8,18015.678,13762.0205,0.0,38978.26
14,1984,30.1,-4.1182775,7.1528215,-26.541582,11.056333,1.7648352,4.10705,0.0,26.900002,22042.137,13540.169,0.0,41909.414,13.748342,6.644888,1.69175,25.483414,3.2637362,6.024109,0.0,36.199997,35040.2,15330.043,0.0,50133.164,20.015322,4.115284,8.141748,26.54592,3.2728264,7.0003,0.0,36.300003,37699.773,12191.553,0.0,49918.574,6.226691,6.942015,-10.045751,18.608416,3.0597825,6.4985723,0.0,37.3,18199.834,12873.621,0.0,38842.914
15,1985,36.2,-3.2291293,7.8017316,-26.241585,14.9105,3.36,7.5379157,0.0,41.399994,20609.955,14429.135,0.0,41471.234,15.690833,5.4903555,-2.19575,24.454247,2.5538461,5.4638467,0.0,27.3,39519.04,11649.221,0.0,50229.57,20.202211,3.6603894,11.2355,27.056334,3.5543475,9.98825,0.0,78.69999,36339.723,12187.692,0.0,49769.992,3.6345258,9.0296,-16.566586,17.189665,3.416304,5.8656626,0.0,29.100002,14759.514,12696.605,0.0,38885.652
16,1986,35.8,-1.7871853,7.4037423,-18.510334,17.645916,1.8644443,3.6827357,0.0,21.699999,21517.936,13895.43,0.0,41876.914,14.865809,5.8347664,0.4875832,24.443834,3.4087913,5.773554,0.0,27.2,33268.973,16183.117,0.0,50358.934,20.416048,3.5614882,12.316749,27.602163,3.8304348,7.842288,0.0,40.5,37262.66,12846.869,0.0,50097.836,4.3815145,6.6125712,-8.82075,19.520916,2.278261,5.8581743,0.0,40.000004,17805.791,13379.78,0.0,38083.48
17,1987,38.4,-0.87058806,5.896498,-19.339499,11.187581,1.3,3.196065,0.0,18.699997,23941.426,12845.745,0.0,40893.57,16.323204,6.6421323,-1.7686669,25.806334,3.0219784,5.505105,0.0,26.000002,37967.66,13485.853,522.34705,50367.758,21.091204,4.031793,12.900082,27.739664,3.8695655,9.045146,0.0,58.4,37447.984,11846.795,0.0,49837.58,4.775242,5.248894,-9.672833,17.583414,2.6119566,5.1986017,0.0,28.999998,19163.016,13098.822,0.0,39140.86
18,1988,30.7,-3.043186,7.4477997,-18.7895,14.368832,1.6406592,2.8662782,0.0,14.300001,23469.799,13137.129,0.0,40846.227,15.533806,6.76801,1.9521667,30.189667,1.9318682,5.3998737,0.0,34.6,42694.484,9516.265,2694.5789,50303.062,21.953207,4.4863286,11.922999,29.685501,3.3423917,5.907943,0.0,29.6,38903.934,11517.478,183.54424,50116.547,3.5336654,6.06287,-10.262418,19.54383,3.3304348,5.8496876,0.0,28.8,19990.389,12138.556,0.0,38497.22
19,1989,36.9,-1.2804027,6.2772865,-15.537417,16.756334,1.4355557,2.8866336,0.0,13.899998,23206.94,13478.743,0.0,41478.273,13.412147,6.6025667,-1.9728333,25.2605,3.8978024,8.712137,0.0,64.9,37973.58,12792.947,0.0,50307.535,19.872862,4.0512114,8.023,28.325083,3.4184783,6.289271,0.0,35.199997,37054.16,12614.68,0.0,50114.32,2.0853639,9.925439,-19.854082,19.218832,1.8804346,3.974624,0.0,23.800001,21255.676,12802.282,0.0,38547.34
