,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,26.1,-5.140662,6.578479,-22.109667,7.5507507,1.501111,4.427328,0.0,38.099995,23865.111,13240.268,0.0,42057.44,14.856337,7.4179683,-4.4846663,27.892416,3.4296703,6.149065,0.0,29.300001,38675.875,12782.675,0.0,50232.195,21.398554,3.7551703,9.848666,29.309084,2.7989135,6.1547356,0.0,40.3,39053.594,12412.769,0.0,49982.973,5.202109,7.331696,-13.4888315,19.061169,2.4163046,4.782001,0.0,29.6,18877.945,13278.178,0.0,38955.777
1,1971,25.2,-4.173671,6.5849547,-20.084663,10.138249,1.8444444,3.2557335,0.0,12.900002,23062.316,12670.646,0.0,42043.953,14.489121,7.776024,-1.5221668,28.859083,1.2252747,2.953702,0.0,16.800001,42128.152,10173.935,3600.0,50195.85,20.677359,3.197865,11.0320015,27.273666,1.7760869,4.39171,0.0,25.1,39500.65,11078.462,164.19725,49945.902,6.9181414,7.5626235,-5.6700835,23.717417,1.9195653,4.0385027,0.0,25.9,20880.582,14143.235,0.0,39118.46
2,1972,24.6,-4.1027985,7.0136423,-23.411749,12.792417,1.7978022,4.049773,0.0,33.300003,22973.945,12696.836,0.0,41869.4,13.34379,6.840572,-5.8555007,25.415335,3.1967032,6.3586416,0.0,34.6,38407.137,13351.51,416.87943,50071.273,20.577835,3.8550894,9.200749,27.809082,3.1826086,5.397041,0.0,27.9,34944.434,13999.305,0.0,50030.15,2.7097175,7.0215735,-13.570083,16.729918,3.3663042,6.2055326,0.0,32.199997,16700.082,13704.954,0.0,39036.973
3,1973,25.4,0.82068074,6.3002176,-11.757583,15.579918,2.4788892,5.4946246,0.0,27.800005,21566.248,12996.958,0.0,41622.96,14.253774,6.3935094,0.5236667,25.048666,4.0626373,6.722411,0.0,35.6,33776.902,15302.456,0.0,50205.32,21.20374,3.5332038,12.023667,27.704916,3.083696,6.685613,0.0,38.600002,38570.797,11169.071,0.0,49915.523,5.747557,8.344994,-12.757584,20.192417,3.0423915,5.7697053,0.0,25.8,20171.877,12710.376,0.0,38400.562
4,1974,17.8,-1.4172589,6.7350655,-16.73675,16.654917,2.5777779,5.031983,0.0,24.0,21744.652,14149.772,0.0,41251.113,14.0816345,5.442259,0.71324986,22.875753,3.976923,5.818612,0.0,25.800005,32637.725,14209.992,0.0,50031.39,20.336123,4.1647816,7.8882504,28.117416,1.7228262,3.8809795,0.0,19.1,38986.023,10314.958,771.73663,50106.562,4.7513165,6.4851785,-6.434666,18.573668,2.1565218,3.908832,0.0,24.4,19013.266,14415.403,0.0,39099.39
5,1975,32.7,-1.4193426,4.7417397,-17.2555,11.332,2.7933335,4.8012824,0.0,22.9,21066.137,12902.116,0.0,40366.812,14.052193,8.127505,-4.6805,26.1195,3.4813185,5.5607533,0.0,23.5,38479.574,12205.979,1004.9766,50032.5,19.721834,4.4583344,9.784083,26.906998,2.2076087,4.4262514,0.0,21.300001,37412.523,13417.976,0.0,49950.703,6.4975805,7.595465,-9.459666,21.042418,1.8978262,3.6247616,0.0,18.1,23930.318,11825.96,0.0,38826.4
6,1976,32,-0.45826998,7.5742645,-18.245085,15.438251,3.0923073,5.805921,0.0,32.8,23298.059,13144.334,0.0,41005.844,14.524926,6.740858,1.4236666,27.036171,3.357143,8.429289,0.0,51.799995,39822.242,12491.662,0.0,50116.023,19.947308,3.701993,10.127833,28.371584,1.6858698,4.7993035,0.0,32.5,39561.383,11305.085,0.0,50015.86,0.73854446,7.9255843,-15.9575815,18.054918,1.497826,4.332017,0.0,36.1,25122.033,10779.265,0.0,39031.0
7,1977,33.3,-4.61256,9.853131,-22.899248,16.163252,2.3322225,5.3335032,0.0,36.4,24457.697,12701.447,0.0,42011.215,16.768631,6.452242,-0.15966678,25.500753,2.2373626,3.7056906,0.0,17.5,39236.484,12800.193,0.0,50199.184,21.03096,3.8677425,13.002834,29.4945,3.976087,7.7197533,0.0,46.499996,36355.25,12553.133,0.0,50021.4,3.6715384,8.383712,-15.618,15.863251,2.6652172,3.9711442,0.0,19.700003,18719.59,13602.816,0.0,38899.375
8,1978,31.3,-7.099087,5.9156437,-16.540915,10.350751,1.778889,4.5170712,0.0,31.699999,24513.756,13662.016,0.0,42059.547,14.03761,6.631953,1.0403333,25.72783,2.9417584,8.317492,0.0,69.899994,37036.305,14409.001,0.0,50176.18,21.151997,3.412282,11.3695,27.26117,3.0576088,9.17315,0.0,76.500015,37817.566,12302.382,2610.593,49934.63,4.4257503,6.5650597,-12.203415,17.6695,2.5195653,4.8067317,0.0,25.1,19911.844,13529.869,0.0,38613.754
9,1979,34.1,-5.124134,8.754195,-22.970085,16.150751,2.2022226,4.27911,0.0,24.400003,19322.979,13453.004,0.0,40714.273,13.838387,6.7987685,-2.1700838,24.867416,2.3791208,4.2262545,0.0,21.000002,37836.113,13498.764,0.0,50274.734,20.156933,3.0737026,12.98825,26.284082,2.2858698,5.26858,0.0,25.600002,37507.08,11327.7705,3600.0,50026.656,5.576497,6.48213,-7.470083,22.294502,2.8652174,5.9634867,0.0,35.8,22064.088,12256.04,0.0,39113.62
10,1980,33.4,-3.8372762,6.171061,-18.149248,7.8799167,1.7747253,3.1820886,0.0,13.299999,20556.988,13234.029,0.0,40842.184,13.808831,6.1899743,2.0986664,25.850752,3.7835164,8.332403,0.0,61.6,36347.09,14490.634,0.0,50339.168,21.720066,3.9078312,10.446584,29.654915,3.8684785,6.2676024,0.0,26.199999,36611.85,10834.804,3257.0144,49868.582,3.6405597,6.8587456,-12.455499,18.892418,1.8097824,3.7353394,0.0,19.199999,22231.525,12174.324,0.0,38178.707
11,1981,33.1,-2.6521897,7.5521297,-21.897165,15.5945015,1.13,3.2596772,0.0,25.1,25443.31,11628.194,0.0,41128.715,14.774331,5.4808145,3.4778335,26.621582,4.806594,8.784542,0.0,55.699997,34790.42,15608.189,0.0,50200.81,19.966919,3.6015751,9.579916,26.482,3.2467391,5.8528748,0.0,30.900003,35969.812,12790.682,0.0,49904.656,3.9217649,6.841879,-12.330501,18.440336,2.2923913,6.6651497,0.0,53.399994,22023.984,11524.589,0.0,38729.457
12,1982,36.9,-5.7155924,8.268566,-27.436745,11.3695,2.8666666,5.2498474,0.0,33.899998,22682.55,13019.296,0.0,41932.562,13.903726,7.3938265,-8.809666,22.840338,3.5032969,6.7480936,0.0,33.399998,36933.51,13773.962,692.8118,50102.29,20.2094,3.660508,10.72575,27.013252,2.602174,5.092895,0.0,20.800001,39451.04,9454.601,4005.0361,50027.203,7.213205,6.8899636,-5.6784167,20.929918,2.8119566,5.5353184,0.0,27.400002,19078.953,13141.945,0.0,39096.574
13,1983,27,0.06973149,5.7120495,-11.909668,17.046585,1.5400001,3.7821817,0.0,22.3,21175.701,13710.478,0.0,41225.457,13.338756,6.952916,-1.97425,27.307,3.567033,6.910283,0.0,36.5,35850.05,14745.299,0.0,50069.79,22.401272,4.626751,8.275751,29.54033,2.9619565,5.9422464,0.0,33.3,41258.773,9321.968,95.82273,49925.855,3.3613706,10.38829,-23.543,22.227835,3.1043475,6.603444,0.0,37.1,19317.703,13146.768,0.0,39112.945
14,1984,29.1,-3.9736543,7.1621685,-26.688833,10.742417,1.9395604,4.1149287,0.0,25.3,21721.771,13638.748,0.0,42097.28,13.79908,6.7155538,1.4528335,25.60492,3.7593408,7.3133054,0.0,45.799995,35885.82,14895.783,27.18736,50200.645,20.315311,4.262253,7.748667,27.506998,2.9739134,5.9176927,0.0,32.5,38000.5,12013.565,0.0,49940.945,6.399369,6.9921036,-10.434667,18.836166,3.055435,6.8912644,0.0,42.699997,19403.729,12556.107,0.0,39019.53
15,1985,36.2,-3.1005228,7.8057766,-26.711752,14.675751,3.4433331,8.246947,0.0,50.4,21329.67,14340.004,0.0,41471.836,15.972773,5.779938,-1.653417,26.273666,2.5670328,5.7172847,0.0,32.699997,39632.953,11990.386,0.0,50197.15,20.46146,3.7646708,10.982002,28.21325,3.3402174,7.921692,0.0,47.4,38191.434,11482.192,0.0,49841.066,3.7054605,9.075284,-16.570082,17.290335,3.6847825,5.827878,0.0,26.800001,15890.182,13404.39,0.0,38892.633
16,1986,33.9,-1.5510554,7.28513,-17.740915,18.061167,1.9055557,3.7381232,0.0,22.000002,22222.352,13945.076,0.0,42064.42,15.15755,5.870981,0.25491667,25.09867,3.9868133,6.6408033,0.0,32.0,34313.582,15432.169,0.0,50203.73,20.60263,3.5202131,12.377834,27.840332,3.9239135,8.3254595,0.0,44.7,37153.79,13472.817,0.0,50092.543,4.5369596,6.6410074,-9.461749,19.827833,2.2565217,6.2518272,0.0,47.700005,19426.264,13374.885,0.0,38092.47
17,1987,41.4,-0.4735786,5.8459272,-19.6055,11.371583,1.2533333,3.2039373,0.0,19.7,23376.947,13257.141,0.0,40895.6,16.640974,6.8553853,-1.2013334,26.288252,3.1274726,5.6180477,0.0,27.900002,39511.07,11757.361,0.0,50212.754,21.462233,4.1543736,12.894501,28.029917,3.575,7.4351945,0.0,52.7,37244.94,12274.682,0.0,49909.47,5.0323625,5.2334228,-9.803416,17.846586,2.7347825,5.427736,0.0,31.9,19735.805,12964.341,0.0,39110.0
18,1988,31.7,-3.0007842,7.48075,-19.240915,14.586167,1.732967,3.1931891,0.0,14.4,24532.52,12934.824,0.0,40848.375,15.739417,7.044363,2.1965835,30.775751,1.9626374,6.512904,0.0,50.4,42509.95,10604.229,0.0,50207.477,22.190853,4.488935,12.490336,29.771584,3.6086957,6.8078117,0.0,33.2,40112.332,10588.491,0.0,50107.492,3.7776072,5.9672008,-8.865915,19.1945,3.2239132,6.079155,0.0,37.499996,21067.6,12001.927,0.0,38003.797
19,1989,37.8,-1.213347,6.282738,-15.951331,16.517418,1.3033334,2.6112742,0.0,12.700001,23335.166,13404.345,0.0,41478.86,13.593195,6.610422,-1.4992498,25.146585,3.8087912,8.718571,0.0,62.600002,38685.625,11240.668,0.0,50190.027,20.041693,4.0685406,8.532001,28.909082,4.2119565,9.41356,0.0,68.79999,37046.855,12260.08,0.0,50026.715,2.3304381,10.004465,-20.278418,19.523666,1.825,3.7173967,0.0,21.9,23070.432,11731.31,0.0,38722.223
