,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,21,3.0000143,5.73496,-9.063665,16.546747,0.8255555,3.0305767,0.0,21.9,30057.41,10321.825,0.0,41454.92,19.514563,7.7254686,-3.076167,31.284248,1.3747252,5.077786,0.0,38.7,43307.04,7290.841,2230.4905,49027.703,25.89598,5.1601963,11.698833,32.62592,1.6271737,5.8210692,0.0,39.499985,40832.477,9847.302,3600.0,49010.266,7.62689,5.6876035,-2.3553333,23.619669,0.5782609,2.1621535,0.0,17.9,29917.701,8156.409,0.0,39486.68
1,1971,27,1.0018426,8.286063,-20.440748,22.75717,1.1000001,4.64008,0.0,34.9,32509.375,8166.564,0.0,41805.383,19.23828,5.968645,5.0988336,30.736338,2.1857142,5.68201,0.0,40.300003,41745.47,9574.855,1563.3613,49027.414,23.986177,4.970234,8.305083,32.32175,1.7521737,4.407049,0.0,26.299997,40885.984,10384.658,0.0,49023.074,8.793081,7.1627483,-4.124083,23.244667,1.6032609,4.8392277,0.0,30.1,28791.4,11156.973,0.0,39499.4
2,1972,33.9,5.282785,7.283668,-9.949082,21.844667,0.30439562,0.81865907,0.0,4.7000003,32850.598,7896.9077,0.0,41880.453,19.286448,5.1015177,5.7884164,26.936335,2.1813188,4.449542,0.0,28.400002,40862.633,10903.566,229.15648,49035.348,24.171637,3.7743459,14.682167,30.582169,2.8489132,6.4630055,0.0,36.9,39036.19,12017.141,834.259,48828.367,5.166768,9.40615,-13.651166,26.998835,1.2673913,3.0455556,0.0,15.700001,24337.23,12689.387,0.0,39458.977
3,1973,30,3.367259,5.6487985,-13.207416,14.330085,3.3066669,7.7057953,0.0,38.2,24879.744,13274.156,0.0,40775.46,17.275208,7.2885003,-2.7178333,30.636335,1.1780219,3.1244843,0.0,18.900002,41478.48,10157.612,5385.4883,49033.117,24.549942,4.9692607,11.053,32.59467,2.576087,7.103851,0.0,56.1,40032.996,11329.597,679.3956,48997.926,8.812307,7.208294,-9.297001,22.803001,0.9532609,2.9972682,0.0,18.300001,28660.188,10247.17,0.0,39384.957
4,1974,34.1,4.996357,8.055414,-14.863667,22.055082,0.7755555,3.3874621,0.0,28.399998,30752.916,9697.762,0.0,41815.996,20.42411,5.518153,5.0155,31.398836,1.5197803,5.0296063,0.0,37.0,42803.27,7461.9,4562.092,49031.42,23.394712,5.2550073,12.248833,31.392584,1.8326088,5.3507953,0.0,32.8,39929.066,10693.385,790.90625,49019.156,8.485086,6.6086407,-3.8844995,23.990501,0.9489131,2.6508343,0.0,15.3,28237.43,10134.007,0.0,39484.17
5,1975,-1,2.7450833,5.0058675,-7.782416,17.907167,1.1888889,4.265209,0.0,36.8,28777.555,11566.956,0.0,41804.445,18.25847,5.9362884,-0.86783344,27.688416,2.9967034,7.040004,0.0,33.7,39715.457,10371.757,7670.2466,48947.67,24.611856,4.5577173,12.761334,31.473831,0.8086957,1.8705734,0.0,11.700002,42232.31,7819.772,2968.516,49029.023,9.531147,7.661173,-5.4990826,25.857168,0.9423913,4.72641,0.0,41.799995,30314.736,8934.186,0.0,39497.133
6,1976,20,6.4776793,6.368383,-10.261583,19.998833,0.65164834,2.683835,0.0,20.500002,32378.691,7478.905,1485.0413,41842.445,18.172321,5.1638412,9.536332,28.723833,3.6439557,10.352523,0.0,67.3,40875.85,11404.326,0.0,49034.37,25.171999,4.2182283,10.138416,31.734253,1.1771737,2.7745745,0.0,19.0,41776.16,7586.7207,3975.6946,48997.58,7.022904,6.3610473,-8.04075,22.132166,0.5543479,1.8154051,0.0,11.200003,30590.453,8254.344,0.0,39457.965
7,1977,40.7,4.7375836,6.515649,-12.519917,17.296751,0.51,1.3525715,0.0,9.500001,32671.309,6852.569,9421.643,41780.195,19.815065,5.2151046,4.93425,28.68425,3.8450549,7.0782027,0.0,42.000004,36792.473,11839.63,0.0,49029.64,25.54118,3.5124874,17.830086,30.888418,2.323913,6.298288,0.0,51.2,40499.96,9556.313,2058.1802,49030.67,9.354336,6.5368075,-7.1594987,22.809252,0.39130434,1.4910468,0.0,11.6,30460.463,8192.414,0.0,39470.074
8,1978,30.2,-0.5744072,7.368335,-13.792831,20.857166,1.1055555,2.6551356,0.0,15.800001,27811.098,12094.421,0.0,41814.9,18.837683,6.0069504,5.430083,31.723831,3.142857,6.7653713,0.0,40.899998,37499.51,14608.939,0.0,48994.766,26.295416,4.300237,13.044666,32.83842,1.2173913,4.037533,0.0,31.1,41230.324,10190.192,0.0,48938.21,8.386447,8.011383,-9.9990835,22.290497,0.61195654,2.0450337,0.0,12.2,27125.062,12362.079,0.0,39482.703
9,1979,32,0.52031493,8.008755,-17.692833,18.292582,1.8166667,5.38277,0.0,41.2,29471.215,10920.339,0.0,41751.695,17.793844,6.230577,1.9425834,29.673836,2.7406592,6.875479,0.0,50.8,38277.59,13936.155,394.25858,49022.848,25.077478,3.2545934,15.923832,31.082167,1.826087,5.697828,0.0,36.5,41242.824,6893.5366,16226.748,48872.016,8.786288,7.4366207,-3.1345003,23.4405,1.3673912,7.269387,0.0,66.100006,30698.055,8285.468,0.0,39495.312
