,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,-1,1.644514,6.687883,-17.147085,13.602917,2.6744444,5.2530904,0.0,21.400002,22777.965,13717.915,0.0,41592.996,19.660973,4.898461,6.334167,28.138334,3.7549453,7.1949716,0.0,37.699993,38993.312,12158.521,684.8772,49552.156,25.056337,3.0724614,14.400833,30.146673,2.1282609,4.971774,0.0,25.500004,39090.81,10343.794,163.67706,49425.1,9.66406,6.3571215,-5.32625,20.82375,3.3934782,7.1912003,0.0,34.599995,22848.709,12649.115,0.0,38894.832
1,1971,-1,3.0569217,5.771501,-9.899166,15.765415,2.9255555,6.784443,0.0,42.000004,26499.344,12217.154,0.0,42126.62,19.089064,6.3714156,1.9820834,30.354998,2.7065935,6.3700304,0.0,36.5,40713.59,10858.754,0.0,49552.344,23.802368,2.574829,16.490416,28.915419,3.5260873,8.427269,0.0,52.6,39184.53,9679.9,0.0,49400.453,12.220784,6.8084292,-0.8574999,25.054998,2.054348,4.4818907,0.0,20.800001,24119.389,13220.561,0.0,38907.496
2,1972,26,4.6549315,5.8119345,-13.178334,16.511248,2.968132,6.0962257,0.0,42.699997,25478.291,13564.139,0.0,41523.676,19.045635,5.4366555,1.92375,27.273748,2.4439564,5.3552303,0.0,25.800005,39926.816,11992.669,3913.5715,49545.047,24.622164,2.7346256,12.596668,28.632082,3.569565,9.451644,0.0,56.6,38601.91,11348.88,0.0,49236.445,8.441685,6.432117,-6.4262505,20.596666,4.207608,8.614571,0.0,49.7,20287.994,14209.965,0.0,38898.97
3,1973,24.5,5.8276386,6.480364,-6.659584,18.882082,3.767778,6.5680847,0.0,26.200003,22914.404,13489.93,0.0,40940.23,18.20349,5.713085,3.0695832,27.665415,4.537363,7.3206353,0.0,44.3,35563.625,13469.021,0.0,49541.03,24.999405,2.5179412,15.711249,29.3675,2.0663044,4.3898306,0.0,30.800003,39851.44,8698.087,9083.158,49263.242,10.79173,7.440945,-8.740833,23.242498,4.2423916,8.012974,0.0,32.0,23160.236,12974.513,0.0,38774.375
4,1974,27.5,7.043704,6.3064675,-6.878332,19.557083,2.8844445,5.2520924,0.0,23.8,23369.564,13954.79,0.0,42167.71,18.786936,4.765774,6.425833,28.1425,3.621978,8.837694,0.0,47.3,37394.684,12429.794,0.0,49552.883,23.304798,3.9605908,11.642501,29.415415,3.5336957,7.086875,0.0,40.2,37094.22,12020.688,175.70091,49326.266,9.542296,5.792946,-0.90749997,20.713333,2.2163045,5.219264,0.0,31.499998,24854.006,13578.578,0.0,38982.906
5,1975,28,5.2317357,4.7643733,-5.065833,16.394583,4.388889,8.815364,0.0,52.49999,23060.445,13655.227,0.0,40702.113,19.718187,6.275202,3.8695831,28.465418,2.5296702,5.2690187,0.0,29.300003,38202.984,11726.154,4543.052,49552.66,23.664648,4.364566,11.421666,28.650831,3.075,6.9653716,0.0,35.300003,37009.156,13625.216,0.0,49425.766,10.321892,6.9407387,-6.749166,22.707085,3.3771741,8.407023,0.0,60.2,24044.713,12694.167,0.0,38852.477
6,1976,28,7.0726504,6.8906584,-8.6137495,19.994583,3.2054944,6.8390117,0.0,36.1,25722.066,12945.51,0.0,41807.46,18.332472,4.750704,9.313333,27.317505,3.2989008,7.255213,0.0,48.7,38563.883,11638.165,0.0,49549.117,23.517748,3.033566,16.396667,30.179998,2.095652,6.217202,0.0,49.299995,40370.98,9054.476,721.309,48986.375,6.189216,6.419182,-10.290833,21.346664,1.5413046,4.66898,0.0,25.500002,26124.31,11855.182,0.0,38866.22
7,1977,32,2.6776853,8.733747,-15.540835,20.86125,2.6888888,6.1050997,0.0,28.2,27390.59,12341.86,0.0,42201.742,20.895315,4.74459,7.088333,27.842505,3.004396,5.664802,0.0,26.4,40476.234,11037.173,23.952026,49374.727,25.152237,2.8889823,17.890415,30.198753,3.626087,7.4772606,0.0,52.9,38285.508,11568.583,0.0,49386.71,8.795398,7.0042925,-8.18875,23.569582,3.0586956,6.6824217,0.0,36.1,21002.52,13948.783,0.0,38772.426
8,1978,27,-0.54516196,6.7797904,-11.959583,16.288334,3.2188888,6.2687,0.0,25.8,22374.488,14612.581,0.0,42170.25,19.327047,5.3768797,8.357085,30.28625,2.9274724,6.115137,0.0,32.8,38850.84,12046.086,460.35968,49508.24,25.26408,2.8240614,18.44875,30.575836,3.1608698,7.4584117,0.0,45.199997,39952.164,9273.81,3600.0,49355.36,9.764013,5.495886,-2.8241663,19.238333,4.018478,9.734575,0.0,54.0,24956.475,13244.868,0.0,38890.867
9,1979,30,1.6221297,7.8708954,-12.084583,17.382082,4.0633335,8.291995,0.0,42.7,21288.883,13495.452,0.0,40123.47,18.332724,4.9206386,7.3737507,27.227915,4.989011,9.251083,0.0,48.399998,36864.875,14184.892,0.0,49534.742,23.352463,3.1483371,16.04875,29.31958,4.7402177,11.781574,0.0,89.49999,36687.637,13209.76,902.8031,48877.508,9.39422,6.1882896,-4.7845826,22.992498,3.656522,9.087491,0.0,60.899998,26311.324,12391.507,0.0,38903.414
10,1980,19,2.7659893,5.7230005,-10.77,13.784167,2.943956,6.3074594,0.0,41.199997,21642.67,14092.674,0.0,41008.98,18.786297,5.616094,4.83625,28.9675,3.4857144,9.082114,0.0,55.9,38550.55,12076.908,2121.2092,49547.047,26.903618,3.5436468,15.7175,32.884167,2.351087,6.4287214,0.0,32.3,39824.215,10305.696,1176.6172,49408.35,8.948502,6.7738237,-7.401249,23.192497,2.325,7.752187,0.0,45.5,26805.38,12190.936,0.0,38863.88
11,1981,25,3.7595136,6.2378235,-9.62625,17.702915,2.041111,5.003075,0.0,24.3,26986.072,12949.643,0.0,42207.004,19.674803,4.5124097,9.9925,27.696665,4.6967034,10.699299,0.0,81.4,34508.906,14247.681,0.0,49546.86,23.91401,3.3416505,13.194585,29.56958,2.7326086,5.5155544,0.0,26.600002,39096.59,9699.412,0.0,49352.766,9.126875,6.724698,-7.249168,22.734167,2.1826086,4.816469,0.0,27.6,23173.758,12376.069,0.0,38824.89
