,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,-1,1.7287408,6.400627,-17.346584,13.317998,2.8100002,5.3197756,0.0,30.800001,22079.115,13695.86,0.0,41200.293,18.489132,5.0179267,5.4554996,26.403414,1.9186814,3.8607404,0.0,16.600002,38976.28,11413.092,0.0,48606.023,23.247328,2.8568516,12.307583,28.50133,3.4239135,10.795456,0.0,95.40001,38898.367,9698.022,0.0,48425.176,9.157537,6.616101,-7.148667,20.601334,3.1304348,6.556948,0.0,34.099995,23624.943,11746.034,0.0,39315.645
1,1971,-1,2.4131155,6.028554,-12.342418,15.720084,3.6033332,6.4806967,0.0,33.100002,25149.145,13381.546,0.0,41601.473,17.106964,5.590038,5.9325843,26.451334,3.4626374,7.390409,0.0,35.5,40458.203,10840.53,0.0,48308.797,21.957855,1.910392,17.115915,26.161749,3.6010869,6.0068183,0.0,26.700003,35993.06,12130.07,2046.4725,48439.945,11.222619,6.48477,-1.4028331,22.322166,2.020652,5.368682,0.0,43.29999,23700.875,12394.059,0.0,39294.293
2,1972,-1,4.188467,5.726375,-13.915337,14.963833,5.4538455,9.328645,0.0,46.5,23977.535,13698.953,0.0,41289.633,16.46587,4.810014,2.4221668,24.157583,4.165934,8.134006,0.0,49.999996,36933.94,13341.052,0.0,48313.29,22.754164,2.4292388,13.709666,28.165915,3.0586956,6.143077,0.0,39.1,37078.24,12234.022,128.8881,48423.11,8.311954,5.455582,-8.271584,19.249247,4.1826086,6.7514853,0.0,31.700003,19335.488,13966.858,0.0,39270.79
3,1973,-1,5.1088333,6.5724363,-8.146584,18.522167,4.0555553,8.68412,0.0,66.399994,23040.926,13880.007,0.0,40955.867,16.231255,5.5473695,2.0700836,24.253416,4.843956,7.562087,0.0,45.299995,34187.25,14194.623,0.0,48211.75,22.729452,2.247546,14.190917,26.817999,2.5956523,4.6705513,0.0,20.300001,37674.69,10057.852,397.6886,48299.3,9.875654,6.80953,-4.2361665,21.478418,4.336956,8.834482,0.0,45.300003,24158.988,12448.46,0.0,39107.04
4,1974,-1,7.027005,5.4566903,-3.7819996,18.095083,4.64,8.008098,0.0,43.9,21341.365,14327.49,0.0,41262.64,16.964336,4.6397376,4.2284164,26.292997,4.0615387,6.909603,0.0,27.900003,37167.36,11155.598,4889.0776,48443.03,21.205612,3.2909334,11.034667,25.707582,4.159783,6.5258756,0.0,35.7,33472.887,13027.397,0.0,48263.008,8.082039,5.420764,-1.6403332,18.576334,3.2858698,6.323749,0.0,37.7,24420.31,13516.509,0.0,39315.344
5,1975,-1,4.961774,4.948288,-8.304916,17.959667,5.407778,9.772492,0.0,62.099995,21384.479,13993.071,0.0,40080.64,17.327503,5.876924,2.043,25.12425,3.507692,6.5246067,0.0,35.1,38264.016,11171.302,0.0,48182.94,21.936634,3.8256233,11.920082,26.307579,3.5086956,7.0095167,0.0,39.799995,36525.664,12721.597,0.0,48050.07,9.215304,6.5152082,-6.4069996,19.522165,3.4750001,8.326782,0.0,47.100002,25161.742,11875.989,0.0,39159.348
6,1976,-1,6.0099187,6.6654563,-10.071584,18.290916,3.8461537,6.297077,0.0,28.499996,24199.133,13551.258,0.0,41394.57,16.839405,5.047452,5.3346667,25.3305,3.134066,6.733964,0.0,38.3,39101.883,10863.393,5083.637,47822.125,21.177895,3.0665393,12.763833,27.201334,2.347826,5.5674186,0.0,34.1,37227.62,11995.797,0.0,48004.586,5.1672072,5.765005,-5.9861674,18.642998,2.5521739,5.2910557,0.0,28.9,24327.742,12754.476,0.0,39083.42
7,1977,-1,1.7639027,8.582782,-17.052835,19.52425,2.65,5.4599924,0.0,26.3,26952.264,11481.859,0.0,41294.094,18.73128,4.631237,4.5450835,25.134665,4.821978,12.585299,0.0,103.600006,39281.44,10228.235,0.0,48079.496,23.212814,2.8211174,15.799249,28.38883,3.5869565,6.249663,0.0,34.899998,37007.832,12056.713,0.0,48308.11,7.887451,6.7927036,-10.1195,20.7805,4.3043485,7.722878,0.0,37.200005,22544.404,12697.919,0.0,39105.727
8,1978,-1,-0.52188414,6.9919133,-14.1257515,13.667999,3.3011107,5.7043347,0.0,33.5,21510.613,14895.535,0.0,41555.24,17.221546,5.047196,7.101333,28.2055,3.5384614,7.2758317,0.0,44.499996,36944.54,13181.851,0.0,48192.535,22.927872,1.9927692,17.768,26.688833,4.0195656,5.784182,0.0,25.900002,37138.496,11172.152,0.0,48171.67,9.285934,5.426826,-3.361166,18.488832,3.4141302,7.033539,0.0,40.99999,25442.09,13357.59,0.0,39225.863
9,1979,-1,2.088046,7.5063243,-13.0424185,16.657581,4.6566663,9.579461,0.0,46.5,20609.523,14382.031,0.0,39752.98,16.759758,4.5358253,5.5034165,24.48883,4.4626374,7.932236,0.0,42.1,36131.766,14605.307,0.0,47921.29,21.437902,2.7157366,14.240918,27.01175,4.25,6.6737876,0.0,36.599995,33263.324,13637.756,0.0,48431.297,8.513969,5.6025124,-2.2778332,20.126331,2.8489127,6.37177,0.0,29.999996,26104.959,11169.102,0.0,39339.395
10,1980,-1,2.3907337,6.231619,-13.7090845,14.030499,3.463736,5.9486604,0.0,22.8,21600.225,13470.074,0.0,40671.254,17.22173,5.411393,4.8013334,27.62008,2.857143,6.1024613,0.0,33.600002,37854.12,12532.35,0.0,48514.297,24.325062,3.033202,13.834666,29.80342,3.4358697,5.236297,0.0,21.300001,37630.1,11260.612,0.0,48544.168,7.7023973,6.1014757,-6.5132504,20.27425,2.098913,5.184031,0.0,28.199999,25153.092,12857.322,0.0,39080.89
11,1981,-1,2.1811252,6.1451864,-11.200749,16.090914,2.6444445,5.604054,0.0,24.800001,26866.402,12006.511,0.0,41629.94,17.820333,4.4669366,7.734667,25.717997,4.7329674,9.014496,0.0,56.300007,34522.59,14232.287,0.0,48443.305,21.53641,3.283276,10.826333,26.36175,3.7565217,7.9394455,0.0,49.300003,37719.12,10118.664,0.0,47517.95,7.4323106,6.171321,-7.2715836,20.082584,2.422826,5.169545,0.0,27.399998,22795.094,12697.422,0.0,39104.582
12,1982,-1,4.0151067,7.2025633,-18.615332,18.697165,4.256666,7.2125835,0.0,28.8,22453.438,14123.158,0.0,41460.125,17.095312,5.490673,-0.1299167,23.515915,3.352747,5.4139605,0.0,22.600004,38803.652,9855.5,0.0,48336.62,21.410595,3.1097603,11.917999,25.897165,4.2,7.1612353,0.0,34.399994,35663.336,12821.786,0.0,48440.555,10.014377,6.5398483,-6.867418,21.165916,3.6380436,6.48916,0.0,29.5,23500.943,12615.025,0.0,39313.855
13,1983,-1,4.1447363,4.913949,-6.8507504,16.822165,2.428889,4.697627,0.0,22.000004,23000.836,12971.761,0.0,39600.0,15.628462,5.6729636,0.6013334,25.52008,5.4351645,8.631356,0.0,30.6,32107.637,16439.06,0.0,48050.188,23.637568,3.9728599,11.3429985,29.853416,2.1032608,4.296087,0.0,21.2,40259.684,9064.115,610.44135,48294.066,7.8826513,7.9476833,-17.686167,20.930498,3.4184785,6.322365,0.0,32.399998,21538.744,13958.103,0.0,39243.387
14,1984,-1,2.9087968,6.169368,-16.7445,14.384667,2.9725275,5.940989,0.0,29.500002,23590.938,12703.554,0.0,40557.57,17.154652,6.1891327,5.9555,26.645082,4.5065937,8.106291,0.0,39.799995,34579.875,14871.977,0.0,48542.727,21.875223,3.2325308,9.7305,26.549246,2.8228261,5.5926976,0.0,33.9,36922.96,11017.605,0.0,48411.074,10.794086,6.821284,-7.5090833,21.351334,4.330435,7.805038,0.0,39.299995,22397.172,13001.042,0.0,39167.312
15,1985,-1,2.199296,8.140227,-21.817415,19.538834,2.918889,5.4017663,0.0,30.800005,21472.031,14524.961,0.0,40956.992,17.746365,4.623881,2.2638333,24.201334,3.4197803,5.921303,0.0,26.199997,36901.02,11691.521,916.4227,48607.86,21.5966,2.96939,13.101334,26.420088,3.9978263,8.01992,0.0,61.000004,36765.684,11296.302,1339.3,48104.15,9.855387,7.950469,-8.521583,20.813831,3.3054345,7.2593455,0.0,44.499996,19750.574,13744.894,0.0,38591.098
16,1986,-1,4.4638333,6.4642677,-11.298668,17.309664,2.2544444,4.426939,0.0,25.400002,25228.758,13146.85,0.0,41618.035,18.733498,5.1445746,4.4784164,26.247168,2.620879,5.45848,0.0,41.1,39236.133,10194.578,5546.9272,48849.945,23.048115,2.9879253,14.686749,28.115913,4.0260873,8.047987,0.0,55.900005,37339.836,11534.663,0.0,48436.914,9.054481,6.3788924,-2.3236666,23.95758,4.7586956,8.74266,0.0,34.5,20125.621,13815.929,0.0,38621.668
17,1987,-1,4.382074,4.8628845,-11.825751,15.445084,3.0344446,6.7432055,0.0,36.8,21775.318,14364.147,0.0,41253.895,18.46438,6.2076745,-1.6090832,25.630495,2.665934,3.832644,0.0,20.0,37969.566,11750.52,0.0,48737.0,23.503054,2.9018705,15.657582,28.143,2.9576087,5.0805435,0.0,26.900002,38660.23,10143.434,1579.7166,48107.996,8.86938,5.112826,-1.27575,17.528418,2.2880435,6.97318,0.0,51.099995,25134.604,12676.134,0.0,39331.176
18,1988,-1,3.2696486,6.3199224,-10.054917,16.401333,2.5670333,4.935474,0.0,23.6,25553.014,13351.959,0.0,41437.32,17.767748,5.6867237,4.007583,28.880499,1.8274726,3.9566839,0.0,19.2,41010.504,10867.284,0.0,48333.21,23.469992,3.4728193,14.8429985,30.20967,4.4010873,10.620305,0.0,78.1,37098.156,12351.728,0.0,48610.02,7.681723,5.245338,-4.6799164,20.828413,3.1684783,7.0505695,0.0,36.3,25789.953,10435.061,0.0,38829.832
19,1989,-1,5.7345047,5.847911,-7.304917,19.168,4.1277776,7.049632,0.0,37.500004,22246.543,15067.251,0.0,41333.57,16.36578,5.6414623,3.4450836,25.65133,4.6000004,8.606045,0.0,58.9,33229.445,14051.419,0.0,48478.047,21.649092,3.1737947,9.682584,26.482582,4.6739135,6.8711033,0.0,32.699997,35075.9,12877.514,0.0,48093.81,6.1635604,9.16311,-19.271584,19.520082,3.2847826,8.104617,0.0,41.800003,24008.605,13755.905,0.0,39014.156
20,1990,-1,7.642953,5.007993,-3.9445,19.326334,3.6455557,8.148732,0.0,41.6,22096.207,14147.516,0.0,41320.586,17.011751,5.6420774,2.6950834,25.947166,3.6098905,6.5342355,0.0,33.0,35328.95,13106.668,0.0,48800.492,22.556564,3.1224568,11.41175,28.645086,3.9858701,8.766515,0.0,62.300003,38196.184,10585.539,0.0,48699.51,10.217842,5.7968807,-5.621584,22.047167,4.8282604,10.243661,0.0,52.299995,24403.908,13195.583,0.0,39309.586
21,1991,-1,5.6374674,5.238109,-7.848667,19.080503,4.4122224,9.15465,0.0,65.4,22590.717,14421.172,0.0,41607.734,19.037596,4.2816615,8.430499,25.482584,3.6285715,5.309139,0.0,22.9,35036.598,12523.763,134.7329,47922.754,22.629211,3.4455953,11.909665,27.336746,3.3576086,5.7746744,0.0,30.3,38040.78,10711.731,0.0,47987.902,9.287656,6.6685824,-3.0319996,20.48675,4.166305,11.889928,0.0,65.3,23840.266,13143.519,0.0,39327.727
22,1992,-1,5.191237,4.747845,-8.802834,15.551334,3.046154,6.4630113,0.0,36.899998,23853.512,13238.353,0.0,40818.19,16.243916,5.1564903,1.2596668,23.832582,3.7054946,6.1204643,0.0,32.5,35018.31,12950.776,2260.7085,48200.133,21.466253,2.6879537,11.407584,26.888834,3.451087,6.0449867,0.0,40.6,35260.19,11519.359,0.0,47645.96,8.355432,5.783994,-2.773667,19.078417,2.7097826,4.9152837,0.0,24.200003,21044.248,13756.781,0.0,39252.3
23,1993,-1,3.881449,4.6890807,-7.6569996,13.338834,3.7255557,7.4307528,0.0,45.9,19498.732,14886.699,0.0,41009.496,17.356049,5.5135117,3.6950834,25.934662,2.6208792,4.6781406,0.0,22.8,35898.34,13308.951,0.0,48573.258,23.495312,3.739052,10.4159155,29.155497,3.0456524,5.662299,0.0,32.399998,38024.133,11779.304,0.0,48163.383,7.969925,6.23252,-6.4236665,19.117998,3.355435,8.996768,0.0,74.0,22637.31,12720.962,0.0,39279.4
24,1994,-1,3.137051,6.9296575,-22.948664,15.89925,6.687778,12.557023,0.0,70.2,21209.537,14902.523,0.0,41050.746,18.018505,5.2450128,5.2513337,27.686752,3.4813185,5.4619274,0.0,23.7,37520.555,12732.698,3600.0,47661.48,21.652145,2.684019,14.703416,26.513832,3.7434785,7.8261375,0.0,56.000008,36409.887,11211.604,0.0,48180.977,10.260639,5.1120443,-0.0924167,20.661749,2.7445652,7.0781565,0.0,33.199997,24537.334,12670.56,0.0,39306.0
