,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,-1,-7.536473,5.914803,-21.516748,4.1582503,1.2366667,2.3125184,0.0,13.1,24258.014,13267.438,0.0,41872.664,12.740346,7.297186,-2.6646664,25.004082,2.4373624,5.7347603,0.0,38.699997,38257.496,13976.641,0.0,51572.973,19.839815,3.968854,8.718667,26.352,2.6804347,5.119071,0.0,23.5,36235.457,13590.877,0.0,50832.47,3.3457046,7.435801,-13.393832,18.497831,2.8630433,5.4567575,0.0,23.2,16919.66,12880.301,0.0,38928.543
1,1971,-1,-6.7367268,6.307158,-23.062582,5.9769993,2.21,4.4558773,0.0,20.6,20881.045,13378.249,0.0,41353.066,12.732198,8.237724,-6.829251,28.979088,1.3681319,3.1504455,0.0,17.7,40465.41,12528.683,0.0,51641.53,19.302929,3.2240682,10.243666,24.562416,1.6847826,3.0584395,0.0,13.3,39358.668,11840.933,0.0,51127.57,5.0553737,7.9977617,-9.883417,23.074915,2.146739,5.862199,0.0,34.0,20612.963,12995.142,0.0,38980.99
2,1972,-1,-7.1656976,6.6912017,-23.68133,6.141583,1.5142858,2.1814148,0.0,11.200001,21672.492,12853.401,0.0,41698.46,11.423497,7.3076134,-8.318835,22.89367,2.278022,4.7197647,0.0,30.8,36326.95,13853.326,60.92377,51665.21,18.725662,3.7353325,8.218666,26.866585,3.1369567,7.0944138,0.0,47.499992,31862.883,14957.712,0.0,50821.914,1.6057137,6.261217,-15.06258,17.004084,2.1641304,4.6040015,0.0,27.1,14825.848,13072.356,0.0,37741.785
3,1973,23,-1.9966344,6.6615157,-18.07508,11.997832,1.8111111,3.6252375,0.0,17.4,20181.783,13434.922,0.0,41609.758,12.452778,6.7393093,-3.4625833,24.33325,3.7296703,5.514053,0.0,23.1,33108.203,16458.508,0.0,51555.85,19.768373,4.129401,8.754083,27.343666,2.1945653,5.048999,0.0,23.700003,37702.613,11795.715,262.77853,51007.406,4.117761,8.145238,-13.885499,19.637419,2.5206523,4.71205,0.0,27.900003,18119.45,13134.893,0.0,38875.543
4,1974,13.4,-4.5377455,6.1837935,-16.51675,10.860333,2.5888886,5.7963657,0.0,35.8,21292.574,13210.794,0.0,39262.055,12.052619,5.82702,-1.54175,22.281168,4.2945056,7.9085937,0.0,41.5,34186.55,13606.016,1575.2042,51328.11,18.7407,4.2369623,6.3645,26.576998,1.7195654,3.0705707,0.0,13.100001,38833.043,10521.859,3498.0452,51159.53,3.476592,5.733389,-5.7584167,16.949915,1.3619566,2.9773815,0.0,15.700001,18077.836,13232.993,0.0,38566.91
5,1975,20,-4.5209866,4.6119432,-18.693832,3.9853332,2.2155557,4.0402446,0.0,24.500002,19455.021,13194.315,0.0,40160.33,12.3437805,8.60327,-7.1355,25.59575,2.743956,5.0791125,0.0,27.600002,37524.836,13121.779,0.0,51292.13,18.508726,4.6452913,8.043667,27.451998,3.3717391,8.654153,0.0,51.299995,36545.574,13588.738,0.0,51163.477,4.77974,7.5440826,-10.239667,18.585331,1.725,2.9311748,0.0,10.699999,21208.252,11631.711,0.0,38610.848
6,1976,16,-3.8106375,6.72152,-21.375084,12.606166,2.8637364,5.0453835,0.0,22.6,21305.104,12687.749,0.0,41698.074,12.889705,6.9710364,0.41866684,24.6145,2.969231,6.1892505,0.0,35.1,38376.555,13089.347,0.0,51318.1,18.69978,4.096655,8.197832,26.270752,1.5739131,3.6887972,0.0,17.499998,39903.04,10595.454,2181.5134,50872.926,-0.57039607,8.000286,-17.873,16.822834,1.3065217,3.5434139,0.0,27.9,22276.94,11055.573,0.0,38830.824
7,1977,30.8,-6.0593886,8.731158,-20.96675,13.243668,1.8022221,3.9610174,0.0,24.7,23682.814,12689.643,0.0,41821.965,14.71269,6.620432,-3.3459167,24.604082,1.643956,3.169515,0.0,16.2,41068.207,12029.302,2686.9448,51678.266,18.970274,3.6533136,11.879083,27.816584,3.705435,7.659575,0.0,41.8,33150.566,14957.636,0.0,51025.875,2.4551249,7.5815396,-14.268833,14.5478325,2.5086956,4.4483027,0.0,21.400002,18049.3,12638.935,0.0,38509.01
8,1978,18.8,-7.5708246,4.9731097,-16.054249,5.360333,1.1588889,4.1232667,0.0,36.500004,23565.092,12271.22,0.0,40737.25,12.514592,6.969097,-2.9375837,24.010332,1.8945054,4.483956,0.0,26.700003,36777.938,15674.158,0.0,51572.36,18.967648,3.448361,9.272834,25.116587,3.5804348,6.135042,0.0,23.000002,35715.91,15453.422,0.0,51093.93,2.3957047,6.6545053,-12.873001,16.112417,1.9630436,3.6238444,0.0,20.700003,18404.07,12384.981,0.0,37285.695
9,1979,30.6,-6.74469,7.8259664,-20.370916,12.2645,1.8811113,4.323568,0.0,25.300001,20909.545,12553.725,0.0,41541.39,12.322697,7.04395,-4.8521667,24.462418,2.3769228,4.4677134,0.0,25.000002,36468.06,14676.882,0.0,51658.86,18.961739,3.1964955,11.63325,24.485336,2.0108695,4.5609055,0.0,25.2,37750.035,10948.115,0.0,50971.297,3.9120994,6.1117134,-9.575084,21.256166,2.2815218,5.013321,0.0,25.1,20265.883,11905.516,0.0,38969.48
10,1980,26.7,-6.1106143,6.609203,-20.179249,6.45825,1.2318681,2.7617178,0.0,15.6,22114.309,13365.2705,0.0,41487.875,12.4054785,6.0837216,-0.76883334,24.024916,3.1791208,6.355461,0.0,30.499998,34152.402,16935.297,0.0,51672.227,19.691017,3.7343833,8.931167,26.635332,4.058696,7.860992,0.0,41.0,33645.434,14759.117,0.0,50714.773,1.082095,6.805857,-16.425081,18.110334,2.1891303,4.4165134,0.0,23.199999,18223.793,11876.747,0.0,38641.69
11,1981,25.7,-4.619158,7.9203024,-22.345919,13.687416,0.96555555,2.5620465,0.0,14.800001,24570.928,11691.022,0.0,41264.383,13.153901,5.73971,1.077,25.018667,2.6626375,5.2966166,0.0,24.599998,36784.367,14670.34,0.0,51565.54,18.709473,4.1291084,8.491582,26.12075,2.6902173,5.2978134,0.0,25.200003,35214.938,14693.454,0.0,50784.977,2.3253243,5.5786657,-9.570917,12.816583,2.0456524,5.8354435,0.0,35.399998,19509.371,11763.759,0.0,37321.613
12,1982,24.7,-7.288486,7.3037972,-27.27092,8.106166,1.5488888,3.180285,0.0,18.500002,22527.701,12613.438,0.0,41718.86,12.261295,7.527825,-10.708417,21.656168,2.5384617,4.9591165,0.0,28.400002,36729.234,14527.865,0.0,51473.25,18.987415,3.9773703,9.28325,25.847834,2.8076086,7.0473785,0.0,54.799995,35994.844,13125.267,0.0,51250.445,5.1083183,6.5944486,-7.216751,19.67075,2.744565,5.334902,0.0,25.1,17414.748,13307.36,0.0,38377.152
