,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,26,-8.5957775,5.8927317,-22.429667,2.73075,1.3222222,2.2593017,0.0,12.200001,23758.361,13123.637,0.0,41867.203,11.393891,7.371594,-4.938,23.987001,2.954945,7.846334,0.0,64.00001,38409.81,13735.05,0.0,51532.336,18.670378,3.9905102,7.495334,25.220335,2.7478259,3.9316266,0.0,15.5,37089.594,13096.692,0.0,51017.258,2.2658722,7.364785,-13.529667,17.5995,2.907609,5.4006763,0.0,29.400002,16563.418,13045.051,0.0,38893.496
1,1971,20,-7.9018655,6.394615,-24.342169,4.7995,2.518889,4.4116774,0.0,19.9,20632.482,13943.846,0.0,41347.965,11.333932,8.456519,-9.202583,28.191164,1.4945055,2.9868364,0.0,15.300001,40514.434,12822.214,55.067024,51770.47,18.137022,3.268837,9.7995,23.857836,2.348913,4.2488394,0.0,23.5,39419.06,11214.278,0.0,51211.773,3.8312707,8.252487,-10.5338335,22.241167,2.479348,5.3954506,0.0,28.900002,19123.248,13325.178,0.0,38946.6
2,1972,27,-8.560482,6.6784215,-24.585917,4.6140833,1.8483516,2.7693708,0.0,14.300001,20837.729,13452.328,0.0,41690.22,10.2282095,7.5350676,-9.744249,21.382833,1.98022,3.9560423,0.0,19.5,37650.855,13887.478,0.0,51793.79,17.603779,3.7476227,7.068249,25.936998,3.079348,6.193732,0.0,42.6,33093.4,14702.461,0.0,51005.96,0.4980506,6.2686577,-16.36717,16.143248,2.3782609,4.3207097,0.0,22.300003,14344.865,13117.87,0.0,38218.28
3,1973,23.8,-3.3893888,6.802418,-18.992167,10.557833,1.8066667,3.2823944,0.0,13.9,19948.7,13706.328,0.0,41600.13,11.222508,6.834707,-4.5130005,23.441168,4.0956044,5.9254427,0.0,22.0,33919.17,16833.621,0.0,51649.633,18.546057,4.22401,7.309916,26.399504,2.747826,5.335728,0.0,29.000002,37245.305,12380.589,0.0,51306.22,3.0335128,8.129784,-15.346333,18.712,2.678261,4.739426,0.0,29.7,17645.145,13102.97,0.0,38839.836
4,1974,25,-5.8765182,6.1640744,-17.756752,8.634917,2.1233332,4.9952793,0.0,32.79999,21372.186,13317.77,0.0,40133.465,10.741578,5.926438,-3.1505005,20.601583,3.9252746,6.653447,0.0,31.3,34749.56,14579.704,0.0,51537.867,17.588062,4.2968826,5.020334,25.72242,2.8163047,4.89773,0.0,25.600002,38457.016,11141.658,3460.2754,51360.17,2.4597125,5.6353245,-6.777584,15.972415,1.672826,3.174213,0.0,18.1,18005.447,13343.232,0.0,38527.324
5,1975,27.5,-5.692421,4.7280507,-19.808832,3.1349165,2.4111114,3.9669266,0.0,22.6,19487.752,13018.708,0.0,40246.438,11.125118,8.727407,-8.460917,24.587004,3.2065935,5.3514237,0.0,27.600002,37707.664,13420.878,53.920784,51535.312,17.419449,4.707053,6.8307495,26.672415,3.597826,7.7351913,0.0,46.4,37756.367,12768.527,0.0,51247.062,3.6733449,7.564256,-11.227582,17.122416,1.7684784,2.9542267,0.0,14.9,20556.775,12231.454,0.0,38571.82
6,1976,23.3,-5.2664795,6.5503144,-22.760918,9.999499,3.1098902,5.1896706,0.0,25.400002,19976.348,13005.372,0.0,41689.85,11.69245,7.0727835,-0.89633346,23.145332,2.8604398,5.457836,0.0,24.8,38843.598,13097.197,448.4237,51768.72,17.59993,4.176552,6.903666,25.172417,2.1913044,5.0395284,0.0,25.2,40335.31,9906.638,2180.1267,51033.59,-1.6829957,8.043479,-20.2755,16.437002,1.5130434,2.458411,0.0,15.200001,21435.373,11470.775,0.0,38794.562
7,1977,32.5,-7.207005,8.565035,-21.875502,11.8932495,2.24,4.111475,0.0,25.1,23049.375,12703.596,0.0,41434.707,13.551605,6.756819,-4.8525844,23.791168,1.6912088,3.2358634,0.0,16.500002,40921.03,12423.5205,3337.6072,51807.03,17.826696,3.6745265,10.922417,27.120329,3.8880439,6.224762,0.0,24.900005,34090.523,14809.293,0.0,51220.836,1.4704463,7.579908,-14.835917,13.584915,2.7608695,4.3542566,0.0,23.9,18460.797,12432.791,0.0,38651.25
8,1978,21.1,-8.588231,4.973684,-17.179667,3.5140831,1.38,4.1648126,0.0,36.800003,25118.229,11866.297,0.0,40122.25,11.287779,7.215105,-3.983834,23.326582,2.1725273,4.2890058,0.0,20.6,37432.844,15856.477,0.0,51767.797,17.78845,3.5631754,8.16825,23.905752,4.1630435,7.246245,0.0,32.699997,35637.1,14876.776,0.0,51290.15,1.2975522,6.651164,-13.398416,14.749499,2.2402172,3.6218224,0.0,20.7,17124.658,12668.425,0.0,37229.914
9,1979,23.8,-8.002514,7.727355,-21.213,10.176583,1.93,4.327686,0.0,26.400002,20257.838,12860.255,0.0,41538.625,10.954193,7.26021,-7.710915,23.251585,2.7516484,4.595417,0.0,21.5,36443.348,14444.988,0.0,51797.203,17.918703,3.272635,10.378667,23.81617,1.9760869,4.4737663,0.0,29.699999,38444.2,11313.711,0.0,51210.125,2.7396946,6.077917,-10.990083,20.016169,2.8239129,4.9514647,0.0,24.199999,19341.453,11831.13,0.0,38934.95
10,1980,25.5,-7.57685,6.7382174,-21.956749,5.00575,1.2934066,2.6959972,0.0,16.6,21298.236,13527.99,0.0,41484.45,11.274316,6.112641,-2.1192498,22.73908,3.7945056,8.239584,0.0,41.599995,35175.336,16347.494,0.0,51777.504,18.487,3.7658284,7.69325,25.276587,3.5326087,5.7760797,0.0,26.9,33270.863,14322.205,0.0,50894.46,-0.13218027,6.767464,-16.033833,17.030752,2.3652174,3.7224426,0.0,18.4,16533.076,11878.571,0.0,38041.027
11,1981,23.2,-5.8217273,7.946351,-22.885916,12.232834,1.2255555,2.3711543,0.0,11.400001,24008.406,11842.711,0.0,41258.18,11.910992,5.837704,-0.60258335,23.757833,2.8725274,5.351616,0.0,23.4,36553.992,14813.13,0.0,51659.47,17.696804,4.1188097,7.5099163,25.089087,2.6380432,4.6989093,0.0,24.600002,35630.473,14506.719,0.0,51354.574,1.1584221,5.735919,-12.448419,11.69325,2.201087,5.852237,0.0,36.499996,18149.592,12334.263,0.0,36816.25
12,1982,23.7,-8.471727,7.228156,-28.446333,6.268251,1.668889,3.5399373,0.0,22.399998,21373.613,12565.6045,0.0,41657.43,11.06145,7.497042,-10.7838335,20.603666,2.8186812,5.132011,0.0,32.4,37178.246,13463.548,0.0,51616.574,17.787996,3.9904366,8.609918,24.982832,3.4065216,5.910464,0.0,31.599998,36547.324,13642.862,0.0,51240.98,3.9140606,6.5407596,-8.038,18.572418,3.0119567,5.626914,0.0,30.2,16373.111,13243.551,0.0,38246.33
13,1983,28.9,-3.1300604,5.807195,-17.402582,10.662,1.7333333,3.4533165,0.0,20.500002,19304.57,13655.717,0.0,41180.38,10.195081,7.154329,-3.5380003,26.005753,3.0824175,6.7586093,0.0,42.5,35952.875,15706.461,0.0,51506.863,19.799816,4.6139736,6.389084,27.282835,4.1945653,8.40092,0.0,39.6,38424.97,11599.649,5471.165,50809.836,0.6921178,8.682622,-18.435917,18.803667,2.2423913,3.764619,0.0,20.5,14865.331,13049.619,0.0,38744.492
14,1984,26.3,-6.621356,7.1832695,-26.3505,7.1599154,1.2813187,2.8538048,0.0,17.0,23099.78,13206.458,0.0,41748.35,11.086955,6.222746,0.68074995,22.257833,3.398901,6.9804726,0.0,41.4,35374.215,15757.572,0.0,51652.406,17.955048,4.2805896,4.859916,25.178665,3.7293472,8.098115,0.0,48.0,37898.45,12417.991,838.8946,51121.68,3.1319046,6.7091937,-13.452583,15.3745,2.595652,4.0764103,0.0,17.8,15553.181,12199.223,0.0,38229.23
15,1985,28,-6.8846674,6.6356597,-23.817167,8.068249,2.7766666,5.704523,0.0,34.0,19551.537,13994.94,0.0,40714.758,12.350643,6.273669,-7.0567493,20.868248,2.3505495,4.7087007,0.0,27.499998,39390.004,12306.243,0.0,51807.11,17.878574,3.6970003,7.1661663,23.662003,4.683696,10.270253,0.0,72.40001,35664.062,14607.561,0.0,51198.22,0.77855325,8.101992,-17.038,13.91825,2.6315217,4.2105556,0.0,21.2,13916.575,12757.911,0.0,38381.1
16,1986,24.4,-5.8051987,7.624916,-25.017172,13.857834,1.6555556,3.2412062,0.0,17.4,21765.766,13775.946,0.0,41875.02,12.43558,5.8671246,-1.2296666,23.087,3.1802197,7.2533855,0.0,41.999992,35278.543,15064.156,387.30902,51810.19,17.803146,3.8529048,8.141166,26.070333,5.232609,9.996759,0.0,50.200005,35671.29,14881.642,0.0,51090.543,1.8176837,6.0891347,-13.123418,14.795334,1.3586956,2.8127322,0.0,17.000002,15820.987,12971.025,0.0,37958.25
17,1987,30,-3.163648,5.7848754,-20.206749,9.343249,0.7988888,1.9609958,0.0,10.7,24963.916,13480.796,0.0,41004.52,14.183887,6.6994443,-3.4984167,25.170334,2.935165,5.46893,0.0,26.300001,38995.97,14932.003,0.0,51787.23,18.697168,4.1648273,10.262,25.939081,3.9967391,7.2271385,0.0,42.2,37142.133,12371.239,0.0,51002.168,2.2704237,5.14743,-11.848418,14.186999,3.229348,5.476153,0.0,27.599998,17801.605,12361.039,0.0,38365.72
18,1988,22.9,-6.9590616,6.841781,-20.088,8.066167,1.8472528,3.9216306,0.0,20.599998,23165.576,12388.081,0.0,41912.49,13.175461,7.177962,-1.1359165,26.114082,1.7087914,4.5730767,0.0,26.199997,42474.875,11580.353,1521.5643,51791.92,19.626514,4.7486634,10.084916,28.847414,3.6923914,6.0278153,0.0,31.000002,38910.78,12845.468,0.0,51353.707,1.1183859,5.92042,-14.079667,16.991165,3.4956522,5.2459908,0.0,23.7,17435.793,13330.024,0.0,38405.38
19,1989,30,-5.982745,6.341435,-17.808832,13.987002,1.53,2.8918114,0.0,13.5,21997.334,13616.074,0.0,41606.793,11.049867,6.8444223,-5.179668,23.541168,2.0846155,4.573351,0.0,26.8,37512.953,14647.856,2122.802,51772.742,18.27579,4.1488433,6.497416,27.432833,1.9684783,4.2910056,0.0,22.6,39632.4,11467.444,0.0,51333.445,-0.5720582,9.345818,-19.752584,15.257832,1.8684782,3.1481001,0.0,16.8,17740.148,12032.801,0.0,38820.14
20,1990,33,-2.994551,6.2171965,-19.88175,15.632831,2.1466665,4.3261995,0.0,27.7,24090.348,12669.381,0.0,41662.125,11.588213,6.816755,-3.204667,23.057833,3.727472,7.2836814,0.0,41.1,35236.742,15626.244,0.0,51733.707,17.81361,3.5551941,7.36825,26.264086,3.7402174,7.784375,0.0,51.4,35803.094,13297.473,0.0,51338.883,2.6081502,6.7442527,-16.285915,18.820333,3.3141308,7.0066624,0.0,42.1,19253.36,12924.447,0.0,38688.414
21,1991,31.6,-4.2752686,6.369924,-20.352583,12.90575,2.191111,5.562871,0.0,39.899998,23587.715,12085.078,0.0,41793.668,14.709595,7.2321033,-0.4067501,26.347414,3.847253,9.737162,0.0,67.100006,38882.23,13995.165,0.0,51804.227,18.454006,4.886599,5.320333,26.336998,2.8608696,4.848087,0.0,27.300001,38734.78,12057.35,1926.1531,51097.934,1.8732092,6.8837643,-12.010918,16.759916,3.3836956,6.894882,0.0,45.200005,17416.727,12292.038,0.0,37075.133
22,1992,30.8,-4.7491493,5.614501,-17.102583,4.9953337,1.5582418,2.9120083,0.0,14.9,20316.861,13827.635,0.0,41438.633,10.766166,6.6782327,-5.80675,22.839083,1.6780221,4.26575,0.0,23.8,38849.117,13004.8125,0.0,51344.508,16.15027,3.2608788,6.834917,23.05575,3.7728262,7.496155,0.0,38.100002,35109.56,13338.296,0.0,50422.688,1.4905778,5.80361,-13.767166,15.672418,2.6369565,4.7180905,0.0,25.1,16332.549,13282.317,0.0,38766.598
23,1993,33.3,-6.030339,5.798004,-18.140081,8.212001,1.2222222,2.8350446,0.0,14.699999,20574.236,14890.287,0.0,41825.734,10.634939,6.150047,-3.5713336,20.080748,3.67033,6.3467665,0.0,31.499998,31794.873,17131.615,0.0,51791.953,17.506046,4.662254,3.9974165,26.257833,5.0565214,9.430955,0.0,45.399994,35509.72,13594.749,0.0,50654.246,1.4749527,6.7285533,-18.996332,17.109915,1.3804348,2.7881713,0.0,19.0,18386.744,11388.677,0.0,38088.047
24,1994,31,-8.865592,8.353134,-27.263,7.5349164,1.8022221,4.2088985,0.0,24.200003,24082.637,13035.693,0.0,41920.22,11.933887,6.874017,-1.3963333,26.637003,3.045055,6.303231,0.0,35.199997,40285.395,13064.733,0.0,51724.406,17.748978,2.9534156,10.757833,23.612,4.343478,8.1313305,0.0,40.0,37428.656,9295.639,9622.857,51314.66,4.1431365,5.840403,-8.694249,15.834916,1.8000001,4.688939,0.0,35.999996,20414.562,12215.01,0.0,38683.44
25,1995,-1,-4.9263797,6.866113,-19.258835,11.176585,1.4777777,3.8897672,0.0,29.6,22740.566,14308.516,0.0,41014.586,11.527681,7.3643966,-5.521334,26.976585,2.5021977,4.616492,0.0,27.099998,34545.227,15875.002,0.0,51801.47,18.827513,4.7023773,5.9515834,29.934916,2.6054347,4.417308,0.0,25.6,36271.47,13126.207,0.0,51345.992,0.1078559,8.3123045,-16.50675,17.984919,2.6880436,5.4360385,0.0,31.199999,17794.752,12316.125,0.0,37575.49
26,1996,-1,-7.667213,7.986321,-29.890083,7.474499,1.5043955,2.7463882,0.0,12.200001,24507.506,13062.787,0.0,41780.305,10.078072,7.530657,-7.0546665,24.48908,4.338462,7.668489,0.0,46.499992,31741.326,17312.418,0.0,51775.918,17.70233,3.2324972,9.564084,25.382833,3.6826088,6.435523,0.0,40.6,38553.473,12146.6,0.0,51349.4,1.5156457,6.857747,-13.740086,15.839082,2.0108697,3.0212963,0.0,14.699999,16836.525,13079.775,0.0,38762.19
27,1997,-1,-5.932005,5.97835,-19.65883,8.4244995,2.2777777,5.600698,0.0,45.300003,20509.57,13632.386,0.0,41612.234,10.399637,7.1558075,-6.500501,25.155748,2.2032967,4.445683,0.0,24.7,37113.117,14557.037,0.0,51735.195,17.460732,3.3435311,9.678666,24.40158,2.2652173,4.476494,0.0,26.300001,35620.625,12926.512,1765.3512,50971.117,2.4979148,6.640767,-13.002583,20.039083,1.1108695,2.1476007,0.0,13.400001,19050.773,12240.77,0.0,38815.63
28,1998,-1,-2.2119818,5.9559746,-15.827582,15.903667,2.4277778,5.0858703,0.0,36.700005,15386.53,14775.416,0.0,41064.688,13.675346,5.8878555,2.8890831,24.020332,2.756044,5.8822556,0.0,36.6,39905.305,12348.271,501.69147,51807.49,19.340103,2.8268397,9.6849165,24.807833,2.676087,6.3055596,0.0,39.3,38784.54,12316.066,0.0,51589.46,4.096715,6.474312,-13.346332,16.426584,1.7304348,4.143199,0.0,24.300001,19247.791,12344.332,0.0,38861.746
29,1999,-1,-4.8155003,6.2567544,-17.827581,12.051582,1.6777778,3.254514,0.0,17.2,24291.303,13457.811,0.0,41863.684,13.336956,6.2071543,1.3224168,24.916166,3.2054944,5.765556,0.0,25.599998,36119.586,16104.564,0.0,51804.6,18.578463,3.9478753,9.047418,26.522417,2.9032607,6.3456388,0.0,34.600002,38918.89,10644.211,0.0,51049.6,2.9735038,6.8392286,-16.12967,15.441166,1.5608695,3.2493095,0.0,17.5,20740.965,11740.169,0.0,38876.92
30,2000,-1,-2.9486687,7.5014806,-18.585915,14.637,1.5340658,2.5540476,0.0,12.299999,22319.807,13715.702,0.0,42008.85,11.993319,6.2704234,-2.388,22.770332,3.564835,6.464628,0.0,32.199997,34713.7,14867.656,0.0,51648.953,17.346668,3.753362,6.366167,24.08283,3.5271735,6.035101,0.0,30.400002,35593.06,13910.381,0.0,51348.242,0.8330144,9.152489,-17.421335,18.0745,1.8445652,3.419542,0.0,24.300001,19168.125,12675.324,0.0,38212.168
31,2001,-1,-5.712052,4.750395,-16.542166,2.7015836,1.3011112,3.493123,0.0,23.5,22501.826,13689.082,0.0,41300.42,12.9181595,5.931333,-0.015083502,25.201582,3.313187,5.758245,0.0,26.300003,37536.05,14404.794,954.18933,51794.996,18.455841,4.70301,5.4203334,27.670334,2.6380434,4.8155847,0.0,24.7,37159.266,14018.072,0.0,51058.28,4.658173,5.944338,-10.558834,17.345333,2.9565215,6.56985,0.0,48.300003,18592.34,12614.062,0.0,38628.793
