,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,34,-9.656741,7.8282847,-31.17392,3.9427507,0.85555565,2.1185172,0.0,13.0,25557.75,10683.693,0.0,40078.07,14.304654,7.8635874,-7.907251,28.424002,3.469231,6.190866,0.0,29.800001,37766.5,15036.235,0.0,51689.812,20.096577,4.559299,8.998999,27.765665,2.484783,4.6735153,0.0,21.600002,38137.453,13773.839,0.0,51340.58,0.5726638,9.227315,-24.286415,21.153166,2.9858696,8.106864,0.0,57.300007,20427.973,12563.239,0.0,38326.6
1,1971,30,-9.625839,7.9810348,-27.819748,7.884416,1.628889,4.2389383,0.0,27.000002,25042.87,12083.456,0.0,41585.97,14.5476265,7.4244175,-3.5864165,28.603167,2.8021977,7.621359,0.0,60.4,40734.293,12769.913,0.0,51629.844,19.505724,4.0475106,9.9865,27.138582,1.4967391,3.2577026,0.0,15.2,40311.844,9946.944,2560.26,51546.234,2.2577636,9.706634,-16.93225,23.928167,2.1086957,5.4082694,0.0,32.0,20041.15,12218.95,0.0,37035.37
2,1972,34,-10.103474,9.011288,-33.353085,7.8781676,0.8241757,2.011265,0.0,14.700001,27566.16,9552.877,0.0,40756.35,13.569811,7.2894025,-4.1572495,24.1865,3.0538461,6.040609,0.0,36.100002,36677.52,14192.961,0.0,51698.23,19.630613,4.6189313,7.3177505,28.6365,3.75,7.8553615,0.0,51.500004,34438.94,15111.491,0.0,50479.633,-0.76680624,9.690108,-26.142664,17.43025,1.7,3.9711878,0.0,22.200005,20226.86,12913.645,0.0,38269.918
3,1973,37,-3.380792,8.374745,-26.409332,12.553166,1.7377781,4.151745,0.0,26.1,22227.092,13241.779,0.0,40244.766,13.379722,7.0339093,-4.921834,25.738585,3.0934067,5.185853,0.0,27.100002,36699.582,15951.807,0.0,51692.863,20.513153,4.3202305,10.415667,27.515665,3.553261,7.361579,0.0,33.099995,36226.715,14505.542,0.0,51161.156,2.3613868,10.083654,-27.692667,21.576082,1.8826088,5.920659,0.0,44.600002,21514.637,12294.508,0.0,37667.496
4,1974,26.5,-5.8433375,8.335225,-28.746834,8.999,0.8155556,1.7151611,0.0,8.200001,25867.916,11540.146,0.0,40733.47,13.294856,5.923563,-1.3405833,26.11358,3.1054945,6.0454826,0.0,30.699999,36178.36,14886.06,18.468704,51671.953,19.870512,5.4071603,6.0302505,29.355247,1.6858695,4.122215,0.0,23.3,40680.46,10576.784,0.0,51537.766,3.0460556,7.4902625,-10.934333,18.746916,0.9119566,2.3831756,0.0,13.299999,23463.715,11613.889,0.0,38386.027
5,1975,30.3,-7.816023,5.7486725,-23.138502,2.5073333,1.5055557,2.9528644,0.0,16.800001,23187.719,12987.515,0.0,41535.453,13.030568,8.594194,-9.946835,25.882332,3.7329671,5.6705484,0.0,31.699999,34084.402,15905.85,0.0,51430.89,20.350471,5.289267,10.071916,28.940666,2.3369567,6.454808,0.0,36.499996,40200.4,10879.651,0.0,51204.734,3.6072428,9.497933,-17.846836,23.924002,1.6684784,5.444222,0.0,38.400005,24889.78,11106.755,0.0,38332.047
6,1976,32.9,-4.29823,7.9243913,-24.755167,10.51775,1.5571429,4.352168,0.0,31.900002,25311.027,11900.866,0.0,41265.703,14.728351,5.7313323,3.3739998,26.228167,2.0384614,4.298986,0.0,20.7,40937.344,12638.642,0.0,51703.68,21.257017,4.529078,9.66775,31.505249,1.8173916,6.5005264,0.0,49.4,42672.848,8029.538,4085.5352,51318.867,-0.6707463,8.92332,-20.411417,20.705252,0.526087,1.395036,0.0,9.0,26177.475,8758.943,0.0,38448.242
7,1977,40.2,-5.451926,9.666954,-27.21975,12.71775,2.03,4.72275,0.0,21.6,25119.795,11085.521,0.0,40801.81,17.062828,5.888742,-0.8280836,27.43025,2.524176,4.4004126,0.0,18.999998,40323.7,11979.025,3460.2817,51680.02,20.246916,4.0405197,13.105248,29.93233,3.45,5.550814,0.0,24.0,37197.57,13475.462,0.0,51491.945,0.5466675,9.79441,-24.776,13.369834,1.6336957,3.6125932,0.0,24.699999,22427.238,11941.646,0.0,38130.188
8,1978,35.7,-10.029194,8.507816,-26.05725,17.919832,0.5488889,1.2317197,0.0,6.8,26871.58,11700.184,0.0,41802.56,14.114935,6.264109,1.7448334,25.959414,3.965934,6.9493437,0.0,28.1,36482.367,14279.614,0.0,51691.11,20.73231,3.728984,11.759416,27.380249,6.1554346,13.675247,0.0,71.1,39267.324,11836.334,744.97534,50576.89,0.09800339,10.229203,-20.725998,16.424002,1.1347827,3.3340874,0.0,25.4,22363.4,11430.82,0.0,38511.39
9,1979,33,-11.139704,8.880314,-26.265589,5.171917,1.6333333,3.8627582,0.0,22.500002,22579.527,12692.716,0.0,40904.234,12.704768,6.9547815,-7.9385014,25.294832,2.7890112,5.7040815,0.0,40.4,36964.125,14319.422,0.0,51624.664,19.926355,3.5815504,11.588581,27.646917,3.8999999,9.774883,0.0,73.6,38360.69,12050.514,414.36813,51109.062,2.3118393,6.9930935,-15.1239195,19.471918,1.9326087,5.2684445,0.0,31.8,23425.512,11428.781,0.0,37679.457
