,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,19,1.3594816,6.6998158,-16.942001,15.941338,1.7444445,3.5384283,0.0,19.0,24505.281,14190.761,0.0,40031.758,18.83504,5.293175,3.7475834,28.1705,3.57033,7.422855,0.0,30.299995,39537.227,12273.881,0.0,49009.21,25.036873,3.6700733,13.112166,30.858002,2.5260868,5.489868,0.0,36.499996,40775.01,9394.686,3484.6829,48686.03,8.546905,6.1361246,-5.785751,20.783003,2.0467393,4.406475,0.0,28.699999,23669.855,12741.14,0.0,38985.6
1,1971,17,3.0398054,5.6634207,-10.1295,18.412169,1.5455556,4.5689516,0.0,30.199999,29018.494,11069.661,0.0,41415.15,18.904064,5.72534,3.358,28.980917,2.6043959,6.010489,0.0,38.099995,41723.707,8724.589,5855.0,48997.836,23.721136,3.778635,12.297584,30.018417,2.2065217,6.032819,0.0,47.0,40164.176,10402.678,0.0,48300.72,10.803675,6.4300685,0.9059167,23.80175,2.5065217,7.4923515,0.0,58.199993,24854.125,12357.154,0.0,39228.016
2,1972,25,4.6559625,6.0453734,-11.669082,17.855917,1.4593407,3.6131542,0.0,23.699997,26505.822,12777.025,0.0,41563.477,19.052803,5.764665,3.0580003,27.60383,2.5505495,6.097438,0.0,33.899994,40529.043,11356.274,2386.0835,49009.688,24.10354,3.3267906,11.187167,30.08092,3.0499997,7.189591,0.0,44.899994,37132.05,12350.374,0.0,48402.86,6.653064,7.362533,-8.123249,21.558,3.3923917,8.979589,0.0,65.100006,20363.17,13869.954,0.0,39250.363
3,1973,21,4.6821437,6.146631,-9.831583,16.333,3.8388886,7.2580166,0.0,39.5,22870.598,12945.242,0.0,39782.53,17.124804,5.674108,1.9121666,26.460083,6.006593,11.282797,0.0,64.1,35649.598,14503.955,410.18484,49004.246,24.189474,2.9464715,13.351749,28.478834,2.4184785,3.6388905,0.0,16.700003,38343.387,11909.126,0.0,48314.473,10.181913,7.3291855,-7.1378326,23.12467,3.0489128,7.807935,0.0,46.100002,25430.324,11940.61,0.0,38546.1
4,1974,19.1,5.6531167,7.1372695,-12.471168,20.351751,2.4066668,5.1567087,0.0,21.599998,26097.4,12986.66,0.0,41560.883,18.273159,4.594811,5.772583,27.489256,5.0857143,11.269975,0.0,76.6,37025.38,12761.472,319.0345,49009.42,22.848309,4.895385,11.558,31.574669,3.1673915,7.766356,0.0,52.8,38537.53,11396.068,0.0,48576.664,8.442556,6.2007613,-3.2899163,18.895502,3.0717394,7.593568,0.0,45.6,23653.863,13468.465,0.0,39086.273
5,1975,24.6,3.117838,4.6262426,-6.5899167,17.489252,2.3888888,5.046624,0.0,28.0,24520.13,13488.262,0.0,41535.367,18.715258,5.8881173,0.55175024,26.466337,3.323077,5.1468887,0.0,22.300001,38256.457,12025.849,1792.3556,49006.723,23.431662,4.5461454,12.472583,28.826754,1.9576088,4.496818,0.0,28.7,40202.633,9459.65,4167.5815,48178.215,9.558091,7.482285,-7.6274166,23.128838,1.9945652,4.6421947,0.0,20.4,26165.283,12429.761,0.0,39119.6
6,1976,17.7,6.383619,6.597472,-11.908666,19.716335,1.5714285,3.924065,0.0,20.300001,28160.1,11212.365,0.0,41656.477,17.428993,4.507595,8.430916,26.276754,3.6098905,7.875787,0.0,51.299995,36971.312,13251.185,3600.0,49009.83,23.714344,3.1031399,14.453834,29.853836,2.2,5.755112,0.0,40.2,40959.773,9343.172,2996.2292,48448.984,5.9692316,6.635296,-11.352416,21.847586,1.6858696,6.267386,0.0,49.499996,27051.904,11532.716,0.0,39351.547
7,1977,27.9,2.915801,7.681956,-15.233666,16.26842,2.8122225,9.872045,0.0,80.6,27739.06,12865.248,0.0,41641.07,20.276707,4.457781,5.074667,27.597588,3.7384617,6.715269,0.0,34.300003,39628.746,10672.366,1955.4545,49014.027,24.431145,2.8323994,16.73925,29.243416,4.58587,9.359822,0.0,56.499996,38220.316,11200.354,0.0,48553.87,8.778267,7.030866,-7.189917,23.782999,2.2967393,5.1541185,0.0,30.000002,23525.16,12628.371,0.0,38847.33
8,1978,24.2,-0.7067219,6.718067,-11.089917,17.133001,2.8466668,8.961543,0.0,74.7,22975.756,13508.577,0.0,41564.598,18.589502,5.464836,7.110083,29.068419,3.3054943,5.7207885,0.0,27.000002,37323.746,13829.426,0.0,49010.082,25.701864,3.2801092,16.670502,30.6205,1.6880437,4.307873,0.0,25.300003,41727.78,7334.49,12250.712,48436.47,9.145636,6.5141525,-5.152416,21.972586,2.931522,7.848118,0.0,42.400005,26132.988,12448.996,0.0,39299.117
9,1979,27.2,0.5466113,7.764394,-15.902417,16.83092,2.4944444,4.3238134,0.0,23.099998,21882.94,13238.432,0.0,40954.234,17.733894,5.26264,5.162167,26.874662,3.657143,7.002748,0.0,32.500004,36050.574,14420.845,0.0,49006.36,23.543798,2.8281758,16.037169,27.860085,2.6619565,6.728875,0.0,47.3,40281.098,9348.757,1912.1027,48437.613,9.172266,7.0569334,-6.8190827,24.416334,1.7380434,5.0110393,0.0,31.100002,27036.041,11088.571,0.0,39329.89
10,1980,9.2,2.8597174,5.478074,-8.652417,13.733002,2.189011,5.214051,0.0,26.900003,23376.684,13363.326,0.0,40391.18,18.536594,6.125101,2.8621666,30.597586,4.2021976,9.966978,0.0,77.09999,37290.09,13131.664,0.0,49013.67,27.420046,4.2114754,13.753834,32.830917,1.2,2.3447392,0.0,10.1,41903.273,9240.388,144.86343,48712.227,9.027928,7.4171777,-8.489915,23.247583,1.5695652,6.3615556,0.0,51.599995,26680.508,12342.348,0.0,39031.266
11,1981,23.3,4.71594,6.2651463,-15.983668,18.374666,1.6666666,4.027518,0.0,21.9,28320.383,11655.033,0.0,41643.766,19.31196,4.349627,10.418418,28.547583,6.798902,11.084339,0.0,66.0,31783.35,14961.284,0.0,48998.74,23.835768,3.2715285,12.439251,29.497587,2.6619565,4.645566,0.0,22.999998,40026.95,8173.138,3749.888,47922.08,8.475936,6.737984,-9.0982485,24.843416,2.7891304,6.8252354,0.0,30.9,22155.768,13024.563,0.0,39156.695
12,1982,29,3.2758703,7.9684734,-15.723248,19.48925,2.4988887,8.936926,0.0,70.1,26326.521,12517.346,0.0,41623.977,17.286434,5.2025514,1.7142501,25.991335,5.524176,9.124818,0.0,59.300003,35516.336,12927.085,3753.3252,48992.87,24.150913,3.6900384,12.674666,29.764254,1.979348,4.239079,0.0,22.300001,39322.176,10201.585,1225.0681,48161.75,9.573579,6.8228397,-4.964916,22.570501,4.278261,10.46644,0.0,75.60001,22948.146,13484.898,0.0,37680.47
13,1983,21.7,4.4377456,5.0585456,-4.9003334,16.947584,1.7166667,3.83128,0.0,20.0,23584.652,12960.937,0.0,39530.773,16.259144,6.2002797,3.6767504,26.251753,5.9681315,12.412834,0.0,91.20002,34804.055,14628.759,0.0,49006.316,25.684725,4.125848,10.291334,30.295502,2.0369568,5.110186,0.0,33.8,41217.406,8816.56,828.49915,48156.117,6.6393414,10.877689,-22.423248,23.616333,4.304348,11.633013,0.0,74.2,20772.344,14583.247,0.0,39111.42
