,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,28,-1.020287,7.441564,-22.580332,15.115501,1.1288888,2.8122222,0.0,15.699999,24066.2,12234.752,0.0,39090.715,18.401855,5.96677,2.8675833,28.730082,3.5428572,8.1861,0.0,60.399986,38452.336,13499.039,0.0,49983.723,24.160084,3.5820272,13.080086,31.153006,2.7739131,6.998004,0.0,42.100002,39492.504,11187.136,1609.1096,49744.402,7.576211,6.594864,-7.0324173,20.113417,1.5978262,3.720835,0.0,20.2,23637.562,12056.473,0.0,38826.2
1,1971,28,0.32068524,6.3448014,-14.349083,16.692583,1.5077779,4.425392,0.0,28.8,27896.643,11297.461,0.0,42161.53,18.307053,6.685569,2.48425,30.509253,2.091209,5.494313,0.0,41.199997,40863.84,10891.932,4424.8594,49974.797,23.292583,3.633674,13.609249,28.817587,2.220652,4.8028502,0.0,20.9,40582.543,9338.389,0.0,49716.938,9.596296,7.5290346,-2.8761666,24.852999,2.5945654,9.151392,0.0,79.59999,23128.502,13347.343,0.0,38846.168
2,1972,24,1.1448041,6.8968916,-17.042835,17.561333,1.8000001,4.336025,0.0,30.8,26188.914,12654.002,0.0,41061.72,17.957487,6.365447,-1.047,28.119667,2.2758243,5.460105,0.0,36.0,40581.457,12662.114,0.0,49985.28,23.798382,3.7813609,10.432167,29.813421,2.0717394,4.1275363,0.0,19.400002,37020.2,11897.514,1928.1176,49545.547,4.995482,7.8609257,-13.824081,20.325918,2.7065215,6.7888365,0.0,33.799995,18373.979,13628.143,0.0,38988.17
3,1973,29,3.646889,6.2351832,-9.39075,18.932169,3.5488892,6.7808757,0.0,36.399998,22581.854,13417.565,0.0,40251.383,17.018202,5.8639765,-0.3261667,27.219667,4.7054944,8.275552,0.0,34.699997,35343.793,14783.274,0.0,49971.83,23.794262,3.1620169,12.757167,29.346754,2.4489133,4.500269,0.0,24.400002,38266.54,11629.989,2717.6326,49618.594,8.446116,8.374493,-13.932416,22.605082,3.1391304,7.334548,0.0,45.899998,23966.82,11506.287,0.0,37984.406
4,1974,22.8,3.0868657,7.7525325,-16.272001,20.121748,2.5955555,5.408086,0.0,28.0,25897.285,12847.83,0.0,42205.492,17.647095,4.9632144,4.5342503,28.490501,3.7890112,7.515206,0.0,56.899994,36063.113,12895.708,3827.396,49982.336,22.620255,4.941728,11.169666,30.844671,2.1402175,5.8773746,0.0,40.7,38351.47,11672.263,0.0,49739.227,7.319712,6.3485513,-4.955333,20.417585,2.6195652,5.976368,0.0,29.9,22931.418,12545.593,0.0,39028.734
5,1975,28.2,1.0646435,5.007424,-11.80325,16.634249,3.0688887,6.57627,0.0,40.099995,24145.396,12620.055,0.0,42162.4,17.857166,6.5328007,-0.19908339,27.269667,3.2483518,5.68699,0.0,28.099998,38545.59,11871.157,3722.4036,49981.195,22.979609,4.560756,12.8905,29.713417,2.4641306,6.407835,0.0,31.300003,39790.816,11093.974,99.51004,49713.086,8.513259,7.738144,-9.463666,22.53842,1.9739131,4.4514937,0.0,22.400002,24546.104,12664.709,0.0,38667.16
6,1976,23.3,3.90735,7.508246,-14.86575,19.225916,1.9978023,4.79407,0.0,24.0,27634.336,11148.903,0.0,42266.11,17.004124,5.1822267,6.4071655,26.992584,2.3428574,5.3252053,0.0,26.100002,38024.453,13329.566,0.0,49986.9,23.119053,3.621894,15.57175,29.630083,1.4054348,3.911588,0.0,20.2,41305.117,9355.658,6461.2144,49607.773,4.0998526,7.295804,-14.894917,21.111334,1.5108696,5.2961617,0.0,29.999998,27701.041,10313.861,0.0,38985.66
7,1977,31.4,0.24702784,9.199534,-20.515749,16.59675,2.7733335,6.9083047,0.0,41.399998,26866.676,12214.694,0.0,42241.92,19.89991,5.0865617,4.4321666,27.365501,2.686813,5.8424163,0.0,37.4,38724.246,12677.892,0.0,49977.83,23.968716,3.314361,17.088417,29.448835,2.2782607,4.5291924,0.0,22.599998,38372.066,10776.731,2985.8738,49706.367,6.411696,8.322296,-16.234499,18.982166,2.8717391,6.197896,0.0,36.699993,22231.756,12714.968,0.0,38296.688
8,1978,28.8,-3.5512593,6.4372854,-15.940749,17.59675,2.6044445,6.5633802,0.0,40.5,22535.898,13986.927,0.0,42208.223,17.499704,6.0612,6.6884155,29.657171,3.20989,6.5623517,0.0,43.399998,34562.152,14204.934,0.0,49984.016,24.182867,3.151648,16.086334,28.973833,2.626087,6.5095177,0.0,34.300003,40398.86,8149.883,10687.591,49738.516,7.4351563,6.443142,-6.2386665,20.515501,2.373913,5.1897593,0.0,25.999998,23715.588,12932.855,0.0,38735.902
9,1979,31.8,-2.3701942,8.719572,-19.201166,18.023832,2.0844443,3.7478957,0.0,17.199999,21724.516,12835.221,0.0,39583.1,17.295835,5.9730616,1.9342502,27.596754,2.939561,5.679493,0.0,30.9,38548.84,13148.896,1341.5934,49981.97,23.488417,3.2926285,16.332167,29.480082,1.5619565,3.9063165,0.0,23.500002,39655.832,9441.998,252.5164,49740.047,7.861174,6.9216185,-9.211583,24.855087,1.6663043,5.467814,0.0,45.000008,25110.049,11343.216,0.0,38565.6
