,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,24,8.118764,5.468642,-4.7357497,17.58925,2.68,6.5416765,0.0,30.600002,25983.354,13311.67,0.0,41588.0,22.279337,4.2451324,10.583,29.345499,2.2142859,5.338239,0.0,28.2,38249.594,12726.528,200.12593,48156.4,26.821337,2.1324742,19.274666,31.230919,2.2097828,3.6117651,0.0,17.899998,40143.297,7187.956,10088.694,48059.75,13.582953,5.5569715,-1.1315832,25.401749,3.2206516,7.4939613,0.0,41.599995,26114.402,11670.725,0.0,39590.465
1,1971,24.1,9.724735,5.668265,-2.592,19.893415,3.573333,7.659492,0.0,42.8,28079.453,10626.823,0.0,42031.5,21.182085,5.0798087,6.8746667,29.210081,2.243956,5.736534,0.0,44.300003,41539.855,8198.537,2360.5513,48125.953,25.65365,1.9859524,20.278833,30.564249,3.9543476,9.33864,0.0,75.8,38332.508,9478.076,0.0,47526.406,15.822401,5.3332996,5.874666,25.039246,2.0097828,5.229083,0.0,33.5,27291.861,11772.68,0.0,38931.63
2,1972,21.4,11.377026,5.482699,-3.352417,21.664248,3.3879123,6.4044924,0.0,35.7,29364.06,11584.552,0.0,41998.492,22.503353,4.3032002,10.353833,29.583,1.6527474,4.316952,0.0,20.7,41342.63,9002.757,2523.692,48162.836,27.276928,1.9081664,19.501749,30.393417,1.977174,4.4256024,0.0,31.2,40930.406,6408.122,8449.776,47869.863,13.506438,6.5575056,-0.14616662,24.989248,2.722826,5.267235,0.0,24.0,25225.855,13110.79,0.0,39558.082
3,1973,22.1,10.398718,5.8506103,-1.0961665,21.680916,5.7822223,14.411548,0.0,117.6,23656.322,13534.067,0.0,41141.89,20.963425,5.005014,8.220501,28.810083,3.696703,8.599721,0.0,44.199986,37772.336,11302.064,0.0,48154.51,26.27908,1.8463145,18.612167,29.928831,3.3750002,5.0720444,0.0,26.700003,37666.473,9900.167,0.0,47298.47,15.261079,6.519558,0.020500004,25.076746,5.2097826,13.610743,0.0,79.700005,28465.605,11274.278,0.0,38445.688
4,1974,23,13.051055,5.5146704,-0.3045,21.051748,4.688889,9.559599,0.0,58.999992,25234.998,13785.418,0.0,42065.754,21.953857,3.8787575,11.543416,28.055918,3.468132,10.580683,0.0,82.49999,39388.984,10966.597,0.0,48151.293,25.169455,2.7076309,17.655916,29.01425,3.1608694,5.1277304,0.0,26.600002,37065.145,10414.121,0.0,47420.945,13.600053,5.3320036,3.1017497,22.203833,2.6434784,5.5588226,0.0,30.100002,27742.701,11173.497,0.0,39588.04
5,1975,20.7,11.358301,5.342915,-1.8836665,21.628836,4.331111,10.5514,0.0,66.899994,25455.492,12441.205,0.0,41447.668,21.37517,4.5547805,7.9955006,26.724663,4.8571434,8.940024,0.0,43.0,36342.098,12327.161,0.0,47974.457,24.560352,3.066377,15.628833,28.320501,3.2326083,4.468894,0.0,17.8,38399.72,8790.266,3001.1697,47412.203,13.325664,6.507302,-1.3253335,23.093416,2.328261,5.915176,0.0,33.399998,27736.975,10843.391,0.0,39179.17
6,1976,21.2,11.512372,5.7116456,-2.8732493,20.964249,4.175824,7.18734,0.0,28.399998,26496.562,12837.512,0.0,41179.344,20.425194,3.479907,12.539252,26.532997,2.8879123,7.1902843,0.0,55.100002,39061.184,10332.608,2343.6528,48161.062,25.383656,2.1610103,19.133001,28.422579,2.1891303,3.6463578,0.0,19.100002,39672.54,7786.2944,5745.564,47244.28,10.530939,5.366027,-1.3003333,22.487167,3.0456524,6.551393,0.0,31.699999,26725.623,13102.6455,0.0,39248.895
7,1977,23.5,8.586819,6.9394608,-5.4857516,22.955917,3.3777778,8.430253,0.0,45.0,28360.527,12369.072,0.0,41143.832,23.118803,4.2859287,12.180917,29.45175,2.421978,7.9773817,0.0,50.6,41379.395,10044.1,0.0,48161.027,26.569593,1.6197798,22.664248,30.051744,3.357609,6.0751743,0.0,35.7,38042.87,9491.051,711.3393,47657.586,13.591448,5.648722,-0.02325002,27.214249,4.1380434,9.47299,0.0,50.5,26277.639,12032.622,0.0,38996.406
8,1978,25.9,6.00101,6.025739,-2.892,17.974665,2.76,5.9696765,0.0,28.199999,26191.355,13819.562,0.0,42067.85,22.131762,4.1839,13.083,30.149668,3.859341,8.78352,0.0,47.2,39883.62,10502.286,1042.4757,48126.105,27.136576,1.7905049,22.257998,29.57258,1.9565216,3.419797,0.0,20.3,39863.83,8658.99,0.0,47419.508,15.070364,5.782655,0.51633334,23.597582,3.0217392,9.560724,0.0,67.600006,28988.424,10244.442,0.0,39320.75
9,1979,32,8.354226,6.451699,-3.508667,20.989248,4.9466662,11.507722,0.0,58.599995,22360.36,15022.222,0.0,41686.383,21.500536,3.7403834,12.382999,28.460081,4.5307693,10.866173,0.0,53.399998,37457.676,12462.881,0.0,48155.51,25.612894,2.3715584,19.766333,29.801748,3.180435,5.9341674,0.0,29.7,37140.164,10986.701,0.0,47408.18,12.915995,6.2530837,-0.8836668,24.905916,3.43587,10.796291,0.0,60.7,29120.812,11251.151,0.0,39373.605
