,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,17.8,5.6349444,5.497468,-6.2957497,16.829248,1.4466666,3.72912,0.0,23.4,25890.094,12745.283,0.0,40289.605,21.195297,5.4134893,5.8292503,29.89592,3.0285711,6.9951453,0.0,45.099995,38239.395,11552.384,0.0,47164.8,27.719824,4.1248684,15.120915,34.41259,1.778261,5.8173265,0.0,35.2,41272.97,7960.748,2141.6174,47177.754,10.900558,5.6938715,-1.0749166,23.016748,1.3815216,5.0680194,0.0,32.199997,28555.957,10324.814,0.0,38864.062
1,1971,25.2,6.667675,5.7134085,-5.637417,20.977165,0.97888887,3.6477942,0.0,21.8,31390.314,9009.094,0.0,41046.91,21.694885,5.4775424,7.4959164,30.0105,1.3725274,3.5985513,0.0,24.2,40156.336,10040.07,3600.0,47147.32,26.135885,4.13355,12.470917,33.308414,1.8739132,3.908539,0.0,21.700003,39736.76,9510.379,0.0,47055.28,12.45434,6.062135,1.0042499,24.543833,2.8021739,6.164806,0.0,28.5,26547.209,11923.622,0.0,38895.594
2,1972,19.3,8.084332,6.6034737,-7.429083,19.218832,0.54835165,1.8604279,0.0,10.0,30637.223,10787.534,0.0,40365.61,22.301342,5.026134,9.245917,33.143833,2.1835165,6.337074,0.0,36.4,41799.383,8310.895,3600.0,47148.27,27.011473,3.0835323,14.327167,32.039665,1.5500001,4.386656,0.0,32.8,40539.074,8368.187,0.0,47144.062,9.295645,7.9023075,-6.589499,25.437584,2.7282608,7.773784,0.0,47.4,24616.723,13061.08,0.0,39016.164
3,1973,27.6,6.968324,6.1359854,-10.00825,18.139664,3.1655555,6.590633,0.0,32.399998,25692.42,12516.26,0.0,40453.41,19.386803,5.4814463,3.664667,27.912582,4.779121,8.804475,0.0,42.2,37481.652,11442.785,375.0656,47147.215,25.535137,3.177239,15.704249,30.447998,3.2826083,9.268636,0.0,59.3,39529.332,11399.257,0.0,47055.383,12.450853,6.414431,-3.0811672,24.958414,2.3891304,6.9870124,0.0,37.8,27888.123,10667.012,0.0,39030.47
4,1974,23.1,8.766959,6.728996,-5.1686664,22.339666,1.3777778,4.335943,0.0,30.4,29777.855,11011.989,0.0,41138.31,22.008575,4.4715686,9.889667,30.439661,2.5010989,6.551157,0.0,47.79999,39501.41,10637.762,266.2413,47239.164,25.405857,5.049413,13.364666,34.2355,2.5815217,6.009881,0.0,25.400002,37333.926,13644.266,0.0,47144.473,11.181085,6.1650743,-0.6103333,22.19175,2.6293478,7.0175524,0.0,43.699993,25631.549,13077.328,0.0,39116.65
5,1975,28,6.626125,4.574373,-2.6686668,19.647997,2.6155555,6.0259347,0.0,30.499998,28057.902,12546.181,0.0,41150.664,20.537767,5.118456,3.8855,27.754248,4.674725,11.0838375,0.0,77.1,37063.605,12513.114,0.0,46983.836,25.334229,4.088837,14.139665,30.025084,1.7336956,4.494619,0.0,33.399998,40716.414,10081.657,0.0,47050.523,12.113919,7.3356776,-2.9894998,25.722998,1.4206522,3.7574112,0.0,21.5,28681.557,10280.745,818.852,39059.203
6,1976,16.4,9.698434,6.348698,-7.029082,22.945915,1.1670331,4.015057,0.0,27.100002,31207.08,8587.118,0.0,40365.566,19.848045,3.9091797,11.304249,28.362581,3.4483516,8.989269,0.0,56.2,37342.414,12078.632,3426.4622,47224.047,26.290344,3.1915288,16.056334,31.610502,1.028261,2.9009407,0.0,23.400002,41450.82,6943.8345,7529.316,47054.016,8.899765,6.160926,-5.735333,23.689667,1.4043478,3.9488742,0.0,30.0,27992.55,11142.257,0.0,39074.617
7,1977,19.8,6.768394,6.4950714,-8.735333,17.962582,2.0244443,10.70745,0.0,99.59999,29552.316,11835.426,0.0,41440.7,22.476204,4.6659026,10.8355,29.7105,2.4989011,5.083448,0.0,29.0,39858.47,9436.089,1725.5391,46992.97,28.071417,2.3301003,20.848,33.848,2.221739,6.5351596,0.0,38.5,40828.844,8238.281,6494.8945,47086.49,12.501394,6.508668,-2.6457498,29.49383,1.2847825,4.7190037,0.0,35.399998,27724.14,11098.307,0.0,39028.223
8,1978,19.4,2.9432542,6.7384844,-7.637417,19.331335,1.7822223,4.723634,0.0,31.1,25617.586,13947.641,0.0,41053.1,22.024784,5.141513,10.354251,31.85842,2.7956042,6.626075,0.0,37.299995,38074.996,12186.796,0.0,47147.562,28.880835,3.361821,19.270914,33.64175,0.75434786,1.8971009,0.0,14.400001,40538.74,9304.479,1301.1061,47053.293,12.479114,7.3225355,-3.9103334,26.752167,0.9760869,2.7971087,0.0,15.499999,27862.373,12397.451,0.0,39052.793
9,1979,20.9,4.2031384,7.524127,-11.256165,19.416748,2.9233334,7.08748,0.0,39.3,24449.809,13357.604,0.0,41067.46,20.01533,4.929131,7.0917497,29.393831,4.546154,11.319493,0.0,83.7,34922.465,14730.659,0.0,47059.99,26.345667,2.747167,19.366747,30.247995,1.4695654,4.124778,0.0,26.900002,41820.336,7821.3066,0.0,47146.863,12.221551,7.263365,-3.8520002,28.058413,2.0597825,6.499232,0.0,32.5,28966.055,10585.238,0.0,39141.496
