,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,-1,-6.3238473,5.8634987,-19.694754,4.1594176,2.2755556,3.6667442,0.0,23.000002,20966.383,13178.705,0.0,41499.69,12.506417,6.850746,-3.453083,22.086502,4.6857147,8.862362,0.0,49.1,37941.8,12406.746,0.0,50567.07,19.09148,3.0178103,8.074001,23.149002,3.295652,4.6931543,0.0,20.699999,38454.62,9857.259,599.5257,50175.74,4.715191,6.764182,-8.59475,17.51775,4.911957,6.680772,0.0,30.9,14193.462,13256.684,0.0,37061.09
1,1971,-1,-5.255051,5.909601,-19.91975,8.832334,3.1077778,3.9502022,0.0,16.199999,21182.53,13039.782,0.0,41255.24,11.305571,7.252513,-2.63225,26.209417,2.1472528,3.9625564,0.0,20.999998,38946.965,11997.2,5970.778,50627.043,18.656246,2.7548237,11.307334,23.228167,2.9119568,5.385937,0.0,31.400005,35304.242,13557.756,0.0,50581.93,5.7607083,7.1551147,-6.640583,19.309416,3.069565,5.0990567,0.0,24.0,19799.12,13113.883,0.0,38568.88
2,1972,-1,-4.740103,5.971341,-17.521833,6.6865005,3.7703295,5.7319865,0.0,29.700003,21545.533,12761.362,0.0,41318.508,10.630066,6.7238016,-9.146833,22.065666,5.0868134,8.255089,0.0,48.699997,34507.473,15215.36,0.0,50057.684,18.214102,3.297849,10.294834,25.155252,3.577174,5.5896316,0.0,21.0,34780.55,13041.89,0.0,49343.633,2.7430897,5.3002996,-10.236417,14.715667,3.7663043,6.113187,0.0,40.600002,14175.034,13123.512,0.0,37851.125
3,1973,-1,-0.885236,6.6441984,-17.628084,13.903167,2.9088888,4.806027,0.0,26.0,19481.531,13343.387,0.0,40916.473,12.768641,6.2985463,-1.0843334,23.728165,4.8516483,5.7024627,0.0,24.099998,32811.625,15332.86,0.0,50244.99,19.369108,3.454482,9.684417,24.796919,3.402174,6.4532294,0.0,31.199999,36734.03,11446.148,0.0,49761.17,5.1724153,6.9483037,-9.59475,17.20525,4.231522,6.333583,0.0,27.999998,17913.773,13057.71,0.0,36262.176
4,1974,-1,-2.167389,5.3208036,-12.944751,11.5365,3.68,5.119103,0.0,21.3,18970.123,13463.821,0.0,40205.09,12.180091,5.8356533,-2.4843335,22.66775,4.462638,6.5135355,0.0,36.500004,34080.348,14317.261,363.11285,49773.57,18.067865,3.6519587,6.4406676,24.880247,3.2271736,5.5766807,0.0,25.500002,35899.74,13825.052,0.0,49966.863,3.5960107,5.7950654,-5.9655833,16.565668,3.1597824,5.290549,0.0,24.400003,19191.877,12814.732,0.0,37848.418
5,1975,-1,-2.481926,4.408309,-12.567666,7.3469157,4.646667,7.752726,0.0,52.300003,17324.473,13152.586,0.0,39604.617,11.913836,8.215037,-7.015583,23.788584,3.7065935,6.4127793,0.0,43.7,34811.76,15046.638,0.0,50210.836,18.113358,3.768712,8.796916,24.659416,4.2641306,7.7257185,0.0,38.5,34229.656,14983.314,0.0,50112.18,5.5684514,6.9175344,-9.3885,17.594833,2.9804347,4.753558,0.0,24.200003,19836.445,12533.597,0.0,38178.734
6,1976,-1,-1.7336235,7.1347938,-18.501,14.007332,4.6021976,5.694422,0.0,22.899998,20047.35,13142.804,0.0,40688.668,12.470132,6.736659,-2.148917,22.686502,3.842857,5.9881763,0.0,29.399998,36875.977,13785.9,240.08676,50359.605,17.30319,3.3050888,8.646916,22.721916,3.653261,6.240588,0.0,39.800003,34346.777,13540.03,0.0,49438.82,0.33414492,6.73128,-14.980166,15.3865,2.533696,4.387377,0.0,26.9,22519.982,11872.823,0.0,38229.99
7,1977,-1,-4.870282,8.400472,-20.842665,15.334415,3.231111,5.287905,0.0,24.700003,23353.541,12613.643,0.0,41529.984,13.135742,6.0848994,-2.9947498,21.634417,2.8318682,5.522537,0.0,33.300003,38617.062,14631.997,0.0,50487.617,18.839895,3.1928763,11.753167,25.115664,6.2967396,8.539107,0.0,40.499992,33657.094,12988.442,0.0,49854.35,3.6895566,6.956737,-11.967668,15.6865,4.017391,6.639138,0.0,33.9,16513.766,12745.119,0.0,37713.164
8,1978,-1,-6.6600275,5.0355673,-15.423917,6.0239983,2.9033332,4.8121676,0.0,23.000002,20974.125,12933.16,0.0,39738.324,11.622741,6.6503706,-0.9135,22.317749,3.8747253,6.308347,0.0,28.000002,34065.266,16507.94,0.0,50441.965,18.96587,3.0396857,9.871917,25.288582,2.7391303,4.470513,0.0,19.2,36059.9,12026.485,181.47766,49925.734,3.9365225,5.594761,-8.819749,14.2823305,3.68587,5.8126726,0.0,27.400002,19669.148,13337.65,0.0,36768.566
9,1979,-1,-4.812343,7.8406744,-19.701,11.688583,3.2622223,5.3616323,0.0,24.100002,19177.291,15177.088,0.0,41182.992,11.924756,6.5755925,-3.9218323,23.326082,3.942857,6.535869,0.0,37.699997,34034.62,14854.044,0.0,50537.22,18.224545,3.1836436,10.984418,23.363585,3.6858692,10.409575,0.0,94.0,34761.332,12093.961,0.0,50060.312,4.7060423,5.931878,-7.0864167,19.238585,3.382609,6.3479614,0.0,44.999996,19156.861,11435.476,0.0,35651.125
