,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,16,-10.660417,7.5168834,-29.76417,1.8629168,0.98777777,2.7152433,0.0,18.900002,25175.883,11722.551,0.0,41318.207,12.58366,8.038618,-7.485001,28.410835,2.4505496,5.190555,0.0,24.600002,38215.367,14390.459,0.0,51970.152,20.164116,4.955016,6.9420834,28.373335,1.1934783,2.97786,0.0,18.7,39514.99,11709.3,124.137955,51619.773,-0.9144385,8.978186,-21.766253,20.456665,1.725,3.961785,0.0,18.5,21086.068,11905.666,0.0,38555.49
1,1971,15.5,-9.918426,8.024758,-25.976667,10.704583,0.89111114,3.1741104,0.0,27.300001,24410.82,12126.081,0.0,41724.176,13.583863,7.101459,-3.3829167,28.089998,1.8967034,4.4340963,0.0,23.199997,39730.19,12540.444,0.0,51970.95,18.833525,4.565376,7.381668,26.88167,1.7413042,4.845053,0.0,36.999996,40517.46,11239.381,1848.3684,51801.53,0.1083651,9.158682,-18.587084,18.712915,2.3923914,7.5336933,0.0,59.4,20108.553,12900.814,0.0,38437.426
2,1972,23,-10.663732,9.095422,-33.514168,5.475416,0.6571429,1.4319484,0.0,8.200001,27793.432,8458.783,0.0,40088.97,12.557651,6.922788,-2.0495832,23.650415,3.3637364,7.015531,0.0,50.3,35236.38,14338.405,0.0,51963.957,18.879313,4.662595,7.1462502,27.839996,2.370652,5.0671873,0.0,34.300003,37343.688,12377.859,1440.9526,51776.56,-1.7617208,9.530181,-24.107912,16.379583,1.572826,4.3446846,0.0,29.199997,20656.098,12415.313,0.0,38461.242
3,1973,19,-4.6882176,7.8136125,-24.7975,8.958751,1.17,2.9588354,0.0,14.200002,23205.354,12024.686,0.0,41030.668,12.910558,6.656582,-1.3308336,26.04625,1.5879121,3.687602,0.0,22.2,39957.625,12929.526,0.0,51965.156,20.326979,4.8388844,8.369166,29.196253,2.5456522,6.2456737,0.0,38.0,37664.0,14178.23,0.0,51706.395,1.3608786,9.237579,-26.0725,18.054583,1.427174,5.003979,0.0,39.2,22922.574,11392.492,0.0,38368.508
4,1974,17,-5.868426,7.949214,-27.02458,6.1691666,0.8155556,2.0619566,0.0,10.9,27341.785,10057.645,0.0,40105.137,12.473586,6.08651,-0.44750002,24.660833,2.323077,4.494443,0.0,21.0,38775.043,14532.117,0.0,51963.766,19.726187,5.454915,5.531667,29.810837,0.7532609,2.4901323,0.0,18.500002,42321.79,9162.993,911.68994,51792.812,2.853564,6.9402976,-10.557916,17.648333,0.47717392,1.8085332,0.0,14.400001,25191.145,9916.924,0.0,38511.766
5,1975,20.9,-8.662153,5.3717127,-22.820414,1.2545834,1.6355555,3.9153776,0.0,21.899998,22856.617,12976.507,0.0,40228.633,11.470105,8.389591,-12.405834,25.456665,3.6681318,7.11766,0.0,46.399998,35785.023,14821.325,0.0,51964.266,19.73819,5.287213,7.8191676,28.60042,1.9913043,5.572808,0.0,39.899998,41028.605,11424.123,0.0,51798.07,1.2328895,9.802477,-19.520414,18.433748,1.3271738,5.269195,0.0,41.8,23036.623,12491.355,0.0,38436.164
6,1976,8.4,-6.2272162,7.3693357,-27.026667,7.6025004,0.96153843,2.3054895,0.0,13.0,26835.09,10885.876,0.0,41417.754,14.220977,6.203128,3.0920832,27.537912,1.6087911,4.929698,0.0,37.7,41767.28,11772.988,0.0,51962.062,21.482935,4.863767,7.919167,30.779581,0.6902174,2.1167598,0.0,14.8,42416.617,7813.801,14429.779,51595.32,-0.8389855,8.549235,-19.92875,20.600416,0.43586954,1.2396013,0.0,7.7999997,26665.133,8628.072,0.0,38456.49
7,1977,25.4,-6.527732,8.695559,-25.624586,11.015,1.8677777,4.9017043,0.0,24.500002,25157.441,11444.583,0.0,40279.867,15.668846,5.842901,-1.5099998,25.173334,3.2912087,6.1858196,0.0,32.199997,39869.96,12485.931,0.0,51960.457,19.196026,4.0944695,10.600417,30.35875,3.7358696,7.154259,0.0,43.700005,37841.93,12386.058,0.0,51785.414,-0.884321,9.689072,-24.29125,14.123333,2.5858696,8.875644,0.0,73.3,21779.803,12190.493,0.0,38253.83
8,1978,27,-11.221991,8.274429,-27.16208,12.608752,0.50555557,1.4376448,0.0,10.5,26227.105,10678.297,1080.6661,42197.55,12.539931,6.580541,-1.2079167,25.72125,3.6879117,5.9927516,0.0,27.0,34699.28,16452.852,0.0,51967.812,20.288214,4.1114297,10.879584,28.127502,2.7728264,6.488368,0.0,31.099998,40172.855,11365.11,3832.6738,51750.586,0.33997735,9.300424,-20.141249,16.196249,0.48804346,1.2494256,0.0,9.900001,23733.613,10996.525,0.0,38511.297
9,1979,26.1,-12.287594,8.390716,-27.880835,3.665,1.5166667,3.8119345,0.0,29.400002,22819.732,12613.574,0.0,40480.24,10.896342,7.601826,-11.562083,25.171251,2.9692307,7.1832476,0.0,44.2,37452.09,14915.363,0.0,51966.008,19.539253,3.4675903,11.204583,26.17125,2.2934783,5.188106,0.0,30.300001,38987.246,10331.805,0.0,51338.375,1.6554891,6.5811043,-17.014166,15.84208,1.3076088,5.6571116,0.0,49.20001,24572.314,10743.167,0.0,38433.008
10,1980,25.3,-6.7250867,6.542201,-20.580833,7.3650002,0.7274725,1.3273253,0.0,5.7,24168.816,12172.291,0.0,41759.035,14.556002,6.394107,1.4254166,25.506666,2.108791,5.1067853,0.0,27.599998,40253.926,11893.666,0.0,51961.312,20.31946,4.472582,9.5275,29.792084,2.0847824,5.368834,0.0,35.499996,39573.844,11994.117,0.0,51774.48,1.3845425,7.7636437,-16.91208,18.292082,0.63260865,2.3981268,0.0,20.7,22594.71,11696.046,0.0,38112.06
11,1981,25.2,-3.0270138,7.9507675,-26.347502,14.292081,0.7855556,2.7622888,0.0,20.300001,29446.092,9502.046,0.0,40566.08,13.964497,5.0240254,2.08375,24.629583,1.9362639,4.454449,0.0,26.300003,38765.305,12897.722,0.0,51964.434,19.84385,3.9048848,10.239999,29.02542,2.35,5.6490493,0.0,38.7,38255.816,11960.345,197.31834,51784.15,1.1249411,8.487349,-19.50583,14.548332,1.3086956,3.4768198,0.0,19.0,21109.488,12412.479,0.0,38366.785
12,1982,31.2,-9.980277,10.0311165,-32.695415,7.862917,1.1677778,3.6260862,0.0,28.800001,24718.244,12239.69,0.0,40852.363,11.819554,6.805237,-7.5350003,22.93583,2.7131867,5.15929,0.0,28.599998,36467.117,15247.083,0.0,51969.21,19.676458,4.704229,9.098333,28.215002,2.871739,7.5965633,0.0,40.300003,36914.707,13734.639,0.0,51661.16,0.8484241,7.604361,-16.914165,15.454582,2.6554348,6.1150756,0.0,31.800001,21099.37,11686.202,0.0,36171.1
13,1983,28.8,-4.7059026,6.5831614,-19.207918,11.044167,1.1711111,3.171263,0.0,21.0,20697.861,12655.549,0.0,39843.69,11.169946,7.064498,-3.645417,25.37542,2.9945054,6.124856,0.0,30.900002,34179.652,16666.354,0.0,51962.598,21.786875,5.4984965,5.0504165,29.308748,1.8173913,4.4661756,0.0,21.0,41489.95,9912.887,68.84578,51675.902,-2.8557427,12.933,-32.905834,20.315,1.8076086,3.9634936,0.0,22.800001,16609.799,13259.076,0.0,36000.0
14,1984,21.6,-6.709954,6.9640236,-29.2975,2.58375,1.3318682,3.567722,0.0,22.900002,22530.223,12362.49,0.0,40217.914,12.518318,6.048929,1.1295834,22.423334,3.7516482,7.160732,0.0,39.0,35767.48,15621.673,0.0,51946.6,19.000782,5.542945,3.3295832,28.435835,2.0043478,4.716255,0.0,24.900003,40417.527,10637.636,0.0,51692.15,0.7900906,8.560074,-18.164165,17.112915,2.1304348,5.5828376,0.0,34.7,20850.537,12333.301,0.0,38447.074
15,1985,27.1,-7.4829626,9.456274,-29.512083,10.8775015,1.1288888,3.8508203,0.0,25.599998,27072.436,10217.6875,0.0,39827.77,13.652315,5.51556,-0.41625008,25.756666,2.567033,5.1830716,0.0,25.699997,38780.33,13547.731,0.0,51966.715,18.404335,5.234056,2.88375,26.800417,2.5108695,5.507826,0.0,38.5,36179.215,14539.992,0.0,51783.27,-4.1565804,11.016589,-24.937082,13.62125,1.2217392,2.846159,0.0,17.7,20008.252,12119.541,0.0,36627.355
16,1986,28,-5.5566664,8.032022,-25.614164,14.312917,0.90444446,3.3896377,0.0,29.4,22607.22,13647.085,0.0,42204.906,13.867725,5.9461355,2.4566667,25.644167,3.1604397,5.8704886,0.0,28.300001,37147.8,14716.458,0.0,51965.324,18.801573,4.43121,9.3566675,28.54,3.8141303,7.739134,0.0,42.1,36678.934,14357.767,0.0,51748.86,1.0204573,7.0385146,-13.7787485,14.389998,0.6989131,2.0897183,0.0,13.0,22386.043,11241.306,0.0,37817.11
17,1987,32,-1.5951389,5.0251303,-19.066248,11.560834,1.4111112,5.604442,0.0,47.800007,24637.646,11527.609,0.0,42043.13,16.461498,6.2696843,-2.2370837,25.742083,1.4318682,3.2514231,0.0,18.300003,41388.37,12183.835,0.0,51909.516,19.755762,4.696301,11.462916,29.325418,2.9554348,6.8545384,0.0,34.399998,38292.09,12347.569,0.0,51797.02,1.660222,6.325238,-13.680835,15.298333,0.9641304,2.344954,0.0,9.8,19751.133,13446.642,0.0,38577.15
18,1988,24,-8.4417305,9.685667,-29.053755,8.098332,0.7208791,2.1117933,0.0,13.5,29273.074,9164.568,0.0,41114.53,15.948744,7.71273,1.5629168,29.3275,1.7395605,4.1763587,0.0,26.6,42298.727,13288.12,0.0,51964.723,21.213392,4.958765,10.654584,29.942083,2.825,6.301205,0.0,28.099998,39485.496,12690.671,0.0,51641.78,0.60197943,6.8123755,-16.876665,14.169167,0.675,2.0339766,0.0,14.0,24871.2,10013.344,0.0,38333.105
19,1989,29,-7.761227,8.71402,-31.362083,15.57125,0.9133333,2.6820753,0.0,18.6,26731.361,11255.046,0.0,40913.547,12.930476,6.9253225,-4.4995832,26.804583,1.6406596,2.9238095,0.0,12.2,39357.965,11561.211,0.0,51965.13,20.491108,4.9300404,5.29625,29.29,1.8032608,4.191657,0.0,25.400002,40605.938,10836.097,3600.0,51780.637,-0.6344338,10.808021,-27.420418,20.329584,0.6065217,2.0315535,0.0,11.7,25138.334,9636.906,0.0,38248.21
20,1990,32,-1.9422221,4.956353,-15.287084,12.956668,0.49555555,1.37546,0.0,8.3,26636.473,10656.287,0.0,41161.645,13.189015,7.3067904,-2.2933333,26.533752,3.1065936,7.671257,0.0,59.600002,38832.945,13984.5,3600.0,51966.992,20.290455,4.1836257,7.8066654,29.165003,2.4913042,7.6734257,0.0,54.6,39026.984,11547.218,0.0,51785.36,0.38386327,10.021174,-28.401665,17.5275,1.3782607,4.9287186,0.0,42.299995,24012.863,11260.498,0.0,38168.875
21,1991,32,-4.5074773,7.1273212,-21.29958,8.269166,1.13,4.67002,0.0,38.8,26763.355,11551.048,0.0,41824.363,15.084231,7.042361,2.1483333,27.340004,2.8197803,4.803314,0.0,18.600002,35558.395,14180.287,0.0,51908.438,19.755194,5.104781,4.93375,29.162918,2.251087,5.6961236,0.0,27.7,39855.5,12643.18,0.0,51759.125,-0.10771264,8.312649,-20.130833,17.275415,1.1608695,3.199346,0.0,22.600002,22443.846,11161.822,0.0,37846.457
22,1992,21,-1.9952563,5.244159,-20.418333,7.8191667,0.9164835,2.074676,0.0,10.2,22859.658,13378.353,0.0,41474.297,12.448447,6.8108535,-3.637083,21.8025,2.6285715,6.3633204,0.0,40.6,36944.582,14711.939,0.0,51915.523,16.952206,3.3407807,7.2899995,26.40875,3.6891303,9.106651,0.0,52.0,35216.1,12880.231,0.0,51637.902,-0.5035913,8.324844,-23.191248,17.90875,1.3434783,3.646112,0.0,21.699999,18895.28,13448.566,0.0,38437.086
