,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,26,4.035741,6.1655293,-14.437917,14.197499,3.267778,5.5567317,0.0,24.2,24832.645,12893.316,0.0,41398.023,19.661947,4.78407,8.137084,27.272501,2.0934067,5.262357,0.0,36.300003,39101.824,12319.34,0.0,48249.344,24.752821,2.4777987,15.160001,30.516245,2.175,4.6576567,0.0,25.400002,39307.03,8993.295,0.0,48113.535,10.863441,6.2965612,-5.2879167,21.362083,3.1097825,6.9528723,0.0,46.399998,25661.736,10964.657,0.0,39400.406
1,1971,26,4.6271996,5.5541735,-8.654582,17.268335,5.233333,7.981031,0.0,33.7,25523.979,13984.465,0.0,41621.5,18.547134,5.2172146,5.8287506,27.135,3.0373626,6.735819,0.0,47.0,40839.477,9463.749,1616.4835,48001.816,23.227097,1.6939206,18.928751,27.170412,3.558696,6.0316043,0.0,29.199997,36685.79,11508.732,187.76321,47509.367,12.623973,5.8237143,1.71625,23.205832,2.6826086,5.389705,0.0,29.3,25608.443,12231.672,0.0,39340.7
2,1972,22,6.706154,5.114095,-9.800416,15.34542,4.5329676,8.395065,0.0,55.199997,23339.283,14619.058,0.0,41523.61,17.798553,4.2596946,5.405833,25.095419,3.8868127,8.800659,0.0,51.1,38784.598,11960.397,0.0,48365.242,23.325853,1.9404663,16.095417,27.870417,3.2336953,6.7339597,0.0,34.899998,37624.06,11071.284,1085.198,47991.06,10.50717,5.050866,-4.6420827,19.90375,4.7065215,8.513182,0.0,54.100006,22285.494,13477.287,0.0,39357.285
3,1973,21,6.6771755,6.141925,-6.6504154,18.766253,4.6155553,9.665389,0.0,68.899994,24344.914,13393.678,0.0,41083.97,17.770048,5.2609715,4.0099998,25.518333,4.3098903,7.598377,0.0,41.29999,35749.3,12899.571,357.44217,47881.188,23.788078,1.9342474,16.239168,26.755835,3.0065217,6.031106,0.0,41.0,37928.71,9147.429,225.98969,47847.344,11.607896,6.2534175,-2.5024993,21.580835,3.528261,7.428891,0.0,33.3,26616.123,11605.347,0.0,39199.684
4,1974,23,9.407639,4.798062,-2.365,18.007914,5.171111,7.1921816,0.0,27.3,22494.33,14569.296,0.0,41498.086,18.31371,4.153127,6.9245834,25.807917,3.3010995,5.8474784,0.0,28.900002,38782.316,10888.733,3607.0483,48004.242,22.673111,2.8162036,14.037086,26.989164,3.1391304,5.6019025,0.0,36.6,35162.78,11676.508,5116.762,48083.164,9.988284,5.103538,-0.014999966,19.451666,3.3086953,6.6181006,0.0,38.999996,26412.824,13546.731,0.0,39400.17
5,1975,21,7.626412,4.6712117,-2.935833,18.695417,5.977778,10.468741,0.0,54.4,22322.967,14436.814,0.0,41337.19,18.802536,5.29488,4.2412496,25.524584,2.912088,4.830478,0.0,23.099998,38270.07,11639.708,718.8943,47881.82,23.464527,3.505191,14.67875,28.068335,3.068478,6.4123487,0.0,38.399994,37598.383,12114.037,0.0,47881.53,10.594919,5.945042,-4.39,19.707916,3.3032608,8.016761,0.0,52.100002,25289.242,12356.527,0.0,39250.137
6,1976,24,7.6211495,5.9877505,-6.548332,18.22875,3.3879116,6.545717,0.0,34.4,25953.709,13125.032,0.0,41424.75,17.871378,4.208809,8.664167,25.172495,3.587912,8.097419,0.0,44.1,39762.72,9700.503,3600.0,47636.516,22.010927,2.754461,15.412082,27.41208,3.0804348,7.4807186,0.0,60.8,37599.105,11598.271,735.1602,47880.414,6.961404,5.2994065,-3.3670826,18.964167,3.1347828,6.6719427,0.0,41.899998,25174.2,13220.765,0.0,39353.33
7,1977,25,4.227639,7.3693986,-11.7733345,19.36625,3.0955555,6.5116305,0.0,39.300003,27781.475,11902.805,0.0,41313.395,20.023598,4.170102,7.3454175,26.464167,3.2021978,6.5551662,0.0,41.299988,39988.4,10163.81,922.4123,47759.285,24.59578,2.545693,17.57875,28.928751,3.9902174,8.577135,0.0,63.599995,37723.22,11532.388,0.0,48123.305,9.763782,6.1149073,-5.6524997,22.241251,3.6347826,6.6804028,0.0,35.6,24033.902,12088.761,0.0,39198.445
8,1978,25,2.657454,5.9774456,-8.8275,16.239164,3.0677774,5.6477866,0.0,28.5,24816.611,14023.831,0.0,41578.406,18.755192,4.824528,8.168334,29.632914,3.0813193,6.0153313,0.0,28.300003,37609.637,12929.617,3417.2717,47847.4,24.577234,1.8595346,20.155836,28.495413,2.818478,5.116617,0.0,29.600008,38650.176,9370.474,83.80062,47748.16,11.560387,5.1943746,-1.0587502,20.05792,2.5880435,6.45527,0.0,49.699993,27132.53,12227.985,0.0,39314.133
9,1979,29,4.4665747,6.5200768,-9.014998,17.54125,4.9444447,10.4222975,0.0,59.899994,22565.92,14528.848,0.0,39865.695,18.252583,4.0682316,9.145416,25.749582,3.7263737,7.2781224,0.0,39.899998,36435.98,13323.854,0.0,47742.633,23.20973,2.3201642,17.39125,28.357916,3.1989129,5.5144663,0.0,30.399998,34530.67,13419.178,0.0,47509.688,10.283325,5.226372,-0.7629166,20.61625,2.6902175,6.690539,0.0,38.0,27869.992,10391.279,0.0,39423.383
