,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,23,4.6588893,5.867896,-11.169167,15.814167,2.51,5.364428,0.0,34.0,24618.408,13328.373,0.0,41593.266,21.348392,4.7869473,8.96,29.205833,3.432967,7.3400435,0.0,33.999996,40642.68,11352.86,1259.0925,49059.773,26.794603,2.9552312,15.270417,31.39125,1.5749999,4.334746,0.0,34.99999,40594.03,8449.11,0.0,48939.047,11.322409,6.161251,-4.365,23.459997,3.9054346,9.04949,0.0,57.199997,24221.0,12629.495,0.0,39104.867
1,1971,24,5.6353703,5.749782,-7.2358336,17.687082,2.873333,6.02556,0.0,36.9,26426.086,13007.748,0.0,42094.766,20.592623,5.8244085,2.585,30.028748,2.2846155,4.525973,0.0,25.1,40322.76,11295.931,3296.0593,49060.03,25.342697,2.6075535,17.882914,31.149584,2.8923914,7.5670514,0.0,61.8,39775.363,9064.866,570.9009,48887.477,14.04349,6.471997,2.5954163,25.42875,2.451087,5.8892994,0.0,27.9,26631.758,11842.33,0.0,38509.133
2,1972,21,7.4457135,5.871466,-8.854584,18.145412,2.8153844,5.2129526,0.0,20.699999,26356.016,12797.849,0.0,41129.46,20.853613,4.9937334,5.9870834,28.176666,2.8824177,7.827964,0.0,50.2,40657.023,10484.447,3408.105,49055.867,26.208889,2.694546,13.7474985,31.085001,2.2326086,5.3165326,0.0,28.5,40770.805,8592.481,7696.102,48722.047,10.149538,6.7510233,-2.4420836,22.380835,3.9836957,7.7579775,0.0,34.7,21557.363,14025.334,0.0,38981.28
3,1973,23,7.662199,6.569523,-7.365,19.724583,4.6255555,9.249507,0.0,41.1,24865.283,12674.24,0.0,40986.535,19.83967,5.4881434,5.5454164,28.320414,4.2384615,6.8609486,0.0,31.7,36080.1,14177.917,0.0,49048.78,26.231152,2.3312237,16.676668,29.955833,1.9945652,3.270157,0.0,13.000001,39499.547,9520.058,0.0,48875.727,13.055585,7.0786633,-4.0066667,25.116247,4.198913,8.509845,0.0,32.2,26049.63,11718.258,0.0,38812.36
4,1974,20,9.3853245,6.4093103,-4.6379166,20.651669,3.1333334,5.9634466,0.0,33.300003,23341.117,13901.859,0.0,42133.414,20.339027,4.3204713,8.4975,28.174583,4.354945,10.329734,0.0,72.5,37397.9,12395.504,34.7834,49059.01,24.322905,3.7931132,13.774582,29.443335,3.5141299,7.21725,0.0,52.399994,36817.68,12930.4,0.0,48908.793,11.304881,5.6175265,0.35375002,21.437082,2.6315217,6.121875,0.0,36.100002,25568.654,12895.965,0.0,39102.29
5,1975,23,7.3867817,5.214432,-3.8795834,18.54125,4.891111,10.674434,0.0,68.90001,23940.902,12914.799,0.0,41434.68,20.92969,5.573415,5.445417,28.31833,3.0472527,6.6952443,0.0,32.499996,38646.934,11085.438,1580.9205,49058.08,24.897636,4.1136174,14.812083,30.097496,2.2391305,4.3872433,0.0,18.600002,39342.637,10076.673,0.0,48913.66,11.995643,7.0014806,-3.9129164,24.6975,2.8586957,6.728162,0.0,32.899998,26034.793,11979.822,0.0,38817.17
6,1976,22,9.254094,6.5349755,-6.554583,20.607918,4.167033,10.13239,0.0,53.099995,26586.25,11644.3955,0.0,41794.812,19.363892,4.226875,11.028751,27.164167,2.920879,6.409273,0.0,32.4,38301.92,11646.419,1552.4175,49009.21,24.901531,2.7560205,18.239166,29.780832,1.3695652,3.4139578,0.0,25.0,40760.344,8703.674,6718.65,48923.133,8.1729965,6.2089496,-7.217083,22.126665,1.9076087,5.1851487,0.0,26.9,26717.48,11881.6875,0.0,38832.04
7,1977,20,5.3333564,8.016163,-10.889999,21.830833,2.9099996,7.4726176,0.0,40.0,27658.428,12537.489,0.0,42165.418,22.637014,4.5938745,9.257916,30.509995,2.7241757,7.0143714,0.0,34.499996,39696.88,12072.834,0.0,49051.945,26.777412,2.481177,19.987083,31.566252,3.7619567,8.312374,0.0,56.099995,39467.855,9467.041,0.0,48872.664,10.926257,6.5876846,-4.5775003,26.443335,3.4043477,7.45191,0.0,38.7,23250.361,13433.648,0.0,38569.664
8,1978,27,2.2427547,6.553807,-7.035833,18.18917,3.4322226,7.366838,0.0,39.2,24150.77,13832.17,0.0,42135.8,21.087564,4.987648,9.914168,30.932917,3.054945,6.319112,0.0,32.199997,40046.832,10764.263,0.0,49054.934,26.52114,2.5460074,19.876667,31.012083,2.4576087,6.72537,0.0,37.0,40213.984,9749.516,0.0,48844.45,11.833279,5.69503,-2.2233331,21.71833,4.059783,12.0483465,0.0,89.50001,26316.549,12740.394,0.0,38859.42
9,1979,29,3.993912,7.529439,-10.706666,18.245417,5.298889,9.205342,0.0,44.60001,21627.52,14707.956,0.0,41304.32,20.23049,4.3526917,10.637084,28.274588,4.8230767,9.514867,0.0,50.7,36306.23,14471.328,0.0,49048.438,25.247272,3.0350246,17.880835,30.309996,2.8782609,10.025821,0.0,88.19998,38398.098,11843.163,0.0,48884.383,11.131037,6.4630404,-3.5774994,24.7475,3.5978258,9.160246,0.0,48.899998,26652.861,13081.297,0.0,38730.62
