,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,19,2.2901015,5.5320683,-15.215084,13.5995,2.2133334,4.0503078,0.0,18.300003,26145.232,13343.139,0.0,41577.023,18.831068,5.7393446,5.8536663,29.084913,2.2285712,4.967188,0.0,19.800001,39188.11,13669.181,0.0,49438.043,24.836206,2.644537,14.926582,28.841164,2.0434785,5.1730566,0.0,33.300007,39736.656,9910.407,161.43138,49153.105,10.530319,6.46772,-2.7213337,22.109917,2.3902175,5.152276,0.0,31.500002,23693.338,12348.374,0.0,38894.527
1,1971,22.5,3.6502407,5.329284,-7.575499,15.8099165,2.996667,5.486684,0.0,26.500002,27174.166,12389.884,0.0,41825.387,17.433933,5.4415836,5.903667,27.653666,3.50989,8.616123,0.0,47.4,38019.207,14041.553,0.0,49426.156,23.197979,2.1667514,16.007832,26.941168,3.0184786,6.8540025,0.0,45.7,37742.77,12112.19,0.0,49142.65,11.832741,6.4809065,-1.3588334,21.999498,2.8815217,7.622205,0.0,46.699997,23503.283,12157.43,0.0,37502.133
2,1972,18,5.0925403,5.2543807,-9.606751,19.089083,3.0373626,6.002826,0.0,26.8,25552.033,13512.212,0.0,41617.523,16.87125,4.8614707,1.6578335,25.589087,4.9010987,10.400411,0.0,68.59999,34733.812,14952.532,0.0,49433.96,23.209555,2.9064107,16.822416,29.670332,3.601087,7.4473467,0.0,39.9,36129.6,13819.544,0.0,48844.684,9.4355955,5.11869,-3.360917,20.637,3.3032608,7.9946337,0.0,46.999996,22406.555,13678.1875,0.0,38991.5
3,1973,24,5.7875094,5.799396,-5.3213334,20.122416,2.4455554,5.3303065,0.0,41.199997,24058.363,13613.367,0.0,41596.367,18.157331,5.5762115,5.020333,27.0495,3.4109893,6.949188,0.0,37.9,35328.355,14188.17,0.0,49433.85,24.16641,2.6448781,16.626583,28.637,2.701087,5.580628,0.0,31.000002,38643.152,10081.303,440.2597,48802.305,10.660369,6.5208793,-6.4775844,22.412,2.9619565,6.8177505,0.0,32.199997,26674.582,11598.75,0.0,38026.055
4,1974,21.5,7.1079717,5.238405,-6.5629997,18.766165,2.6944447,4.497299,0.0,19.100002,24778.203,14456.527,0.0,41853.836,18.23011,4.4594927,7.6890826,26.853668,2.859341,5.5201044,0.0,23.299997,35921.03,14393.288,0.0,49433.96,22.97937,3.2298048,11.616165,28.247416,3.8804348,9.689342,0.0,63.199997,35505.92,12101.968,0.0,48986.43,9.587747,5.596045,-0.22341676,21.262,2.1108696,7.860172,0.0,67.3,27646.938,10354.536,0.0,39366.82
5,1975,21,5.6845694,4.7067423,-3.098417,18.147417,4.0277777,7.923213,0.0,39.0,22660.17,13866.406,0.0,41827.06,18.096249,6.1189456,3.2203333,27.034914,3.3868134,7.65058,0.0,37.9,37372.344,13213.074,0.0,49431.88,23.30163,3.1180801,14.555748,28.866167,4.1815214,7.9078336,0.0,39.999996,35369.254,13966.21,0.0,49166.734,10.857878,6.4981794,-4.065083,21.955748,2.0097828,5.080388,0.0,28.600002,26057.963,11080.504,0.0,38771.965
6,1976,17,7.1774077,6.473286,-5.958833,20.253668,2.323077,6.432903,0.0,46.3,28295.809,11467.142,0.0,41620.625,18.8324,5.3268604,6.0078335,26.747416,2.1824176,5.1572084,0.0,26.699999,39149.293,10956.53,0.0,49436.527,23.177671,2.876683,16.193249,28.90367,2.6695652,6.7676954,0.0,35.9,37983.8,11715.768,0.0,48456.605,6.682381,5.7985544,-2.9900835,20.703667,3.269565,8.115319,0.0,51.3,25308.207,12012.458,0.0,36793.36
7,1977,15,3.6074402,7.7694488,-14.062999,20.939083,1.68,3.775444,0.0,16.7,29721.395,10253.412,0.0,41875.883,19.123402,4.709586,5.187,27.782827,1.831868,4.272077,0.0,26.300001,40445.145,11444.989,0.0,49437.062,25.094381,3.2096686,18.526583,30.759916,2.3402174,3.9102867,0.0,19.8,39721.645,9640.797,0.0,48788.92,9.542435,6.39623,-3.6692495,23.72658,3.7478263,7.387672,0.0,48.1,21416.426,13782.746,0.0,38454.473
8,1978,29,1.8280185,5.1329794,-8.3463335,13.416165,3.317778,6.837711,0.0,30.800001,25914.25,13897.296,0.0,41767.48,18.010078,5.214499,6.459917,29.314087,3.797802,8.688613,0.0,61.100002,37755.2,13720.444,0.0,49434.9,23.91449,2.739055,15.576583,29.982834,3.626087,7.885665,0.0,40.3,37010.98,10408.497,0.0,48802.594,10.541032,5.29634,-1.6734165,19.893248,2.2891304,4.9833226,0.0,24.9,25864.984,11424.421,0.0,38265.023
9,1979,26,3.381236,6.791281,-13.465084,18.759916,3.6566668,7.767652,0.0,35.999996,25422.035,13529.542,0.0,41738.812,17.7177,4.244025,5.966166,25.222418,3.6010988,6.309719,0.0,35.399998,36723.3,13515.62,0.0,49433.42,22.839602,2.870426,16.607832,28.697416,4.678261,7.395407,0.0,40.5,33663.363,14382.2,0.0,49051.484,10.239853,5.57678,-1.41925,20.755753,2.4663045,6.77551,0.0,43.5,27985.771,10102.177,0.0,38244.06
