,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,17,2.559412,4.972426,-12.962418,12.475083,2.8377779,5.7740917,0.0,31.000002,25864.979,13639.485,0.0,41784.734,18.03415,5.4924016,5.687584,26.891747,2.3637364,5.647547,0.0,28.900002,39146.47,13560.601,0.0,49558.42,24.59281,2.371898,14.356334,28.458412,1.9989132,4.3914127,0.0,23.7,40094.348,10262.461,0.0,49353.613,11.188581,6.2171173,-1.5978335,22.291748,2.8250003,6.0831356,0.0,34.100002,24747.305,12063.647,0.0,38908.824
1,1971,21,4.1782546,4.8885975,-7.591582,15.070916,3.0011108,5.4522133,0.0,30.300003,27364.027,12800.763,0.0,42089.164,17.316887,5.197703,5.7479997,27.683413,3.6615386,9.5764265,0.0,59.399998,38747.22,13383.679,0.0,49546.613,23.905947,2.0854568,16.506332,27.168829,2.8021739,6.6037116,0.0,49.2,38067.145,11443.049,0.0,49329.387,12.619357,6.205283,-0.7895,22.791748,3.2836957,8.265117,0.0,44.3,23947.088,12218.286,0.0,37656.363
2,1972,22,5.4911776,4.84071,-9.112416,18.277166,3.3637366,6.395042,0.0,27.700003,25347.947,14157.219,0.0,41854.47,16.92261,4.7606525,1.6729999,23.922998,4.3461537,9.78908,0.0,72.9,35809.023,14561.672,0.0,49600.883,23.843111,2.8537703,17.91675,30.585497,3.0510871,6.295411,0.0,34.6,36299.33,13924.69,0.0,49366.0,10.373498,4.931581,-2.427,20.75425,3.7923915,8.490993,0.0,53.69999,21762.8,13918.626,0.0,38974.09
3,1973,24,5.8993654,5.363199,-5.512417,18.014666,2.5422225,4.5125785,0.0,21.399998,23902.684,13258.586,0.0,41820.434,18.38843,5.541478,5.5813336,27.447996,3.057143,5.740231,0.0,34.199997,36468.03,13498.65,0.0,49576.723,24.589846,2.3576264,17.550083,28.656336,3.2413044,7.2509665,0.0,38.699997,39380.29,9845.377,2778.8032,49193.94,11.665164,5.968425,-3.3332503,22.850082,2.8858695,7.6784067,0.0,51.4,27051.936,11335.866,0.0,38160.31
4,1974,21,7.253416,4.6384645,-2.252,19.095915,3.041111,4.8814926,0.0,23.800003,24806.768,13954.199,0.0,41646.355,18.325815,4.45212,6.9396663,26.314667,2.5868132,4.6889524,0.0,18.900002,36749.188,13944.239,0.0,49617.46,23.687489,3.0260813,12.239667,28.525085,4.170652,10.427811,0.0,78.1,36121.137,12387.226,0.0,49352.023,10.3351145,5.338942,0.53758335,20.923,2.0913045,5.5177565,0.0,33.899994,28105.97,10239.355,0.0,39011.26
5,1975,22,6.3787403,4.329756,-2.7895012,17.283415,4.456667,8.500153,0.0,38.5,22761.857,14011.78,0.0,42090.83,18.145252,6.28156,3.4021664,27.727167,2.972527,6.866263,0.0,35.899994,37905.465,13399.073,0.0,49623.703,23.99048,2.908699,14.831332,28.952162,4.4836955,6.6937776,0.0,30.199999,35925.06,13231.655,0.0,49408.367,11.616252,6.1995635,-4.0811667,21.952164,2.9608698,8.452231,0.0,60.2,25878.426,11354.634,0.0,38191.5
6,1976,19,7.0316076,6.0146694,-6.4957504,18.598001,2.357143,6.0630417,0.0,35.9,28334.285,11426.462,0.0,41856.9,18.714779,5.1733904,6.06675,26.768837,2.208791,5.0762553,0.0,21.9,40371.863,10662.487,97.66195,49583.39,23.34809,2.364507,17.289665,28.287584,3.4282608,9.220346,0.0,67.5,38312.09,11861.439,0.0,48960.9,7.654046,6.0323167,-2.8207505,21.306335,2.808696,6.2662473,0.0,32.7,25397.525,11899.7,0.0,37110.37
7,1977,18.5,3.9992266,7.1300187,-12.285333,20.181332,1.9822222,4.3099723,0.0,22.099998,29928.31,9804.595,0.0,42115.17,18.983644,4.510791,5.723001,27.408417,2.452747,10.107108,0.0,92.4,41133.445,10915.059,0.0,49617.17,24.900354,2.8106878,18.127165,30.362581,3.144565,6.0748873,0.0,32.199997,40504.582,8573.645,0.0,48984.367,10.306808,6.3294816,-4.24575,24.462584,4.228261,7.592757,0.0,35.09999,22220.58,13118.494,0.0,38436.023
8,1978,23,2.4181159,5.056635,-6.6019993,13.720916,3.6644447,7.8904057,0.0,42.100002,25928.494,13960.242,0.0,42121.016,17.849579,4.9229784,8.133416,27.243835,3.6395602,7.4637775,0.0,45.300007,38795.914,13101.661,0.0,49618.89,24.320236,2.9455855,15.579249,29.26467,3.4521737,7.0320687,0.0,40.1,38951.71,10317.984,131.12206,49259.914,11.044648,5.0560355,-1.3249166,19.752165,2.6510868,5.585765,0.0,37.8,25652.973,12352.522,0.0,38081.598
9,1979,26,3.8336477,5.912356,-9.462417,17.97508,4.1255555,8.633948,0.0,44.999996,25495.064,14013.109,0.0,42003.465,17.947334,4.1687274,6.6584167,24.302168,3.276923,6.2072554,0.0,29.0,37390.15,13939.179,0.0,49616.195,23.914503,2.8011038,17.366747,29.056335,4.923913,8.123151,0.0,36.8,35406.09,14059.961,0.0,49354.152,11.234686,5.3512774,-1.5415835,22.17925,2.2358696,6.299862,0.0,41.300003,28494.39,9440.494,0.0,38327.156
10,1980,13,4.152464,4.817592,-6.0124164,14.541748,2.889011,5.5164895,0.0,26.199999,23920.068,14291.64,0.0,41717.652,18.724464,4.5617757,7.827166,28.804247,2.6626372,6.430045,0.0,33.100002,39335.766,12401.094,0.0,49617.207,25.465208,2.8218389,16.039665,30.352163,1.4967391,3.4782987,0.0,20.900002,40528.004,8700.513,3639.1006,49218.96,9.258846,6.1553907,-7.060333,21.770914,2.0858693,5.7364955,0.0,36.300003,25172.057,12050.12,0.0,37457.67
11,1981,27,3.794898,5.4825897,-8.597833,16.981333,1.5588889,4.4586205,0.0,23.3,28221.639,11703.888,0.0,42141.89,18.981606,5.197884,8.718833,28.5105,2.958242,5.279038,0.0,29.300003,36877.273,12590.057,644.12384,49495.25,23.394035,3.2062857,14.87925,29.41675,3.0880435,7.1827307,0.0,40.800003,37802.977,12448.386,892.3501,49190.164,9.297365,5.62744,-2.924917,21.458418,2.2869565,5.742175,0.0,37.4,25043.123,12306.432,0.0,38416.035
12,1982,28,3.8459628,5.474023,-11.147834,14.623001,3.1455557,5.3760633,0.0,27.1,24396.396,14501.451,0.0,42033.496,18.034172,5.291993,1.9250833,26.093832,2.8857143,5.6132503,0.0,34.800007,37252.355,13568.709,0.0,49573.4,23.765888,2.800954,16.887583,29.1605,3.1163042,5.3377833,0.0,31.7,37532.48,11189.074,0.0,49377.25,11.769196,5.5848656,-1.5186667,22.36675,3.053261,7.4925523,0.0,33.6,24659.87,11895.393,0.0,38252.492
13,1983,13,6.0319357,4.1459317,-3.337417,15.087582,3.3933337,7.4701476,0.0,46.600006,24116.5,14733.263,0.0,42004.504,17.828724,5.445761,5.3334165,28.812584,3.8791208,8.555876,0.0,48.399998,37099.266,13874.756,0.0,49606.1,25.001348,3.856377,14.072999,31.156334,2.4619567,5.4090858,0.0,26.300001,40363.32,10104.155,220.13672,49207.47,10.328118,6.711088,-11.772834,23.095917,3.905435,9.271383,0.0,67.100006,23927.424,12588.758,0.0,38324.42
