,year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
0,1970,-1,-2.04281,6.1387973,-19.796999,9.573833,3.4777777,5.2208266,0.0,30.6,20597.521,13609.792,0.0,39627.023,15.53583,5.613372,2.0446668,23.227999,2.8351653,4.954266,0.0,22.3,38822.875,12350.648,1951.9697,49423.78,20.745617,2.929537,8.736333,25.627998,2.3445654,4.808723,0.0,27.199999,39718.91,9239.725,2026.1213,49175.945,6.7816467,7.0082746,-8.376168,19.475916,4.218478,7.7306714,0.0,49.399998,20232.51,13001.24,0.0,38326.742
1,1971,-1,-1.3660972,6.282716,-16.811583,13.561336,4.0666666,5.9009614,0.0,31.099997,23997.445,12020.252,0.0,41284.36,13.711816,6.1324873,3.2384164,25.253,3.0868134,6.2214904,0.0,39.400005,38078.55,12162.633,0.0,49233.367,19.950508,2.060269,12.911332,23.909254,3.3010874,5.7769246,0.0,30.0,36042.71,12968.163,376.8093,49282.97,7.96695,7.1825147,-8.617833,20.500916,2.7684782,4.5580006,0.0,27.199999,21444.43,13053.523,0.0,36621.785
2,1972,-1,-0.041001692,6.4700775,-17.822,14.275917,4.446154,6.257393,0.0,24.300005,23712.83,12592.87,0.0,41225.223,13.285051,5.214874,-2.7199163,23.227999,6.3384614,12.298165,0.0,79.90001,33117.098,15908.72,0.0,49399.81,19.63187,2.7444522,13.338417,25.153002,2.925,5.1293087,0.0,24.0,34319.773,13143.87,0.0,47679.06,5.4421754,5.3133636,-10.401166,15.880082,5.166304,8.097282,0.0,38.399994,17505.672,13882.786,0.0,38369.836
3,1973,-1,2.087676,6.525523,-14.055332,16.57175,3.3422225,5.693264,0.0,30.199999,21566.834,12930.465,0.0,41232.23,14.013392,6.2546277,-0.9740834,23.588417,4.6406593,5.816585,0.0,23.2,33390.957,15363.06,0.0,49319.164,20.277729,2.751414,12.198834,25.117579,3.6076086,6.399644,0.0,34.400005,35431.91,13405.368,120.6015,48669.395,6.85737,6.917201,-8.972,18.655085,4.518478,8.287167,0.0,51.199997,21067.266,13079.526,0.0,37472.09
4,1974,-1,3.1509633,5.4438767,-8.940749,16.328001,4.2477775,6.402988,0.0,32.700005,21290.535,13373.428,0.0,40209.605,14.282833,4.830574,1.6655003,23.100916,4.478022,7.5067058,0.0,40.000004,34943.74,14389.32,0.0,49316.945,19.062103,3.334619,7.4529996,23.87175,3.3108697,5.6809583,0.0,27.400002,34634.906,13094.74,0.0,49172.734,5.2575517,6.113826,-6.8240848,17.713419,3.4576092,6.1860576,0.0,31.100004,22310.814,12793.891,0.0,38118.633
5,1975,-1,1.0328844,5.2192817,-11.644916,13.525916,4.772222,5.837462,0.0,23.4,19456.018,13897.34,0.0,41286.062,14.166461,6.7649064,-3.163666,23.484247,4.5439568,7.2566633,0.0,37.800003,36876.06,13320.374,0.0,49216.36,19.615524,3.407559,10.061333,25.461334,3.5423915,5.7191267,0.0,25.300001,35933.53,12069.004,0.0,48661.133,7.345913,6.686192,-9.588666,18.244667,3.0934784,5.203904,0.0,23.2,23575.062,11509.921,0.0,38504.656
6,1976,-1,2.2193692,7.784809,-14.8949175,16.96758,3.6538465,4.9051294,0.0,24.400002,23665.344,13511.495,0.0,40804.176,14.513232,6.2229114,-0.3636665,23.065498,3.0175822,5.713563,0.0,30.3,38905.957,12137.818,803.4421,49347.895,18.336765,2.7840416,10.871749,23.398836,3.9684784,8.282033,0.0,49.399994,35687.95,11840.064,0.0,47955.668,2.5495577,6.295673,-9.984501,16.323832,3.7934783,8.208088,0.0,64.7,23386.361,11836.796,0.0,37102.867
7,1977,-1,-1.8331109,8.945445,-21.286583,17.405085,3.408889,5.8423033,0.0,28.000004,25720.008,12062.32,0.0,41500.73,15.462274,5.4059563,0.24883337,22.011335,3.763736,7.6057944,0.0,47.199997,39484.484,11630.21,958.24023,49288.496,20.503138,2.9379811,13.136333,25.83008,3.6097827,5.6638055,0.0,26.7,35803.773,11098.506,891.95526,49203.66,5.5243096,7.002278,-12.749082,18.03425,3.8978262,5.9901013,0.0,37.5,20139.477,11697.12,0.0,36648.242
8,1978,-1,-3.8089445,6.2853603,-18.301165,11.530084,3.5588892,5.242092,0.0,26.100002,20589.068,13975.543,0.0,41171.734,13.8132105,5.4885883,3.8530004,23.403002,5.132967,7.7752466,0.0,37.5,34297.008,15635.166,0.0,49314.125,20.311289,2.5326738,11.698834,25.061333,3.7097828,8.413883,0.0,66.9,34452.51,13235.376,0.0,48612.43,6.3159976,5.3952537,-7.09075,16.28425,4.9195657,8.758911,0.0,41.9,22608.748,13008.67,0.0,37643.438
9,1979,-1,-1.252602,7.709899,-16.20325,15.946751,4.4055557,6.1155424,0.0,27.3,20125.748,15036.627,0.0,40991.625,13.871978,5.190391,-0.4740832,22.330084,3.8274727,5.7722917,0.0,30.800001,33120.855,16289.047,0.0,49486.97,19.06677,2.9199624,13.211333,23.565498,4.961956,8.555402,0.0,59.29999,31269.611,13569.75,0.0,48712.418,6.312624,5.8387794,-7.0574164,18.948832,3.6358695,7.083235,0.0,29.1,22832.889,11327.729,0.0,36093.527
10,1980,-1,-1.1545321,6.0719595,-13.446999,10.80925,3.3065937,5.143276,0.0,25.200003,21438.262,13725.634,0.0,41028.914,14.160738,4.900898,2.8363335,24.632166,3.2538462,5.5698657,0.0,23.900002,36919.41,13045.203,0.0,49538.44,20.726868,2.742542,11.0425825,25.932167,4.2663045,8.200969,0.0,49.300003,35457.4,12465.413,0.0,49063.297,4.398765,6.805437,-13.701165,17.403,2.8010871,6.5744004,0.0,47.8,21979.422,13162.295,0.0,38247.844
11,1981,-1,-1.6745694,6.965026,-18.330336,12.842584,3.0466669,5.625348,0.0,27.699999,24394.559,13233.361,0.0,41449.32,14.755359,4.955089,3.936333,24.075918,5.6010985,8.086236,0.0,44.999996,33131.637,15822.989,0.0,49437.68,19.149786,3.3637028,9.000917,24.35717,2.9717393,5.59718,0.0,33.100002,37089.812,10625.859,0.0,48773.496,4.282212,6.2707853,-9.978251,17.742586,3.4543476,6.444717,0.0,48.6,20575.768,12642.079,0.0,37846.555
12,1982,-1,-0.2192685,6.997249,-24.759499,12.784249,4.072222,5.922667,0.0,25.699999,22064.209,13424.538,0.0,41428.547,14.2235365,6.1884527,-5.063666,22.623833,3.6142857,5.761396,0.0,24.800001,36575.152,13022.136,1699.5872,49404.793,19.20316,3.2279887,9.534249,24.388414,3.3999999,7.163,0.0,47.000004,35565.15,13032.455,0.0,48861.555,7.952615,6.5045624,-7.2511673,19.403,2.923913,5.612767,0.0,39.599995,21764.543,12236.835,0.0,38415.91
13,1983,-1,1.1042962,5.061573,-11.426167,14.284251,2.611111,4.977397,0.0,24.9,22953.508,12828.613,0.0,40455.12,13.384296,5.852902,-0.7303333,23.173834,4.0527472,6.7800255,0.0,32.9,33205.902,15088.576,0.0,49287.68,20.636515,3.7806325,7.7571664,25.138418,2.444565,5.036032,0.0,30.599998,38579.863,10239.777,0.0,48747.77,4.9989696,8.037943,-21.463667,19.877998,4.732609,7.928307,0.0,37.200005,18143.1,13549.73,0.0,38325.848
14,1984,-1,-0.57628113,6.150502,-19.647001,11.067584,3.2945051,5.3042407,0.0,29.599998,21740.838,13513.6875,0.0,39600.0,14.038438,6.2996836,1.9863335,24.500916,3.9615386,6.8439226,0.0,41.599995,34949.145,14029.077,0.0,49150.402,19.018557,3.4530458,6.8675823,23.996752,3.609783,6.6034136,0.0,37.0,36407.727,10614.18,0.0,48501.37,8.09247,6.9763827,-9.313667,19.525919,4.0945654,6.0420756,0.0,26.4,20988.77,12581.308,0.0,38241.336
15,1985,-1,-0.79368967,7.769715,-25.953253,16.361334,3.55,5.8914385,0.0,30.600002,21487.414,13826.347,0.0,40580.72,15.197071,5.128946,-2.6053336,21.307167,3.089011,4.9272137,0.0,20.0,37921.266,11947.965,0.0,49358.086,19.69376,2.9906707,10.74675,24.838417,2.9195652,5.1672096,0.0,22.000004,36676.137,11683.351,1268.0363,48357.152,6.983798,7.971755,-14.574084,18.475916,5.3543477,10.727735,0.0,54.600002,18343.373,13962.584,0.0,37571.63
16,1986,-1,0.536588,7.1912475,-17.14075,16.10925,3.606667,6.0579753,0.0,31.700003,20667.91,14853.653,0.0,41638.17,15.340179,5.3217096,0.93425006,22.911333,3.0516484,4.8585634,0.0,25.5,37542.688,12117.97,0.0,49485.25,20.02544,2.9258008,11.971751,25.011335,3.9891312,7.378696,0.0,47.9,34737.69,14043.939,79.9926,49171.277,6.181895,6.0589375,-5.0699162,21.386335,4.1684785,6.5968347,0.0,26.300001,18505.48,13137.91,0.0,37605.387
17,1987,-1,0.68593985,5.5720005,-15.088666,13.767583,2.2833333,4.2882447,0.0,21.4,24415.643,13351.6,0.0,40924.72,15.247552,6.275136,-0.77825004,23.488417,3.9329672,6.4987187,0.0,37.0,35697.86,14693.702,0.0,49402.965,20.730604,3.458193,12.671752,26.038416,3.5891306,7.1689267,0.0,37.8,36796.516,12649.535,0.0,47716.0,5.7491045,5.319135,-5.8803344,15.961333,2.9423912,5.1513624,0.0,34.199997,22216.45,13015.421,0.0,38112.0
18,1988,-1,0.12980865,6.694637,-14.388667,15.196751,2.531868,4.914398,0.0,25.6,25218.69,12231.099,0.0,41078.633,14.544025,5.7003126,2.1946666,26.090498,3.2835164,6.0709376,0.0,25.200005,39440.992,11958.023,0.0,49503.71,20.982983,3.952948,12.30925,28.015503,3.295652,6.820137,0.0,32.1,36121.09,14008.868,0.0,49356.953,4.77526,5.5923553,-9.417834,19.442583,3.079348,5.6085596,0.0,33.899998,24563.625,11414.027,0.0,38039.69
