year,yield,q1_temperature_mean,q1_temperature_std,q1_temperature_min,q1_temperature_max,q1_rainSum_mean,q1_rainSum_std,q1_rainSum_min,q1_rainSum_max,q1_SSdur_mean,q1_SSdur_std,q1_SSdur_min,q1_SSdur_max,q2_temperature_mean,q2_temperature_std,q2_temperature_min,q2_temperature_max,q2_rainSum_mean,q2_rainSum_std,q2_rainSum_min,q2_rainSum_max,q2_SSdur_mean,q2_SSdur_std,q2_SSdur_min,q2_SSdur_max,q3_temperature_mean,q3_temperature_std,q3_temperature_min,q3_temperature_max,q3_rainSum_mean,q3_rainSum_std,q3_rainSum_min,q3_rainSum_max,q3_SSdur_mean,q3_SSdur_std,q3_SSdur_min,q3_SSdur_max,q4_temperature_mean,q4_temperature_std,q4_temperature_min,q4_temperature_max,q4_rainSum_mean,q4_rainSum_std,q4_rainSum_min,q4_rainSum_max,q4_SSdur_mean,q4_SSdur_std,q4_SSdur_min,q4_SSdur_max
1940,9.5,-41.594,9.712155,-60.859913,-23.614084,0.008888889,0.061158195,0.0,0.5,68604.99,29071.582,0.0,124379.266,-55.47535,6.334886,-67.81825,-39.428665,0.057142854,0.30482888,0.0,2.3999999,0.0,0.0,0.0,0.0,-59.079464,5.213475,-67.79325,-46.76617,0.0054347827,0.037399333,0.0,0.3,5093.8013,13263.039,0.0,51537.465,-41.175995,9.343859,-60.057842,-28.607832,0.0,0.0,0.0,0.0,76771.68,22504.342,0.0,100079.26
1941,14,-41.44075,7.8107605,-54.537,-26.270334,0.0022222223,0.021081852,0.0,0.2,68602.79,28536.504,0.0,121533.56,-51.39838,5.7644835,-62.55783,-38.347416,0.0032967033,0.02333595,0.0,0.2,0.0,0.0,0.0,0.0,-58.657227,6.440565,-70.97451,-44.301586,0.0,0.0,0.0,0.0,5172.5186,12876.862,0.0,50006.645,-37.903282,7.7945933,-52.29533,-24.76825,0.010869566,0.10425722,0.0,1.0000001,79472.37,14511.9795,16557.375,95525.36
1942,18.3,-40.398136,8.972554,-61.699505,-28.859915,0.0,0.0,0.0,0.0,74299.125,26218.523,0.0,118980.8,-55.719624,5.27407,-65.416176,-41.07242,0.026373627,0.22202863,0.0,2.1000001,0.0,0.0,0.0,0.0,-59.109398,5.0376773,-68.84951,-46.70783,0.0,0.0,0.0,0.0,5568.982,13634.36,0.0,50477.004,-41.80448,6.7679105,-54.639088,-28.516169,0.0,0.0,0.0,0.0,81782.31,14973.682,1065.2749,104089.3
1943,14.4,-36.78119,6.9392953,-53.984913,-24.816168,0.0011111111,0.010540926,0.0,0.1,64101.277,31721.447,0.0,95213.766,-55.863205,4.4604425,-63.930744,-44.537003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.43186,6.3660307,-65.516174,-39.812,0.04673913,0.22407375,0.0,1.6000003,1784.5646,7913.8887,0.0,50784.68,-41.44148,7.6505985,-60.20366,-31.332832,0.0,0.0,0.0,0.0,83642.24,10096.324,34982.625,108578.945
1944,15.3,-40.07798,6.5796676,-51.418247,-28.282835,0.0,0.0,0.0,0.0,69417.07,31287.596,0.0,124689.39,-51.492653,4.6228056,-61.732838,-41.872414,0.0021978023,0.020965697,0.0,0.2,0.0,0.0,0.0,0.0,-57.373806,4.3179693,-67.757835,-45.92867,0.0,0.0,0.0,0.0,5521.9624,13163.623,0.0,52258.188,-41.19257,8.269341,-54.099506,-28.207834,0.0076086964,0.072980046,0.0,0.70000005,79838.08,16965.324,1685.7241,92061.875
1945,15.2,-37.502415,8.7368355,-54.793243,-22.828669,0.0022222223,0.021081852,0.0,0.2,68548.805,28815.035,0.0,121864.55,-52.100006,5.6558046,-63.95992,-37.97033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.38059,4.514697,-65.087,-47.116165,0.0,0.0,0.0,0.0,4843.669,12721.899,0.0,49766.664,-39.536682,6.6936584,-53.339092,-26.139086,0.011956522,0.07961776,0.0,0.70000005,75288.945,21683.133,0.0,87755.164
1946,17.3,-40.296234,11.301361,-64.49325,-22.697416,0.024444444,0.12747428,0.0,1.0000001,69300.72,27069.791,0.0,119715.51,-52.19719,5.7975535,-65.73075,-39.728664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.152306,5.727567,-68.19117,-39.684914,0.014130436,0.09786908,0.0,0.8000001,5020.866,13355.123,0.0,53257.76,-41.09053,8.870808,-59.051586,-28.41408,0.0010869566,0.01042572,0.0,0.1,78406.86,19296.346,0.0,103184.195
1947,18.5,-39.49485,8.495668,-57.914078,-26.889084,0.0,0.0,0.0,0.0,68181.77,27242.988,0.0,102415.84,-52.797413,4.4572377,-60.7495,-42.414085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.834713,4.597528,-63.037003,-41.562,0.0065217395,0.035716675,0.0,0.2,4346.9795,11417.613,0.0,51888.215,-36.99624,9.395061,-57.15576,-22.387001,0.025000002,0.110567965,0.0,0.6,79810.086,15582.248,0.0,113885.07
1948,21,-37.837414,7.5498896,-54.58075,-24.016167,0.0,0.0,0.0,0.0,65152.375,35022.42,0.0,124807.51,-56.94311,5.061916,-66.29742,-45.782833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.919334,4.569941,-70.103676,-49.001583,0.0,0.0,0.0,0.0,4517.7256,12244.131,0.0,47598.45,-38.76048,8.88046,-58.79742,-27.928663,0.017391305,0.1254519,0.0,1.1000001,79615.65,16085.261,4278.0015,99545.08
1949,20,-39.752506,9.446138,-60.024494,-23.341166,0.0,0.0,0.0,0.0,71329.74,27900.459,0.0,131475.62,-50.44263,5.658925,-61.52658,-39.045334,0.023076927,0.1713197,0.0,1.6000003,0.0,0.0,0.0,0.0,-52.794693,5.7072253,-63.926586,-40.24533,0.0032608698,0.02320992,0.0,0.2,2682.6648,8281.226,0.0,36000.0,-37.426247,10.054208,-56.822407,-22.887001,0.0,0.0,0.0,0.0,78031.3,19567.303,0.0,101660.336
1950,19.3,-38.703957,9.152124,-57.051838,-25.053917,0.048888896,0.31310138,0.0,2.3,57682.617,31173.217,0.0,84647.85,-53.554974,5.2206554,-65.818504,-41.80183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.217953,5.996552,-68.21433,-43.078915,0.0043478264,0.04170288,0.0,0.4,4859.878,12500.958,0.0,56553.074,-38.66001,8.414368,-61.28516,-25.026833,0.027173918,0.2006053,0.0,1.8000003,78349.08,19434.375,1987.5916,109934.95
1951,19.2,-40.985863,8.988569,-57.762257,-25.58725,0.0,0.0,0.0,0.0,69856.84,27309.383,0.0,120163.055,-51.225094,3.741577,-60.108078,-43.322662,0.040659342,0.23522003,0.0,2.0000002,0.0,0.0,0.0,0.0,-55.877197,6.6994557,-68.97058,-38.383083,0.0,0.0,0.0,0.0,5795.67,13949.492,0.0,50949.758,-39.186436,8.704691,-58.08934,-29.603918,0.0,0.0,0.0,0.0,84510.37,12167.1875,12896.568,130398.234
1952,19.7,-40.05323,6.7148595,-56.058086,-30.031004,0.0,0.0,0.0,0.0,64926.043,31850.934,0.0,93894.42,-55.489037,6.2263904,-66.55183,-42.308086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.714016,5.2066402,-64.903915,-43.787247,0.0076086964,0.063304074,0.0,0.6,6159.71,16383.023,0.0,61561.652,-38.582203,10.183214,-60.67892,-25.589333,0.0010869566,0.01042572,0.0,0.1,79915.66,20205.361,0.0,113605.15
1953,16.8,-41.208107,8.663476,-59.456005,-28.564333,0.00888889,0.084327415,0.0,0.8000001,68533.69,30074.531,0.0,118815.24,-50.98992,4.903136,-60.99767,-41.847668,0.0021978023,0.020965697,0.0,0.2,0.0,0.0,0.0,0.0,-58.291283,6.1404276,-69.87267,-45.662247,0.0,0.0,0.0,0.0,6219.7847,13838.341,0.0,53105.43,-42.945972,9.212558,-61.670574,-27.633085,0.0021739132,0.02085144,0.0,0.2,82706.26,14294.433,3233.0789,127837.92
1954,17,-40.258713,8.943426,-57.031006,-27.058083,0.058888897,0.3263329,0.0,2.8000004,66275.31,26555.957,0.0,106098.31,-56.39268,5.07358,-66.02475,-45.63101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.289364,5.8650885,-69.6206,-43.67683,0.0,0.0,0.0,0.0,5529.0054,14593.092,0.0,62058.945,-40.01189,8.77523,-52.820583,-24.708084,0.008695653,0.060496435,0.0,0.5,78249.92,20196.002,0.0,87503.26
