state,county,lat,long
KY,TRIGG,36.8064,-87.8734
MN,WABASHA,44.2842,-92.2303
PA,ERIE,41.9917,-80.0322
VA,HANOVER,37.7601,-77.4909
WV,PRESTON,39.4693,-79.6681
MO,LAWRENCE,37.1063,-93.8329
NY,OSWEGO,43.4261,-76.1412
MN,FARIBAULT,43.6739,-93.9478
SD,BROOKINGS,44.3697,-96.7905
IL,MARION,38.6496,-88.919
IN,GREENE,39.0364,-86.962
SD,SANBORN,44.0235,-98.0914
MI,OSCEOLA,43.9899,-85.3252
OK,LOGAN,35.9194,-97.4434
MS,HINDS,32.2667,-90.4427
GA,WARE,31.0534,-82.4238
MO,HOLT,40.0946,-95.215
KY,LAUREL,37.1107,-84.1178
OK,GARVIN,34.7045,-97.3093
AL,LAUDERDALE,34.9015,-87.6543
NC,DAVIDSON,35.7932,-80.2127
TN,LOUDON,35.735,-84.3116
VA,MATHEWS,37.4368,-76.3444
WV,HARDY,39.0075,-78.8579
MN,KANDIYOHI,45.1524,-95.0048
NE,PLATTE,41.5708,-97.5206
IN,RIPLEY,39.1034,-85.2624
GA,LANIER,31.038,-83.0626
OH,GALLIA,38.8247,-82.3169
GA,BLECKLEY,32.4344,-83.3279
IA,WINNESHIEK,43.2906,-91.8436
MO,PEMISCOT,36.2111,-89.7858
MN,KOOCHICHING,48.2453,-93.7834
SD,TRIPP,43.3459,-99.884
MI,WASHTENAW,42.2534,-83.8384
MO,SCHUYLER,40.4703,-92.5209
KS,HODGEMAN,38.0875,-99.8979
TN,HARDIN,35.1987,-88.1845
NC,CHATHAM,35.7027,-79.2553
NE,HOLT,42.4557,-98.7838
WI,MONROE,43.9457,-90.6179
IL,PUTNAM,41.2045,-89.2858
IN,PUTNAM,39.6663,-86.845
DE,NEW CASTLE,39.5811,-75.6488
IL,WHITESIDE,41.7564,-89.9141
KY,HART,37.2999,-85.8847
NC,EDGECOMBE,35.9129,-77.5971
MD,CALVERT,38.5529,-76.5696
MN,STEVENS,45.5861,-96.0003
NC,DURHAM,36.0359,-78.8764
MO,GENTRY,40.2121,-94.4099
GA,CHATTOOGA,34.475,-85.3454
NC,SURRY,36.4148,-80.6882
IN,TIPTON,40.3114,-86.0519
KS,EDWARDS,37.8876,-99.312
TX,DENTON,33.2043,-97.1171
VA,CHESTERFIELD,37.3785,-77.5868
MS,HOLMES,33.1235,-90.0922
WI,OZAUKEE,43.3838,-87.9515
MN,WILKIN,46.3571,-96.4683
NE,CEDAR,42.5993,-97.2523
AL,AUTAUGA,32.5349,-86.6428
MN,MORRISON,46.0126,-94.2684
PA,SNYDER,40.77,-77.0701
NE,CUMING,41.9164,-96.7874
IA,BOONE,42.0366,-93.9318
MI,KENT,43.0322,-85.5492
MN,REDWOOD,44.4037,-95.2539
KS,SHAWNEE,39.0415,-95.7564
IA,LUCAS,41.0293,-93.3277
SD,KINGSBURY,44.3696,-97.4915
IL,BROWN,39.9618,-90.7504
ND,CASS,46.933,-97.2481
OH,WOOD,41.3617,-83.623
ND,PIERCE,48.2496,-99.9718
MO,POLK,37.6165,-93.4005
MS,UNION,34.4905,-89.0038
IA,WORTH,43.3774,-93.2609
KS,DONIPHAN,39.7885,-95.147
TN,CROCKETT,35.8135,-89.1395
NY,NIAGARA,43.2011,-78.7427
KY,FAYETTE,38.0423,-84.4588
SC,KERSHAW,34.3388,-80.5903
WI,TREMPEALEAU,44.304,-91.3585
KY,JEFFERSON,38.1872,-85.6595
ND,NELSON,47.9216,-98.1921
KS,WILSON,37.5593,-95.7434
PA,CLINTON,41.2341,-77.6385
LA,SAINT LANDRY,30.5989,-92.0058
NJ,HUNTERDON,40.5672,-74.9123
AL,CULLMAN,34.132,-86.8676
SC,MARION,34.0801,-79.3625
MN,LAC QUI PARLE,44.9955,-96.1735
NY,OTSEGO,42.6338,-75.0326
GA,WAYNE,31.5515,-81.9168
OH,LICKING,40.0918,-82.4835
NY,COLUMBIA,42.2501,-73.6318
NC,HERTFORD,36.359,-76.9837
NE,DIXON,42.4932,-96.8678
NY,ONONDAGA,43.0058,-76.1946
IN,MIAMI,40.7695,-86.0451
KY,CALDWELL,37.1453,-87.8679
MN,ISANTI,45.5615,-93.2952
NE,FILLMORE,40.5247,-97.5964
IL,MASSAC,37.219,-88.7078
TN,TIPTON,35.4966,-89.7594
SD,STANLEY,44.4123,-100.7359
MO,LINCOLN,39.0581,-90.9602
MI,MECOSTA,43.6409,-85.3245
NC,CABARRUS,35.3868,-80.5519
MS,JONES,31.6226,-89.1688
SD,CHARLES MIX,43.2079,-98.5879
LA,FRANKLIN,32.1333,-91.6738
